DATE,PARAM,VALUE
2015-01-01,ALLSKY_SFC_SW_DIFF,2.1298
2015-01-01,T2M_MIN,9.31
2015-01-01,T2M_MAX,32.62
2015-01-01,RH2M,57.94
2015-01-01,ALLSKY_SFC_SW_DNI,4.321
2015-01-01,PS,91.98
2015-01-01,ALLSKY_SFC_SW_DWN,5.2147
2015-02-01,ALLSKY_SFC_SW_DNI,6.4022
2015-02-01,RH2M,46.01
2015-02-01,T2M_MAX,34.84
2015-02-01,T2M_MIN,11.81
2015-02-01,ALLSKY_SFC_SW_DIFF,1.895
2015-02-01,PS,91.94
2015-02-01,ALLSKY_SFC_SW_DWN,6.5237
2015-03-01,ALLSKY_SFC_SW_DIFF,2.3462
2015-03-01,ALLSKY_SFC_SW_DNI,5.0542
2015-03-01,ALLSKY_SFC_SW_DWN,6.5076
2015-03-01,PS,91.91
2015-03-01,RH2M,48.3
2015-03-01,T2M_MAX,36.92
2015-03-01,T2M_MIN,13.48
2015-04-01,T2M_MIN,18.94
2015-04-01,T2M_MAX,37.07
2015-04-01,RH2M,57.64
2015-04-01,PS,91.73
2015-04-01,ALLSKY_SFC_SW_DNI,4.2713
2015-04-01,ALLSKY_SFC_SW_DIFF,2.5934
2015-04-01,ALLSKY_SFC_SW_DWN,6.3634
2015-05-01,ALLSKY_SFC_SW_DIFF,2.6978
2015-05-01,ALLSKY_SFC_SW_DNI,3.1654
2015-05-01,ALLSKY_SFC_SW_DWN,5.7125
2015-05-01,PS,91.6
2015-05-01,RH2M,67.27
2015-05-01,T2M_MAX,35.89
2015-05-01,T2M_MIN,19.36
2015-06-01,T2M_MAX,32.38
2015-06-01,T2M_MIN,18.42
2015-06-01,PS,91.49
2015-06-01,RH2M,74.81
2015-06-01,ALLSKY_SFC_SW_DNI,2.586
2015-06-01,ALLSKY_SFC_SW_DIFF,2.7257
2015-06-01,ALLSKY_SFC_SW_DWN,5.2428
2015-07-01,ALLSKY_SFC_SW_DIFF,2.9112
2015-07-01,ALLSKY_SFC_SW_DNI,2.3789
2015-07-01,PS,91.54
2015-07-01,ALLSKY_SFC_SW_DWN,5.3062
2015-07-01,RH2M,70.56
2015-07-01,T2M_MAX,33.4
2015-07-01,T2M_MIN,18.19
2015-08-01,RH2M,72.67
2015-08-01,PS,91.59
2015-08-01,ALLSKY_SFC_SW_DWN,5.447
2015-08-01,ALLSKY_SFC_SW_DNI,2.7614
2015-08-01,ALLSKY_SFC_SW_DIFF,2.7936
2015-08-01,T2M_MIN,18.38
2015-08-01,T2M_MAX,32.85
2015-09-01,PS,91.62
2015-09-01,RH2M,74.01
2015-09-01,T2M_MAX,33.72
2015-09-01,ALLSKY_SFC_SW_DWN,5.6174
2015-09-01,T2M_MIN,18.07
2015-09-01,ALLSKY_SFC_SW_DNI,3.2282
2015-09-01,ALLSKY_SFC_SW_DIFF,2.7396
2015-10-01,RH2M,74.0
2015-10-01,PS,91.85
2015-10-01,T2M_MAX,31.29
2015-10-01,ALLSKY_SFC_SW_DWN,5.6004
2015-10-01,ALLSKY_SFC_SW_DNI,3.9106
2015-10-01,ALLSKY_SFC_SW_DIFF,2.4283
2015-10-01,T2M_MIN,14.08
2015-11-01,T2M_MIN,13.34
2015-11-01,T2M_MAX,29.85
2015-11-01,ALLSKY_SFC_SW_DNI,1.956
2015-11-01,RH2M,85.82
2015-11-01,ALLSKY_SFC_SW_DWN,3.7061
2015-11-01,ALLSKY_SFC_SW_DIFF,1.9891
2015-11-01,PS,91.81
2015-12-01,RH2M,78.11
2015-12-01,PS,92.03
2015-12-01,T2M_MAX,28.81
2015-12-01,ALLSKY_SFC_SW_DIFF,1.9094
2015-12-01,ALLSKY_SFC_SW_DNI,4.0368
2015-12-01,T2M_MIN,10.28
2015-12-01,ALLSKY_SFC_SW_DWN,4.68
2016-01-01,ALLSKY_SFC_SW_DWN,5.2032
2016-01-01,T2M_MAX,32.12
2016-01-01,ALLSKY_SFC_SW_DNI,4.4441
2016-01-01,T2M_MIN,10.54
2016-01-01,RH2M,67.23
2016-01-01,ALLSKY_SFC_SW_DIFF,2.0566
2016-01-01,PS,92.04
2016-02-01,RH2M,53.03
2016-02-01,ALLSKY_SFC_SW_DWN,6.1387
2016-02-01,T2M_MAX,37.06
2016-02-01,PS,91.98
2016-02-01,ALLSKY_SFC_SW_DNI,5.3002
2016-02-01,T2M_MIN,11.76
2016-02-01,ALLSKY_SFC_SW_DIFF,2.2572
2016-03-01,PS,91.87
2016-03-01,ALLSKY_SFC_SW_DWN,6.5851
2016-03-01,RH2M,45.95
2016-03-01,T2M_MAX,37.61
2016-03-01,ALLSKY_SFC_SW_DIFF,2.411
2016-03-01,ALLSKY_SFC_SW_DNI,5.1226
2016-03-01,T2M_MIN,17.2
2016-04-01,RH2M,38.68
2016-04-01,ALLSKY_SFC_SW_DIFF,2.5118
2016-04-01,T2M_MAX,40.38
2016-04-01,PS,91.63
2016-04-01,ALLSKY_SFC_SW_DWN,6.905
2016-04-01,T2M_MIN,20.07
2016-04-01,ALLSKY_SFC_SW_DNI,5.2188
2016-05-01,ALLSKY_SFC_SW_DNI,4.1803
2016-05-01,ALLSKY_SFC_SW_DWN,6.0893
2016-05-01,RH2M,60.84
2016-05-01,ALLSKY_SFC_SW_DIFF,2.4538
2016-05-01,PS,91.54
2016-05-01,T2M_MAX,39.32
