DATE,PARAM,VALUE
2015-01-01,ALLSKY_SFC_SW_DIFF,1.5089
2015-01-01,T2M_MIN,4.74
2015-01-01,T2M_MAX,26.24
2015-01-01,RH2M,62.35
2015-01-01,ALLSKY_SFC_SW_DNI,3.7337
2015-01-01,PS,96.25
2015-01-01,ALLSKY_SFC_SW_DWN,3.624
2015-02-01,ALLSKY_SFC_SW_DNI,5.1667
2015-02-01,RH2M,45.58
2015-02-01,T2M_MAX,34.75
2015-02-01,T2M_MIN,7.0
2015-02-01,ALLSKY_SFC_SW_DIFF,1.8761
2015-02-01,PS,96.0
2015-02-01,ALLSKY_SFC_SW_DWN,5.1859
2015-03-01,ALLSKY_SFC_SW_DIFF,1.8828
2015-03-01,ALLSKY_SFC_SW_DNI,5.2874
2015-03-01,ALLSKY_SFC_SW_DWN,5.5661
2015-03-01,PS,95.95
2015-03-01,RH2M,47.27
2015-03-01,T2M_MAX,38.84
2015-03-01,T2M_MIN,10.3
2015-04-01,T2M_MIN,17.76
2015-04-01,T2M_MAX,42.75
2015-04-01,RH2M,29.79
2015-04-01,PS,95.44
2015-04-01,ALLSKY_SFC_SW_DNI,5.19
2015-04-01,ALLSKY_SFC_SW_DIFF,2.479
2015-04-01,ALLSKY_SFC_SW_DWN,6.5998
2015-05-01,ALLSKY_SFC_SW_DIFF,2.3695
2015-05-01,ALLSKY_SFC_SW_DNI,6.0509
2015-05-01,ALLSKY_SFC_SW_DWN,7.1558
2015-05-01,PS,95.14
2015-05-01,RH2M,21.39
2015-05-01,T2M_MAX,45.79
2015-05-01,T2M_MIN,23.75
2015-06-01,T2M_MAX,44.05
2015-06-01,T2M_MIN,23.34
2015-06-01,PS,94.86
2015-06-01,RH2M,54.43
2015-06-01,ALLSKY_SFC_SW_DNI,3.6358
2015-06-01,ALLSKY_SFC_SW_DIFF,2.7014
2015-06-01,ALLSKY_SFC_SW_DWN,5.917
2015-07-01,ALLSKY_SFC_SW_DIFF,2.5877
2015-07-01,ALLSKY_SFC_SW_DNI,1.3118
2015-07-01,PS,94.86
2015-07-01,ALLSKY_SFC_SW_DWN,4.0819
2015-07-01,RH2M,80.09
2015-07-01,T2M_MAX,35.93
2015-07-01,T2M_MIN,21.88
2015-08-01,RH2M,88.57
2015-08-01,PS,95.13
2015-08-01,ALLSKY_SFC_SW_DWN,4.0771
2015-08-01,ALLSKY_SFC_SW_DNI,1.2091
2015-08-01,ALLSKY_SFC_SW_DIFF,2.713
2015-08-01,T2M_MIN,21.48
2015-08-01,T2M_MAX,30.94
2015-09-01,PS,95.42
2015-09-01,RH2M,79.94
2015-09-01,T2M_MAX,31.88
2015-09-01,ALLSKY_SFC_SW_DWN,5.5426
2015-09-01,T2M_MIN,17.18
2015-09-01,ALLSKY_SFC_SW_DNI,4.2142
2015-09-01,ALLSKY_SFC_SW_DIFF,2.2999
2015-10-01,RH2M,60.9
2015-10-01,PS,95.86
2015-10-01,T2M_MAX,34.59
2015-10-01,ALLSKY_SFC_SW_DWN,5.0772
2015-10-01,ALLSKY_SFC_SW_DNI,4.8334
2015-10-01,ALLSKY_SFC_SW_DIFF,1.7798
2015-10-01,T2M_MIN,14.09
2015-11-01,T2M_MIN,11.61
2015-11-01,T2M_MAX,32.16
2015-11-01,ALLSKY_SFC_SW_DNI,3.9175
2015-11-01,RH2M,51.86
2015-11-01,ALLSKY_SFC_SW_DWN,4.1573
2015-11-01,ALLSKY_SFC_SW_DIFF,1.7503
2015-11-01,PS,96.02
2015-12-01,RH2M,30.08
2015-12-01,PS,96.2
2015-12-01,T2M_MAX,32.7
2015-12-01,ALLSKY_SFC_SW_DIFF,1.2521
2015-12-01,ALLSKY_SFC_SW_DNI,5.7758
2015-12-01,T2M_MIN,5.67
2015-12-01,ALLSKY_SFC_SW_DWN,4.3548
2016-01-01,ALLSKY_SFC_SW_DWN,4.345
2016-01-01,T2M_MAX,32.44
2016-01-01,ALLSKY_SFC_SW_DNI,5.2238
2016-01-01,T2M_MIN,4.4
2016-01-01,RH2M,36.97
2016-01-01,ALLSKY_SFC_SW_DIFF,1.4362
2016-01-01,PS,96.16
2016-02-01,RH2M,27.59
2016-02-01,ALLSKY_SFC_SW_DWN,5.1816
2016-02-01,T2M_MAX,34.64
2016-02-01,PS,96.03
2016-02-01,ALLSKY_SFC_SW_DNI,5.081
2016-02-01,T2M_MIN,8.46
2016-02-01,ALLSKY_SFC_SW_DIFF,2.0225
2016-03-01,PS,95.78
2016-03-01,ALLSKY_SFC_SW_DWN,6.0859
2016-03-01,RH2M,25.22
2016-03-01,T2M_MAX,40.45
2016-03-01,ALLSKY_SFC_SW_DIFF,2.149
2016-03-01,ALLSKY_SFC_SW_DNI,5.5546
2016-03-01,T2M_MIN,15.44
2016-04-01,RH2M,19.41
2016-04-01,ALLSKY_SFC_SW_DIFF,2.1917
2016-04-01,T2M_MAX,43.44
2016-04-01,PS,95.38
2016-04-01,ALLSKY_SFC_SW_DWN,7.0536
2016-04-01,T2M_MIN,21.03
2016-04-01,ALLSKY_SFC_SW_DNI,6.5338
2016-05-01,ALLSKY_SFC_SW_DNI,5.8378
