DATE,PARAM,VALUE
2015-01-01,ALLSKY_SFC_SW_DIFF,2.1062
2015-01-01,T2M_MIN,18.48
2015-01-01,T2M_MAX,29.08
2015-01-01,RH2M,77.41
2015-01-01,ALLSKY_SFC_SW_DNI,4.2029
2015-01-01,PS,100.87
2015-01-01,ALLSKY_SFC_SW_DWN,4.9901
2015-02-01,ALLSKY_SFC_SW_DNI,4.6721
2015-02-01,RH2M,70.63
2015-02-01,T2M_MAX,33.53
2015-02-01,T2M_MIN,19.76
2015-02-01,ALLSKY_SFC_SW_DIFF,2.4074
2015-02-01,PS,100.8
2015-02-01,ALLSKY_SFC_SW_DWN,5.8507
2015-03-01,ALLSKY_SFC_SW_DIFF,2.4934
2015-03-01,ALLSKY_SFC_SW_DNI,4.8473
2015-03-01,ALLSKY_SFC_SW_DWN,6.409
2015-03-01,PS,100.69
2015-03-01,RH2M,66.13
2015-03-01,T2M_MAX,36.8
2015-03-01,T2M_MIN,21.45
2015-04-01,T2M_MIN,23.25
2015-04-01,T2M_MAX,38.49
2015-04-01,RH2M,68.99
2015-04-01,PS,100.4
2015-04-01,ALLSKY_SFC_SW_DNI,5.0513
2015-04-01,ALLSKY_SFC_SW_DIFF,2.4163
2015-04-01,ALLSKY_SFC_SW_DWN,6.5534
2015-05-01,ALLSKY_SFC_SW_DIFF,2.6638
2015-05-01,ALLSKY_SFC_SW_DNI,3.1195
2015-05-01,ALLSKY_SFC_SW_DWN,5.567
2015-05-01,PS,100.12
2015-05-01,RH2M,68.88
2015-05-01,T2M_MAX,39.69
2015-05-01,T2M_MIN,25.24
2015-06-01,T2M_MAX,37.1
2015-06-01,T2M_MIN,24.94
2015-06-01,PS,99.97
2015-06-01,RH2M,66.7
2015-06-01,ALLSKY_SFC_SW_DNI,2.4634
2015-06-01,ALLSKY_SFC_SW_DIFF,2.6126
2015-06-01,ALLSKY_SFC_SW_DWN,4.9654
2015-07-01,ALLSKY_SFC_SW_DIFF,2.8375
2015-07-01,ALLSKY_SFC_SW_DNI,2.9052
2015-07-01,PS,99.99
2015-07-01,ALLSKY_SFC_SW_DWN,5.5966
