DATE,PARAM,VALUE
2015-01-01,WD10M,51.7
2015-01-01,WS2M,2.75
2015-01-01,WS10M,3.65
2015-02-01,WS2M,2.8
2015-02-01,WS10M,3.65
2015-02-01,WD10M,80.0
2015-03-01,WD10M,116.4
2015-03-01,WS10M,3.65
2015-03-01,WS2M,2.89
2015-04-01,WD10M,153.5
2015-04-01,WS10M,4.3
2015-04-01,WS2M,3.44
2015-05-01,WD10M,191.8
2015-05-01,WS2M,3.53
2015-05-01,WS10M,4.47
2015-06-01,WD10M,240.1
2015-06-01,WS10M,4.85
2015-06-01,WS2M,3.81
2015-07-01,WD10M,248.5
2015-07-01,WS10M,4.12
2015-07-01,WS2M,3.24
2015-08-01,WS10M,3.52
2015-08-01,WS2M,2.73
2015-08-01,WD10M,240.0
2015-09-01,WS2M,2.31
2015-09-01,WD10M,210.6
2015-09-01,WS10M,2.99
2015-10-01,WD10M,83.4
2015-10-01,WS2M,2.2
2015-10-01,WS10M,2.89
2015-11-01,WS2M,3.44
2015-11-01,WS10M,4.49
2015-11-01,WD10M,41.9
2015-12-01,WD10M,48.4
2015-12-01,WS10M,3.91
2015-12-01,WS2M,2.97
2016-01-01,WS2M,2.22
2016-01-01,WD10M,57.9
2016-01-01,WS10M,2.97
2016-02-01,WS10M,3.1
2016-02-01,WD10M,109.9
2016-02-01,WS2M,2.38
2016-03-01,WD10M,147.1
2016-03-01,WS10M,3.91
2016-03-01,WS2M,3.1
2016-04-01,WD10M,166.6
2016-04-01,WS2M,4.05
2016-04-01,WS10M,5.06
2016-05-01,WD10M,204.9
2016-05-01,WS10M,4.85
2016-05-01,WS2M,3.85
2016-06-01,WD10M,255.4
2016-06-01,WS10M,4.14
2016-06-01,WS2M,3.23
2016-07-01,WD10M,240.7
2016-07-01,WS2M,3.4
2016-07-01,WS10M,4.36
2016-08-01,WD10M,252.7
2016-08-01,WS10M,4.09
2016-08-01,WS2M,3.18
2016-09-01,WD10M,247.5
2016-09-01,WS2M,2.45
2016-09-01,WS10M,3.17
2016-10-01,WD10M,33.7
2016-10-01,WS10M,2.95
2016-10-01,WS2M,2.28
2016-11-01,WD10M,39.6
2016-11-01,WS2M,3.1
2016-11-01,WS10M,4.03
2016-12-01,WS10M,4.26
2016-12-01,WD10M,33.1
2016-12-01,WS2M,3.22
2017-01-01,WS10M,3.97
2017-01-01,WS2M,3.05
2017-01-01,WD10M,50.2
2017-02-01,WD10M,83.1
2017-02-01,WS10M,3.33
2017-02-01,WS2M,2.57
2017-03-01,WS10M,4.1
2017-03-01,WD10M,145.6
2017-03-01,WS2M,3.27
2017-04-01,WS10M,4.67
2017-04-01,WS2M,3.72
2017-04-01,WD10M,166.8
2017-05-01,WD10M,189.0
2017-05-01,WS2M,3.48
2017-05-01,WS10M,4.35
2017-06-01,WD10M,240.2
2017-06-01,WS2M,3.42
2017-06-01,WS10M,4.33
2017-07-01,WS2M,2.95
2017-07-01,WS10M,3.8
2017-07-01,WD10M,253.4
2017-08-01,WS2M,2.59
2017-08-01,WS10M,3.35
2017-08-01,WD10M,243.1
2017-09-01,WS2M,2.18
2017-09-01,WD10M,215.9
2017-09-01,WS10M,2.83
2017-10-01,WS2M,2.21
2017-10-01,WS10M,2.91
2017-10-01,WD10M,31.4
2017-11-01,WD10M,25.9
2017-11-01,WS2M,3.57
2017-11-01,WS10M,4.66
2017-12-01,WS10M,4.16
2017-12-01,WD10M,38.9
2017-12-01,WS2M,3.12
2018-01-01,WD10M,46.6
2018-01-01,WS10M,3.63
2018-01-01,WS2M,2.73
2018-02-01,WS10M,3.15
2018-02-01,WD10M,69.5
2018-02-01,WS2M,2.41
2018-03-01,WS2M,2.63
2018-03-01,WD10M,132.0
2018-03-01,WS10M,3.37
2018-04-01,WD10M,151.6
2018-04-01,WS2M,3.56
2018-04-01,WS10M,4.44
2018-05-01,WD10M,170.3
2018-05-01,WS10M,4.35
2018-05-01,WS2M,3.5
2018-06-01,WS10M,4.24
2018-06-01,WS2M,3.32
2018-06-01,WD10M,240.1
2018-07-01,WD10M,249.0
2018-07-01,WS2M,3.71
2018-07-01,WS10M,4.78
2018-08-01,WS2M,3.22
2018-08-01,WS10M,4.2
2018-08-01,WD10M,262.2
2018-09-01,WD10M,195.5
2018-09-01,WS10M,3.17
2018-09-01,WS2M,2.46
2018-10-01,WS10M,3.51
2018-10-01,WD10M,54.1
2018-10-01,WS2M,2.69
2018-11-01,WS2M,3.14
2018-11-01,WD10M,50.5
2018-11-01,WS10M,4.13
2018-12-01,WS2M,3.31
2018-12-01,WD10M,37.2
2018-12-01,WS10M,4.36
2019-01-01,WD10M,53.7
2019-01-01,WS2M,2.96
2019-01-01,WS10M,3.91
2019-02-01,WD10M,93.7
2019-02-01,WS10M,3.95
2019-02-01,WS2M,3.09
2019-03-01,WD10M,144.0
2019-03-01,WS10M,4.18
2019-03-01,WS2M,3.29
2019-04-01,WD10M,154.9
2019-04-01,WS10M,4.32
2019-04-01,WS2M,3.43
2019-05-01,WD10M,177.9
2019-05-01,WS2M,3.77
2019-05-01,WS10M,4.73
2019-06-01,WD10M,209.0
2019-06-01,WS10M,4.24
2019-06-01,WS2M,3.35
2019-07-01,WS10M,4.0
2019-07-01,WS2M,3.11
2019-07-01,WD10M,230.7
2019-08-01,WS2M,3.37
2019-08-01,WD10M,236.8
2019-08-01,WS10M,4.38
2019-09-01,WS2M,2.96
2019-09-01,WS10M,3.85
2019-09-01,WD10M,211.5
2019-10-01,WS2M,2.19
2019-10-01,WD10M,133.1
2019-10-01,WS10M,2.89
2019-11-01,WS10M,3.72
2019-11-01,WS2M,2.82
2019-11-01,WD10M,47.3
2019-12-01,WS10M,4.29
2019-12-01,WS2M,3.24
2019-12-01,WD10M,56.3
2020-01-01,WS2M,2.51
2020-01-01,WD10M,76.2
2020-01-01,WS10M,3.35
2020-02-01,WS2M,2.91
2020-02-01,WS10M,3.79
2020-02-01,WD10M,88.2
2020-03-01,WD10M,127.4
2020-03-01,WS10M,3.64
2020-03-01,WS2M,2.88
2020-04-01,WD10M,149.7
2020-04-01,WS10M,3.95
2020-04-01,WS2M,3.14
2020-05-01,WD10M,160.9
2020-05-01,WS10M,3.94
2020-05-01,WS2M,3.12
2020-06-01,WS10M,3.78
2020-06-01,WS2M,3.0
2020-06-01,WD10M,221.2
2020-07-01,WD10M,221.3
2020-07-01,WS2M,2.88
2020-07-01,WS10M,3.65
2020-08-01,WS2M,2.73
2020-08-01,WD10M,235.4
2020-08-01,WS10M,3.56
2020-09-01,WS2M,2.75
2020-09-01,WS10M,3.54
2020-09-01,WD10M,225.7
2020-10-01,WS2M,2.31
2020-10-01,WD10M,291.8
2020-10-01,WS10M,3.05
2020-11-01,WS2M,3.41
2020-11-01,WS10M,4.48
2020-11-01,WD10M,48.5
2020-12-01,WS2M,3.46
2020-12-01,WD10M,40.7
2020-12-01,WS10M,4.58
2021-01-01,WS2M,2.77
2021-01-01,WD10M,50.0
2021-01-01,WS10M,3.69
2021-02-01,WD10M,57.0
2021-02-01,WS10M,3.56
2021-02-01,WS2M,2.65
2021-03-01,WD10M,126.9
2021-03-01,WS10M,2.86
2021-03-01,WS2M,2.21
2021-04-01,WS2M,2.83
2021-04-01,WD10M,149.1
2021-04-01,WS10M,3.55
2021-05-01,WS2M,3.48
2021-05-01,WS10M,4.35
2021-05-01,WD10M,179.0
2021-06-01,WS2M,3.36
2021-06-01,WD10M,234.2
2021-06-01,WS10M,4.27
2021-07-01,WS2M,3.26
2021-07-01,WD10M,239.0
2021-07-01,WS10M,4.17
2021-08-01,WS10M,3.79
2021-08-01,WD10M,243.8
2021-08-01,WS2M,2.94
2021-09-01,WD10M,232.6
2021-09-01,WS10M,3.59
2021-09-01,WS2M,2.76
2021-10-01,WS2M,2.17
2021-10-01,WD10M,23.4
2021-10-01,WS10M,2.84
2021-11-01,WS10M,4.39
2021-11-01,WD10M,43.3
2021-11-01,WS2M,3.36
2021-12-01,WS10M,4.02
2021-12-01,WD10M,40.3
2021-12-01,WS2M,3.04
2022-01-01,WD10M,61.3
2022-01-01,WS2M,2.66
2022-01-01,WS10M,3.53
2022-02-01,WS2M,2.6
2022-02-01,WS10M,3.44
2022-02-01,WD10M,67.1
2022-03-01,WS10M,3.71
2022-03-01,WD10M,104.9
2022-03-01,WS2M,2.88
2022-04-01,WD10M,149.2
2022-04-01,WS10M,3.76
2022-04-01,WS2M,3.02
2022-05-01,WD10M,222.7
2022-05-01,WS10M,4.03
2022-05-01,WS2M,3.17
2022-06-01,WD10M,225.9
2022-06-01,WS10M,3.48
2022-06-01,WS2M,2.75
2022-07-01,WS2M,3.05
2022-07-01,WD10M,259.3
2022-07-01,WS10M,3.93
2022-08-01,WD10M,243.6
2022-08-01,WS2M,2.83
2022-08-01,WS10M,3.65
2022-09-01,WD10M,236.0
2022-09-01,WS10M,3.07
2022-09-01,WS2M,2.35
2022-10-01,WS2M,2.62
2022-10-01,WS10M,3.43
2022-10-01,WD10M,26.4
2022-11-01,WD10M,33.7
2022-11-01,WS2M,3.16
2022-11-01,WS10M,4.16
2022-12-01,WS2M,3.5
2022-12-01,WD10M,40.7
2022-12-01,WS10M,4.61
2023-01-01,WS2M,2.75
2023-01-01,WS10M,3.67
2023-01-01,WD10M,52.5
2023-02-01,WS10M,3.07
2023-02-01,WS2M,2.33
2023-02-01,WD10M,75.5
2023-03-01,WD10M,111.4
2023-03-01,WS2M,2.94
2023-03-01,WS10M,3.77
2023-04-01,WS2M,2.99
2023-04-01,WS10M,3.78
2023-04-01,WD10M,147.1
2023-05-01,WS10M,3.46
2023-05-01,WS2M,2.74
2023-05-01,WD10M,182.0
2023-06-01,WS10M,4.19
2023-06-01,WS2M,3.31
2023-06-01,WD10M,226.7
2023-07-01,WS10M,4.57
2023-07-01,WD10M,250.4
2023-07-01,WS2M,3.54
2023-08-01,WS10M,3.13
2023-08-01,WS2M,2.43
2023-08-01,WD10M,227.8
2023-09-01,WD10M,228.4
2023-09-01,WS10M,3.76
2023-09-01,WS2M,2.91
2023-10-01,WS10M,3.0
2023-10-01,WS2M,2.27
2023-10-01,WD10M,77.2
2023-11-01,WD10M,46.7
2023-11-01,WS10M,3.92
2023-11-01,WS2M,3.0
2023-12-01,WD10M,31.2
2023-12-01,WS10M,5.22
2023-12-01,WS2M,3.98
2024-01-01,WS2M,2.87
2024-01-01,WD10M,59.5
2024-01-01,WS10M,3.8
2024-02-01,WS10M,3.63
