DATE,PARAM,VALUE
2015-01-01,ALLSKY_SFC_SW_DIFF,1.4657
2015-01-01,T2M_MIN,2.9
2015-01-01,T2M_MAX,24.58
2015-01-01,RH2M,52.16
2015-01-01,ALLSKY_SFC_SW_DNI,1.7285
2015-01-01,PS,99.13
2015-01-01,ALLSKY_SFC_SW_DWN,2.4821
2015-02-01,ALLSKY_SFC_SW_DNI,3.87
2015-02-01,RH2M,38.99
2015-02-01,T2M_MAX,31.8
2015-02-01,T2M_MIN,5.48
2015-02-01,ALLSKY_SFC_SW_DIFF,1.9608
2015-02-01,PS,98.81
2015-02-01,ALLSKY_SFC_SW_DWN,4.3747
2015-03-01,ALLSKY_SFC_SW_DIFF,1.8929
2015-03-01,ALLSKY_SFC_SW_DNI,4.6601
2015-03-01,ALLSKY_SFC_SW_DWN,5.1574
2015-03-01,PS,98.72
2015-03-01,RH2M,49.6
2015-03-01,T2M_MAX,36.81
2015-03-01,T2M_MIN,7.18
2015-04-01,T2M_MIN,15.66
2015-04-01,T2M_MAX,40.71
2015-04-01,RH2M,40.98
2015-04-01,PS,98.14
2015-04-01,ALLSKY_SFC_SW_DNI,5.0976
2015-04-01,ALLSKY_SFC_SW_DIFF,2.4312
2015-04-01,ALLSKY_SFC_SW_DWN,6.3576
2015-05-01,ALLSKY_SFC_SW_DIFF,2.6155
2015-05-01,ALLSKY_SFC_SW_DNI,5.5606
2015-05-01,ALLSKY_SFC_SW_DWN,7.1484
2015-05-01,PS,97.67
2015-05-01,RH2M,19.18
2015-05-01,T2M_MAX,46.25
2015-05-01,T2M_MIN,22.65
2015-06-01,T2M_MAX,45.6
2015-06-01,T2M_MIN,24.65
2015-06-01,PS,97.36
2015-06-01,RH2M,35.15
2015-06-01,ALLSKY_SFC_SW_DNI,3.809
2015-06-01,ALLSKY_SFC_SW_DIFF,2.7895
2015-06-01,ALLSKY_SFC_SW_DWN,6.1637
2015-07-01,ALLSKY_SFC_SW_DIFF,2.807
2015-07-01,ALLSKY_SFC_SW_DNI,2.376
2015-07-01,PS,97.29
2015-07-01,ALLSKY_SFC_SW_DWN,5.0062
2015-07-01,RH2M,64.37
2015-07-01,T2M_MAX,41.47
2015-07-01,T2M_MIN,23.88
2015-08-01,RH2M,68.09
2015-08-01,PS,97.58
2015-08-01,ALLSKY_SFC_SW_DWN,5.0242
2015-08-01,ALLSKY_SFC_SW_DNI,2.6947
2015-08-01,ALLSKY_SFC_SW_DIFF,2.6134
2015-08-01,T2M_MIN,23.77
2015-08-01,T2M_MAX,37.39
2015-09-01,PS,97.96
2015-09-01,RH2M,48.62
2015-09-01,T2M_MAX,39.05
2015-09-01,ALLSKY_SFC_SW_DWN,5.8068
2015-09-01,T2M_MIN,19.27
2015-09-01,ALLSKY_SFC_SW_DNI,4.8055
2015-09-01,ALLSKY_SFC_SW_DIFF,2.2438
2015-10-01,RH2M,37.62
2015-10-01,PS,98.53
2015-10-01,T2M_MAX,38.5
2015-10-01,ALLSKY_SFC_SW_DWN,4.8202
2015-10-01,ALLSKY_SFC_SW_DNI,4.5334
2015-10-01,ALLSKY_SFC_SW_DIFF,1.8293
2015-10-01,T2M_MIN,14.84
2015-11-01,T2M_MIN,10.97
2015-11-01,T2M_MAX,31.32
2015-11-01,ALLSKY_SFC_SW_DNI,2.7953
2015-11-01,RH2M,35.47
2015-11-01,ALLSKY_SFC_SW_DWN,3.3679
2015-11-01,ALLSKY_SFC_SW_DIFF,1.6915
2015-11-01,PS,98.81
2015-12-01,RH2M,26.84
2015-12-01,PS,99.03
2015-12-01,T2M_MAX,29.03
2015-12-01,ALLSKY_SFC_SW_DIFF,1.5014
2015-12-01,ALLSKY_SFC_SW_DNI,3.091
2015-12-01,T2M_MIN,3.14
2015-12-01,ALLSKY_SFC_SW_DWN,3.089
2016-01-01,ALLSKY_SFC_SW_DWN,2.9102
2016-01-01,T2M_MAX,28.19
2016-01-01,ALLSKY_SFC_SW_DNI,2.484
2016-01-01,T2M_MIN,4.04
2016-01-01,RH2M,29.69
2016-01-01,ALLSKY_SFC_SW_DIFF,1.5624
2016-01-01,PS,98.99
2016-02-01,RH2M,24.7
2016-02-01,ALLSKY_SFC_SW_DWN,4.3303
2016-02-01,T2M_MAX,32.83
2016-02-01,PS,98.89
2016-02-01,ALLSKY_SFC_SW_DNI,4.1974
2016-02-01,T2M_MIN,5.63
2016-02-01,ALLSKY_SFC_SW_DIFF,1.7604
2016-03-01,PS,98.54
2016-03-01,ALLSKY_SFC_SW_DWN,5.507
2016-03-01,RH2M,30.98
2016-03-01,T2M_MAX,39.09
2016-03-01,ALLSKY_SFC_SW_DIFF,2.083
2016-03-01,ALLSKY_SFC_SW_DNI,4.8898
2016-03-01,T2M_MIN,11.92
2016-04-01,RH2M,18.91
2016-04-01,ALLSKY_SFC_SW_DIFF,2.5049
2016-04-01,T2M_MAX,43.18
2016-04-01,PS,97.93
2016-04-01,ALLSKY_SFC_SW_DWN,6.6838
2016-04-01,T2M_MIN,19.52
2016-04-01,ALLSKY_SFC_SW_DNI,5.5303
2016-05-01,ALLSKY_SFC_SW_DNI,4.259
2016-05-01,ALLSKY_SFC_SW_DWN,6.5508
2016-05-01,RH2M,24.07
2016-05-01,ALLSKY_SFC_SW_DIFF,2.8354
2016-05-01,PS,97.53
2016-05-01,T2M_MAX,47.06
2016-05-01,T2M_MIN,24.98
2016-06-01,PS,97.36
2016-06-01,T2M_MAX,45.82
2016-06-01,RH2M,34.55
2016-06-01,ALLSKY_SFC_SW_DNI,3.0737
2016-06-01,ALLSKY_SFC_SW_DWN,6.097
2016-06-01,ALLSKY_SFC_SW_DIFF,3.1224
2016-06-01,T2M_MIN,28.54
2016-07-01,ALLSKY_SFC_SW_DIFF,2.7578
2016-07-01,PS,97.31
2016-07-01,ALLSKY_SFC_SW_DNI,1.2631
2016-07-01,ALLSKY_SFC_SW_DWN,4.3529
2016-07-01,RH2M,68.6
2016-07-01,T2M_MIN,24.94
2016-07-01,T2M_MAX,41.09
2016-08-01,ALLSKY_SFC_SW_DWN,4.873
2016-08-01,RH2M,79.91
2016-08-01,T2M_MAX,34.97
2016-08-01,ALLSKY_SFC_SW_DIFF,2.5824
2016-08-01,ALLSKY_SFC_SW_DNI,2.5231
2016-08-01,PS,97.47
2016-08-01,T2M_MIN,23.98
2016-09-01,T2M_MIN,21.75
2016-09-01,T2M_MAX,37.19
2016-09-01,PS,97.83
2016-09-01,ALLSKY_SFC_SW_DWN,5.3544
2016-09-01,ALLSKY_SFC_SW_DNI,3.7915
2016-09-01,RH2M,61.34
2016-09-01,ALLSKY_SFC_SW_DIFF,2.3954
2016-10-01,ALLSKY_SFC_SW_DIFF,1.8799
2016-10-01,T2M_MIN,14.54
2016-10-01,T2M_MAX,36.57
2016-10-01,RH2M,39.48
2016-10-01,ALLSKY_SFC_SW_DWN,4.5761
2016-10-01,ALLSKY_SFC_SW_DNI,4.0337
2016-10-01,PS,98.24
2016-11-01,ALLSKY_SFC_SW_DNI,3.605
2016-11-01,ALLSKY_SFC_SW_DWN,3.731
2016-11-01,ALLSKY_SFC_SW_DIFF,1.6447
2016-11-01,RH2M,27.03
2016-11-01,PS,98.73
2016-11-01,T2M_MAX,31.65
2016-11-01,T2M_MIN,10.38
2016-12-01,RH2M,26.84
2016-12-01,ALLSKY_SFC_SW_DWN,3.1075
2016-12-01,ALLSKY_SFC_SW_DNI,3.0799
2016-12-01,T2M_MIN,6.61
2016-12-01,PS,98.92
2016-12-01,ALLSKY_SFC_SW_DIFF,1.5012
2016-12-01,T2M_MAX,28.93
2017-01-01,ALLSKY_SFC_SW_DWN,3.1402
2017-01-01,T2M_MIN,1.43
2017-01-01,ALLSKY_SFC_SW_DIFF,1.6289
2017-01-01,ALLSKY_SFC_SW_DNI,2.6726
2017-01-01,RH2M,43.72
2017-01-01,PS,99.04
2017-01-01,T2M_MAX,27.0
2017-02-01,T2M_MAX,32.12
2017-02-01,ALLSKY_SFC_SW_DNI,4.4431
2017-02-01,ALLSKY_SFC_SW_DWN,4.5917
2017-02-01,ALLSKY_SFC_SW_DIFF,1.8775
2017-02-01,PS,98.89
2017-02-01,RH2M,37.35
2017-02-01,T2M_MIN,5.49
2017-03-01,RH2M,27.8
2017-03-01,PS,98.41
2017-03-01,ALLSKY_SFC_SW_DIFF,2.2051
2017-03-01,T2M_MIN,8.32
2017-03-01,ALLSKY_SFC_SW_DWN,5.6834
2017-03-01,ALLSKY_SFC_SW_DNI,4.8763
2017-03-01,T2M_MAX,41.36
2017-04-01,T2M_MAX,45.37
2017-04-01,T2M_MIN,15.28
2017-04-01,ALLSKY_SFC_SW_DNI,5.4425
2017-04-01,RH2M,18.61
2017-04-01,ALLSKY_SFC_SW_DIFF,2.5668
2017-04-01,ALLSKY_SFC_SW_DWN,6.7414
2017-04-01,PS,97.88
2017-05-01,T2M_MIN,23.98
2017-05-01,PS,97.65
2017-05-01,ALLSKY_SFC_SW_DIFF,2.8188
2017-05-01,T2M_MAX,46.13
2017-05-01,RH2M,22.6
2017-05-01,ALLSKY_SFC_SW_DWN,6.3811
2017-05-01,ALLSKY_SFC_SW_DNI,4.128
2017-06-01,RH2M,42.47
2017-06-01,ALLSKY_SFC_SW_DIFF,3.036
2017-06-01,PS,97.33
2017-06-01,ALLSKY_SFC_SW_DNI,3.072
2017-06-01,ALLSKY_SFC_SW_DWN,5.9184
2017-06-01,T2M_MIN,26.23
2017-06-01,T2M_MAX,47.01
2017-07-01,ALLSKY_SFC_SW_DNI,2.0587
2017-07-01,PS,97.28
2017-07-01,RH2M,65.41
2017-07-01,ALLSKY_SFC_SW_DWN,5.0921
2017-07-01,ALLSKY_SFC_SW_DIFF,3.0096
2017-07-01,T2M_MAX,40.39
2017-07-01,T2M_MIN,25.58
2017-08-01,PS,97.46
2017-08-01,ALLSKY_SFC_SW_DNI,1.7563
2017-08-01,T2M_MIN,25.39
2017-08-01,ALLSKY_SFC_SW_DWN,4.5559
2017-08-01,RH2M,65.38
2017-08-01,ALLSKY_SFC_SW_DIFF,2.7787
2017-08-01,T2M_MAX,38.98
2017-09-01,ALLSKY_SFC_SW_DWN,4.9099
2017-09-01,RH2M,58.59
2017-09-01,ALLSKY_SFC_SW_DIFF,2.2351
2017-09-01,ALLSKY_SFC_SW_DNI,3.4404
2017-09-01,PS,97.88
2017-09-01,T2M_MAX,37.9
2017-09-01,T2M_MIN,18.15
2017-10-01,ALLSKY_SFC_SW_DIFF,1.956
2017-10-01,PS,98.23
2017-10-01,RH2M,36.15
2017-10-01,ALLSKY_SFC_SW_DWN,4.7837
2017-10-01,T2M_MAX,37.37
2017-10-01,ALLSKY_SFC_SW_DNI,4.1222
2017-10-01,T2M_MIN,15.4
2017-11-01,ALLSKY_SFC_SW_DWN,3.3024
2017-11-01,ALLSKY_SFC_SW_DIFF,1.7354
2017-11-01,T2M_MAX,32.42
2017-11-01,PS,98.75
2017-11-01,T2M_MIN,8.08
2017-11-01,ALLSKY_SFC_SW_DNI,2.5231
2017-11-01,RH2M,37.85
2017-12-01,PS,99.01
2017-12-01,ALLSKY_SFC_SW_DIFF,1.4959
2017-12-01,T2M_MIN,4.38
2017-12-01,RH2M,37.96
2017-12-01,ALLSKY_SFC_SW_DNI,3.0134
2017-12-01,ALLSKY_SFC_SW_DWN,3.0487
2017-12-01,T2M_MAX,27.07
2018-01-01,T2M_MAX,28.49
2018-01-01,ALLSKY_SFC_SW_DWN,3.3852
2018-01-01,ALLSKY_SFC_SW_DNI,3.2309
2018-01-01,PS,98.8
2018-01-01,T2M_MIN,4.07
2018-01-01,ALLSKY_SFC_SW_DIFF,1.5938
2018-01-01,RH2M,32.42
2018-02-01,ALLSKY_SFC_SW_DIFF,2.046
2018-02-01,T2M_MAX,33.11
2018-02-01,RH2M,29.35
2018-02-01,PS,98.79
2018-02-01,ALLSKY_SFC_SW_DWN,4.3373
2018-02-01,T2M_MIN,5.41
2018-02-01,ALLSKY_SFC_SW_DNI,3.5837
2018-03-01,ALLSKY_SFC_SW_DWN,5.8061
2018-03-01,PS,98.38
2018-03-01,ALLSKY_SFC_SW_DNI,5.3122
2018-03-01,ALLSKY_SFC_SW_DIFF,2.0534
2018-03-01,RH2M,23.14
2018-03-01,T2M_MIN,12.12
2018-03-01,T2M_MAX,40.18
2018-04-01,ALLSKY_SFC_SW_DIFF,2.6273
2018-04-01,T2M_MIN,17.37
2018-04-01,PS,97.98
2018-04-01,ALLSKY_SFC_SW_DWN,6.27
2018-04-01,ALLSKY_SFC_SW_DNI,4.4772
2018-04-01,T2M_MAX,43.89
2018-04-01,RH2M,24.47
2018-05-01,ALLSKY_SFC_SW_DNI,3.713
2018-05-01,T2M_MAX,46.48
2018-05-01,T2M_MIN,23.66
2018-05-01,ALLSKY_SFC_SW_DWN,6.4332
2018-05-01,ALLSKY_SFC_SW_DIFF,3.1126
2018-05-01,RH2M,21.47
2018-05-01,PS,97.62
2018-06-01,T2M_MAX,45.81
2018-06-01,RH2M,38.53
2018-06-01,T2M_MIN,26.94
2018-06-01,ALLSKY_SFC_SW_DIFF,3.3821
2018-06-01,PS,97.14
2018-06-01,ALLSKY_SFC_SW_DWN,5.8567
2018-06-01,ALLSKY_SFC_SW_DNI,2.3362
2018-07-01,ALLSKY_SFC_SW_DNI,1.3138
2018-07-01,T2M_MAX,42.07
2018-07-01,ALLSKY_SFC_SW_DWN,4.5389
2018-07-01,PS,97.13
2018-07-01,RH2M,66.3
2018-07-01,T2M_MIN,24.89
2018-07-01,ALLSKY_SFC_SW_DIFF,2.9496
2018-08-01,T2M_MIN,24.2
2018-08-01,T2M_MAX,35.02
2018-08-01,ALLSKY_SFC_SW_DNI,1.3534
2018-08-01,ALLSKY_SFC_SW_DWN,4.4023
2018-08-01,PS,97.35
2018-08-01,RH2M,77.17
2018-08-01,ALLSKY_SFC_SW_DIFF,2.826
2018-09-01,RH2M,76.36
2018-09-01,ALLSKY_SFC_SW_DWN,4.5065
2018-09-01,PS,97.93
2018-09-01,ALLSKY_SFC_SW_DIFF,2.1257
2018-09-01,T2M_MAX,33.84
2018-09-01,ALLSKY_SFC_SW_DNI,3.0245
2018-09-01,T2M_MIN,19.25
2018-10-01,PS,98.53
2018-10-01,T2M_MAX,34.44
2018-10-01,ALLSKY_SFC_SW_DWN,4.7897
2018-10-01,RH2M,56.5
2018-10-01,ALLSKY_SFC_SW_DNI,4.3541
2018-10-01,ALLSKY_SFC_SW_DIFF,1.8631
2018-10-01,T2M_MIN,15.03
2018-11-01,ALLSKY_SFC_SW_DIFF,1.697
2018-11-01,ALLSKY_SFC_SW_DWN,3.4769
2018-11-01,PS,98.81
2018-11-01,T2M_MAX,32.33
2018-11-01,T2M_MIN,8.82
2018-11-01,ALLSKY_SFC_SW_DNI,2.9374
2018-11-01,RH2M,46.95
2018-12-01,ALLSKY_SFC_SW_DWN,3.2208
2018-12-01,ALLSKY_SFC_SW_DNI,3.3542
2018-12-01,T2M_MIN,2.01
2018-12-01,PS,99.05
2018-12-01,T2M_MAX,26.69
