DATE,PARAM,VALUE
2015-01-01,ALLSKY_SFC_SW_DIFF,1.6099
2015-01-01,T2M_MIN,8.26
2015-01-01,T2M_MAX,31.87
2015-01-01,RH2M,39.67
2015-01-01,ALLSKY_SFC_SW_DNI,5.058
2015-01-01,PS,101.07
2015-01-01,ALLSKY_SFC_SW_DWN,4.423
2015-02-01,ALLSKY_SFC_SW_DNI,6.0084
2015-02-01,RH2M,28.65
2015-02-01,T2M_MAX,38.61
2015-02-01,T2M_MIN,11.32
2015-02-01,ALLSKY_SFC_SW_DIFF,1.7148
2015-02-01,PS,100.78
2015-02-01,ALLSKY_SFC_SW_DWN,5.5318
2015-03-01,ALLSKY_SFC_SW_DIFF,2.1058
2015-03-01,ALLSKY_SFC_SW_DNI,5.915
2015-03-01,ALLSKY_SFC_SW_DWN,6.2107
2015-03-01,PS,100.67
2015-03-01,RH2M,32.14
2015-03-01,T2M_MAX,43.29
2015-03-01,T2M_MIN,12.69
2015-04-01,T2M_MIN,21.15
2015-04-01,T2M_MAX,45.54
2015-04-01,RH2M,36.22
2015-04-01,PS,100.22
2015-04-01,ALLSKY_SFC_SW_DNI,5.394
2015-04-01,ALLSKY_SFC_SW_DIFF,2.4958
2015-04-01,ALLSKY_SFC_SW_DWN,6.8525
2015-05-01,ALLSKY_SFC_SW_DIFF,2.251
2015-05-01,ALLSKY_SFC_SW_DNI,6.6389
2015-05-01,ALLSKY_SFC_SW_DWN,7.5982
2015-05-01,PS,99.98
2015-05-01,RH2M,35.0
2015-05-01,T2M_MAX,46.19
2015-05-01,T2M_MIN,23.94
2015-06-01,T2M_MAX,44.81
2015-06-01,T2M_MIN,25.56
2015-06-01,PS,99.61
2015-06-01,RH2M,58.01
2015-06-01,ALLSKY_SFC_SW_DNI,3.5489
2015-06-01,ALLSKY_SFC_SW_DIFF,2.903
2015-06-01,ALLSKY_SFC_SW_DWN,6.1154
2015-07-01,ALLSKY_SFC_SW_DIFF,2.7617
2015-07-01,ALLSKY_SFC_SW_DNI,1.3344
2015-07-01,PS,99.64
2015-07-01,ALLSKY_SFC_SW_DWN,4.3289
2015-07-01,RH2M,70.4
2015-07-01,T2M_MAX,38.25
2015-07-01,T2M_MIN,24.29
2015-08-01,RH2M,81.15
2015-08-01,PS,99.97
2015-08-01,ALLSKY_SFC_SW_DWN,4.6387
2015-08-01,ALLSKY_SFC_SW_DNI,2.0662
2015-08-01,ALLSKY_SFC_SW_DIFF,2.6738
2015-08-01,T2M_MIN,23.61
2015-08-01,T2M_MAX,34.46
2015-09-01,PS,100.15
2015-09-01,RH2M,68.67
2015-09-01,T2M_MAX,39.16
2015-09-01,ALLSKY_SFC_SW_DWN,5.5882
2015-09-01,T2M_MIN,20.1
2015-09-01,ALLSKY_SFC_SW_DNI,4.2643
2015-09-01,ALLSKY_SFC_SW_DIFF,2.2903
2015-10-01,RH2M,46.85
2015-10-01,PS,100.58
2015-10-01,T2M_MAX,39.25
2015-10-01,ALLSKY_SFC_SW_DWN,5.7281
2015-10-01,ALLSKY_SFC_SW_DNI,6.0794
2015-10-01,ALLSKY_SFC_SW_DIFF,1.6349
2015-10-01,T2M_MIN,16.05
2015-11-01,T2M_MIN,14.58
2015-11-01,T2M_MAX,36.89
2015-11-01,ALLSKY_SFC_SW_DNI,4.5926
2015-11-01,RH2M,33.79
2015-11-01,ALLSKY_SFC_SW_DWN,4.5223
2015-11-01,ALLSKY_SFC_SW_DIFF,1.7052
2015-11-01,PS,100.74
2015-12-01,RH2M,19.34
2015-12-01,PS,101.01
2015-12-01,T2M_MAX,35.59
2015-12-01,ALLSKY_SFC_SW_DIFF,1.3771
2015-12-01,ALLSKY_SFC_SW_DNI,5.9129
2015-12-01,T2M_MIN,8.78
2015-12-01,ALLSKY_SFC_SW_DWN,4.5096
2016-01-01,ALLSKY_SFC_SW_DWN,4.5636
2016-01-01,T2M_MAX,35.02
2016-01-01,ALLSKY_SFC_SW_DNI,5.4317
2016-01-01,T2M_MIN,8.35
2016-01-01,RH2M,26.97
2016-01-01,ALLSKY_SFC_SW_DIFF,1.5389
2016-01-01,PS,101.0
2016-02-01,RH2M,22.32
2016-02-01,ALLSKY_SFC_SW_DWN,5.4223
2016-02-01,T2M_MAX,39.03
2016-02-01,PS,100.82
2016-02-01,ALLSKY_SFC_SW_DNI,5.5214
2016-02-01,T2M_MIN,11.28
2016-02-01,ALLSKY_SFC_SW_DIFF,1.9826
2016-03-01,PS,100.58
2016-03-01,ALLSKY_SFC_SW_DWN,6.4627
2016-03-01,RH2M,24.74
2016-03-01,T2M_MAX,42.47
2016-03-01,ALLSKY_SFC_SW_DIFF,2.0316
2016-03-01,ALLSKY_SFC_SW_DNI,6.2818
2016-03-01,T2M_MIN,17.85
2016-04-01,RH2M,30.29
2016-04-01,ALLSKY_SFC_SW_DIFF,2.1142
2016-04-01,T2M_MAX,44.67
2016-04-01,PS,100.25
2016-04-01,ALLSKY_SFC_SW_DWN,7.2816
2016-04-01,T2M_MIN,20.89
2016-04-01,ALLSKY_SFC_SW_DNI,6.8731
2016-05-01,ALLSKY_SFC_SW_DNI,6.2616
2016-05-01,ALLSKY_SFC_SW_DWN,7.4664
2016-05-01,RH2M,35.64
2016-05-01,ALLSKY_SFC_SW_DIFF,2.4338
2016-05-01,PS,99.89
2016-05-01,T2M_MAX,48.58
2016-05-01,T2M_MIN,25.24
2016-06-01,PS,99.68
2016-06-01,T2M_MAX,46.69
2016-06-01,RH2M,46.93
2016-06-01,ALLSKY_SFC_SW_DNI,3.9734
2016-06-01,ALLSKY_SFC_SW_DWN,6.3974
2016-06-01,ALLSKY_SFC_SW_DIFF,2.8699
2016-06-01,T2M_MIN,26.79
2016-07-01,ALLSKY_SFC_SW_DIFF,2.8099
2016-07-01,PS,99.63
2016-07-01,ALLSKY_SFC_SW_DNI,1.3003
2016-07-01,ALLSKY_SFC_SW_DWN,4.3231
2016-07-01,RH2M,68.59
2016-07-01,T2M_MIN,25.15
2016-07-01,T2M_MAX,39.72
2016-08-01,ALLSKY_SFC_SW_DWN,3.9074
2016-08-01,RH2M,81.14
2016-08-01,T2M_MAX,35.17
2016-08-01,ALLSKY_SFC_SW_DIFF,2.5111
2016-08-01,ALLSKY_SFC_SW_DNI,1.3102
2016-08-01,PS,99.68
2016-08-01,T2M_MIN,23.46
2016-09-01,T2M_MIN,21.19
2016-09-01,T2M_MAX,35.67
2016-09-01,PS,100.12
2016-09-01,ALLSKY_SFC_SW_DWN,5.5236
2016-09-01,ALLSKY_SFC_SW_DNI,4.0723
2016-09-01,RH2M,74.8
2016-09-01,ALLSKY_SFC_SW_DIFF,2.3954
2016-10-01,ALLSKY_SFC_SW_DIFF,1.8437
2016-10-01,T2M_MIN,16.36
2016-10-01,T2M_MAX,35.85
2016-10-01,RH2M,62.53
2016-10-01,ALLSKY_SFC_SW_DWN,5.1336
2016-10-01,ALLSKY_SFC_SW_DNI,4.8638
2016-10-01,PS,100.44
2016-11-01,ALLSKY_SFC_SW_DNI,6.187
2016-11-01,ALLSKY_SFC_SW_DWN,4.9517
2016-11-01,ALLSKY_SFC_SW_DIFF,1.3855
2016-11-01,RH2M,38.24
2016-11-01,PS,100.83
2016-11-01,T2M_MAX,34.75
2016-11-01,T2M_MIN,13.56
2016-12-01,RH2M,31.4
2016-12-01,ALLSKY_SFC_SW_DWN,4.5996
2016-12-01,ALLSKY_SFC_SW_DNI,6.7142
2016-12-01,T2M_MIN,11.08
2016-12-01,PS,100.93
2016-12-01,ALLSKY_SFC_SW_DIFF,1.081
2016-12-01,T2M_MAX,33.88
2017-01-01,ALLSKY_SFC_SW_DWN,4.4508
2017-01-01,T2M_MIN,7.21
2017-01-01,ALLSKY_SFC_SW_DIFF,1.6315
2017-01-01,ALLSKY_SFC_SW_DNI,4.9315
2017-01-01,RH2M,30.8
2017-01-01,PS,100.96
2017-01-01,T2M_MAX,35.16
2017-02-01,T2M_MAX,38.35
2017-02-01,ALLSKY_SFC_SW_DNI,6.6334
2017-02-01,ALLSKY_SFC_SW_DWN,5.6525
2017-02-01,ALLSKY_SFC_SW_DIFF,1.5218
2017-02-01,PS,100.88
2017-02-01,RH2M,22.71
2017-02-01,T2M_MIN,9.41
2017-03-01,RH2M,21.86
2017-03-01,PS,100.48
2017-03-01,ALLSKY_SFC_SW_DIFF,1.8444
2017-03-01,T2M_MIN,12.3
2017-03-01,ALLSKY_SFC_SW_DWN,6.7015
2017-03-01,ALLSKY_SFC_SW_DNI,6.7879
2017-03-01,T2M_MAX,44.01
2017-04-01,T2M_MAX,45.69
2017-04-01,T2M_MIN,18.5
2017-04-01,ALLSKY_SFC_SW_DNI,6.5148
2017-04-01,RH2M,27.89
2017-04-01,ALLSKY_SFC_SW_DIFF,2.1418
2017-04-01,ALLSKY_SFC_SW_DWN,7.2763
2017-04-01,PS,100.21
2017-05-01,T2M_MIN,24.62
2017-05-01,PS,99.94
2017-05-01,ALLSKY_SFC_SW_DIFF,2.3863
2017-05-01,T2M_MAX,45.58
2017-05-01,RH2M,31.93
2017-05-01,ALLSKY_SFC_SW_DWN,7.4285
2017-05-01,ALLSKY_SFC_SW_DNI,6.169
2017-06-01,RH2M,55.98
2017-06-01,ALLSKY_SFC_SW_DIFF,2.9671
2017-06-01,PS,99.62
2017-06-01,ALLSKY_SFC_SW_DNI,3.7471
2017-06-01,ALLSKY_SFC_SW_DWN,6.3158
2017-06-01,T2M_MIN,26.83
2017-06-01,T2M_MAX,44.08
2017-07-01,ALLSKY_SFC_SW_DNI,1.1426
2017-07-01,PS,99.6
2017-07-01,RH2M,81.04
2017-07-01,ALLSKY_SFC_SW_DWN,3.4954
2017-07-01,ALLSKY_SFC_SW_DIFF,2.2274
2017-07-01,T2M_MAX,36.96
2017-07-01,T2M_MIN,24.13
2017-08-01,PS,99.75
2017-08-01,ALLSKY_SFC_SW_DNI,1.7422
2017-08-01,T2M_MIN,22.94
2017-08-01,ALLSKY_SFC_SW_DWN,4.26
2017-08-01,RH2M,85.84
2017-08-01,ALLSKY_SFC_SW_DIFF,2.5092
2017-08-01,T2M_MAX,33.08
2017-09-01,ALLSKY_SFC_SW_DWN,5.1533
2017-09-01,RH2M,81.25
2017-09-01,ALLSKY_SFC_SW_DIFF,2.3023
2017-09-01,ALLSKY_SFC_SW_DNI,3.5995
2017-09-01,PS,100.15
2017-09-01,T2M_MAX,33.09
2017-09-01,T2M_MIN,20.94
2017-10-01,ALLSKY_SFC_SW_DIFF,1.5893
2017-10-01,PS,100.35
2017-10-01,RH2M,57.81
2017-10-01,ALLSKY_SFC_SW_DWN,5.6419
2017-10-01,T2M_MAX,36.14
2017-10-01,ALLSKY_SFC_SW_DNI,6.1339
2017-10-01,T2M_MIN,17.48
2017-11-01,ALLSKY_SFC_SW_DWN,4.5242
2017-11-01,ALLSKY_SFC_SW_DIFF,1.6421
2017-11-01,T2M_MAX,34.57
2017-11-01,PS,100.74
2017-11-01,T2M_MIN,13.39
2017-11-01,ALLSKY_SFC_SW_DNI,4.7189
2017-11-01,RH2M,41.85
2017-12-01,PS,100.95
2017-12-01,ALLSKY_SFC_SW_DIFF,1.5206
2017-12-01,T2M_MIN,9.87
2017-12-01,RH2M,40.89
2017-12-01,ALLSKY_SFC_SW_DNI,3.8832
2017-12-01,ALLSKY_SFC_SW_DWN,3.6797
2017-12-01,T2M_MAX,32.65
