DATE,PARAM,VALUE
2015-01-01,WD10M,42.7
2015-01-01,WS2M,1.87
2015-01-01,WS10M,2.93
2015-02-01,WS2M,1.85
2015-02-01,WS10M,2.9
2015-02-01,WD10M,343.9
2015-03-01,WD10M,306.3
2015-03-01,WS10M,3.01
2015-03-01,WS2M,1.97
2015-04-01,WD10M,257.6
2015-04-01,WS10M,3.67
2015-04-01,WS2M,2.58
2015-05-01,WD10M,272.9
2015-05-01,WS2M,3.35
2015-05-01,WS10M,4.56
2015-06-01,WD10M,214.0
2015-06-01,WS10M,4.98
2015-06-01,WS2M,3.78
2015-07-01,WD10M,234.7
2015-07-01,WS10M,5.97
2015-07-01,WS2M,4.43
2015-08-01,WS10M,3.57
2015-08-01,WS2M,2.54
2015-08-01,WD10M,237.8
2015-09-01,WS2M,2.0
2015-09-01,WD10M,233.8
2015-09-01,WS10M,2.95
2015-10-01,WD10M,65.6
2015-10-01,WS2M,1.41
2015-10-01,WS10M,2.23
2015-11-01,WS2M,1.58
2015-11-01,WS10M,2.55
2015-11-01,WD10M,43.7
2015-12-01,WD10M,41.1
2015-12-01,WS10M,3.09
2015-12-01,WS2M,1.91
2016-01-01,WS2M,1.65
2016-01-01,WD10M,10.7
2016-01-01,WS10M,2.77
2016-02-01,WS10M,3.11
2016-02-01,WD10M,20.7
2016-02-01,WS2M,1.95
2016-03-01,WD10M,309.3
2016-03-01,WS10M,3.21
2016-03-01,WS2M,2.11
2016-04-01,WD10M,280.5
2016-04-01,WS2M,2.48
2016-04-01,WS10M,3.57
2016-05-01,WD10M,258.9
2016-05-01,WS10M,4.81
2016-05-01,WS2M,3.57
2016-06-01,WD10M,244.1
2016-06-01,WS10M,5.11
2016-06-01,WS2M,3.9
2016-07-01,WD10M,237.5
2016-07-01,WS2M,3.47
2016-07-01,WS10M,4.6
2016-08-01,WD10M,242.8
2016-08-01,WS10M,3.9
2016-08-01,WS2M,2.78
2016-09-01,WD10M,266.3
2016-09-01,WS2M,2.02
2016-09-01,WS10M,2.93
2016-10-01,WD10M,267.2
2016-10-01,WS10M,1.98
2016-10-01,WS2M,1.24
2016-11-01,WD10M,69.4
2016-11-01,WS2M,1.51
2016-11-01,WS10M,2.49
2016-12-01,WS10M,2.89
2016-12-01,WD10M,56.5
2016-12-01,WS2M,1.77
2017-01-01,WS10M,3.02
2017-01-01,WS2M,1.91
2017-01-01,WD10M,30.5
2017-02-01,WD10M,14.4
2017-02-01,WS10M,3.12
2017-02-01,WS2M,1.96
2017-03-01,WS10M,3.25
2017-03-01,WD10M,320.3
2017-03-01,WS2M,2.1
2017-04-01,WS10M,3.8
2017-04-01,WS2M,2.63
2017-04-01,WD10M,263.9
2017-05-01,WD10M,258.0
2017-05-01,WS2M,3.12
2017-05-01,WS10M,4.23
2017-06-01,WD10M,227.0
2017-06-01,WS2M,3.77
2017-06-01,WS10M,4.94
2017-07-01,WS2M,3.82
2017-07-01,WS10M,5.2
2017-07-01,WD10M,244.8
2017-08-01,WS2M,2.69
2017-08-01,WS10M,3.81
2017-08-01,WD10M,241.3
2017-09-01,WS2M,1.52
2017-09-01,WD10M,267.1
2017-09-01,WS10M,2.28
2017-10-01,WS2M,1.25
2017-10-01,WS10M,2.01
2017-10-01,WD10M,355.7
2017-11-01,WD10M,51.6
2017-11-01,WS2M,1.51
2017-11-01,WS10M,2.51
2017-12-01,WS10M,3.36
2017-12-01,WD10M,55.5
2017-12-01,WS2M,2.12
2018-01-01,WD10M,34.8
2018-01-01,WS10M,2.75
2018-01-01,WS2M,1.66
2018-02-01,WS10M,2.71
2018-02-01,WD10M,12.4
2018-02-01,WS2M,1.66
2018-03-01,WS2M,1.94
2018-03-01,WD10M,311.3
2018-03-01,WS10M,3.03
2018-04-01,WD10M,278.7
2018-04-01,WS2M,2.32
2018-04-01,WS10M,3.4
2018-05-01,WD10M,260.6
2018-05-01,WS10M,3.92
2018-05-01,WS2M,2.87
2018-06-01,WS10M,5.86
2018-06-01,WS2M,4.48
2018-06-01,WD10M,240.8
2018-07-01,WD10M,233.3
2018-07-01,WS2M,3.54
2018-07-01,WS10M,4.74
2018-08-01,WS2M,3.21
2018-08-01,WS10M,4.45
2018-08-01,WD10M,237.3
2018-09-01,WD10M,238.5
2018-09-01,WS10M,2.86
2018-09-01,WS2M,1.94
2018-10-01,WS10M,1.94
2018-10-01,WD10M,103.7
2018-10-01,WS2M,1.18
2018-11-01,WS2M,1.54
2018-11-01,WD10M,57.4
2018-11-01,WS10M,2.47
2018-12-01,WS2M,2.01
2018-12-01,WD10M,53.1
2018-12-01,WS10M,3.23
2019-01-01,WD10M,40.3
2019-01-01,WS2M,2.04
2019-01-01,WS10M,3.25
2019-02-01,WD10M,336.5
2019-02-01,WS10M,3.47
2019-02-01,WS2M,2.26
2019-03-01,WD10M,331.9
2019-03-01,WS10M,3.3
2019-03-01,WS2M,2.16
2019-04-01,WD10M,289.7
2019-04-01,WS10M,3.47
2019-04-01,WS2M,2.38
2019-05-01,WD10M,265.2
2019-05-01,WS2M,3.1
2019-05-01,WS10M,4.19
2019-06-01,WD10M,230.2
2019-06-01,WS10M,4.75
2019-06-01,WS2M,3.6
2019-07-01,WS10M,5.43
2019-07-01,WS2M,4.04
2019-07-01,WD10M,233.6
2019-08-01,WS2M,3.03
2019-08-01,WD10M,242.8
2019-08-01,WS10M,4.27
2019-09-01,WS2M,1.92
2019-09-01,WS10M,2.83
2019-09-01,WD10M,235.7
2019-10-01,WS2M,1.65
2019-10-01,WD10M,65.7
2019-10-01,WS10M,2.6
2019-11-01,WS10M,2.32
2019-11-01,WS2M,1.43
2019-11-01,WD10M,75.0
2019-12-01,WS10M,3.39
2019-12-01,WS2M,2.16
2019-12-01,WD10M,55.4
2020-01-01,WS2M,2.11
2020-01-01,WD10M,26.7
2020-01-01,WS10M,3.32
