DATE,PARAM,VALUE
2015-01-01,ALLSKY_SFC_SW_DIFF,1.3723
2015-01-01,T2M_MIN,8.26
2015-01-01,T2M_MAX,28.33
2015-01-01,RH2M,75.2
2015-01-01,ALLSKY_SFC_SW_DNI,4.5257
2015-01-01,PS,96.92
2015-01-01,ALLSKY_SFC_SW_DWN,3.714
2015-02-01,ALLSKY_SFC_SW_DNI,3.6209
2015-02-01,RH2M,65.75
2015-02-01,T2M_MAX,30.23
2015-02-01,T2M_MIN,7.56
2015-02-01,ALLSKY_SFC_SW_DIFF,2.0422
2015-02-01,PS,96.79
2015-02-01,ALLSKY_SFC_SW_DWN,4.2482
2015-03-01,ALLSKY_SFC_SW_DIFF,2.299
2015-03-01,ALLSKY_SFC_SW_DNI,4.1611
2015-03-01,ALLSKY_SFC_SW_DWN,5.0947
2015-03-01,PS,96.64
2015-03-01,RH2M,57.0
2015-03-01,T2M_MAX,34.42
2015-03-01,T2M_MIN,11.89
2015-04-01,T2M_MIN,17.51
2015-04-01,T2M_MAX,33.32
2015-04-01,RH2M,70.52
2015-04-01,PS,96.33
2015-04-01,ALLSKY_SFC_SW_DNI,2.429
2015-04-01,ALLSKY_SFC_SW_DIFF,2.8954
2015-04-01,ALLSKY_SFC_SW_DWN,4.6966
2015-05-01,ALLSKY_SFC_SW_DIFF,3.0646
2015-05-01,ALLSKY_SFC_SW_DNI,1.8571
2015-05-01,ALLSKY_SFC_SW_DWN,4.7134
2015-05-01,PS,95.99
2015-05-01,RH2M,75.99
2015-05-01,T2M_MAX,35.78
2015-05-01,T2M_MIN,20.41
2015-06-01,T2M_MAX,35.98
2015-06-01,T2M_MIN,23.2
2015-06-01,PS,95.62
2015-06-01,RH2M,80.54
2015-06-01,ALLSKY_SFC_SW_DNI,1.3406
2015-06-01,ALLSKY_SFC_SW_DIFF,2.837
2015-06-01,ALLSKY_SFC_SW_DWN,4.2595
2015-07-01,ALLSKY_SFC_SW_DIFF,2.6741
2015-07-01,ALLSKY_SFC_SW_DNI,2.5224
2015-07-01,PS,95.57
2015-07-01,ALLSKY_SFC_SW_DWN,4.9373
2015-07-01,RH2M,84.63
2015-07-01,T2M_MAX,35.18
2015-07-01,T2M_MIN,22.82
2015-08-01,RH2M,85.15
2015-08-01,PS,95.78
2015-08-01,ALLSKY_SFC_SW_DWN,3.9228
2015-08-01,ALLSKY_SFC_SW_DNI,1.3284
2015-08-01,ALLSKY_SFC_SW_DIFF,2.5541
2015-08-01,T2M_MIN,22.84
2015-08-01,T2M_MAX,34.93
2015-09-01,PS,96.06
2015-09-01,RH2M,85.1
2015-09-01,T2M_MAX,34.09
2015-09-01,ALLSKY_SFC_SW_DWN,4.3411
2015-09-01,T2M_MIN,21.41
2015-09-01,ALLSKY_SFC_SW_DNI,2.4144
2015-09-01,ALLSKY_SFC_SW_DIFF,2.4041
2015-10-01,RH2M,83.49
