DATE,PARAM,VALUE
2015-01-01,ALLSKY_SFC_SW_DIFF,1.7546
2015-01-01,T2M_MIN,9.68
2015-01-01,T2M_MAX,32.65
2015-01-01,RH2M,47.63
2015-01-01,ALLSKY_SFC_SW_DNI,5.0626
2015-01-01,PS,95.88
2015-01-01,ALLSKY_SFC_SW_DWN,4.9831
2015-02-01,ALLSKY_SFC_SW_DNI,5.6789
2015-02-01,RH2M,41.55
2015-02-01,T2M_MAX,35.63
2015-02-01,T2M_MIN,14.53
2015-02-01,ALLSKY_SFC_SW_DIFF,1.9879
2015-02-01,PS,95.76
2015-02-01,ALLSKY_SFC_SW_DWN,5.9383
2015-03-01,ALLSKY_SFC_SW_DIFF,2.4134
2015-03-01,ALLSKY_SFC_SW_DNI,3.9941
2015-03-01,ALLSKY_SFC_SW_DWN,5.7972
2015-03-01,PS,95.68
2015-03-01,RH2M,42.92
2015-03-01,T2M_MAX,39.58
2015-03-01,T2M_MIN,15.77
2015-04-01,T2M_MIN,17.39
2015-04-01,T2M_MAX,40.8
2015-04-01,RH2M,46.74
2015-04-01,PS,95.38
2015-04-01,ALLSKY_SFC_SW_DNI,5.1929
2015-04-01,ALLSKY_SFC_SW_DIFF,2.2874
2015-04-01,ALLSKY_SFC_SW_DWN,6.5926
2015-05-01,ALLSKY_SFC_SW_DIFF,2.6124
2015-05-01,ALLSKY_SFC_SW_DNI,4.7664
2015-05-01,ALLSKY_SFC_SW_DWN,6.7361
2015-05-01,PS,95.07
2015-05-01,RH2M,35.58
2015-05-01,T2M_MAX,45.0
2015-05-01,T2M_MIN,23.73
2015-06-01,T2M_MAX,38.75
2015-06-01,T2M_MIN,22.75
2015-06-01,PS,94.89
2015-06-01,RH2M,63.14
2015-06-01,ALLSKY_SFC_SW_DNI,1.9433
2015-06-01,ALLSKY_SFC_SW_DIFF,2.7521
2015-06-01,ALLSKY_SFC_SW_DWN,5.0172
2015-07-01,ALLSKY_SFC_SW_DIFF,2.9861
2015-07-01,ALLSKY_SFC_SW_DNI,2.6045
2015-07-01,PS,94.93
2015-07-01,ALLSKY_SFC_SW_DWN,5.6688
2015-07-01,RH2M,61.02
2015-07-01,T2M_MAX,37.1
2015-07-01,T2M_MIN,22.15
2015-08-01,RH2M,70.43
2015-08-01,PS,95.07
2015-08-01,ALLSKY_SFC_SW_DWN,4.6733
2015-08-01,ALLSKY_SFC_SW_DNI,1.7962
2015-08-01,ALLSKY_SFC_SW_DIFF,2.6004
2015-08-01,T2M_MIN,22.09
2015-08-01,T2M_MAX,35.21
2015-09-01,PS,95.22
2015-09-01,RH2M,74.72
2015-09-01,T2M_MAX,35.4
2015-09-01,ALLSKY_SFC_SW_DWN,4.9985
2015-09-01,T2M_MIN,19.63
2015-09-01,ALLSKY_SFC_SW_DNI,2.3448
2015-09-01,ALLSKY_SFC_SW_DIFF,2.6309
2015-10-01,RH2M,60.99
2015-10-01,PS,95.59
2015-10-01,T2M_MAX,35.82
2015-10-01,ALLSKY_SFC_SW_DWN,5.3599
2015-10-01,ALLSKY_SFC_SW_DNI,3.8693
2015-10-01,ALLSKY_SFC_SW_DIFF,2.3302
2015-10-01,T2M_MIN,19.41
2015-11-01,T2M_MIN,17.01
2015-11-01,T2M_MAX,34.1
2015-11-01,ALLSKY_SFC_SW_DNI,3.7486
2015-11-01,RH2M,59.34
2015-11-01,ALLSKY_SFC_SW_DWN,4.6171
2015-11-01,ALLSKY_SFC_SW_DIFF,2.0342
2015-11-01,PS,95.69
2015-12-01,RH2M,49.01
2015-12-01,PS,95.86
2015-12-01,T2M_MAX,35.27
2015-12-01,ALLSKY_SFC_SW_DIFF,1.8792
2015-12-01,ALLSKY_SFC_SW_DNI,4.4758
2015-12-01,T2M_MIN,11.55
2015-12-01,ALLSKY_SFC_SW_DWN,4.6186
2016-01-01,ALLSKY_SFC_SW_DWN,4.7467
2016-01-01,T2M_MAX,35.58
2016-01-01,ALLSKY_SFC_SW_DNI,4.1465
2016-01-01,T2M_MIN,11.68
2016-01-01,RH2M,42.58
2016-01-01,ALLSKY_SFC_SW_DIFF,2.0114
2016-01-01,PS,95.85
2016-02-01,RH2M,42.25
2016-02-01,ALLSKY_SFC_SW_DWN,5.4562
2016-02-01,T2M_MAX,39.05
2016-02-01,PS,95.72
2016-02-01,ALLSKY_SFC_SW_DNI,4.3445
2016-02-01,T2M_MIN,15.73
2016-02-01,ALLSKY_SFC_SW_DIFF,2.2805
2016-03-01,PS,95.54
2016-03-01,ALLSKY_SFC_SW_DWN,6.0269
2016-03-01,RH2M,38.06
2016-03-01,T2M_MAX,40.48
2016-03-01,ALLSKY_SFC_SW_DIFF,2.5428
2016-03-01,ALLSKY_SFC_SW_DNI,4.1254
2016-03-01,T2M_MIN,18.75
2016-04-01,RH2M,30.92
2016-04-01,ALLSKY_SFC_SW_DIFF,2.2848
2016-04-01,T2M_MAX,42.74
2016-04-01,PS,95.23
2016-04-01,ALLSKY_SFC_SW_DWN,6.9706
2016-04-01,T2M_MIN,22.59
2016-04-01,ALLSKY_SFC_SW_DNI,5.7401
2016-05-01,ALLSKY_SFC_SW_DNI,5.0002
2016-05-01,ALLSKY_SFC_SW_DWN,6.6636
2016-05-01,RH2M,44.3
2016-05-01,ALLSKY_SFC_SW_DIFF,2.4358
2016-05-01,PS,95.02
2016-05-01,T2M_MAX,42.77
2016-05-01,T2M_MIN,23.57
2016-06-01,PS,94.88
2016-06-01,T2M_MAX,40.8
2016-06-01,RH2M,66.43
2016-06-01,ALLSKY_SFC_SW_DNI,2.1955
2016-06-01,ALLSKY_SFC_SW_DWN,4.9238
2016-06-01,ALLSKY_SFC_SW_DIFF,2.5584
2016-06-01,T2M_MIN,22.49
2016-07-01,ALLSKY_SFC_SW_DIFF,2.6592
2016-07-01,PS,94.9
2016-07-01,ALLSKY_SFC_SW_DNI,1.2307
2016-07-01,ALLSKY_SFC_SW_DWN,4.3543
2016-07-01,RH2M,76.62
2016-07-01,T2M_MIN,21.83
2016-07-01,T2M_MAX,33.6
2016-08-01,ALLSKY_SFC_SW_DWN,4.8778
2016-08-01,RH2M,74.94
2016-08-01,T2M_MAX,34.38
2016-08-01,ALLSKY_SFC_SW_DIFF,2.5781
2016-08-01,ALLSKY_SFC_SW_DNI,2.2322
2016-08-01,PS,94.93
2016-08-01,T2M_MIN,21.54
2016-09-01,T2M_MIN,19.58
2016-09-01,T2M_MAX,31.5
2016-09-01,PS,95.05
2016-09-01,ALLSKY_SFC_SW_DWN,3.9293
2016-09-01,ALLSKY_SFC_SW_DNI,1.3543
2016-09-01,RH2M,84.28
2016-09-01,ALLSKY_SFC_SW_DIFF,2.3146
2016-10-01,ALLSKY_SFC_SW_DIFF,2.1658
2016-10-01,T2M_MIN,15.31
2016-10-01,T2M_MAX,29.76
2016-10-01,RH2M,78.69
2016-10-01,ALLSKY_SFC_SW_DWN,5.2954
2016-10-01,ALLSKY_SFC_SW_DNI,4.0918
2016-10-01,PS,95.41
2016-11-01,ALLSKY_SFC_SW_DNI,4.7671
2016-11-01,ALLSKY_SFC_SW_DWN,5.1202
2016-11-01,ALLSKY_SFC_SW_DIFF,1.9651
2016-11-01,RH2M,64.8
2016-11-01,PS,95.73
2016-11-01,T2M_MAX,31.29
2016-11-01,T2M_MIN,11.38
2016-12-01,RH2M,54.15
2016-12-01,ALLSKY_SFC_SW_DWN,4.661
2016-12-01,ALLSKY_SFC_SW_DNI,4.8857
2016-12-01,T2M_MIN,10.4
2016-12-01,PS,95.78
2016-12-01,ALLSKY_SFC_SW_DIFF,1.6692
2016-12-01,T2M_MAX,30.55
2017-01-01,ALLSKY_SFC_SW_DWN,4.932
2017-01-01,T2M_MIN,11.58
2017-01-01,ALLSKY_SFC_SW_DIFF,1.9301
2017-01-01,ALLSKY_SFC_SW_DNI,4.6351
2017-01-01,RH2M,44.12
2017-01-01,PS,95.83
2017-01-01,T2M_MAX,33.27
2017-02-01,T2M_MAX,37.98
2017-02-01,ALLSKY_SFC_SW_DNI,6.0677
2017-02-01,ALLSKY_SFC_SW_DWN,6.0365
2017-02-01,ALLSKY_SFC_SW_DIFF,1.7753
2017-02-01,PS,95.78
2017-02-01,RH2M,31.45
2017-02-01,T2M_MIN,14.6
2017-03-01,RH2M,33.95
2017-03-01,PS,95.44
2017-03-01,ALLSKY_SFC_SW_DIFF,2.2774
2017-03-01,T2M_MIN,15.73
2017-03-01,ALLSKY_SFC_SW_DWN,6.5506
2017-03-01,ALLSKY_SFC_SW_DNI,5.5291
2017-03-01,T2M_MAX,41.04
2017-04-01,T2M_MAX,43.31
2017-04-01,T2M_MIN,21.41
2017-04-01,ALLSKY_SFC_SW_DNI,5.1883
2017-04-01,RH2M,25.41
2017-04-01,ALLSKY_SFC_SW_DIFF,2.5625
2017-04-01,ALLSKY_SFC_SW_DWN,6.871
2017-04-01,PS,95.21
2017-05-01,T2M_MIN,23.39
2017-05-01,PS,95.04
2017-05-01,ALLSKY_SFC_SW_DIFF,2.7905
2017-05-01,T2M_MAX,43.38
2017-05-01,RH2M,37.28
2017-05-01,ALLSKY_SFC_SW_DWN,6.6574
2017-05-01,ALLSKY_SFC_SW_DNI,4.4076
2017-06-01,RH2M,67.75
2017-06-01,ALLSKY_SFC_SW_DIFF,2.7941
2017-06-01,PS,94.9
2017-06-01,ALLSKY_SFC_SW_DNI,1.8386
2017-06-01,ALLSKY_SFC_SW_DWN,4.9512
2017-06-01,T2M_MIN,21.86
2017-06-01,T2M_MAX,40.65
2017-07-01,ALLSKY_SFC_SW_DNI,1.3963
2017-07-01,PS,94.93
2017-07-01,RH2M,73.68
2017-07-01,ALLSKY_SFC_SW_DWN,4.7962
2017-07-01,ALLSKY_SFC_SW_DIFF,2.9189
2017-07-01,T2M_MAX,34.01
2017-07-01,T2M_MIN,21.85
2017-08-01,PS,94.92
2017-08-01,ALLSKY_SFC_SW_DNI,1.2214
2017-08-01,T2M_MIN,19.49
2017-08-01,ALLSKY_SFC_SW_DWN,4.1753
2017-08-01,RH2M,80.73
2017-08-01,ALLSKY_SFC_SW_DIFF,2.5066
2017-08-01,T2M_MAX,31.89
2017-09-01,ALLSKY_SFC_SW_DWN,4.7129
2017-09-01,RH2M,83.81
2017-09-01,ALLSKY_SFC_SW_DIFF,2.5843
2017-09-01,ALLSKY_SFC_SW_DNI,2.0458
2017-09-01,PS,95.17
2017-09-01,T2M_MAX,30.67
2017-09-01,T2M_MIN,19.83
2017-10-01,ALLSKY_SFC_SW_DIFF,2.4449
2017-10-01,PS,95.32
2017-10-01,RH2M,82.78
2017-10-01,ALLSKY_SFC_SW_DWN,4.8156
2017-10-01,T2M_MAX,30.78
2017-10-01,ALLSKY_SFC_SW_DNI,2.6275
2017-10-01,T2M_MIN,15.88
2017-11-01,ALLSKY_SFC_SW_DWN,4.9586
2017-11-01,ALLSKY_SFC_SW_DIFF,1.9716
2017-11-01,T2M_MAX,30.7
2017-11-01,PS,95.62
2017-11-01,T2M_MIN,12.55
2017-11-01,ALLSKY_SFC_SW_DNI,4.458
2017-11-01,RH2M,74.24
2017-12-01,PS,95.82
2017-12-01,ALLSKY_SFC_SW_DIFF,1.6694
2017-12-01,T2M_MIN,11.6
2017-12-01,RH2M,58.17
2017-12-01,ALLSKY_SFC_SW_DNI,5.153
2017-12-01,ALLSKY_SFC_SW_DWN,4.8274
2017-12-01,T2M_MAX,30.49
2018-01-01,T2M_MAX,32.32
2018-01-01,ALLSKY_SFC_SW_DWN,4.9997
2018-01-01,ALLSKY_SFC_SW_DNI,4.8521
2018-01-01,PS,95.68
2018-01-01,T2M_MIN,11.25
2018-01-01,ALLSKY_SFC_SW_DIFF,1.8826
2018-01-01,RH2M,37.82
2018-02-01,ALLSKY_SFC_SW_DIFF,2.0542
2018-02-01,T2M_MAX,36.72
2018-02-01,RH2M,35.41
2018-02-01,PS,95.73
2018-02-01,ALLSKY_SFC_SW_DWN,5.6174
2018-02-01,T2M_MIN,13.45
2018-02-01,ALLSKY_SFC_SW_DNI,4.9193
2018-03-01,ALLSKY_SFC_SW_DWN,6.053
2018-03-01,PS,95.46
2018-03-01,ALLSKY_SFC_SW_DNI,4.3142
2018-03-01,ALLSKY_SFC_SW_DIFF,2.5574
2018-03-01,RH2M,28.87
2018-03-01,T2M_MIN,18.96
2018-03-01,T2M_MAX,40.96
2018-04-01,ALLSKY_SFC_SW_DIFF,2.5056
2018-04-01,T2M_MIN,20.45
2018-04-01,PS,95.24
2018-04-01,ALLSKY_SFC_SW_DWN,6.5081
2018-04-01,ALLSKY_SFC_SW_DNI,4.7184
2018-04-01,T2M_MAX,43.29
2018-04-01,RH2M,40.87
2018-05-01,ALLSKY_SFC_SW_DNI,3.607
2018-05-01,T2M_MAX,43.24
2018-05-01,T2M_MIN,23.42
2018-05-01,ALLSKY_SFC_SW_DWN,6.2731
2018-05-01,ALLSKY_SFC_SW_DIFF,2.9443
2018-05-01,RH2M,42.01
2018-05-01,PS,95.03
2018-06-01,T2M_MAX,39.45
2018-06-01,RH2M,63.4
2018-06-01,T2M_MIN,22.22
2018-06-01,ALLSKY_SFC_SW_DIFF,3.0005
2018-06-01,PS,94.82
2018-06-01,ALLSKY_SFC_SW_DWN,5.382
2018-06-01,ALLSKY_SFC_SW_DNI,2.1636
2018-07-01,ALLSKY_SFC_SW_DNI,0.768
2018-07-01,T2M_MAX,34.67
2018-07-01,ALLSKY_SFC_SW_DWN,4.1731
2018-07-01,PS,94.79
2018-07-01,RH2M,70.94
2018-07-01,T2M_MIN,21.47
2018-07-01,ALLSKY_SFC_SW_DIFF,2.7456
2018-08-01,T2M_MIN,21.38
2018-08-01,T2M_MAX,33.3
2018-08-01,ALLSKY_SFC_SW_DNI,0.8983
2018-08-01,ALLSKY_SFC_SW_DWN,4.0718
2018-08-01,PS,94.88
2018-08-01,RH2M,75.86
2018-08-01,ALLSKY_SFC_SW_DIFF,2.5591
2018-09-01,RH2M,75.51
2018-09-01,ALLSKY_SFC_SW_DWN,4.9625
2018-09-01,PS,95.26
2018-09-01,ALLSKY_SFC_SW_DIFF,2.6314
2018-09-01,T2M_MAX,33.75
2018-09-01,ALLSKY_SFC_SW_DNI,2.232
2018-09-01,T2M_MIN,19.43
2018-10-01,PS,95.59
2018-10-01,T2M_MAX,34.32
2018-10-01,ALLSKY_SFC_SW_DWN,5.3501
2018-10-01,RH2M,63.08
2018-10-01,ALLSKY_SFC_SW_DNI,3.901
2018-10-01,ALLSKY_SFC_SW_DIFF,2.2985
2018-10-01,T2M_MIN,15.66
2018-11-01,ALLSKY_SFC_SW_DIFF,1.961
2018-11-01,ALLSKY_SFC_SW_DWN,4.8948
2018-11-01,PS,95.75
2018-11-01,T2M_MAX,34.09
2018-11-01,T2M_MIN,14.59
2018-11-01,ALLSKY_SFC_SW_DNI,4.3735
2018-11-01,RH2M,54.91
2018-12-01,ALLSKY_SFC_SW_DWN,3.7433
2018-12-01,ALLSKY_SFC_SW_DNI,2.8039
2018-12-01,T2M_MIN,8.43
2018-12-01,PS,95.81
2018-12-01,T2M_MAX,32.1
2018-12-01,ALLSKY_SFC_SW_DIFF,1.8367
2018-12-01,RH2M,55.68
2019-01-01,T2M_MIN,8.11
2019-01-01,ALLSKY_SFC_SW_DWN,4.6056
2019-01-01,PS,95.92
2019-01-01,ALLSKY_SFC_SW_DIFF,1.8754
2019-01-01,RH2M,47.38
2019-01-01,ALLSKY_SFC_SW_DNI,4.1477
2019-01-01,T2M_MAX,32.15
2019-02-01,ALLSKY_SFC_SW_DNI,4.8547
2019-02-01,ALLSKY_SFC_SW_DWN,5.6059
2019-02-01,PS,95.75
2019-02-01,RH2M,47.07
2019-02-01,T2M_MAX,37.86
2019-02-01,T2M_MIN,11.92
2019-02-01,ALLSKY_SFC_SW_DIFF,2.117
2019-03-01,PS,95.51
2019-03-01,ALLSKY_SFC_SW_DIFF,2.461
2019-03-01,ALLSKY_SFC_SW_DNI,4.8919
2019-03-01,ALLSKY_SFC_SW_DWN,6.3485
2019-03-01,RH2M,34.51
2019-03-01,T2M_MAX,41.72
2019-03-01,T2M_MIN,17.23
2019-04-01,T2M_MAX,43.23
2019-04-01,RH2M,35.4
2019-04-01,PS,95.27
