DATE,PARAM,VALUE
2015-01-01,WD10M,94.5
2015-01-01,WS2M,2.14
2015-01-01,WS10M,3.3
2015-02-01,WS2M,2.09
2015-02-01,WS10M,3.13
2015-02-01,WD10M,137.6
2015-03-01,WD10M,137.0
2015-03-01,WS10M,2.98
2015-03-01,WS2M,2.07
2015-04-01,WD10M,176.2
2015-04-01,WS10M,3.0
2015-04-01,WS2M,2.15
2015-05-01,WD10M,254.7
2015-05-01,WS2M,2.94
2015-05-01,WS10M,4.0
2015-06-01,WD10M,265.1
2015-06-01,WS10M,5.75
2015-06-01,WS2M,4.25
2015-07-01,WD10M,279.2
2015-07-01,WS10M,5.78
2015-07-01,WS2M,4.2
2015-08-01,WS10M,4.29
2015-08-01,WS2M,3.03
2015-08-01,WD10M,290.6
2015-09-01,WS2M,1.94
2015-09-01,WD10M,279.3
2015-09-01,WS10M,2.87
2015-10-01,WD10M,85.2
2015-10-01,WS2M,1.76
2015-10-01,WS10M,2.64
2015-11-01,WS2M,2.43
2015-11-01,WS10M,3.55
2015-11-01,WD10M,91.0
2015-12-01,WD10M,124.7
2015-12-01,WS10M,2.97
2015-12-01,WS2M,1.99
2016-01-01,WS2M,1.75
2016-01-01,WD10M,116.2
2016-01-01,WS10M,2.71
2016-02-01,WS10M,3.44
2016-02-01,WD10M,156.6
2016-02-01,WS2M,2.4
2016-03-01,WD10M,154.1
2016-03-01,WS10M,3.26
2016-03-01,WS2M,2.3
2016-04-01,WD10M,168.8
2016-04-01,WS2M,2.63
2016-04-01,WS10M,3.6
2016-05-01,WD10M,250.0
2016-05-01,WS10M,4.37
2016-05-01,WS2M,3.2
2016-06-01,WD10M,270.1
2016-06-01,WS10M,4.95
2016-06-01,WS2M,3.67
2016-07-01,WD10M,267.1
2016-07-01,WS2M,4.04
2016-07-01,WS10M,5.58
2016-08-01,WD10M,276.0
2016-08-01,WS10M,5.3
2016-08-01,WS2M,3.74
2016-09-01,WD10M,299.6
2016-09-01,WS2M,2.74
2016-09-01,WS10M,4.04
2016-10-01,WD10M,338.6
2016-10-01,WS10M,3.27
2016-10-01,WS2M,2.07
2016-11-01,WD10M,25.8
2016-11-01,WS2M,1.72
2016-11-01,WS10M,2.8
2016-12-01,WS10M,3.01
2016-12-01,WD10M,40.9
2016-12-01,WS2M,1.87
2017-01-01,WS10M,2.74
2017-01-01,WS2M,1.7
2017-01-01,WD10M,86.1
2017-02-01,WD10M,84.6
2017-02-01,WS10M,2.87
2017-02-01,WS2M,1.88
2017-03-01,WS10M,2.97
2017-03-01,WD10M,147.3
2017-03-01,WS2M,2.01
2017-04-01,WS10M,2.84
2017-04-01,WS2M,1.98
2017-04-01,WD10M,199.9
2017-05-01,WD10M,226.3
2017-05-01,WS2M,2.88
2017-05-01,WS10M,3.89
2017-06-01,WD10M,267.0
2017-06-01,WS2M,3.86
2017-06-01,WS10M,5.21
2017-07-01,WS2M,4.59
2017-07-01,WS10M,6.36
2017-07-01,WD10M,268.3
2017-08-01,WS2M,2.88
2017-08-01,WS10M,4.17
2017-08-01,WD10M,278.7
2017-09-01,WS2M,1.98
2017-09-01,WD10M,288.0
2017-09-01,WS10M,3.01
2017-10-01,WS2M,1.47
2017-10-01,WS10M,2.35
2017-10-01,WD10M,22.8
2017-11-01,WD10M,59.7
2017-11-01,WS2M,1.64
2017-11-01,WS10M,2.66
2017-12-01,WS10M,2.77
2017-12-01,WD10M,83.3
2017-12-01,WS2M,1.71
2018-01-01,WD10M,58.8
2018-01-01,WS10M,2.5
2018-01-01,WS2M,1.54
2018-02-01,WS10M,2.86
2018-02-01,WD10M,106.7
2018-02-01,WS2M,1.89
2018-03-01,WS2M,1.85
2018-03-01,WD10M,133.8
2018-03-01,WS10M,2.76
2018-04-01,WD10M,157.3
2018-04-01,WS2M,1.99
2018-04-01,WS10M,2.82
2018-05-01,WD10M,171.5
2018-05-01,WS10M,3.59
2018-05-01,WS2M,2.68
2018-06-01,WS10M,5.04
2018-06-01,WS2M,3.74
2018-06-01,WD10M,266.2
2018-07-01,WD10M,271.6
2018-07-01,WS2M,4.82
2018-07-01,WS10M,6.68
2018-08-01,WS2M,4.44
2018-08-01,WS10M,6.33
2018-08-01,WD10M,283.1
2018-09-01,WD10M,312.6
2018-09-01,WS10M,3.07
2018-09-01,WS2M,2.05
2018-10-01,WS10M,2.97
2018-10-01,WD10M,52.1
2018-10-01,WS2M,1.93
2018-11-01,WS2M,1.83
2018-11-01,WD10M,86.4
2018-11-01,WS10M,2.89
2018-12-01,WS2M,1.89
2018-12-01,WD10M,60.2
2018-12-01,WS10M,2.91
2019-01-01,WD10M,97.7
2019-01-01,WS2M,2.03
2019-01-01,WS10M,3.12
2019-02-01,WD10M,131.9
2019-02-01,WS10M,2.85
2019-02-01,WS2M,1.9
2019-03-01,WD10M,153.4
2019-03-01,WS10M,3.35
2019-03-01,WS2M,2.35
2019-04-01,WD10M,163.0
2019-04-01,WS10M,3.38
2019-04-01,WS2M,2.42
2019-05-01,WD10M,307.3
2019-05-01,WS2M,2.46
2019-05-01,WS10M,3.34
2019-06-01,WD10M,257.1
2019-06-01,WS10M,4.73
2019-06-01,WS2M,3.52
2019-07-01,WS10M,6.1
2019-07-01,WS2M,4.43
2019-07-01,WD10M,263.2
2019-08-01,WS2M,3.92
2019-08-01,WD10M,271.8
2019-08-01,WS10M,5.62
2019-09-01,WS2M,2.83
2019-09-01,WS10M,4.17
2019-09-01,WD10M,249.8
2019-10-01,WS2M,1.5
2019-10-01,WD10M,83.6
2019-10-01,WS10M,2.33
2019-11-01,WS10M,2.66
2019-11-01,WS2M,1.67
2019-11-01,WD10M,63.8
2019-12-01,WS10M,2.97
2019-12-01,WS2M,1.95
2019-12-01,WD10M,98.8
2020-01-01,WS2M,2.2
2020-01-01,WD10M,102.9
2020-01-01,WS10M,3.27
2020-02-01,WS2M,2.47
2020-02-01,WS10M,3.55
2020-02-01,WD10M,104.1
2020-03-01,WD10M,148.2
2020-03-01,WS10M,2.95
2020-03-01,WS2M,2.09
2020-04-01,WD10M,150.6
2020-04-01,WS10M,3.35
2020-04-01,WS2M,2.44
2020-05-01,WD10M,142.3
2020-05-01,WS10M,3.38
2020-05-01,WS2M,2.46
2020-06-01,WS10M,4.55
2020-06-01,WS2M,3.35
2020-06-01,WD10M,267.1
2020-07-01,WD10M,251.7
2020-07-01,WS2M,2.87
2020-07-01,WS10M,4.02
2020-08-01,WS2M,3.55
2020-08-01,WD10M,263.6
2020-08-01,WS10M,5.11
2020-09-01,WS2M,1.95
2020-09-01,WS10M,2.94
2020-09-01,WD10M,275.1
2020-10-01,WS2M,1.87
2020-10-01,WD10M,1.8
2020-10-01,WS10M,2.92
2020-11-01,WS2M,2.12
2020-11-01,WS10M,3.3
2020-11-01,WD10M,56.9
2020-12-01,WS2M,1.48
2020-12-01,WD10M,98.0
2020-12-01,WS10M,2.44
2021-01-01,WS2M,1.61
2021-01-01,WD10M,124.4
2021-01-01,WS10M,2.57
2021-02-01,WD10M,101.0
2021-02-01,WS10M,2.69
2021-02-01,WS2M,1.74
2021-03-01,WD10M,111.0
2021-03-01,WS10M,3.07
2021-03-01,WS2M,2.02
2021-04-01,WS2M,2.02
2021-04-01,WD10M,138.6
2021-04-01,WS10M,2.87
2021-05-01,WS2M,3.12
2021-05-01,WS10M,4.18
2021-05-01,WD10M,212.4
2021-06-01,WS2M,3.64
2021-06-01,WD10M,273.0
2021-06-01,WS10M,4.98
2021-07-01,WS2M,3.44
2021-07-01,WD10M,268.4
2021-07-01,WS10M,4.82
2021-08-01,WS10M,3.77
2021-08-01,WD10M,271.2
2021-08-01,WS2M,2.59
2021-09-01,WD10M,266.7
2021-09-01,WS10M,3.74
2021-09-01,WS2M,2.52
2021-10-01,WS2M,1.69
2021-10-01,WD10M,23.0
2021-10-01,WS10M,2.65
2021-11-01,WS10M,2.91
2021-11-01,WD10M,68.4
2021-11-01,WS2M,1.88
2021-12-01,WS10M,2.45
2021-12-01,WD10M,70.6
2021-12-01,WS2M,1.53
2022-01-01,WD10M,84.7
2022-01-01,WS2M,1.79
2022-01-01,WS10M,2.75
2022-02-01,WS2M,2.0
2022-02-01,WS10M,3.06
2022-02-01,WD10M,120.8
2022-03-01,WS10M,2.78
2022-03-01,WD10M,99.1
2022-03-01,WS2M,1.84
2022-04-01,WD10M,158.8
2022-04-01,WS10M,3.04
2022-04-01,WS2M,2.2
2022-05-01,WD10M,267.4
2022-05-01,WS10M,4.21
2022-05-01,WS2M,3.14
2022-06-01,WD10M,266.7
2022-06-01,WS10M,4.39
2022-06-01,WS2M,3.26
2022-07-01,WS2M,4.04
2022-07-01,WD10M,276.4
2022-07-01,WS10M,5.64
2022-08-01,WD10M,271.9
2022-08-01,WS2M,3.08
2022-08-01,WS10M,4.46
2022-09-01,WD10M,281.8
2022-09-01,WS10M,3.32
2022-09-01,WS2M,2.21
2022-10-01,WS2M,2.0
2022-10-01,WS10M,3.11
2022-10-01,WD10M,48.7
2022-11-01,WD10M,40.2
2022-11-01,WS2M,1.54
2022-11-01,WS10M,2.5
2022-12-01,WS2M,1.61
2022-12-01,WD10M,81.3
2022-12-01,WS10M,2.53
2023-01-01,WS2M,1.86
2023-01-01,WS10M,2.88
2023-01-01,WD10M,126.9
2023-02-01,WS10M,2.96
2023-02-01,WS2M,1.92
2023-02-01,WD10M,65.3
2023-03-01,WD10M,135.5
2023-03-01,WS2M,1.86
2023-03-01,WS10M,2.74
2023-04-01,WS2M,1.96
2023-04-01,WS10M,2.8
2023-04-01,WD10M,142.2
2023-05-01,WS10M,3.19
2023-05-01,WS2M,2.27
2023-05-01,WD10M,321.1
2023-06-01,WS10M,5.37
2023-06-01,WS2M,3.97
2023-06-01,WD10M,286.4
2023-07-01,WS10M,6.77
2023-07-01,WD10M,273.4
2023-07-01,WS2M,4.88
2023-08-01,WS10M,4.41
2023-08-01,WS2M,3.04
2023-08-01,WD10M,288.1
2023-09-01,WD10M,286.4
2023-09-01,WS10M,3.5
2023-09-01,WS2M,2.33
2023-10-01,WS10M,2.85
2023-10-01,WS2M,1.78
2023-10-01,WD10M,17.6
2023-11-01,WD10M,78.1
2023-11-01,WS10M,2.79
2023-11-01,WS2M,1.8
2023-12-01,WD10M,62.1
2023-12-01,WS10M,3.08
2023-12-01,WS2M,1.97
2024-01-01,WS2M,1.98
2024-01-01,WD10M,127.2
2024-01-01,WS10M,2.97
2024-02-01,WS10M,3.26
2024-02-01,WS2M,2.25
2024-02-01,WD10M,134.8
2024-03-01,WS10M,3.1
2024-03-01,WD10M,152.8
2024-03-01,WS2M,2.22
2024-04-01,WS2M,2.32
2024-04-01,WS10M,3.18
2024-04-01,WD10M,158.1
2024-05-01,WS10M,3.62
2024-05-01,WS2M,2.64
2024-05-01,WD10M,147.0
2024-06-01,WS2M,3.33
2024-06-01,WS10M,4.49
2024-06-01,WD10M,264.6
2024-07-01,WS10M,6.82
2024-07-01,WS2M,4.92
2024-07-01,WD10M,265.3
2024-08-01,WD10M,267.0
2024-08-01,WS10M,4.09
2024-08-01,WS2M,2.83
2024-09-01,WD10M,289.4
2024-09-01,WS2M,2.89
2024-09-01,WS10M,4.28
2024-10-01,WD10M,66.4
2024-10-01,WS10M,2.68
2024-10-01,WS2M,1.73
2024-11-01,WD10M,40.9
2024-11-01,WS10M,2.88
2024-11-01,WS2M,1.81
2024-12-01,WS10M,2.99
2024-12-01,WD10M,68.1
2024-12-01,WS2M,1.96
