DATE,PARAM,VALUE
2015-01-01,ALLSKY_SFC_SW_DIFF,1.4213
2015-01-01,T2M_MIN,3.91
2015-01-01,T2M_MAX,26.04
2015-01-01,RH2M,46.18
2015-01-01,ALLSKY_SFC_SW_DNI,3.9204
2015-01-01,PS,97.09
2015-01-01,ALLSKY_SFC_SW_DWN,3.5568
2015-02-01,ALLSKY_SFC_SW_DNI,5.6678
2015-02-01,RH2M,35.28
2015-02-01,T2M_MAX,32.78
2015-02-01,T2M_MIN,5.7
2015-02-01,ALLSKY_SFC_SW_DIFF,1.6229
2015-02-01,PS,96.79
2015-02-01,ALLSKY_SFC_SW_DWN,5.0866
2015-03-01,ALLSKY_SFC_SW_DIFF,1.859
2015-03-01,ALLSKY_SFC_SW_DNI,5.6107
2015-03-01,ALLSKY_SFC_SW_DWN,5.7067
2015-03-01,PS,96.72
2015-03-01,RH2M,48.89
2015-03-01,T2M_MAX,36.44
2015-03-01,T2M_MIN,7.15
2015-04-01,T2M_MIN,14.59
2015-04-01,T2M_MAX,41.89
2015-04-01,RH2M,37.13
2015-04-01,PS,96.2
2015-04-01,ALLSKY_SFC_SW_DNI,5.5428
2015-04-01,ALLSKY_SFC_SW_DIFF,2.4211
2015-04-01,ALLSKY_SFC_SW_DWN,6.7697
2015-05-01,ALLSKY_SFC_SW_DIFF,2.4725
2015-05-01,ALLSKY_SFC_SW_DNI,6.1447
2015-05-01,ALLSKY_SFC_SW_DWN,7.4042
2015-05-01,PS,95.86
2015-05-01,RH2M,19.83
2015-05-01,T2M_MAX,45.01
2015-05-01,T2M_MIN,21.62
2015-06-01,T2M_MAX,44.68
2015-06-01,T2M_MIN,24.36
2015-06-01,PS,95.51
2015-06-01,RH2M,38.59
2015-06-01,ALLSKY_SFC_SW_DNI,4.4573
2015-06-01,ALLSKY_SFC_SW_DIFF,2.663
2015-06-01,ALLSKY_SFC_SW_DWN,6.4649
2015-07-01,ALLSKY_SFC_SW_DIFF,2.8543
2015-07-01,ALLSKY_SFC_SW_DNI,2.2771
2015-07-01,PS,95.42
2015-07-01,ALLSKY_SFC_SW_DWN,5.1038
2015-07-01,RH2M,65.34
2015-07-01,T2M_MAX,40.09
2015-07-01,T2M_MIN,22.67
2015-08-01,RH2M,68.93
2015-08-01,PS,95.76
2015-08-01,ALLSKY_SFC_SW_DWN,5.2123
2015-08-01,ALLSKY_SFC_SW_DNI,3.0982
2015-08-01,ALLSKY_SFC_SW_DIFF,2.5685
2015-08-01,T2M_MIN,22.5
2015-08-01,T2M_MAX,36.78
2015-09-01,PS,96.09
2015-09-01,RH2M,48.74
2015-09-01,T2M_MAX,39.36
2015-09-01,ALLSKY_SFC_SW_DWN,5.9954
2015-09-01,T2M_MIN,19.56
2015-09-01,ALLSKY_SFC_SW_DNI,5.5279
2015-09-01,ALLSKY_SFC_SW_DIFF,2.017
2015-10-01,RH2M,33.04
2015-10-01,PS,96.6
2015-10-01,T2M_MAX,38.79
2015-10-01,ALLSKY_SFC_SW_DWN,5.4466
2015-10-01,ALLSKY_SFC_SW_DNI,6.1154
