DATE,PARAM,VALUE
2015-01-01,ALLSKY_SFC_SW_DIFF,2.1595
2015-01-01,T2M_MIN,13.03
2015-01-01,T2M_MAX,29.72
2015-01-01,RH2M,75.6
2015-01-01,ALLSKY_SFC_SW_DNI,5.0234
2015-01-01,PS,93.41
2015-01-01,ALLSKY_SFC_SW_DWN,5.736
2015-02-01,ALLSKY_SFC_SW_DNI,5.0256
2015-02-01,RH2M,62.6
2015-02-01,T2M_MAX,32.62
2015-02-01,T2M_MIN,14.16
2015-02-01,ALLSKY_SFC_SW_DIFF,2.3527
2015-02-01,PS,93.35
2015-02-01,ALLSKY_SFC_SW_DWN,6.2102
2015-03-01,ALLSKY_SFC_SW_DIFF,2.4504
2015-03-01,ALLSKY_SFC_SW_DNI,4.7035
2015-03-01,ALLSKY_SFC_SW_DWN,6.3804
2015-03-01,PS,93.34
2015-03-01,RH2M,65.67
2015-03-01,T2M_MAX,35.02
2015-03-01,T2M_MIN,16.58
2015-04-01,T2M_MIN,18.72
2015-04-01,T2M_MAX,33.35
2015-04-01,RH2M,75.97
2015-04-01,PS,93.21
2015-04-01,ALLSKY_SFC_SW_DNI,4.1525
2015-04-01,ALLSKY_SFC_SW_DIFF,2.4012
2015-04-01,ALLSKY_SFC_SW_DWN,5.9832
2015-05-01,ALLSKY_SFC_SW_DIFF,2.5418
2015-05-01,ALLSKY_SFC_SW_DNI,2.3566
2015-05-01,ALLSKY_SFC_SW_DWN,4.9366
2015-05-01,PS,93.14
2015-05-01,RH2M,85.23
2015-05-01,T2M_MAX,31.95
2015-05-01,T2M_MIN,20.03
2015-06-01,T2M_MAX,28.28
2015-06-01,T2M_MIN,19.01
2015-06-01,PS,93.13
2015-06-01,RH2M,89.65
2015-06-01,ALLSKY_SFC_SW_DNI,1.8199
2015-06-01,ALLSKY_SFC_SW_DIFF,2.5726
2015-06-01,ALLSKY_SFC_SW_DWN,4.619
2015-07-01,ALLSKY_SFC_SW_DIFF,2.5874
2015-07-01,ALLSKY_SFC_SW_DNI,2.1876
2015-07-01,PS,93.19
2015-07-01,ALLSKY_SFC_SW_DWN,4.8295
2015-07-01,RH2M,90.06
2015-07-01,T2M_MAX,27.46
2015-07-01,T2M_MIN,18.3
2015-08-01,RH2M,89.54
2015-08-01,PS,93.2
2015-08-01,ALLSKY_SFC_SW_DWN,5.4713
2015-08-01,ALLSKY_SFC_SW_DNI,3.0334
2015-08-01,ALLSKY_SFC_SW_DIFF,2.6455
2015-08-01,T2M_MIN,19.54
2015-08-01,T2M_MAX,28.29
2015-09-01,PS,93.18
2015-09-01,RH2M,89.58
2015-09-01,T2M_MAX,28.87
2015-09-01,ALLSKY_SFC_SW_DWN,5.3806
2015-09-01,T2M_MIN,19.07
2015-09-01,ALLSKY_SFC_SW_DNI,3.2563
2015-09-01,ALLSKY_SFC_SW_DIFF,2.5121
2015-10-01,RH2M,87.75
2015-10-01,PS,93.31
2015-10-01,T2M_MAX,29.03
2015-10-01,ALLSKY_SFC_SW_DWN,4.8571
2015-10-01,ALLSKY_SFC_SW_DNI,2.6923
2015-10-01,ALLSKY_SFC_SW_DIFF,2.412
2015-10-01,T2M_MIN,17.88
2015-11-01,T2M_MIN,16.57
2015-11-01,T2M_MAX,27.3
2015-11-01,ALLSKY_SFC_SW_DNI,2.6916
2015-11-01,RH2M,90.2
2015-11-01,ALLSKY_SFC_SW_DWN,4.5586
2015-11-01,ALLSKY_SFC_SW_DIFF,2.2538
2015-11-01,PS,93.21
2015-12-01,RH2M,87.37
2015-12-01,PS,93.37
2015-12-01,T2M_MAX,27.19
2015-12-01,ALLSKY_SFC_SW_DIFF,2.1259
2015-12-01,ALLSKY_SFC_SW_DNI,3.9067
2015-12-01,T2M_MIN,14.17
2015-12-01,ALLSKY_SFC_SW_DWN,4.9397
2016-01-01,ALLSKY_SFC_SW_DWN,5.5718
2016-01-01,T2M_MAX,29.68
2016-01-01,ALLSKY_SFC_SW_DNI,4.6555
2016-01-01,T2M_MIN,13.57
2016-01-01,RH2M,79.58
2016-01-01,ALLSKY_SFC_SW_DIFF,2.2207
2016-01-01,PS,93.44
2016-02-01,RH2M,68.44
2016-02-01,ALLSKY_SFC_SW_DWN,6.0715
2016-02-01,T2M_MAX,34.14
2016-02-01,PS,93.4
2016-02-01,ALLSKY_SFC_SW_DNI,4.5857
2016-02-01,T2M_MIN,13.14
2016-02-01,ALLSKY_SFC_SW_DIFF,2.4926
2016-03-01,PS,93.33
2016-03-01,ALLSKY_SFC_SW_DWN,6.4639
2016-03-01,RH2M,66.42
2016-03-01,T2M_MAX,36.66
2016-03-01,ALLSKY_SFC_SW_DIFF,2.5445
2016-03-01,ALLSKY_SFC_SW_DNI,4.5924
2016-03-01,T2M_MIN,17.85
2016-04-01,RH2M,71.82
2016-04-01,ALLSKY_SFC_SW_DIFF,2.6808
2016-04-01,T2M_MAX,36.29
2016-04-01,PS,93.16
2016-04-01,ALLSKY_SFC_SW_DWN,6.1006
2016-04-01,T2M_MIN,21.37
2016-04-01,ALLSKY_SFC_SW_DNI,3.8083
2016-05-01,ALLSKY_SFC_SW_DNI,2.563
2016-05-01,ALLSKY_SFC_SW_DWN,5.0354
2016-05-01,RH2M,81.17
2016-05-01,ALLSKY_SFC_SW_DIFF,2.5154
2016-05-01,PS,93.1
2016-05-01,T2M_MAX,35.02
2016-05-01,T2M_MIN,20.88
2016-06-01,PS,93.12
2016-06-01,T2M_MAX,27.01
2016-06-01,RH2M,90.4
2016-06-01,ALLSKY_SFC_SW_DNI,1.2072
2016-06-01,ALLSKY_SFC_SW_DWN,3.9012
2016-06-01,ALLSKY_SFC_SW_DIFF,2.3594
2016-06-01,T2M_MIN,19.13
2016-07-01,ALLSKY_SFC_SW_DIFF,2.6165
2016-07-01,PS,93.12
2016-07-01,ALLSKY_SFC_SW_DNI,1.6668
2016-07-01,ALLSKY_SFC_SW_DWN,4.5641
2016-07-01,RH2M,91.39
2016-07-01,T2M_MIN,18.8
2016-07-01,T2M_MAX,26.39
2016-08-01,ALLSKY_SFC_SW_DWN,5.3282
2016-08-01,RH2M,90.75
2016-08-01,T2M_MAX,26.49
2016-08-01,ALLSKY_SFC_SW_DIFF,2.6016
2016-08-01,ALLSKY_SFC_SW_DNI,2.8781
2016-08-01,PS,93.13
2016-08-01,T2M_MIN,17.45
2016-09-01,T2M_MIN,16.92
2016-09-01,T2M_MAX,26.64
2016-09-01,PS,93.18
2016-09-01,ALLSKY_SFC_SW_DWN,5.4504
2016-09-01,ALLSKY_SFC_SW_DNI,3.0686
2016-09-01,RH2M,89.41
2016-09-01,ALLSKY_SFC_SW_DIFF,2.6904
2016-10-01,ALLSKY_SFC_SW_DIFF,2.4634
2016-10-01,T2M_MIN,17.8
2016-10-01,T2M_MAX,28.33
2016-10-01,RH2M,87.16
2016-10-01,ALLSKY_SFC_SW_DWN,5.4482
2016-10-01,ALLSKY_SFC_SW_DNI,3.4015
2016-10-01,PS,93.18
2016-11-01,ALLSKY_SFC_SW_DNI,2.5058
2016-11-01,ALLSKY_SFC_SW_DWN,4.752
2016-11-01,ALLSKY_SFC_SW_DIFF,2.4902
2016-11-01,RH2M,82.02
2016-11-01,PS,93.27
2016-11-01,T2M_MAX,28.33
2016-11-01,T2M_MIN,14.6
2016-12-01,RH2M,75.63
2016-12-01,ALLSKY_SFC_SW_DWN,4.8914
2016-12-01,ALLSKY_SFC_SW_DNI,3.6722
2016-12-01,T2M_MIN,15.22
2016-12-01,PS,93.29
2016-12-01,ALLSKY_SFC_SW_DIFF,2.2188
2016-12-01,T2M_MAX,30.55
2017-01-01,ALLSKY_SFC_SW_DWN,5.3777
2017-01-01,T2M_MIN,13.9
2017-01-01,ALLSKY_SFC_SW_DIFF,2.2378
2017-01-01,ALLSKY_SFC_SW_DNI,4.2658
2017-01-01,RH2M,66.92
2017-01-01,PS,93.33
2017-01-01,T2M_MAX,31.57
2017-02-01,T2M_MAX,34.65
2017-02-01,ALLSKY_SFC_SW_DNI,5.9309
2017-02-01,ALLSKY_SFC_SW_DWN,6.4039
