DATE,PARAM,VALUE
2015-01-01,ALLSKY_SFC_SW_DIFF,1.7918
2015-01-01,T2M_MIN,6.62
2015-01-01,T2M_MAX,28.8
2015-01-01,RH2M,66.43
2015-01-01,ALLSKY_SFC_SW_DNI,2.9167
2015-01-01,PS,101.54
2015-01-01,ALLSKY_SFC_SW_DWN,3.6646
2015-02-01,ALLSKY_SFC_SW_DNI,3.433
2015-02-01,RH2M,59.64
2015-02-01,T2M_MAX,34.45
2015-02-01,T2M_MIN,7.56
2015-02-01,ALLSKY_SFC_SW_DIFF,2.1737
2015-02-01,PS,101.34
2015-02-01,ALLSKY_SFC_SW_DWN,4.584
2015-03-01,ALLSKY_SFC_SW_DIFF,2.2135
2015-03-01,ALLSKY_SFC_SW_DNI,4.6138
2015-03-01,ALLSKY_SFC_SW_DWN,5.647
2015-03-01,PS,101.17
2015-03-01,RH2M,50.1
2015-03-01,T2M_MAX,38.56
2015-03-01,T2M_MIN,13.41
2015-04-01,T2M_MIN,22.34
2015-04-01,T2M_MAX,40.56
2015-04-01,RH2M,67.09
2015-04-01,PS,100.75
2015-04-01,ALLSKY_SFC_SW_DNI,2.7864
2015-04-01,ALLSKY_SFC_SW_DIFF,2.868
2015-04-01,ALLSKY_SFC_SW_DWN,5.4156
2015-05-01,ALLSKY_SFC_SW_DIFF,3.0194
2015-05-01,ALLSKY_SFC_SW_DNI,2.795
2015-05-01,ALLSKY_SFC_SW_DWN,5.699
2015-05-01,PS,100.35
2015-05-01,RH2M,69.76
2015-05-01,T2M_MAX,42.39
2015-05-01,T2M_MIN,25.14
2015-06-01,T2M_MAX,37.4
2015-06-01,T2M_MIN,25.32
2015-06-01,PS,100.04
2015-06-01,RH2M,76.88
2015-06-01,ALLSKY_SFC_SW_DNI,1.7926
2015-06-01,ALLSKY_SFC_SW_DIFF,2.6954
2015-06-01,ALLSKY_SFC_SW_DWN,4.4866
2015-07-01,ALLSKY_SFC_SW_DIFF,2.4626
2015-07-01,ALLSKY_SFC_SW_DNI,0.6209
2015-07-01,PS,99.91
2015-07-01,ALLSKY_SFC_SW_DWN,3.469
2015-07-01,RH2M,89.67
2015-07-01,T2M_MAX,33.84
2015-07-01,T2M_MIN,25.37
2015-08-01,RH2M,89.03
2015-08-01,PS,100.16
2015-08-01,ALLSKY_SFC_SW_DWN,4.4026
2015-08-01,ALLSKY_SFC_SW_DNI,1.453
2015-08-01,ALLSKY_SFC_SW_DIFF,2.8416
2015-08-01,T2M_MIN,24.93
2015-08-01,T2M_MAX,32.07
2015-09-01,PS,100.47
2015-09-01,RH2M,86.38
2015-09-01,T2M_MAX,33.18
2015-09-01,ALLSKY_SFC_SW_DWN,4.4088
2015-09-01,T2M_MIN,22.88
2015-09-01,ALLSKY_SFC_SW_DNI,2.0676
2015-09-01,ALLSKY_SFC_SW_DIFF,2.5291
2015-10-01,RH2M,79.01
2015-10-01,PS,101.01
2015-10-01,T2M_MAX,32.81
2015-10-01,ALLSKY_SFC_SW_DWN,4.5233
2015-10-01,ALLSKY_SFC_SW_DNI,2.9724
2015-10-01,ALLSKY_SFC_SW_DIFF,2.2654
2015-10-01,T2M_MIN,18.14
2015-11-01,T2M_MIN,15.76
2015-11-01,T2M_MAX,30.17
2015-11-01,ALLSKY_SFC_SW_DNI,3.4932
2015-11-01,RH2M,73.63
2015-11-01,ALLSKY_SFC_SW_DWN,4.0438
2015-11-01,ALLSKY_SFC_SW_DIFF,1.7909
2015-11-01,PS,101.29
2015-12-01,RH2M,67.2
2015-12-01,PS,101.53
2015-12-01,T2M_MAX,29.24
2015-12-01,ALLSKY_SFC_SW_DIFF,1.6824
2015-12-01,ALLSKY_SFC_SW_DNI,1.4362
2015-12-01,T2M_MIN,7.72
2015-12-01,ALLSKY_SFC_SW_DWN,2.7262
2016-01-01,ALLSKY_SFC_SW_DWN,3.3086
2016-01-01,T2M_MAX,30.95
2016-01-01,ALLSKY_SFC_SW_DNI,2.0976
2016-01-01,T2M_MIN,7.58
2016-01-01,RH2M,58.33
2016-01-01,ALLSKY_SFC_SW_DIFF,1.848
2016-01-01,PS,101.51
2016-02-01,RH2M,59.64
2016-02-01,ALLSKY_SFC_SW_DWN,3.8863
2016-02-01,T2M_MAX,36.71
2016-02-01,PS,101.33
2016-02-01,ALLSKY_SFC_SW_DNI,2.1266
2016-02-01,T2M_MIN,13.37
2016-02-01,ALLSKY_SFC_SW_DIFF,2.2183
2016-03-01,PS,101.01
2016-03-01,ALLSKY_SFC_SW_DWN,4.9056
2016-03-01,RH2M,62.32
2016-03-01,T2M_MAX,37.87
2016-03-01,ALLSKY_SFC_SW_DIFF,2.6146
2016-03-01,ALLSKY_SFC_SW_DNI,2.755
2016-03-01,T2M_MIN,19.28
2016-04-01,RH2M,55.21
2016-04-01,ALLSKY_SFC_SW_DIFF,2.6866
2016-04-01,T2M_MAX,44.48
2016-04-01,PS,100.4
2016-04-01,ALLSKY_SFC_SW_DWN,5.8898
2016-04-01,T2M_MIN,24.26
2016-04-01,ALLSKY_SFC_SW_DNI,3.7054
2016-05-01,ALLSKY_SFC_SW_DNI,2.857
2016-05-01,ALLSKY_SFC_SW_DWN,5.6208
2016-05-01,RH2M,64.11
2016-05-01,ALLSKY_SFC_SW_DIFF,2.9148
2016-05-01,PS,100.28
2016-05-01,T2M_MAX,43.8
2016-05-01,T2M_MIN,25.77
2016-06-01,PS,100.15
2016-06-01,T2M_MAX,40.12
2016-06-01,RH2M,78.82
2016-06-01,ALLSKY_SFC_SW_DNI,2.6436
2016-06-01,ALLSKY_SFC_SW_DWN,5.3266
2016-06-01,ALLSKY_SFC_SW_DIFF,3.0
2016-06-01,T2M_MIN,26.31
2016-07-01,ALLSKY_SFC_SW_DIFF,2.6914
2016-07-01,PS,100.04
2016-07-01,ALLSKY_SFC_SW_DNI,0.8899
2016-07-01,ALLSKY_SFC_SW_DWN,3.8443
2016-07-01,RH2M,86.3
2016-07-01,T2M_MIN,24.65
2016-07-01,T2M_MAX,33.57
2016-08-01,ALLSKY_SFC_SW_DWN,4.297
2016-08-01,RH2M,88.58
2016-08-01,T2M_MAX,33.18
2016-08-01,ALLSKY_SFC_SW_DIFF,2.6026
2016-08-01,ALLSKY_SFC_SW_DNI,1.7438
2016-08-01,PS,99.97
2016-08-01,T2M_MIN,24.61
2016-09-01,T2M_MIN,24.79
2016-09-01,T2M_MAX,31.93
2016-09-01,PS,100.36
2016-09-01,ALLSKY_SFC_SW_DWN,4.4446
2016-09-01,ALLSKY_SFC_SW_DNI,2.1958
2016-09-01,RH2M,89.38
2016-09-01,ALLSKY_SFC_SW_DIFF,2.5522
2016-10-01,ALLSKY_SFC_SW_DIFF,2.1924
2016-10-01,T2M_MIN,18.36
2016-10-01,T2M_MAX,32.52
2016-10-01,RH2M,83.15
2016-10-01,ALLSKY_SFC_SW_DWN,4.5502
2016-10-01,ALLSKY_SFC_SW_DNI,3.2678
2016-10-01,PS,100.7
2016-11-01,ALLSKY_SFC_SW_DNI,3.1807
2016-11-01,ALLSKY_SFC_SW_DWN,3.8923
2016-11-01,ALLSKY_SFC_SW_DIFF,1.7964
2016-11-01,RH2M,79.25
2016-11-01,PS,101.19
2016-11-01,T2M_MAX,30.31
2016-11-01,T2M_MIN,11.86
2016-12-01,RH2M,76.55
2016-12-01,ALLSKY_SFC_SW_DWN,3.6173
2016-12-01,ALLSKY_SFC_SW_DNI,3.3106
2016-12-01,T2M_MIN,8.9
2016-12-01,PS,101.39
2016-12-01,ALLSKY_SFC_SW_DIFF,1.6231
2016-12-01,T2M_MAX,27.39
2017-01-01,ALLSKY_SFC_SW_DWN,4.0438
2017-01-01,T2M_MIN,5.32
2017-01-01,ALLSKY_SFC_SW_DIFF,1.7498
2017-01-01,ALLSKY_SFC_SW_DNI,3.6449
2017-01-01,RH2M,65.98
2017-01-01,PS,101.48
2017-01-01,T2M_MAX,28.2
2017-02-01,T2M_MAX,34.42
2017-02-01,ALLSKY_SFC_SW_DNI,3.3473
2017-02-01,ALLSKY_SFC_SW_DWN,4.5355
2017-02-01,ALLSKY_SFC_SW_DIFF,2.1516
2017-02-01,PS,101.34
2017-02-01,RH2M,56.34
2017-02-01,T2M_MIN,10.92
2017-03-01,RH2M,60.85
2017-03-01,PS,100.89
2017-03-01,ALLSKY_SFC_SW_DIFF,2.5044
2017-03-01,T2M_MIN,14.96
2017-03-01,ALLSKY_SFC_SW_DWN,5.1358
2017-03-01,ALLSKY_SFC_SW_DNI,3.216
2017-03-01,T2M_MAX,38.29
2017-04-01,T2M_MAX,42.07
2017-04-01,T2M_MIN,21.23
2017-04-01,ALLSKY_SFC_SW_DNI,2.8795
2017-04-01,RH2M,63.64
2017-04-01,ALLSKY_SFC_SW_DIFF,2.855
2017-04-01,ALLSKY_SFC_SW_DWN,5.5282
2017-04-01,PS,100.53
2017-05-01,T2M_MIN,25.11
2017-05-01,PS,100.34
2017-05-01,ALLSKY_SFC_SW_DIFF,2.9731
2017-05-01,T2M_MAX,41.68
2017-05-01,RH2M,65.3
2017-05-01,ALLSKY_SFC_SW_DWN,6.0079
2017-05-01,ALLSKY_SFC_SW_DNI,3.283
2017-06-01,RH2M,78.03
2017-06-01,ALLSKY_SFC_SW_DIFF,3.162
2017-06-01,PS,99.97
2017-06-01,ALLSKY_SFC_SW_DNI,1.523
2017-06-01,ALLSKY_SFC_SW_DWN,4.8499
2017-06-01,T2M_MIN,25.88
2017-06-01,T2M_MAX,38.6
2017-07-01,ALLSKY_SFC_SW_DNI,0.75
2017-07-01,PS,99.96
2017-07-01,RH2M,88.49
2017-07-01,ALLSKY_SFC_SW_DWN,3.557
2017-07-01,ALLSKY_SFC_SW_DIFF,2.5404
2017-07-01,T2M_MAX,34.13
2017-07-01,T2M_MIN,25.55
2017-08-01,PS,100.14
2017-08-01,ALLSKY_SFC_SW_DNI,1.0212
2017-08-01,T2M_MIN,25.41
2017-08-01,ALLSKY_SFC_SW_DWN,4.129
2017-08-01,RH2M,89.71
2017-08-01,ALLSKY_SFC_SW_DIFF,2.9482
2017-08-01,T2M_MAX,32.42
2017-09-01,ALLSKY_SFC_SW_DWN,4.2833
2017-09-01,RH2M,89.25
2017-09-01,ALLSKY_SFC_SW_DIFF,2.7257
2017-09-01,ALLSKY_SFC_SW_DNI,1.6754
2017-09-01,PS,100.45
2017-09-01,T2M_MAX,33.66
2017-09-01,T2M_MIN,24.84
2017-10-01,ALLSKY_SFC_SW_DIFF,2.1317
2017-10-01,PS,100.7
2017-10-01,RH2M,85.71
2017-10-01,ALLSKY_SFC_SW_DWN,3.8666
2017-10-01,T2M_MAX,32.81
2017-10-01,ALLSKY_SFC_SW_DNI,2.2294
2017-10-01,T2M_MIN,20.38
2017-11-01,ALLSKY_SFC_SW_DWN,4.1249
2017-11-01,ALLSKY_SFC_SW_DIFF,1.6274
2017-11-01,T2M_MAX,29.7
2017-11-01,PS,101.19
2017-11-01,T2M_MIN,11.0
2017-11-01,ALLSKY_SFC_SW_DNI,4.0702
2017-11-01,RH2M,78.83
2017-12-01,PS,101.44
2017-12-01,ALLSKY_SFC_SW_DIFF,1.5384
2017-12-01,T2M_MIN,8.75
2017-12-01,RH2M,78.67
2017-12-01,ALLSKY_SFC_SW_DNI,3.2232
2017-12-01,ALLSKY_SFC_SW_DWN,3.444
2017-12-01,T2M_MAX,28.05
2018-01-01,T2M_MAX,25.93
2018-01-01,ALLSKY_SFC_SW_DWN,3.943
2018-01-01,ALLSKY_SFC_SW_DNI,3.1186
2018-01-01,PS,101.33
2018-01-01,T2M_MIN,5.5
2018-01-01,ALLSKY_SFC_SW_DIFF,1.897
2018-01-01,RH2M,65.05
2018-02-01,ALLSKY_SFC_SW_DIFF,2.3069
2018-02-01,T2M_MAX,33.87
2018-02-01,RH2M,62.95
2018-02-01,PS,101.28
2018-02-01,ALLSKY_SFC_SW_DWN,4.5367
2018-02-01,T2M_MIN,11.34
2018-02-01,ALLSKY_SFC_SW_DNI,3.1555
2018-03-01,ALLSKY_SFC_SW_DWN,5.2301
2018-03-01,PS,100.89
2018-03-01,ALLSKY_SFC_SW_DNI,3.5352
2018-03-01,ALLSKY_SFC_SW_DIFF,2.4144
2018-03-01,RH2M,55.07
2018-03-01,T2M_MIN,15.87
2018-03-01,T2M_MAX,37.95
2018-04-01,ALLSKY_SFC_SW_DIFF,2.7581
2018-04-01,T2M_MIN,20.2
2018-04-01,PS,100.68
2018-04-01,ALLSKY_SFC_SW_DWN,5.7552
2018-04-01,ALLSKY_SFC_SW_DNI,3.4099
2018-04-01,T2M_MAX,39.47
2018-04-01,RH2M,67.35
2018-05-01,ALLSKY_SFC_SW_DNI,2.4125
2018-05-01,T2M_MAX,40.99
2018-05-01,T2M_MIN,24.51
2018-05-01,ALLSKY_SFC_SW_DWN,5.4794
2018-05-01,ALLSKY_SFC_SW_DIFF,3.0511
2018-05-01,RH2M,69.33
2018-05-01,PS,100.4
2018-06-01,T2M_MAX,39.6
2018-06-01,RH2M,79.95
2018-06-01,T2M_MIN,25.69
2018-06-01,ALLSKY_SFC_SW_DIFF,2.8632
2018-06-01,PS,99.91
2018-06-01,ALLSKY_SFC_SW_DWN,4.5312
2018-06-01,ALLSKY_SFC_SW_DNI,1.549
2018-07-01,ALLSKY_SFC_SW_DNI,1.1419
2018-07-01,T2M_MAX,34.02
2018-07-01,ALLSKY_SFC_SW_DWN,4.092
2018-07-01,PS,99.75
2018-07-01,RH2M,85.95
2018-07-01,T2M_MIN,25.58
2018-07-01,ALLSKY_SFC_SW_DIFF,2.7787
2018-08-01,T2M_MIN,25.45
2018-08-01,T2M_MAX,32.76
2018-08-01,ALLSKY_SFC_SW_DNI,1.1921
2018-08-01,ALLSKY_SFC_SW_DWN,4.272
2018-08-01,PS,99.85
2018-08-01,RH2M,88.4
2018-08-01,ALLSKY_SFC_SW_DIFF,2.9388
2018-09-01,RH2M,87.46
2018-09-01,ALLSKY_SFC_SW_DWN,4.4515
2018-09-01,PS,100.47
2018-09-01,ALLSKY_SFC_SW_DIFF,2.7338
2018-09-01,T2M_MAX,32.55
2018-09-01,ALLSKY_SFC_SW_DNI,1.8288
2018-09-01,T2M_MIN,23.91
2018-10-01,PS,101.04
2018-10-01,T2M_MAX,32.75
2018-10-01,ALLSKY_SFC_SW_DWN,4.3747
2018-10-01,RH2M,76.97
2018-10-01,ALLSKY_SFC_SW_DNI,2.9057
2018-10-01,ALLSKY_SFC_SW_DIFF,2.1482
2018-10-01,T2M_MIN,16.91
2018-11-01,ALLSKY_SFC_SW_DIFF,1.8864
2018-11-01,ALLSKY_SFC_SW_DWN,3.9418
2018-11-01,PS,101.31
2018-11-01,T2M_MAX,30.63
2018-11-01,T2M_MIN,13.56
2018-11-01,ALLSKY_SFC_SW_DNI,3.1322
2018-11-01,RH2M,73.81
2018-12-01,ALLSKY_SFC_SW_DWN,3.3871
2018-12-01,ALLSKY_SFC_SW_DNI,2.892
2018-12-01,T2M_MIN,5.66
2018-12-01,PS,101.49
2018-12-01,T2M_MAX,27.21
2018-12-01,ALLSKY_SFC_SW_DIFF,1.62
2018-12-01,RH2M,67.56
2019-01-01,T2M_MIN,7.56
2019-01-01,ALLSKY_SFC_SW_DWN,3.8628
2019-01-01,PS,101.59
2019-01-01,ALLSKY_SFC_SW_DIFF,1.8742
2019-01-01,RH2M,56.33
2019-01-01,ALLSKY_SFC_SW_DNI,3.0996
2019-01-01,T2M_MAX,30.28
2019-02-01,ALLSKY_SFC_SW_DNI,3.5086
2019-02-01,ALLSKY_SFC_SW_DWN,4.4366
2019-02-01,PS,101.35
2019-02-01,RH2M,55.32
2019-02-01,T2M_MAX,35.6
2019-02-01,T2M_MIN,10.15
2019-02-01,ALLSKY_SFC_SW_DIFF,2.0345
2019-03-01,PS,101.05
2019-03-01,ALLSKY_SFC_SW_DIFF,2.4775
2019-03-01,ALLSKY_SFC_SW_DNI,3.3696
2019-03-01,ALLSKY_SFC_SW_DWN,5.1871
2019-03-01,RH2M,66.68
2019-03-01,T2M_MAX,37.36
2019-03-01,T2M_MIN,13.03
2019-04-01,T2M_MAX,42.8
2019-04-01,RH2M,62.81
2019-04-01,PS,100.65
2019-04-01,ALLSKY_SFC_SW_DIFF,2.6426
2019-04-01,ALLSKY_SFC_SW_DNI,3.8818
2019-04-01,T2M_MIN,20.46
2019-04-01,ALLSKY_SFC_SW_DWN,5.9695
2019-05-01,ALLSKY_SFC_SW_DIFF,2.8286
2019-05-01,T2M_MIN,24.62
2019-05-01,RH2M,66.7
2019-05-01,ALLSKY_SFC_SW_DNI,3.521
2019-05-01,T2M_MAX,41.29
2019-05-01,ALLSKY_SFC_SW_DWN,5.9597
2019-05-01,PS,100.3
2019-06-01,RH2M,73.44
2019-06-01,T2M_MAX,42.23
2019-06-01,ALLSKY_SFC_SW_DIFF,2.9057
2019-06-01,T2M_MIN,27.06
2019-06-01,ALLSKY_SFC_SW_DWN,4.8775
2019-06-01,ALLSKY_SFC_SW_DNI,2.0354
2019-06-01,PS,100.0
2019-07-01,T2M_MIN,26.19
2019-07-01,ALLSKY_SFC_SW_DNI,1.361
2019-07-01,T2M_MAX,35.86
2019-07-01,ALLSKY_SFC_SW_DWN,4.6766
2019-07-01,RH2M,78.64
2019-07-01,ALLSKY_SFC_SW_DIFF,3.1174
2019-07-01,PS,99.93
2019-08-01,RH2M,86.01
2019-08-01,PS,99.95
2019-08-01,T2M_MAX,34.41
2019-08-01,ALLSKY_SFC_SW_DIFF,2.7439
2019-08-01,T2M_MIN,25.69
2019-08-01,ALLSKY_SFC_SW_DNI,1.2065
2019-08-01,ALLSKY_SFC_SW_DWN,4.027
2019-09-01,ALLSKY_SFC_SW_DIFF,2.5224
2019-09-01,T2M_MIN,23.52
2019-09-01,T2M_MAX,32.9
2019-09-01,ALLSKY_SFC_SW_DNI,1.523
2019-09-01,RH2M,89.15
2019-09-01,ALLSKY_SFC_SW_DWN,4.0037
2019-09-01,PS,100.53
2019-10-01,T2M_MAX,31.46
2019-10-01,ALLSKY_SFC_SW_DIFF,2.1725
2019-10-01,ALLSKY_SFC_SW_DWN,4.1062
2019-10-01,ALLSKY_SFC_SW_DNI,2.4439
2019-10-01,PS,101.02
2019-10-01,RH2M,85.2
2019-10-01,T2M_MIN,18.4
2019-11-01,ALLSKY_SFC_SW_DIFF,1.7398
2019-11-01,ALLSKY_SFC_SW_DWN,3.7742
2019-11-01,T2M_MIN,14.57
2019-11-01,PS,101.2
2019-11-01,RH2M,82.66
2019-11-01,T2M_MAX,29.13
2019-11-01,ALLSKY_SFC_SW_DNI,3.125
2019-12-01,ALLSKY_SFC_SW_DNI,2.4324
2019-12-01,ALLSKY_SFC_SW_DIFF,1.7045
2019-12-01,ALLSKY_SFC_SW_DWN,3.2434
2019-12-01,RH2M,79.25
2019-12-01,T2M_MAX,27.25
2019-12-01,T2M_MIN,5.09
2019-12-01,PS,101.6
2020-01-01,T2M_MAX,26.74
2020-01-01,ALLSKY_SFC_SW_DNI,2.7557
2020-01-01,ALLSKY_SFC_SW_DIFF,1.674
2020-01-01,PS,101.55
2020-01-01,T2M_MIN,6.37
2020-01-01,RH2M,74.68
2020-01-01,ALLSKY_SFC_SW_DWN,3.4507
2020-02-01,PS,101.53
2020-02-01,ALLSKY_SFC_SW_DIFF,1.9915
2020-02-01,RH2M,66.58
2020-02-01,ALLSKY_SFC_SW_DNI,2.9844
2020-02-01,T2M_MAX,30.15
2020-02-01,ALLSKY_SFC_SW_DWN,4.1333
2020-02-01,T2M_MIN,8.04
2020-03-01,RH2M,64.97
2020-03-01,T2M_MIN,15.53
2020-03-01,ALLSKY_SFC_SW_DIFF,2.3222
2020-03-01,T2M_MAX,37.49
2020-03-01,ALLSKY_SFC_SW_DNI,3.8246
2020-03-01,PS,101.09
2020-03-01,ALLSKY_SFC_SW_DWN,5.3599
2020-04-01,T2M_MIN,20.67
2020-04-01,ALLSKY_SFC_SW_DIFF,2.7012
2020-04-01,RH2M,60.24
2020-04-01,T2M_MAX,41.07
2020-04-01,ALLSKY_SFC_SW_DNI,3.1622
2020-04-01,PS,100.81
2020-04-01,ALLSKY_SFC_SW_DWN,5.4895
2020-05-01,T2M_MIN,23.51
2020-05-01,PS,100.4
2020-05-01,ALLSKY_SFC_SW_DIFF,2.6834
2020-05-01,ALLSKY_SFC_SW_DNI,2.9558
2020-05-01,ALLSKY_SFC_SW_DWN,5.3849
2020-05-01,T2M_MAX,40.19
2020-05-01,RH2M,72.88
2020-06-01,RH2M,85.31
2020-06-01,ALLSKY_SFC_SW_DWN,4.5144
2020-06-01,T2M_MIN,26.21
2020-06-01,PS,100.13
2020-06-01,T2M_MAX,34.03
2020-06-01,ALLSKY_SFC_SW_DIFF,2.7722
2020-06-01,ALLSKY_SFC_SW_DNI,1.6742
2020-07-01,T2M_MIN,25.06
2020-07-01,T2M_MAX,33.34
2020-07-01,ALLSKY_SFC_SW_DNI,1.4587
2020-07-01,ALLSKY_SFC_SW_DWN,4.5468
2020-07-01,ALLSKY_SFC_SW_DIFF,3.0842
2020-07-01,RH2M,87.44
2020-07-01,PS,100.15
2020-08-01,RH2M,89.43
2020-08-01,ALLSKY_SFC_SW_DNI,1.0474
2020-08-01,T2M_MAX,33.38
2020-08-01,ALLSKY_SFC_SW_DIFF,2.6734
2020-08-01,ALLSKY_SFC_SW_DWN,3.8616
2020-08-01,T2M_MIN,25.58
2020-08-01,PS,99.89
2020-09-01,ALLSKY_SFC_SW_DIFF,2.7446
2020-09-01,T2M_MAX,32.9
