DATE,PARAM,VALUE
2015-01-01,WD10M,332.6
2015-01-01,WS2M,1.86
2015-01-01,WS10M,2.92
2015-02-01,WS2M,1.73
2015-02-01,WS10M,2.66
2015-02-01,WD10M,266.8
2015-03-01,WD10M,260.2
2015-03-01,WS10M,3.13
2015-03-01,WS2M,2.1
2015-04-01,WD10M,196.3
2015-04-01,WS10M,3.72
2015-04-01,WS2M,2.62
2015-05-01,WD10M,189.5
2015-05-01,WS2M,3.04
2015-05-01,WS10M,4.22
2015-06-01,WD10M,190.4
2015-06-01,WS10M,5.12
2015-06-01,WS2M,3.73
2015-07-01,WD10M,213.1
2015-07-01,WS10M,3.91
2015-07-01,WS2M,2.79
2015-08-01,WS10M,3.58
2015-08-01,WS2M,2.5
2015-08-01,WD10M,192.1
2015-09-01,WS2M,1.63
2015-09-01,WD10M,207.3
2015-09-01,WS10M,2.48
2015-10-01,WD10M,319.6
2015-10-01,WS2M,1.09
2015-10-01,WS10M,1.66
2015-11-01,WS2M,1.16
2015-11-01,WS10M,1.79
2015-11-01,WD10M,322.0
2015-12-01,WD10M,326.8
2015-12-01,WS10M,2.09
2015-12-01,WS2M,1.33
2016-01-01,WS2M,1.44
2016-01-01,WD10M,311.4
2016-01-01,WS10M,2.18
2016-02-01,WS10M,2.29
2016-02-01,WD10M,245.0
2016-02-01,WS2M,1.53
2016-03-01,WD10M,216.7
2016-03-01,WS10M,2.97
2016-03-01,WS2M,2.0
2016-04-01,WD10M,198.0
2016-04-01,WS2M,3.27
2016-04-01,WS10M,4.54
2016-05-01,WD10M,190.0
2016-05-01,WS10M,3.87
2016-05-01,WS2M,2.8
2016-06-01,WD10M,175.3
2016-06-01,WS10M,3.63
2016-06-01,WS2M,2.64
2016-07-01,WD10M,188.0
2016-07-01,WS2M,3.1
2016-07-01,WS10M,4.3
2016-08-01,WD10M,186.2
2016-08-01,WS10M,3.28
2016-08-01,WS2M,2.27
2016-09-01,WD10M,176.5
2016-09-01,WS2M,1.76
2016-09-01,WS10M,2.63
2016-10-01,WD10M,341.6
2016-10-01,WS10M,2.12
2016-10-01,WS2M,1.33
2016-11-01,WD10M,326.5
2016-11-01,WS2M,1.4
2016-11-01,WS10M,2.22
2016-12-01,WS10M,2.54
2016-12-01,WD10M,331.8
2016-12-01,WS2M,1.57
2017-01-01,WS10M,2.8
2017-01-01,WS2M,1.77
2017-01-01,WD10M,328.6
2017-02-01,WD10M,283.8
2017-02-01,WS10M,2.66
2017-02-01,WS2M,1.72
2017-03-01,WS10M,3.24
2017-03-01,WD10M,218.5
2017-03-01,WS2M,2.22
2017-04-01,WS10M,4.89
2017-04-01,WS2M,3.51
2017-04-01,WD10M,191.2
2017-05-01,WD10M,192.5
2017-05-01,WS2M,2.84
2017-05-01,WS10M,3.9
2017-06-01,WD10M,186.2
2017-06-01,WS2M,2.96
2017-06-01,WS10M,4.09
2017-07-01,WS2M,3.0
2017-07-01,WS10M,4.19
2017-07-01,WD10M,192.1
2017-08-01,WS2M,2.26
2017-08-01,WS10M,3.26
2017-08-01,WD10M,180.3
2017-09-01,WS2M,1.73
2017-09-01,WD10M,197.4
2017-09-01,WS10M,2.62
2017-10-01,WS2M,1.62
2017-10-01,WS10M,2.5
2017-10-01,WD10M,184.7
2017-11-01,WD10M,349.3
