DATE,PARAM,VALUE
2015-01-01,ALLSKY_SFC_SW_DIFF,1.4515
2015-01-01,T2M_MIN,4.72
2015-01-01,T2M_MAX,25.05
2015-01-01,RH2M,52.1
2015-01-01,ALLSKY_SFC_SW_DNI,1.4311
2015-01-01,PS,100.37
2015-01-01,ALLSKY_SFC_SW_DWN,2.3177
2015-02-01,ALLSKY_SFC_SW_DNI,3.624
2015-02-01,RH2M,43.43
2015-02-01,T2M_MAX,32.94
2015-02-01,T2M_MIN,6.89
2015-02-01,ALLSKY_SFC_SW_DIFF,1.9186
2015-02-01,PS,100.07
2015-02-01,ALLSKY_SFC_SW_DWN,4.3174
2015-03-01,ALLSKY_SFC_SW_DIFF,1.873
2015-03-01,ALLSKY_SFC_SW_DNI,5.2217
2015-03-01,ALLSKY_SFC_SW_DWN,5.521
2015-03-01,PS,99.96
2015-03-01,RH2M,48.25
2015-03-01,T2M_MAX,38.42
2015-03-01,T2M_MIN,9.46
2015-04-01,T2M_MIN,18.14
2015-04-01,T2M_MAX,41.78
2015-04-01,RH2M,41.46
2015-04-01,PS,99.39
2015-04-01,ALLSKY_SFC_SW_DNI,4.7786
2015-04-01,ALLSKY_SFC_SW_DIFF,2.3659
2015-04-01,ALLSKY_SFC_SW_DWN,6.1219
2015-05-01,ALLSKY_SFC_SW_DIFF,2.6806
2015-05-01,ALLSKY_SFC_SW_DNI,5.2661
2015-05-01,ALLSKY_SFC_SW_DWN,6.9732
2015-05-01,PS,98.86
2015-05-01,RH2M,22.94
2015-05-01,T2M_MAX,47.48
2015-05-01,T2M_MIN,22.19
2015-06-01,T2M_MAX,48.16
2015-06-01,T2M_MIN,24.54
2015-06-01,PS,98.53
2015-06-01,RH2M,33.89
2015-06-01,ALLSKY_SFC_SW_DNI,4.0082
2015-06-01,ALLSKY_SFC_SW_DIFF,2.7374
2015-06-01,ALLSKY_SFC_SW_DWN,6.2234
2015-07-01,ALLSKY_SFC_SW_DIFF,2.8675
2015-07-01,ALLSKY_SFC_SW_DNI,2.8222
2015-07-01,PS,98.56
2015-07-01,ALLSKY_SFC_SW_DWN,5.4854
2015-07-01,RH2M,71.06
2015-07-01,T2M_MAX,41.2
2015-07-01,T2M_MIN,24.72
2015-08-01,RH2M,75.65
2015-08-01,PS,98.83
2015-08-01,ALLSKY_SFC_SW_DWN,5.2411
2015-08-01,ALLSKY_SFC_SW_DNI,2.5994
2015-08-01,ALLSKY_SFC_SW_DIFF,2.8121
2015-08-01,T2M_MIN,24.69
2015-08-01,T2M_MAX,35.93
2015-09-01,PS,99.16
2015-09-01,RH2M,59.32
2015-09-01,T2M_MAX,38.32
2015-09-01,ALLSKY_SFC_SW_DWN,5.6436
2015-09-01,T2M_MIN,20.12
2015-09-01,ALLSKY_SFC_SW_DNI,4.2631
2015-09-01,ALLSKY_SFC_SW_DIFF,2.3366
2015-10-01,RH2M,42.11
2015-10-01,PS,99.75
2015-10-01,T2M_MAX,38.84
2015-10-01,ALLSKY_SFC_SW_DWN,4.7189
2015-10-01,ALLSKY_SFC_SW_DNI,4.0951
2015-10-01,ALLSKY_SFC_SW_DIFF,1.8761
2015-10-01,T2M_MIN,16.34
2015-11-01,T2M_MIN,13.66
2015-11-01,T2M_MAX,33.9
2015-11-01,ALLSKY_SFC_SW_DNI,2.6837
2015-11-01,RH2M,36.58
2015-11-01,ALLSKY_SFC_SW_DWN,3.5102
2015-11-01,ALLSKY_SFC_SW_DIFF,1.7736
2015-11-01,PS,100.02
2015-12-01,RH2M,32.23
2015-12-01,PS,100.27
2015-12-01,T2M_MAX,32.26
2015-12-01,ALLSKY_SFC_SW_DIFF,1.6378
2015-12-01,ALLSKY_SFC_SW_DNI,2.4461
2015-12-01,T2M_MIN,6.05
2015-12-01,ALLSKY_SFC_SW_DWN,3.047
2016-01-01,ALLSKY_SFC_SW_DWN,3.1675
2016-01-01,T2M_MAX,30.84
2016-01-01,ALLSKY_SFC_SW_DNI,2.6112
2016-01-01,T2M_MIN,4.12
2016-01-01,RH2M,30.74
2016-01-01,ALLSKY_SFC_SW_DIFF,1.6121
2016-01-01,PS,100.24
2016-02-01,RH2M,24.15
2016-02-01,ALLSKY_SFC_SW_DWN,4.3692
2016-02-01,T2M_MAX,37.69
2016-02-01,PS,100.09
2016-02-01,ALLSKY_SFC_SW_DNI,3.9336
2016-02-01,T2M_MIN,7.67
2016-02-01,ALLSKY_SFC_SW_DIFF,1.8053
2016-03-01,PS,99.74
2016-03-01,ALLSKY_SFC_SW_DWN,5.6227
2016-03-01,RH2M,26.15
2016-03-01,T2M_MAX,41.02
2016-03-01,ALLSKY_SFC_SW_DIFF,2.0518
2016-03-01,ALLSKY_SFC_SW_DNI,4.9459
2016-03-01,T2M_MIN,14.22
2016-04-01,RH2M,15.22
2016-04-01,ALLSKY_SFC_SW_DIFF,2.4905
2016-04-01,T2M_MAX,45.45
2016-04-01,PS,99.05
2016-04-01,ALLSKY_SFC_SW_DWN,6.6326
2016-04-01,T2M_MIN,22.89
2016-04-01,ALLSKY_SFC_SW_DNI,5.3246
2016-05-01,ALLSKY_SFC_SW_DNI,3.9958
2016-05-01,ALLSKY_SFC_SW_DWN,6.4279
2016-05-01,RH2M,30.17
2016-05-01,ALLSKY_SFC_SW_DIFF,2.9417
2016-05-01,PS,98.81
2016-05-01,T2M_MAX,47.25
2016-05-01,T2M_MIN,25.44
2016-06-01,PS,98.67
2016-06-01,T2M_MAX,44.87
2016-06-01,RH2M,46.16
2016-06-01,ALLSKY_SFC_SW_DNI,2.9844
2016-06-01,ALLSKY_SFC_SW_DWN,5.8618
2016-06-01,ALLSKY_SFC_SW_DIFF,2.9892
2016-06-01,T2M_MIN,27.15
2016-07-01,ALLSKY_SFC_SW_DIFF,2.8246
2016-07-01,PS,98.6
2016-07-01,ALLSKY_SFC_SW_DNI,1.2108
2016-07-01,ALLSKY_SFC_SW_DWN,4.3162
2016-07-01,RH2M,82.38
2016-07-01,T2M_MIN,25.1
2016-07-01,T2M_MAX,35.99
2016-08-01,ALLSKY_SFC_SW_DWN,4.921
2016-08-01,RH2M,85.27
2016-08-01,T2M_MAX,33.92
2016-08-01,ALLSKY_SFC_SW_DIFF,2.617
2016-08-01,ALLSKY_SFC_SW_DNI,2.5423
2016-08-01,PS,98.71
2016-08-01,T2M_MIN,24.57
2016-09-01,T2M_MIN,22.73
2016-09-01,T2M_MAX,33.88
2016-09-01,PS,99.07
2016-09-01,ALLSKY_SFC_SW_DWN,4.6973
2016-09-01,ALLSKY_SFC_SW_DNI,2.5205
2016-09-01,RH2M,83.95
2016-09-01,ALLSKY_SFC_SW_DIFF,2.537
2016-10-01,ALLSKY_SFC_SW_DIFF,1.9464
2016-10-01,T2M_MIN,14.03
2016-10-01,T2M_MAX,33.22
2016-10-01,RH2M,63.64
2016-10-01,ALLSKY_SFC_SW_DWN,4.799
2016-10-01,ALLSKY_SFC_SW_DNI,4.0906
2016-10-01,PS,99.48
2016-11-01,ALLSKY_SFC_SW_DNI,3.1541
2016-11-01,ALLSKY_SFC_SW_DWN,3.7402
2016-11-01,ALLSKY_SFC_SW_DIFF,1.7508
2016-11-01,RH2M,53.31
2016-11-01,PS,99.97
2016-11-01,T2M_MAX,29.87
2016-11-01,T2M_MIN,9.67
2016-12-01,RH2M,46.89
2016-12-01,ALLSKY_SFC_SW_DWN,2.5831
2016-12-01,ALLSKY_SFC_SW_DNI,1.817
2016-12-01,T2M_MIN,6.05
2016-12-01,PS,100.18
2016-12-01,ALLSKY_SFC_SW_DIFF,1.4786
