DATE,PARAM,VALUE
2015-01-01,WD10M,293.2
2015-01-01,WS2M,1.86
2015-01-01,WS10M,3.01
2015-02-01,WS2M,1.69
2015-02-01,WS10M,2.79
2015-02-01,WD10M,287.3
2015-03-01,WD10M,298.1
2015-03-01,WS10M,3.36
2015-03-01,WS2M,2.14
2015-04-01,WD10M,311.9
2015-04-01,WS10M,3.17
2015-04-01,WS2M,2.12
2015-05-01,WD10M,307.0
2015-05-01,WS2M,2.1
2015-05-01,WS10M,3.06
2015-06-01,WD10M,341.4
2015-06-01,WS10M,3.82
2015-06-01,WS2M,2.82
2015-07-01,WD10M,264.9
2015-07-01,WS10M,3.84
2015-07-01,WS2M,2.71
2015-08-01,WS10M,2.57
2015-08-01,WS2M,1.7
2015-08-01,WD10M,283.3
2015-09-01,WS2M,1.92
2015-09-01,WD10M,301.4
2015-09-01,WS10M,2.98
2015-10-01,WD10M,338.1
2015-10-01,WS2M,1.35
2015-10-01,WS10M,2.22
2015-11-01,WS2M,1.49
2015-11-01,WS10M,2.42
2015-11-01,WD10M,317.9
2015-12-01,WD10M,289.8
2015-12-01,WS10M,2.54
2015-12-01,WS2M,1.58
2016-01-01,WS2M,1.61
2016-01-01,WD10M,291.5
2016-01-01,WS10M,2.56
2016-02-01,WS10M,2.9
2016-02-01,WD10M,301.0
2016-02-01,WS2M,1.81
2016-03-01,WD10M,295.9
2016-03-01,WS10M,3.3
2016-03-01,WS2M,2.11
2016-04-01,WD10M,293.1
2016-04-01,WS2M,2.93
2016-04-01,WS10M,4.34
2016-05-01,WD10M,93.2
2016-05-01,WS10M,3.05
2016-05-01,WS2M,2.15
2016-06-01,WD10M,111.8
2016-06-01,WS10M,3.33
2016-06-01,WS2M,2.42
2016-07-01,WD10M,120.0
2016-07-01,WS2M,2.2
2016-07-01,WS10M,3.16
2016-08-01,WD10M,102.7
2016-08-01,WS10M,3.14
2016-08-01,WS2M,2.09
2016-09-01,WD10M,246.3
2016-09-01,WS2M,1.66
2016-09-01,WS10M,2.56
2016-10-01,WD10M,256.2
2016-10-01,WS10M,1.87
2016-10-01,WS2M,1.11
2016-11-01,WD10M,284.1
2016-11-01,WS2M,1.31
2016-11-01,WS10M,2.22
2016-12-01,WS10M,2.4
2016-12-01,WD10M,285.3
2016-12-01,WS2M,1.44
2017-01-01,WS10M,3.01
2017-01-01,WS2M,1.83
2017-01-01,WD10M,293.6
2017-02-01,WD10M,292.8
2017-02-01,WS10M,3.13
2017-02-01,WS2M,1.9
2017-03-01,WS10M,3.61
2017-03-01,WD10M,307.2
2017-03-01,WS2M,2.28
2017-04-01,WS10M,3.62
2017-04-01,WS2M,2.39
2017-04-01,WD10M,316.1
2017-05-01,WD10M,32.2
2017-05-01,WS2M,2.26
2017-05-01,WS10M,3.2
2017-06-01,WD10M,282.0
2017-06-01,WS2M,2.34
2017-06-01,WS10M,3.23
2017-07-01,WS2M,2.35
2017-07-01,WS10M,3.36
2017-07-01,WD10M,106.7
2017-08-01,WS2M,1.98
2017-08-01,WS10M,2.99
2017-08-01,WD10M,176.0
2017-09-01,WS2M,1.59
2017-09-01,WD10M,240.3
2017-09-01,WS10M,2.49
2017-10-01,WS2M,0.92
2017-10-01,WS10M,1.44
2017-10-01,WD10M,247.9
2017-11-01,WD10M,289.6
2017-11-01,WS2M,1.3
2017-11-01,WS10M,2.15
2017-12-01,WS10M,2.21
2017-12-01,WD10M,289.4
2017-12-01,WS2M,1.37
2018-01-01,WD10M,292.0
2018-01-01,WS10M,2.95
2018-01-01,WS2M,1.75
2018-02-01,WS10M,3.1
2018-02-01,WD10M,296.7
2018-02-01,WS2M,1.89
2018-03-01,WS2M,2.26
2018-03-01,WD10M,290.7
2018-03-01,WS10M,3.57
2018-04-01,WD10M,66.8
2018-04-01,WS2M,2.4
2018-04-01,WS10M,3.55
2018-05-01,WD10M,92.8
2018-05-01,WS10M,3.44
2018-05-01,WS2M,2.47
2018-06-01,WS10M,4.12
2018-06-01,WS2M,3.03
2018-06-01,WD10M,167.1
2018-07-01,WD10M,98.2
2018-07-01,WS2M,2.78
2018-07-01,WS10M,3.93
2018-08-01,WS2M,1.79
2018-08-01,WS10M,2.67
2018-08-01,WD10M,102.3
2018-09-01,WD10M,232.0
2018-09-01,WS10M,3.16
2018-09-01,WS2M,2.05
2018-10-01,WS10M,1.93
2018-10-01,WD10M,299.4
2018-10-01,WS2M,1.16
2018-11-01,WS2M,1.31
2018-11-01,WD10M,290.6
2018-11-01,WS10M,2.19
2018-12-01,WS2M,1.46
2018-12-01,WD10M,293.7
2018-12-01,WS10M,2.47
2019-01-01,WD10M,289.0
2019-01-01,WS2M,1.65
2019-01-01,WS10M,2.7
2019-02-01,WD10M,312.9
2019-02-01,WS10M,3.03
2019-02-01,WS2M,1.87
2019-03-01,WD10M,301.5
2019-03-01,WS10M,3.19
2019-03-01,WS2M,2.01
2019-04-01,WD10M,312.9
2019-04-01,WS10M,3.3
2019-04-01,WS2M,2.2
2019-05-01,WD10M,293.7
2019-05-01,WS2M,2.93
2019-05-01,WS10M,4.15
2019-06-01,WD10M,201.6
2019-06-01,WS10M,3.7
2019-06-01,WS2M,2.72
2019-07-01,WS10M,3.43
2019-07-01,WS2M,2.4
2019-07-01,WD10M,154.1
2019-08-01,WS2M,2.02
2019-08-01,WD10M,107.7
2019-08-01,WS10M,3.03
2019-09-01,WS2M,1.97
2019-09-01,WS10M,2.99
2019-09-01,WD10M,100.4
2019-10-01,WS2M,1.21
2019-10-01,WD10M,236.2
2019-10-01,WS10M,1.97
2019-11-01,WS10M,2.26
2019-11-01,WS2M,1.36
2019-11-01,WD10M,266.2
2019-12-01,WS10M,2.4
2019-12-01,WS2M,1.47
2019-12-01,WD10M,266.9
2020-01-01,WS2M,1.65
2020-01-01,WD10M,262.3
2020-01-01,WS10M,2.71
2020-02-01,WS2M,1.62
2020-02-01,WS10M,2.66
2020-02-01,WD10M,271.9
2020-03-01,WD10M,290.9
2020-03-01,WS10M,3.15
2020-03-01,WS2M,2.02
2020-04-01,WD10M,298.6
2020-04-01,WS10M,3.26
2020-04-01,WS2M,2.13
2020-05-01,WD10M,6.3
2020-05-01,WS10M,3.22
2020-05-01,WS2M,2.3
2020-06-01,WS10M,3.18
2020-06-01,WS2M,2.37
2020-06-01,WD10M,98.1
2020-07-01,WD10M,177.7
2020-07-01,WS2M,2.22
2020-07-01,WS10M,3.16
2020-08-01,WS2M,2.32
2020-08-01,WD10M,112.8
2020-08-01,WS10M,3.42
2020-09-01,WS2M,1.57
2020-09-01,WS10M,2.45
2020-09-01,WD10M,205.1
2020-10-01,WS2M,1.2
2020-10-01,WD10M,258.6
2020-10-01,WS10M,2.09
2020-11-01,WS2M,1.62
2020-11-01,WS10M,2.69
2020-11-01,WD10M,292.6
2020-12-01,WS2M,2.0
2020-12-01,WD10M,286.9
2020-12-01,WS10M,3.28
2021-01-01,WS2M,1.94
2021-01-01,WD10M,292.0
2021-01-01,WS10M,3.11
2021-02-01,WD10M,283.6
2021-02-01,WS10M,2.9
2021-02-01,WS2M,1.77
2021-03-01,WD10M,288.1
2021-03-01,WS10M,3.63
2021-03-01,WS2M,2.35
2021-04-01,WS2M,2.34
2021-04-01,WD10M,291.4
2021-04-01,WS10M,3.59
2021-05-01,WS2M,2.31
2021-05-01,WS10M,3.27
2021-05-01,WD10M,51.4
2021-06-01,WS2M,1.99
2021-06-01,WD10M,92.4
2021-06-01,WS10M,2.76
2021-07-01,WS2M,2.19
2021-07-01,WD10M,125.1
2021-07-01,WS10M,3.1
2021-08-01,WS10M,3.24
2021-08-01,WD10M,165.6
2021-08-01,WS2M,2.18
2021-09-01,WD10M,95.2
2021-09-01,WS10M,3.07
2021-09-01,WS2M,2.02
2021-10-01,WS2M,1.54
2021-10-01,WD10M,282.3
2021-10-01,WS10M,2.51
2021-11-01,WS10M,2.34
2021-11-01,WD10M,292.6
2021-11-01,WS2M,1.41
2021-12-01,WS10M,2.45
2021-12-01,WD10M,306.3
2021-12-01,WS2M,1.5
2022-01-01,WD10M,287.1
2022-01-01,WS2M,1.62
2022-01-01,WS10M,2.69
2022-02-01,WS2M,2.07
2022-02-01,WS10M,3.38
2022-02-01,WD10M,296.3
2022-03-01,WS10M,3.03
2022-03-01,WD10M,294.0
2022-03-01,WS2M,1.87
2022-04-01,WD10M,308.7
2022-04-01,WS10M,3.23
2022-04-01,WS2M,2.12
2022-05-01,WD10M,85.6
2022-05-01,WS10M,2.85
2022-05-01,WS2M,1.97
2022-06-01,WD10M,242.2
2022-06-01,WS10M,3.32
2022-06-01,WS2M,2.47
2022-07-01,WS2M,3.07
2022-07-01,WD10M,114.6
2022-07-01,WS10M,4.24
2022-08-01,WD10M,126.3
2022-08-01,WS2M,2.7
2022-08-01,WS10M,3.94
2022-09-01,WD10M,136.1
2022-09-01,WS10M,3.17
2022-09-01,WS2M,2.12
2022-10-01,WS2M,1.45
2022-10-01,WS10M,2.3
2022-10-01,WD10M,218.1
2022-11-01,WD10M,264.3
2022-11-01,WS2M,1.37
2022-11-01,WS10M,2.29
2022-12-01,WS2M,1.56
2022-12-01,WD10M,278.7
2022-12-01,WS10M,2.65
2023-01-01,WS2M,1.53
2023-01-01,WS10M,2.58
2023-01-01,WD10M,283.5
2023-02-01,WS10M,2.99
2023-02-01,WS2M,1.86
2023-02-01,WD10M,275.5
2023-03-01,WD10M,281.2
2023-03-01,WS2M,1.82
2023-03-01,WS10M,2.87
2023-04-01,WS2M,2.1
2023-04-01,WS10M,3.21
2023-04-01,WD10M,288.8
2023-05-01,WS10M,2.93
2023-05-01,WS2M,2.06
2023-05-01,WD10M,272.6
2023-06-01,WS10M,4.35
2023-06-01,WS2M,3.2
2023-06-01,WD10M,268.2
2023-07-01,WS10M,3.24
2023-07-01,WD10M,123.6
2023-07-01,WS2M,2.29
2023-08-01,WS10M,3.42
2023-08-01,WS2M,2.31
2023-08-01,WD10M,246.2
2023-09-01,WD10M,80.4
2023-09-01,WS10M,2.58
2023-09-01,WS2M,1.67
2023-10-01,WS10M,1.67
2023-10-01,WS2M,1.04
2023-10-01,WD10M,286.8
2023-11-01,WD10M,287.4
2023-11-01,WS10M,1.87
2023-11-01,WS2M,1.16
2023-12-01,WD10M,285.5
2023-12-01,WS10M,2.37
2023-12-01,WS2M,1.42
2024-01-01,WS2M,1.36
2024-01-01,WD10M,286.3
2024-01-01,WS10M,2.21
2024-02-01,WS10M,2.91
2024-02-01,WS2M,1.8
2024-02-01,WD10M,286.4
