DATE,PARAM,VALUE
2015-01-01,ALLSKY_SFC_SW_DIFF,1.7635
2015-01-01,T2M_MIN,13.88
2015-01-01,T2M_MAX,35.25
2015-01-01,RH2M,53.44
2015-01-01,ALLSKY_SFC_SW_DNI,4.877
2015-01-01,PS,100.27
2015-01-01,ALLSKY_SFC_SW_DWN,4.7722
2015-02-01,ALLSKY_SFC_SW_DNI,5.7914
2015-02-01,RH2M,43.43
2015-02-01,T2M_MAX,39.02
2015-02-01,T2M_MIN,16.51
2015-02-01,ALLSKY_SFC_SW_DIFF,1.7594
2015-02-01,PS,100.14
2015-02-01,ALLSKY_SFC_SW_DWN,5.7319
2015-03-01,ALLSKY_SFC_SW_DIFF,2.034
2015-03-01,ALLSKY_SFC_SW_DNI,5.7586
2015-03-01,ALLSKY_SFC_SW_DWN,6.4174
2015-03-01,PS,100.07
2015-03-01,RH2M,50.36
2015-03-01,T2M_MAX,43.45
2015-03-01,T2M_MIN,14.11
2015-04-01,T2M_MIN,20.8
2015-04-01,T2M_MAX,42.22
2015-04-01,RH2M,56.22
2015-04-01,PS,99.84
2015-04-01,ALLSKY_SFC_SW_DNI,5.3122
2015-04-01,ALLSKY_SFC_SW_DIFF,2.4962
2015-04-01,ALLSKY_SFC_SW_DWN,6.9559
2015-05-01,ALLSKY_SFC_SW_DIFF,2.6165
2015-05-01,ALLSKY_SFC_SW_DNI,5.2925
2015-05-01,ALLSKY_SFC_SW_DWN,7.1134
2015-05-01,PS,99.66
2015-05-01,RH2M,61.29
2015-05-01,T2M_MAX,40.4
2015-05-01,T2M_MIN,24.16
2015-06-01,T2M_MAX,37.65
2015-06-01,T2M_MIN,24.83
2015-06-01,PS,99.34
2015-06-01,RH2M,80.54
2015-06-01,ALLSKY_SFC_SW_DNI,1.9733
2015-06-01,ALLSKY_SFC_SW_DIFF,2.4238
2015-06-01,ALLSKY_SFC_SW_DWN,4.5833
2015-07-01,ALLSKY_SFC_SW_DIFF,2.7514
2015-07-01,ALLSKY_SFC_SW_DNI,1.1381
2015-07-01,PS,99.48
2015-07-01,ALLSKY_SFC_SW_DWN,4.5094
2015-07-01,RH2M,86.62
2015-07-01,T2M_MAX,30.85
2015-07-01,T2M_MIN,24.11
2015-08-01,RH2M,87.4
2015-08-01,PS,99.64
2015-08-01,ALLSKY_SFC_SW_DWN,4.601
2015-08-01,ALLSKY_SFC_SW_DNI,1.6051
2015-08-01,ALLSKY_SFC_SW_DIFF,2.6201
2015-08-01,T2M_MIN,23.92
2015-08-01,T2M_MAX,31.14
2015-09-01,PS,99.73
2015-09-01,RH2M,84.46
2015-09-01,T2M_MAX,34.21
2015-09-01,ALLSKY_SFC_SW_DWN,5.0981
2015-09-01,T2M_MIN,20.65
2015-09-01,ALLSKY_SFC_SW_DNI,2.8176
2015-09-01,ALLSKY_SFC_SW_DIFF,2.4259
2015-10-01,RH2M,75.88
2015-10-01,PS,99.96
2015-10-01,T2M_MAX,35.3
2015-10-01,ALLSKY_SFC_SW_DWN,4.9466
2015-10-01,ALLSKY_SFC_SW_DNI,3.0348
2015-10-01,ALLSKY_SFC_SW_DIFF,2.4134
2015-10-01,T2M_MIN,20.57
2015-11-01,T2M_MIN,18.04
2015-11-01,T2M_MAX,33.4
2015-11-01,ALLSKY_SFC_SW_DNI,3.553
2015-11-01,RH2M,69.43
2015-11-01,ALLSKY_SFC_SW_DWN,4.4513
2015-11-01,ALLSKY_SFC_SW_DIFF,1.9925
2015-11-01,PS,100.03
2015-12-01,RH2M,52.73
2015-12-01,PS,100.23
2015-12-01,T2M_MAX,35.64
2015-12-01,ALLSKY_SFC_SW_DIFF,1.601
2015-12-01,ALLSKY_SFC_SW_DNI,5.1626
2015-12-01,T2M_MIN,12.72
2015-12-01,ALLSKY_SFC_SW_DWN,4.6577
2016-01-01,ALLSKY_SFC_SW_DWN,4.8926
2016-01-01,T2M_MAX,37.5
2016-01-01,ALLSKY_SFC_SW_DNI,5.316
2016-01-01,T2M_MIN,13.04
2016-01-01,RH2M,45.48
2016-01-01,ALLSKY_SFC_SW_DIFF,1.6646
2016-01-01,PS,100.27
2016-02-01,RH2M,50.44
2016-02-01,ALLSKY_SFC_SW_DWN,5.6364
2016-02-01,T2M_MAX,38.77
2016-02-01,PS,100.17
2016-02-01,ALLSKY_SFC_SW_DNI,5.4367
2016-02-01,T2M_MIN,15.2
2016-02-01,ALLSKY_SFC_SW_DIFF,1.9258
2016-03-01,PS,100.01
2016-03-01,ALLSKY_SFC_SW_DWN,6.5239
2016-03-01,RH2M,47.83
2016-03-01,T2M_MAX,42.68
2016-03-01,ALLSKY_SFC_SW_DIFF,2.0263
2016-03-01,ALLSKY_SFC_SW_DNI,5.8882
2016-03-01,T2M_MIN,19.51
2016-04-01,RH2M,53.82
2016-04-01,ALLSKY_SFC_SW_DIFF,2.2478
