DATE,PARAM,VALUE
2015-01-01,WD10M,49.1
2015-01-01,WS2M,2.07
2015-01-01,WS10M,3.11
2015-02-01,WS2M,2.14
2015-02-01,WS10M,3.09
2015-02-01,WD10M,5.2
2015-03-01,WD10M,341.2
2015-03-01,WS10M,3.05
2015-03-01,WS2M,2.19
2015-04-01,WD10M,282.0
2015-04-01,WS10M,2.85
2015-04-01,WS2M,2.18
2015-05-01,WD10M,279.0
2015-05-01,WS2M,2.53
2015-05-01,WS10M,3.26
2015-06-01,WD10M,224.0
2015-06-01,WS10M,5.24
2015-06-01,WS2M,3.97
2015-07-01,WD10M,244.3
2015-07-01,WS10M,5.47
2015-07-01,WS2M,4.09
2015-08-01,WS10M,3.74
2015-08-01,WS2M,2.72
2015-08-01,WD10M,259.5
2015-09-01,WS2M,2.0
2015-09-01,WD10M,281.4
2015-09-01,WS10M,2.88
2015-10-01,WD10M,75.5
2015-10-01,WS2M,1.64
2015-10-01,WS10M,2.54
2015-11-01,WS2M,2.07
2015-11-01,WS10M,3.2
2015-11-01,WD10M,74.1
2015-12-01,WD10M,68.5
2015-12-01,WS10M,3.22
2015-12-01,WS2M,2.07
2016-01-01,WS2M,1.91
2016-01-01,WD10M,43.2
2016-01-01,WS10M,2.96
2016-02-01,WS10M,2.69
2016-02-01,WD10M,323.0
2016-02-01,WS2M,1.89
2016-03-01,WD10M,322.4
2016-03-01,WS10M,2.83
2016-03-01,WS2M,2.05
2016-04-01,WD10M,307.0
2016-04-01,WS2M,2.4
2016-04-01,WS10M,3.16
2016-05-01,WD10M,269.6
2016-05-01,WS10M,3.67
2016-05-01,WS2M,2.88
2016-06-01,WD10M,253.9
2016-06-01,WS10M,4.61
2016-06-01,WS2M,3.55
2016-07-01,WD10M,248.9
2016-07-01,WS2M,3.68
2016-07-01,WS10M,4.95
2016-08-01,WD10M,248.0
2016-08-01,WS10M,5.04
2016-08-01,WS2M,3.68
2016-09-01,WD10M,283.6
2016-09-01,WS2M,2.49
2016-09-01,WS10M,3.53
2016-10-01,WD10M,22.5
2016-10-01,WS10M,2.88
2016-10-01,WS2M,1.87
2016-11-01,WD10M,86.5
2016-11-01,WS2M,2.2
2016-11-01,WS10M,3.4
2016-12-01,WS10M,3.29
2016-12-01,WD10M,81.6
2016-12-01,WS2M,2.11
2017-01-01,WS10M,3.08
2017-01-01,WS2M,2.0
2017-01-01,WD10M,56.2
2017-02-01,WD10M,30.7
2017-02-01,WS10M,3.13
2017-02-01,WS2M,2.15
2017-03-01,WS10M,2.88
2017-03-01,WD10M,311.4
2017-03-01,WS2M,2.1
2017-04-01,WS10M,3.01
2017-04-01,WS2M,2.26
2017-04-01,WD10M,286.3
2017-05-01,WD10M,273.7
2017-05-01,WS2M,2.64
2017-05-01,WS10M,3.39
2017-06-01,WD10M,235.5
2017-06-01,WS2M,3.42
2017-06-01,WS10M,4.51
2017-07-01,WS2M,4.29
2017-07-01,WS10M,5.77
2017-07-01,WD10M,248.0
2017-08-01,WS2M,2.97
2017-08-01,WS10M,4.11
2017-08-01,WD10M,254.7
2017-09-01,WS2M,1.89
2017-09-01,WD10M,295.0
2017-09-01,WS10M,2.72
2017-10-01,WS2M,1.48
2017-10-01,WS10M,2.31
2017-10-01,WD10M,52.3
2017-11-01,WD10M,72.5
2017-11-01,WS2M,1.95
2017-11-01,WS10M,3.12
2017-12-01,WS10M,3.32
2017-12-01,WD10M,84.6
2017-12-01,WS2M,2.16
2018-01-01,WD10M,53.4
2018-01-01,WS10M,2.77
