DATE,PARAM,VALUE
2015-01-01,ALLSKY_SFC_SW_DIFF,1.9303
2015-01-01,T2M_MIN,9.13
2015-01-01,T2M_MAX,30.56
2015-01-01,RH2M,58.49
2015-01-01,ALLSKY_SFC_SW_DNI,4.5341
2015-01-01,PS,94.27
2015-01-01,ALLSKY_SFC_SW_DWN,4.801
2015-02-01,ALLSKY_SFC_SW_DNI,5.4506
2015-02-01,RH2M,44.12
2015-02-01,T2M_MAX,34.44
2015-02-01,T2M_MIN,11.79
2015-02-01,ALLSKY_SFC_SW_DIFF,2.0112
2015-02-01,PS,94.18
2015-02-01,ALLSKY_SFC_SW_DWN,5.7821
2015-03-01,ALLSKY_SFC_SW_DIFF,2.219
2015-03-01,ALLSKY_SFC_SW_DNI,5.1665
2015-03-01,ALLSKY_SFC_SW_DWN,6.2503
2015-03-01,PS,94.13
2015-03-01,RH2M,49.6
2015-03-01,T2M_MAX,38.9
2015-03-01,T2M_MIN,9.9
2015-04-01,T2M_MIN,16.2
2015-04-01,T2M_MAX,40.39
2015-04-01,RH2M,48.54
2015-04-01,PS,93.92
2015-04-01,ALLSKY_SFC_SW_DNI,5.0726
2015-04-01,ALLSKY_SFC_SW_DIFF,2.6153
2015-04-01,ALLSKY_SFC_SW_DWN,6.8719
2015-05-01,ALLSKY_SFC_SW_DIFF,2.6141
2015-05-01,ALLSKY_SFC_SW_DNI,4.8871
2015-05-01,ALLSKY_SFC_SW_DWN,6.8119
2015-05-01,PS,93.79
2015-05-01,RH2M,58.61
2015-05-01,T2M_MAX,40.39
2015-05-01,T2M_MIN,19.05
2015-06-01,T2M_MAX,37.37
2015-06-01,T2M_MIN,20.89
2015-06-01,PS,93.49
2015-06-01,RH2M,80.64
2015-06-01,ALLSKY_SFC_SW_DNI,1.9423
2015-06-01,ALLSKY_SFC_SW_DIFF,2.37
2015-06-01,ALLSKY_SFC_SW_DWN,4.4518
2015-07-01,ALLSKY_SFC_SW_DIFF,2.5123
2015-07-01,ALLSKY_SFC_SW_DNI,0.9043
2015-07-01,PS,93.59
2015-07-01,ALLSKY_SFC_SW_DWN,3.9862
2015-07-01,RH2M,86.18
2015-07-01,T2M_MAX,29.99
2015-07-01,T2M_MIN,21.04
2015-08-01,RH2M,86.75
2015-08-01,PS,93.72
2015-08-01,ALLSKY_SFC_SW_DWN,3.8813
2015-08-01,ALLSKY_SFC_SW_DNI,0.9288
2015-08-01,ALLSKY_SFC_SW_DIFF,2.3868
2015-08-01,T2M_MIN,20.73
2015-08-01,T2M_MAX,30.18
2015-09-01,PS,93.81
2015-09-01,RH2M,85.55
2015-09-01,T2M_MAX,30.82
2015-09-01,ALLSKY_SFC_SW_DWN,4.8497
2015-09-01,T2M_MIN,17.16
2015-09-01,ALLSKY_SFC_SW_DNI,2.5442
2015-09-01,ALLSKY_SFC_SW_DIFF,2.3686
2015-10-01,RH2M,76.43
2015-10-01,PS,94.08
2015-10-01,T2M_MAX,31.12
2015-10-01,ALLSKY_SFC_SW_DWN,4.9882
2015-10-01,ALLSKY_SFC_SW_DNI,3.1805
2015-10-01,ALLSKY_SFC_SW_DIFF,2.3714
2015-10-01,T2M_MIN,17.66
2015-11-01,T2M_MIN,14.6
2015-11-01,T2M_MAX,30.39
2015-11-01,ALLSKY_SFC_SW_DNI,3.6391
2015-11-01,RH2M,69.44
2015-11-01,ALLSKY_SFC_SW_DWN,4.6394
2015-11-01,ALLSKY_SFC_SW_DIFF,2.1036
2015-11-01,PS,94.12
2015-12-01,RH2M,57.0
2015-12-01,PS,94.29
2015-12-01,T2M_MAX,31.11
2015-12-01,ALLSKY_SFC_SW_DIFF,1.7405
