DATE,PARAM,VALUE
2015-01-01,WD10M,78.0
2015-01-01,WS2M,1.9
2015-01-01,WS10M,3.0
2015-02-01,WS2M,1.99
2015-02-01,WS10M,3.07
2015-02-01,WD10M,36.0
2015-03-01,WD10M,7.2
2015-03-01,WS10M,2.89
2015-03-01,WS2M,1.97
2015-04-01,WD10M,292.4
2015-04-01,WS10M,3.28
2015-04-01,WS2M,2.42
2015-05-01,WD10M,291.3
2015-05-01,WS2M,2.96
2015-05-01,WS10M,3.93
2015-06-01,WD10M,241.4
2015-06-01,WS10M,5.9
2015-06-01,WS2M,4.39
2015-07-01,WD10M,256.6
2015-07-01,WS10M,6.73
2015-07-01,WS2M,4.96
2015-08-01,WS10M,4.71
2015-08-01,WS2M,3.4
2015-08-01,WD10M,268.3
2015-09-01,WS2M,2.21
2015-09-01,WD10M,284.4
2015-09-01,WS10M,3.22
2015-10-01,WD10M,68.2
2015-10-01,WS2M,1.55
2015-10-01,WS10M,2.51
2015-11-01,WS2M,1.99
2015-11-01,WS10M,3.24
2015-11-01,WD10M,78.7
2015-12-01,WD10M,75.0
2015-12-01,WS10M,3.18
2015-12-01,WS2M,1.93
2016-01-01,WS2M,1.74
2016-01-01,WD10M,59.4
2016-01-01,WS10M,2.81
2016-02-01,WS10M,2.71
2016-02-01,WD10M,302.8
2016-02-01,WS2M,1.8
2016-03-01,WD10M,318.4
2016-03-01,WS10M,2.92
2016-03-01,WS2M,2.02
2016-04-01,WD10M,305.6
2016-04-01,WS2M,2.63
2016-04-01,WS10M,3.58
2016-05-01,WD10M,283.2
2016-05-01,WS10M,4.62
2016-05-01,WS2M,3.5
2016-06-01,WD10M,263.8
2016-06-01,WS10M,5.57
2016-06-01,WS2M,4.18
2016-07-01,WD10M,258.8
2016-07-01,WS2M,4.41
2016-07-01,WS10M,6.03
2016-08-01,WD10M,257.2
2016-08-01,WS10M,6.08
2016-08-01,WS2M,4.35
2016-09-01,WD10M,281.5
2016-09-01,WS2M,2.78
2016-09-01,WS10M,4.03
2016-10-01,WD10M,23.7
2016-10-01,WS10M,2.84
2016-10-01,WS2M,1.77
2016-11-01,WD10M,85.6
2016-11-01,WS2M,2.01
2016-11-01,WS10M,3.33
2016-12-01,WS10M,3.33
2016-12-01,WD10M,84.3
2016-12-01,WS2M,2.03
2017-01-01,WS10M,2.83
2017-01-01,WS2M,1.75
2017-01-01,WD10M,78.7
2017-02-01,WD10M,68.1
2017-02-01,WS10M,3.1
2017-02-01,WS2M,2.01
2017-03-01,WS10M,2.9
2017-03-01,WD10M,312.8
2017-03-01,WS2M,1.99
2017-04-01,WS10M,3.53
2017-04-01,WS2M,2.55
2017-04-01,WD10M,298.2
2017-05-01,WD10M,288.2
2017-05-01,WS2M,3.2
2017-05-01,WS10M,4.22
2017-06-01,WD10M,249.8
2017-06-01,WS2M,3.88
2017-06-01,WS10M,5.21
2017-07-01,WS2M,5.21
2017-07-01,WS10M,7.12
2017-07-01,WD10M,256.6
2017-08-01,WS2M,3.46
2017-08-01,WS10M,4.85
2017-08-01,WD10M,263.3
2017-09-01,WS2M,1.87
2017-09-01,WD10M,286.4
2017-09-01,WS10M,2.77
