DATE,PARAM,VALUE
2015-01-01,ALLSKY_SFC_SW_DIFF,1.6505
2015-01-01,T2M_MIN,5.07
2015-01-01,T2M_MAX,28.9
2015-01-01,RH2M,61.16
2015-01-01,ALLSKY_SFC_SW_DNI,4.6042
2015-01-01,PS,98.46
2015-01-01,ALLSKY_SFC_SW_DWN,4.3541
2015-02-01,ALLSKY_SFC_SW_DNI,5.357
2015-02-01,RH2M,45.48
2015-02-01,T2M_MAX,36.4
2015-02-01,T2M_MIN,7.45
2015-02-01,ALLSKY_SFC_SW_DIFF,1.8953
2015-02-01,PS,98.25
2015-02-01,ALLSKY_SFC_SW_DWN,5.3393
2015-03-01,ALLSKY_SFC_SW_DIFF,1.8826
2015-03-01,ALLSKY_SFC_SW_DNI,5.5685
2015-03-01,ALLSKY_SFC_SW_DWN,5.8639
2015-03-01,PS,98.12
2015-03-01,RH2M,39.92
2015-03-01,T2M_MAX,39.79
2015-03-01,T2M_MIN,12.5
2015-04-01,T2M_MIN,20.17
2015-04-01,T2M_MAX,43.47
2015-04-01,RH2M,35.56
2015-04-01,PS,97.64
2015-04-01,ALLSKY_SFC_SW_DNI,5.1396
2015-04-01,ALLSKY_SFC_SW_DIFF,2.3741
2015-04-01,ALLSKY_SFC_SW_DWN,6.475
2015-05-01,ALLSKY_SFC_SW_DIFF,2.4775
2015-05-01,ALLSKY_SFC_SW_DNI,5.2099
2015-05-01,ALLSKY_SFC_SW_DWN,6.7649
2015-05-01,PS,97.23
2015-05-01,RH2M,25.68
2015-05-01,T2M_MAX,47.46
2015-05-01,T2M_MIN,25.34
2015-06-01,T2M_MAX,44.84
2015-06-01,T2M_MIN,23.93
2015-06-01,PS,97.0
2015-06-01,RH2M,62.15
2015-06-01,ALLSKY_SFC_SW_DNI,2.4158
2015-06-01,ALLSKY_SFC_SW_DIFF,2.8176
2015-06-01,ALLSKY_SFC_SW_DWN,5.2178
2015-07-01,ALLSKY_SFC_SW_DIFF,2.7845
2015-07-01,ALLSKY_SFC_SW_DNI,1.5192
2015-07-01,PS,97.03
2015-07-01,ALLSKY_SFC_SW_DWN,4.4285
2015-07-01,RH2M,84.14
2015-07-01,T2M_MAX,34.31
2015-07-01,T2M_MIN,23.12
2015-08-01,RH2M,85.71
2015-08-01,PS,97.2
2015-08-01,ALLSKY_SFC_SW_DWN,4.4832
2015-08-01,ALLSKY_SFC_SW_DNI,1.6171
2015-08-01,ALLSKY_SFC_SW_DIFF,2.7706
2015-08-01,T2M_MIN,22.39
2015-08-01,T2M_MAX,33.11
2015-09-01,PS,97.52
2015-09-01,RH2M,83.29
2015-09-01,T2M_MAX,32.09
2015-09-01,ALLSKY_SFC_SW_DWN,5.2056
2015-09-01,T2M_MIN,19.45
2015-09-01,ALLSKY_SFC_SW_DNI,3.3211
2015-09-01,ALLSKY_SFC_SW_DIFF,2.4509
2015-10-01,RH2M,75.57
2015-10-01,PS,98.03
2015-10-01,T2M_MAX,32.15
2015-10-01,ALLSKY_SFC_SW_DWN,5.185
2015-10-01,ALLSKY_SFC_SW_DNI,4.4002
2015-10-01,ALLSKY_SFC_SW_DIFF,2.0177
2015-10-01,T2M_MIN,17.09
2015-11-01,T2M_MIN,13.88
2015-11-01,T2M_MAX,30.19
2015-11-01,ALLSKY_SFC_SW_DNI,4.1858
2015-11-01,RH2M,73.66
2015-11-01,ALLSKY_SFC_SW_DWN,4.4489
2015-11-01,ALLSKY_SFC_SW_DIFF,1.806
2015-11-01,PS,98.26
2015-12-01,RH2M,61.56
2015-12-01,PS,98.4
2015-12-01,T2M_MAX,30.71
2015-12-01,ALLSKY_SFC_SW_DIFF,1.5871
2015-12-01,ALLSKY_SFC_SW_DNI,3.787
2015-12-01,T2M_MIN,6.17
2015-12-01,ALLSKY_SFC_SW_DWN,3.8165
2016-01-01,ALLSKY_SFC_SW_DWN,4.4426
2016-01-01,T2M_MAX,33.94
2016-01-01,ALLSKY_SFC_SW_DNI,4.8662
2016-01-01,T2M_MIN,4.68
2016-01-01,RH2M,47.25
2016-01-01,ALLSKY_SFC_SW_DIFF,1.6639
2016-01-01,PS,98.39
2016-02-01,RH2M,35.98
2016-02-01,ALLSKY_SFC_SW_DWN,4.8787
2016-02-01,T2M_MAX,38.09
2016-02-01,PS,98.18
2016-02-01,ALLSKY_SFC_SW_DNI,4.0349
2016-02-01,T2M_MIN,11.26
2016-02-01,ALLSKY_SFC_SW_DIFF,2.2594
2016-03-01,PS,97.93
2016-03-01,ALLSKY_SFC_SW_DWN,5.8723
2016-03-01,RH2M,29.93
2016-03-01,T2M_MAX,41.84
2016-03-01,ALLSKY_SFC_SW_DIFF,2.3215
2016-03-01,ALLSKY_SFC_SW_DNI,4.8329
2016-03-01,T2M_MIN,17.65
2016-04-01,RH2M,21.41
2016-04-01,ALLSKY_SFC_SW_DIFF,2.0258
2016-04-01,T2M_MAX,46.5
2016-04-01,PS,97.44
2016-04-01,ALLSKY_SFC_SW_DWN,6.9461
2016-04-01,T2M_MIN,22.92
2016-04-01,ALLSKY_SFC_SW_DNI,6.4394
2016-05-01,ALLSKY_SFC_SW_DNI,5.49
2016-05-01,ALLSKY_SFC_SW_DWN,6.8066
2016-05-01,RH2M,33.51
2016-05-01,ALLSKY_SFC_SW_DIFF,2.465
2016-05-01,PS,97.18
2016-05-01,T2M_MAX,45.76
2016-05-01,T2M_MIN,25.73
2016-06-01,PS,97.02
2016-06-01,T2M_MAX,44.48
2016-06-01,RH2M,55.31
2016-06-01,ALLSKY_SFC_SW_DNI,3.5518
2016-06-01,ALLSKY_SFC_SW_DWN,5.8694
2016-06-01,ALLSKY_SFC_SW_DIFF,2.7845
2016-06-01,T2M_MIN,25.5
2016-07-01,ALLSKY_SFC_SW_DIFF,2.7425
2016-07-01,PS,96.97
2016-07-01,ALLSKY_SFC_SW_DNI,1.0711
2016-07-01,ALLSKY_SFC_SW_DWN,4.038
2016-07-01,RH2M,82.44
2016-07-01,T2M_MIN,23.65
2016-07-01,T2M_MAX,36.05
2016-08-01,ALLSKY_SFC_SW_DWN,3.8995
2016-08-01,RH2M,87.32
2016-08-01,T2M_MAX,32.19
2016-08-01,ALLSKY_SFC_SW_DIFF,2.6083
2016-08-01,ALLSKY_SFC_SW_DNI,1.1674
2016-08-01,PS,97.03
2016-08-01,T2M_MIN,21.6
2016-09-01,T2M_MIN,22.1
2016-09-01,T2M_MAX,31.09
2016-09-01,PS,97.3
2016-09-01,ALLSKY_SFC_SW_DWN,4.0874
2016-09-01,ALLSKY_SFC_SW_DNI,1.4278
2016-09-01,RH2M,88.94
2016-09-01,ALLSKY_SFC_SW_DIFF,2.6726
2016-10-01,ALLSKY_SFC_SW_DIFF,1.884
2016-10-01,T2M_MIN,14.16
2016-10-01,T2M_MAX,30.68
2016-10-01,RH2M,76.93
2016-10-01,ALLSKY_SFC_SW_DWN,5.2145
2016-10-01,ALLSKY_SFC_SW_DNI,4.7882
2016-10-01,PS,97.76
2016-11-01,ALLSKY_SFC_SW_DNI,5.2418
2016-11-01,ALLSKY_SFC_SW_DWN,4.7971
2016-11-01,ALLSKY_SFC_SW_DIFF,1.5869
2016-11-01,RH2M,70.06
2016-11-01,PS,98.22
2016-11-01,T2M_MAX,28.28
2016-11-01,T2M_MIN,10.35
2016-12-01,RH2M,67.44
2016-12-01,ALLSKY_SFC_SW_DWN,4.4441
2016-12-01,ALLSKY_SFC_SW_DNI,5.2807
2016-12-01,T2M_MIN,6.67
2016-12-01,PS,98.34
2016-12-01,ALLSKY_SFC_SW_DIFF,1.4791
2016-12-01,T2M_MAX,26.73
2017-01-01,ALLSKY_SFC_SW_DWN,4.4998
2017-01-01,T2M_MIN,4.93
2017-01-01,ALLSKY_SFC_SW_DIFF,1.6392
2017-01-01,ALLSKY_SFC_SW_DNI,4.8197
2017-01-01,RH2M,59.44
2017-01-01,PS,98.39
2017-01-01,T2M_MAX,30.8
2017-02-01,T2M_MAX,36.71
2017-02-01,ALLSKY_SFC_SW_DNI,6.8592
2017-02-01,ALLSKY_SFC_SW_DWN,5.6398
2017-02-01,ALLSKY_SFC_SW_DIFF,1.2946
2017-02-01,PS,98.26
2017-02-01,RH2M,39.84
2017-02-01,T2M_MIN,9.83
2017-03-01,RH2M,25.64
2017-03-01,PS,97.79
2017-03-01,ALLSKY_SFC_SW_DIFF,1.7753
2017-03-01,T2M_MIN,12.75
2017-03-01,ALLSKY_SFC_SW_DWN,6.4968
2017-03-01,ALLSKY_SFC_SW_DNI,6.6355
2017-03-01,T2M_MAX,44.32
2017-04-01,T2M_MAX,46.0
2017-04-01,T2M_MIN,20.48
2017-04-01,ALLSKY_SFC_SW_DNI,6.6955
2017-04-01,RH2M,14.7
2017-04-01,ALLSKY_SFC_SW_DIFF,2.1506
2017-04-01,ALLSKY_SFC_SW_DWN,7.2626
2017-04-01,PS,97.4
2017-05-01,T2M_MIN,27.12
2017-05-01,PS,97.17
2017-05-01,ALLSKY_SFC_SW_DIFF,2.5042
2017-05-01,T2M_MAX,47.54
2017-05-01,RH2M,24.06
2017-05-01,ALLSKY_SFC_SW_DWN,6.7757
2017-05-01,ALLSKY_SFC_SW_DNI,5.1754
2017-06-01,RH2M,59.09
2017-06-01,ALLSKY_SFC_SW_DIFF,2.8454
2017-06-01,PS,96.96
2017-06-01,ALLSKY_SFC_SW_DNI,2.5932
2017-06-01,ALLSKY_SFC_SW_DWN,5.2202
2017-06-01,T2M_MIN,24.38
2017-06-01,T2M_MAX,44.6
2017-07-01,ALLSKY_SFC_SW_DNI,0.9041
2017-07-01,PS,96.99
2017-07-01,RH2M,82.58
2017-07-01,ALLSKY_SFC_SW_DWN,4.1057
2017-07-01,ALLSKY_SFC_SW_DIFF,2.8975
2017-07-01,T2M_MAX,35.52
2017-07-01,T2M_MIN,23.91
2017-08-01,PS,97.1
2017-08-01,ALLSKY_SFC_SW_DNI,1.3771
2017-08-01,T2M_MIN,22.99
2017-08-01,ALLSKY_SFC_SW_DWN,4.3325
2017-08-01,RH2M,86.41
2017-08-01,ALLSKY_SFC_SW_DIFF,2.7826
2017-08-01,T2M_MAX,32.11
2017-09-01,ALLSKY_SFC_SW_DWN,4.6932
2017-09-01,RH2M,85.57
2017-09-01,ALLSKY_SFC_SW_DIFF,2.6146
2017-09-01,ALLSKY_SFC_SW_DNI,2.3484
2017-09-01,PS,97.46
2017-09-01,T2M_MAX,32.11
2017-09-01,T2M_MIN,22.21
2017-10-01,ALLSKY_SFC_SW_DIFF,2.142
2017-10-01,PS,97.71
2017-10-01,RH2M,79.94
2017-10-01,ALLSKY_SFC_SW_DWN,4.8338
2017-10-01,T2M_MAX,32.01
2017-10-01,ALLSKY_SFC_SW_DNI,3.6991
2017-10-01,T2M_MIN,16.66
2017-11-01,ALLSKY_SFC_SW_DWN,4.4249
2017-11-01,ALLSKY_SFC_SW_DIFF,1.6728
2017-11-01,T2M_MAX,28.42
2017-11-01,PS,98.17
2017-11-01,T2M_MIN,10.49
2017-11-01,ALLSKY_SFC_SW_DNI,4.4503
2017-11-01,RH2M,73.24
2017-12-01,PS,98.39
2017-12-01,ALLSKY_SFC_SW_DIFF,1.3246
2017-12-01,T2M_MIN,7.34
2017-12-01,RH2M,63.95
2017-12-01,ALLSKY_SFC_SW_DNI,5.5298
2017-12-01,ALLSKY_SFC_SW_DWN,4.4282
2017-12-01,T2M_MAX,27.4
2018-01-01,T2M_MAX,31.66
2018-01-01,ALLSKY_SFC_SW_DWN,4.9205
2018-01-01,ALLSKY_SFC_SW_DNI,6.36
2018-01-01,PS,98.24
2018-01-01,T2M_MIN,6.52
2018-01-01,ALLSKY_SFC_SW_DIFF,1.2526
2018-01-01,RH2M,46.16
2018-02-01,ALLSKY_SFC_SW_DIFF,1.6826
2018-02-01,T2M_MAX,36.42
2018-02-01,RH2M,41.11
2018-02-01,PS,98.21
2018-02-01,ALLSKY_SFC_SW_DWN,5.1761
2018-02-01,T2M_MIN,10.68
2018-02-01,ALLSKY_SFC_SW_DNI,5.4151
2018-03-01,ALLSKY_SFC_SW_DWN,5.964
2018-03-01,PS,97.84
2018-03-01,ALLSKY_SFC_SW_DNI,5.3532
2018-03-01,ALLSKY_SFC_SW_DIFF,1.9982
2018-03-01,RH2M,22.68
2018-03-01,T2M_MIN,16.77
2018-03-01,T2M_MAX,41.8
2018-04-01,ALLSKY_SFC_SW_DIFF,2.3302
2018-04-01,T2M_MIN,21.13
2018-04-01,PS,97.51
2018-04-01,ALLSKY_SFC_SW_DWN,6.5395
2018-04-01,ALLSKY_SFC_SW_DNI,5.2145
2018-04-01,T2M_MAX,44.28
2018-04-01,RH2M,31.24
2018-05-01,ALLSKY_SFC_SW_DNI,4.3646
