-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2015 through 12/31/2024 in LST
Location: Latitude  23.0225   Longitude 72.5714 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 46.53 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DNI      CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
PS                     MERRA-2 Surface Pressure (kPa) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DIFF,2015,1.6099,1.7148,2.1058,2.4958,2.251,2.903,2.7617,2.6738,2.2903,1.6349,1.7052,1.3771,2.1278
ALLSKY_SFC_SW_DIFF,2016,1.5389,1.9826,2.0316,2.1142,2.4338,2.8699,2.8099,2.5111,2.3954,1.8437,1.3855,1.081,2.0825
ALLSKY_SFC_SW_DIFF,2017,1.6315,1.5218,1.8444,2.1418,2.3863,2.9671,2.2274,2.5092,2.3023,1.5893,1.6421,1.5206,2.0251
ALLSKY_SFC_SW_DIFF,2018,1.3061,1.7822,1.8542,2.3345,2.5224,3.1382,2.6753,2.5486,2.2046,1.7635,1.6013,1.4297,2.0969
ALLSKY_SFC_SW_DIFF,2019,1.5751,1.7249,1.9457,1.9807,2.3546,2.8063,2.8346,2.5046,2.4324,2.0534,1.9298,1.5732,2.1449
ALLSKY_SFC_SW_DIFF,2020,1.525,1.6032,2.0263,2.1415,2.0321,2.9676,2.8783,2.4298,2.5752,1.7455,1.609,1.254,2.0654
ALLSKY_SFC_SW_DIFF,2021,1.3968,1.62,2.0364,2.3549,2.6143,2.802,2.7797,2.8313,2.4197,1.903,1.734,1.5929,2.1766
ALLSKY_SFC_SW_DIFF,2022,1.392,1.5511,2.0688,2.2678,2.8822,2.8862,2.6815,2.4446,2.3678,1.5684,1.4626,1.3039,2.0755
ALLSKY_SFC_SW_DIFF,2023,1.5005,1.2732,2.1926,2.3443,2.3131,2.6136,2.8572,2.4833,2.2824,1.7304,1.8146,1.6375,2.0916
ALLSKY_SFC_SW_DIFF,2024,1.6824,1.9584,2.1216,2.5721,2.4173,2.6957,2.6774,2.3875,2.2858,2.0117,1.5614,1.3673,2.1444
ALLSKY_SFC_SW_DNI,2015,5.058,6.0084,5.915,5.394,6.6389,3.5489,1.3344,2.0662,4.2643,6.0794,4.5926,5.9129,4.727
ALLSKY_SFC_SW_DNI,2016,5.4317,5.5214,6.2818,6.8731,6.2616,3.9734,1.3003,1.3102,4.0723,4.8638,6.187,6.7142,4.8917
ALLSKY_SFC_SW_DNI,2017,4.9315,6.6334,6.7879,6.5148,6.169,3.7471,1.1426,1.7422,3.5995,6.1339,4.7189,3.8832,4.651
ALLSKY_SFC_SW_DNI,2018,6.0773,5.6088,6.4906,5.8224,5.8855,2.952,0.6084,0.7006,3.5309,5.7926,5.1612,5.4288,4.4974
ALLSKY_SFC_SW_DNI,2019,5.4785,5.7931,6.2174,6.7985,6.4126,3.912,1.6349,1.2706,1.5998,4.4762,3.2551,4.0942,4.2365
ALLSKY_SFC_SW_DNI,2020,5.0518,6.1378,5.8438,6.5491,6.9929,3.3636,2.5133,1.0963,3.0511,5.4905,4.9327,5.4302,4.6992
ALLSKY_SFC_SW_DNI,2021,4.9565,6.3886,6.3084,5.952,4.831,3.5477,1.6126,1.5377,1.7268,5.2037,4.0078,3.593,4.1239
ALLSKY_SFC_SW_DNI,2022,5.4518,6.5959,5.904,6.3926,4.7695,4.0186,1.1686,1.5466,3.4934,6.0137,5.825,5.5546,4.7102
ALLSKY_SFC_SW_DNI,2023,5.1778,7.7458,4.8722,5.5344,6.0307,3.4195,1.2701,0.9046,3.1687,5.783,3.5772,4.001,4.266
ALLSKY_SFC_SW_DNI,2024,4.7705,5.0887,5.9026,4.9992,5.7554,4.0169,0.9756,1.1122,2.5601,4.2979,5.2008,4.8101,4.1182
ALLSKY_SFC_SW_DWN,2015,4.423,5.5318,6.2107,6.8525,7.5982,6.1154,4.3289,4.6387,5.5882,5.7281,4.5223,4.5096,5.5008
ALLSKY_SFC_SW_DWN,2016,4.5636,5.4223,6.4627,7.2816,7.4664,6.3974,4.3231,3.9074,5.5236,5.1336,4.9517,4.5996,5.4974
ALLSKY_SFC_SW_DWN,2017,4.4508,5.6525,6.7015,7.2763,7.4285,6.3158,3.4954,4.26,5.1533,5.6419,4.5242,3.6797,5.3746
ALLSKY_SFC_SW_DWN,2018,4.7196,5.3813,6.5465,7.0762,7.3841,6.0557,3.7152,3.595,4.9682,5.6892,4.7093,4.3111,5.3417
ALLSKY_SFC_SW_DWN,2019,4.6903,5.4005,6.4406,7.2194,7.5444,6.283,4.6526,3.9785,4.0147,5.1557,4.0296,3.8779,5.2716
ALLSKY_SFC_SW_DWN,2020,4.4215,5.4521,6.2071,7.212,7.5804,6.0252,5.2344,3.6941,5.1425,5.4641,4.5749,4.1506,5.4264
ALLSKY_SFC_SW_DWN,2021,4.2701,5.6033,6.6103,7.1191,6.6742,6.0223,4.5434,4.5326,4.0531,5.4516,4.2038,3.673,5.2253
ALLSKY_SFC_SW_DWN,2022,4.4731,5.7312,6.4226,7.2653,7.05,6.4555,4.1129,4.0207,5.183,5.513,4.859,4.2941,5.4406
ALLSKY_SFC_SW_DWN,2023,4.4892,5.957,5.7994,6.6859,7.1602,5.6671,4.4417,3.6631,4.8578,5.6626,4.115,3.9012,5.1924
ALLSKY_SFC_SW_DWN,2024,4.3654,5.2642,6.4171,6.6238,7.129,6.2412,3.9948,3.6559,4.4789,5.0047,4.6956,4.0157,5.1528
PS,2015,101.07,100.78,100.67,100.22,99.98,99.61,99.64,99.97,100.15,100.58,100.74,101.01,100.37
PS,2016,101.0,100.82,100.58,100.25,99.89,99.68,99.63,99.68,100.12,100.44,100.83,100.93,100.32
PS,2017,100.96,100.88,100.48,100.21,99.94,99.62,99.6,99.75,100.15,100.35,100.74,100.95,100.3
PS,2018,100.79,100.78,100.48,100.16,99.88,99.51,99.48,99.72,100.24,100.59,100.81,101.02,100.29
PS,2019,101.12,100.9,100.63,100.24,100.06,99.64,99.52,99.67,99.98,100.59,100.77,101.01,100.34
PS,2020,101.01,100.94,100.59,100.33,99.98,99.68,99.56,99.5,99.97,100.27,100.89,100.88,100.3
PS,2021,100.77,100.79,100.48,100.25,99.83,99.72,99.54,99.85,99.77,100.4,100.63,101.02,100.25
PS,2022,100.92,100.65,100.42,100.13,99.74,99.65,99.6,99.64,100.03,100.53,100.84,100.83,100.25
PS,2023,101.01,100.87,100.61,100.33,100.15,99.79,99.66,99.97,100.0,100.67,100.86,100.97,100.41
PS,2024,101.01,100.94,100.67,100.25,99.86,99.64,99.35,99.77,100.0,100.47,100.85,100.91,100.31
RH2M,2015,39.67,28.65,32.14,36.22,35.0,58.01,70.4,81.15,68.67,46.85,33.79,19.34,45.93
RH2M,2016,26.97,22.32,24.74,30.29,35.64,46.93,68.59,81.14,74.8,62.53,38.24,31.4,45.4
RH2M,2017,30.8,22.71,21.86,27.89,31.93,55.98,81.04,85.84,81.25,57.81,41.85,40.89,48.49
RH2M,2018,26.73,24.49,22.35,26.3,32.85,45.69,72.98,77.73,70.87,42.35,29.31,25.38,41.54
RH2M,2019,23.62,28.46,24.45,25.1,36.43,50.28,66.48,86.09,89.12,81.47,79.74,68.73,55.15
RH2M,2020,54.9,34.23,34.2,25.92,33.62,63.14,75.96,86.36,84.93,71.4,62.22,51.03,56.59
RH2M,2021,39.82,28.6,23.84,26.39,42.39,61.61,70.07,66.12,84.05,70.99,56.91,52.59,52.08
