-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2015 through 12/31/2024 in LST
Location: Latitude  12.9716   Longitude 77.5946 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 841.72 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DNI      CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
PS                     MERRA-2 Surface Pressure (kPa) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DIFF,2015,2.1298,1.895,2.3462,2.5934,2.6978,2.7257,2.9112,2.7936,2.7396,2.4283,1.9891,1.9094,2.4334
ALLSKY_SFC_SW_DIFF,2016,2.0566,2.2572,2.411,2.5118,2.4538,2.7754,2.9278,2.8601,2.7934,2.3503,2.2344,1.8132,2.4535
ALLSKY_SFC_SW_DIFF,2017,1.9853,1.7021,2.4682,2.749,2.862,3.0367,2.8992,2.909,2.7358,2.5483,2.2697,1.9006,2.5099
ALLSKY_SFC_SW_DIFF,2018,2.1322,1.7551,2.2805,2.7401,2.9285,2.9578,2.8301,2.8486,2.6712,2.3945,2.155,2.2565,2.5003
ALLSKY_SFC_SW_DIFF,2019,1.9018,1.9831,2.2625,2.461,2.8346,3.0336,3.0005,2.717,2.9412,2.6088,2.1374,2.1619,2.5063
ALLSKY_SFC_SW_DIFF,2020,1.7573,2.167,2.3506,2.4288,2.917,3.089,2.9126,2.881,2.6935,2.5567,2.1953,1.848,2.4835
ALLSKY_SFC_SW_DIFF,2021,2.0258,1.8689,2.064,2.9198,2.777,2.897,2.7341,2.9803,2.9446,2.4871,2.1166,1.9699,2.4845
ALLSKY_SFC_SW_DIFF,2022,2.2025,2.2214,2.6873,2.7022,2.5913,3.012,2.6299,2.725,2.6508,2.477,2.1211,1.8108,2.4866
ALLSKY_SFC_SW_DIFF,2023,1.8938,1.7472,2.3287,2.459,2.7158,2.8778,2.7374,2.9268,2.8234,2.6059,2.3702,2.0484,2.4653
ALLSKY_SFC_SW_DIFF,2024,2.1581,1.9274,2.4295,2.3558,2.7948,2.9189,2.6717,2.8649,2.7794,2.5133,2.2553,1.8607,2.4624
ALLSKY_SFC_SW_DNI,2015,4.321,6.4022,5.0542,4.2713,3.1654,2.586,2.3789,2.7614,3.2282,3.9106,1.956,4.0368,3.6576
ALLSKY_SFC_SW_DNI,2016,4.4441,5.3002,5.1226,5.2188,4.1803,1.8662,1.6049,2.5654,2.0822,4.3548,4.254,4.4614,3.7843
ALLSKY_SFC_SW_DNI,2017,4.7033,6.7385,4.6937,4.3286,3.4078,2.089,1.3927,1.2547,2.017,2.1005,2.3422,4.4213,3.269
ALLSKY_SFC_SW_DNI,2018,4.6966,6.4085,5.2834,4.3834,3.1063,1.4522,0.9283,0.7567,3.3307,3.6391,3.4529,3.127,3.3581
ALLSKY_SFC_SW_DNI,2019,5.6318,5.7077,5.7571,4.9111,3.9646,2.7485,1.5502,1.0625,1.5823,2.2915,3.299,2.7451,3.4222
ALLSKY_SFC_SW_DNI,2020,5.5502,5.3957,5.0203,4.8614,3.7781,2.3225,1.7129,1.3054,1.4275,2.1648,2.8092,3.595,3.3226
ALLSKY_SFC_SW_DNI,2021,3.4783,5.7732,6.186,3.4699,3.5033,2.4406,1.5698,1.4635,1.7254,1.8662,0.9173,3.3914,2.9683
ALLSKY_SFC_SW_DNI,2022,4.1177,5.082,4.0462,4.0061,2.585,2.7257,1.2122,1.427,2.2951,2.1706,2.3028,3.5784,2.9465
ALLSKY_SFC_SW_DNI,2023,5.3976,6.4426,5.1317,4.8924,3.5148,3.0055,0.9139,2.6906,2.0899,2.7415,2.1427,2.7103,3.4531
ALLSKY_SFC_SW_DNI,2024,3.72,6.0478,5.3388,5.7936,2.5013,2.1703,0.5741,1.7738,2.2634,1.8977,2.1226,2.8819,3.0744
ALLSKY_SFC_SW_DWN,2015,5.2147,6.5237,6.5076,6.3634,5.7125,5.2428,5.3062,5.447,5.6174,5.6004,3.7061,4.68,5.4878
ALLSKY_SFC_SW_DWN,2016,5.2032,6.1387,6.5851,6.905,6.0893,4.7753,4.8893,5.2862,4.973,5.7737,5.3249,4.8,5.5596
ALLSKY_SFC_SW_DWN,2017,5.257,6.5702,6.3598,6.5647,6.0828,5.3273,4.7467,4.7335,4.969,4.6841,4.2984,4.9142,5.3669
ALLSKY_SFC_SW_DWN,2018,5.3722,6.4591,6.5424,6.5599,5.9244,4.9099,4.3733,4.326,5.7506,5.4518,4.7537,4.5586,5.4058
ALLSKY_SFC_SW_DWN,2019,5.6777,6.2302,6.8674,6.6852,6.3619,5.6693,4.9543,4.3114,4.9265,4.8838,4.686,4.1995,5.4475
ALLSKY_SFC_SW_DWN,2020,5.5154,6.1932,6.4862,6.5782,6.2762,5.4391,4.9296,4.6147,4.4705,4.733,4.3757,4.3697,5.3285
ALLSKY_SFC_SW_DWN,2021,4.5948,6.1882,6.9142,6.2244,5.9647,5.4883,4.5806,4.9001,5.0047,4.4758,3.2856,4.4261,5.1641
ALLSKY_SFC_SW_DWN,2022,5.135,6.0922,6.1013,6.3326,5.2526,5.6407,4.3183,4.53,4.9418,4.6291,4.055,4.3118,5.1022
ALLSKY_SFC_SW_DWN,2023,5.5349,6.4272,6.4675,6.6444,6.0067,5.6717,4.2826,5.521,5.059,5.131,4.2893,4.097,5.4197
ALLSKY_SFC_SW_DWN,2024,4.8646,6.3581,6.7145,7.0409,5.3695,5.2572,3.9638,4.9111,5.0902,4.5029,4.14,3.9629,5.1727
PS,2015,91.98,91.94,91.91,91.73,91.6,91.49,91.54,91.59,91.62,91.85,91.81,92.03,91.76
PS,2016,92.04,91.98,91.87,91.63,91.54,91.47,91.47,91.49,91.55,91.66,91.83,91.87,91.7
PS,2017,91.95,91.97,91.75,91.63,91.56,91.49,91.53,91.44,91.55,91.62,91.75,91.93,91.68
PS,2018,91.84,91.93,91.76,91.61,91.48,91.43,91.42,91.49,91.62,91.78,91.88,91.92,91.68
PS,2019,92.03,91.96,91.81,91.66,91.55,91.43,91.47,91.51,91.62,91.75,91.84,91.94,91.71
PS,2020,91.94,91.96,91.79,91.76,91.5,91.41,91.39,91.44,91.45,91.53,91.84,91.88,91.65
PS,2021,91.82,91.89,91.77,91.67,91.48,91.52,91.4,91.51,91.49,91.6,91.62,91.97,91.64
PS,2022,91.88,91.79,91.67,91.59,91.37,91.41,91.38,91.37,91.52,91.66,91.82,91.8,91.6
PS,2023,91.97,91.92,91.83,91.66,91.63,91.5,91.52,91.62,91.56,91.85,91.89,91.91,91.74
PS,2024,91.99,92.01,91.88,91.62,91.43,91.5,91.43,91.53,91.54,91.67,91.79,91.8,91.68
RH2M,2015,57.94,46.01,48.3,57.64,67.27,74.81,70.56,72.67,74.01,74.0,85.82,78.11,67.37
RH2M,2016,67.23,53.03,45.95,38.68,60.84,76.5,77.9,76.68,73.59,62.11,51.07,59.41,61.99
RH2M,2017,57.29,43.26,48.36,40.81,63.53,73.11,71.64,79.1,85.83,87.17,86.33,80.82,68.27
