-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2015 through 12/31/2024 in LST
Location: Latitude  23.2581   Longitude 77.4251 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 475.01 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DNI      CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
PS                     MERRA-2 Surface Pressure (kPa) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DIFF,2015,1.5089,1.8761,1.8828,2.479,2.3695,2.7014,2.5877,2.713,2.2999,1.7798,1.7503,1.2521,2.0995
ALLSKY_SFC_SW_DIFF,2016,1.4362,2.0225,2.149,2.1917,2.4648,2.8826,2.4329,2.2829,2.5351,1.8173,1.3658,1.1688,2.0606
ALLSKY_SFC_SW_DIFF,2017,1.7659,1.487,1.705,1.867,2.6359,2.9311,2.5159,2.6186,2.329,1.8569,1.6342,1.5679,2.0798
ALLSKY_SFC_SW_DIFF,2018,1.2902,1.795,1.9392,2.2812,2.7506,2.9755,2.2354,2.2982,2.0359,1.7525,1.6279,1.3529,2.0275
ALLSKY_SFC_SW_DIFF,2019,1.5967,1.8401,1.8898,1.9978,2.3266,2.7924,2.5949,2.1797,2.2488,2.0354,1.7357,1.5233,2.0638
ALLSKY_SFC_SW_DIFF,2020,1.5134,1.6548,2.0628,2.2848,2.2385,2.7634,3.0302,2.2375,2.7938,1.9872,1.6078,1.087,2.1048
ALLSKY_SFC_SW_DIFF,2021,1.4316,1.573,1.9399,2.4802,2.7139,2.8702,2.4871,2.3856,2.4211,1.9253,1.747,1.6066,2.1336
ALLSKY_SFC_SW_DIFF,2022,1.5931,1.5775,1.9565,2.2332,2.9071,2.9702,2.6431,2.4818,2.3018,1.7894,1.5053,1.2893,2.1067
ALLSKY_SFC_SW_DIFF,2023,1.523,1.3008,2.3093,2.525,2.2526,2.4602,2.7986,2.4835,2.2771,1.8821,1.853,1.5302,2.1043
ALLSKY_SFC_SW_DIFF,2024,1.6111,2.0498,2.0268,2.5675,2.5416,3.0408,2.4547,2.4358,2.521,2.0155,1.8379,1.3762,2.2044
ALLSKY_SFC_SW_DNI,2015,3.7337,5.1667,5.2874,5.19,6.0509,3.6358,1.3118,1.2091,4.2142,4.8334,3.9175,5.7758,4.1854
ALLSKY_SFC_SW_DNI,2016,5.2238,5.081,5.5546,6.5338,5.8378,3.503,0.6953,0.8218,2.8738,5.1994,6.0163,6.1723,4.453
ALLSKY_SFC_SW_DNI,2017,4.175,6.3974,7.0548,7.5362,5.3707,3.1898,0.793,1.1419,2.9074,4.7662,4.3848,4.165,4.3044
ALLSKY_SFC_SW_DNI,2018,6.1186,4.8696,5.8416,5.9275,5.4158,2.6866,0.7234,0.4925,2.9338,5.4893,4.7657,5.4638,4.2238
ALLSKY_SFC_SW_DNI,2019,4.9879,4.9747,6.4087,6.9137,6.39,4.332,1.4035,0.8441,0.9634,3.1747,3.8741,3.5911,3.9797
ALLSKY_SFC_SW_DNI,2020,3.9398,5.7259,5.2342,5.9904,6.6634,2.6503,2.4002,0.8993,2.383,4.6044,4.6406,5.0213,4.1738
ALLSKY_SFC_SW_DNI,2021,4.3205,6.0996,5.7758,5.8118,4.4568,3.0715,1.6322,0.8726,1.7359,4.7899,4.1179,3.2604,3.8117
ALLSKY_SFC_SW_DNI,2022,4.031,6.1692,5.8644,6.235,4.5281,3.2474,1.0394,1.1138,2.413,5.0496,5.4026,5.021,4.1582
ALLSKY_SFC_SW_DNI,2023,4.4134,7.501,4.278,4.5005,5.9707,3.6506,1.2041,1.141,2.3995,5.0011,2.9926,3.5736,3.8614
ALLSKY_SFC_SW_DNI,2024,3.3204,4.1556,5.8318,4.3519,5.2783,2.5322,0.8822,1.0178,1.7645,4.1162,3.8753,4.5425,3.4723
ALLSKY_SFC_SW_DWN,2015,3.624,5.1859,5.5661,6.5998,7.1558,5.917,4.0819,4.0771,5.5426,5.0772,4.1573,4.3548,5.1062
ALLSKY_SFC_SW_DWN,2016,4.345,5.1816,6.0859,7.0536,7.0867,6.0398,3.4793,3.2914,4.9385,5.2733,4.859,4.4335,5.1662
ALLSKY_SFC_SW_DWN,2017,4.2053,5.4914,6.6367,7.5144,7.0291,5.7994,3.5443,3.9691,4.752,5.0839,4.3308,3.8458,5.1763
ALLSKY_SFC_SW_DWN,2018,4.7117,4.9771,6.1445,6.9211,7.1275,5.5493,3.2141,3.1514,4.3454,5.4545,4.5197,4.2542,5.028
ALLSKY_SFC_SW_DWN,2019,4.4345,5.046,6.4282,7.1678,7.3171,6.2086,4.1225,3.2146,3.3257,4.3534,4.1359,3.5712,4.9399
ALLSKY_SFC_SW_DWN,2020,3.7874,5.2654,5.8507,6.8244,7.2857,5.2354,5.3438,3.2995,4.9174,5.1461,4.4194,3.7658,5.0914
ALLSKY_SFC_SW_DWN,2021,3.9518,5.4242,6.1157,6.9962,6.3809,5.7677,4.1702,3.4966,4.0224,5.1835,4.3171,3.5311,4.939
ALLSKY_SFC_SW_DWN,2022,3.9252,5.4691,6.2311,7.0858,6.8455,5.863,3.9722,3.7387,4.3644,5.1734,4.697,4.0058,5.1072
ALLSKY_SFC_SW_DWN,2023,4.0766,5.8483,5.5399,6.1051,6.9523,5.569,4.2593,3.8083,4.3183,5.3162,3.8484,3.5134,4.9217
ALLSKY_SFC_SW_DWN,2024,3.5155,4.8202,6.2194,6.1049,6.8647,5.4758,3.6617,3.6751,4.1522,4.8914,4.3154,3.8518,4.7933
PS,2015,96.25,96.0,95.95,95.44,95.14,94.86,94.86,95.13,95.42,95.86,96.02,96.2,95.59
PS,2016,96.16,96.03,95.78,95.38,95.06,94.87,94.82,94.87,95.26,95.63,96.04,96.14,95.5
PS,2017,96.14,96.07,95.66,95.36,95.11,94.86,94.77,94.95,95.32,95.57,95.95,96.14,95.49
PS,2018,95.98,95.99,95.68,95.35,95.03,94.72,94.66,94.85,95.39,95.88,96.06,96.18,95.48
PS,2019,96.24,96.02,95.8,95.43,95.2,94.83,94.74,94.8,95.18,95.85,96.03,96.21,95.53
PS,2020,96.13,96.14,95.79,95.56,95.17,94.92,94.9,94.76,95.17,95.49,96.11,96.11,95.52
PS,2021,95.96,95.98,95.71,95.47,95.11,94.91,94.77,95.02,95.03,95.61,95.92,96.2,95.47
PS,2022,96.04,95.84,95.62,95.31,94.9,94.86,94.8,94.87,95.18,95.74,96.05,96.05,95.43
PS,2023,96.16,96.05,95.82,95.57,95.36,94.98,94.85,95.13,95.14,95.87,96.11,96.19,95.6
PS,2024,96.17,96.11,95.84,95.51,95.07,94.9,94.64,95.06,95.13,95.72,96.05,96.07,95.52
RH2M,2015,62.35,45.58,47.27,29.79,21.39,54.43,80.09,88.57,79.94,60.9,51.86,30.08,54.43
RH2M,2016,36.97,27.59,25.22,19.41,27.36,49.36,88.77,90.95,85.91,71.64,50.18,48.51,51.96
RH2M,2017,40.83,28.01,21.68,16.62,22.15,57.56,80.08,84.52,80.89,64.18,48.6,37.19,48.67
RH2M,2018,26.25,31.58,21.19,18.37,17.9,51.84,84.07,88.98,84.17,64.87,54.01,42.62,48.93
RH2M,2019,31.21,30.19,24.89,21.51,21.78,39.51,81.99,90.93,91.67,79.53,78.31,78.21,56.0
RH2M,2020,70.0,50.91,37.58,23.13,22.71,67.97,80.01,87.11,84.6,71.34,61.4,57.22,59.55
RH2M,2021,46.7,26.51,30.25,17.15,34.99,67.28,75.53,86.39,87.55,75.59,68.06,63.28,56.82
RH2M,2022,64.06,43.8,23.69,14.8,24.76,49.93,85.58,89.05,86.67,77.26,69.66,68.82,58.32
RH2M,2023,62.27,36.33,38.4,31.52,37.02,51.09,84.3,85.96,85.2,71.47,65.41,63.73,59.59
RH2M,2024,55.37,38.54,27.94,36.05,25.35,49.74,84.14,88.89,88.8,78.35,68.98,63.65,58.9
T2M_MAX,2015,26.24,34.75,38.84,42.75,45.79,44.05,35.93,30.94,31.88,34.59,32.16,32.7,45.79
T2M_MAX,2016,32.44,34.64,40.45,43.44,47.18,44.65,32.35,30.32,30.71,30.29,30.21,29.71,47.18
T2M_MAX,2017,31.35,35.54,41.73,43.71,45.93,44.74,35.87,31.53,32.14,33.15,31.23,30.0,45.93
T2M_MAX,2018,31.11,34.75,40.81,43.91,45.77,44.32,35.64,31.59,31.05,31.71,31.57,28.22,45.77
T2M_MAX,2019,31.45,35.81,41.07,44.18,45.18,46.38,36.76,31.43,30.84,29.75,27.98,26.09,46.38
T2M_MAX,2020,28.2,32.31,37.59,41.54,44.49,38.41,33.69,32.31,32.14,30.96,30.21,29.89,44.49
T2M_MAX,2021,30.65,35.8,40.84,42.54,42.09,39.93,35.94,31.18,30.62,31.47,28.42,26.72,42.54
T2M_MAX,2022,26.95,33.56,41.65,44.27,46.14,44.07,32.85,31.66,31.19,30.46,30.21,28.31,46.14
T2M_MAX,2023,28.55,35.11,36.87,40.84,43.72,42.22,35.47,31.57,32.0,30.91,30.5,28.53,43.72
T2M_MAX,2024,29.48,33.96,41.16,41.67,47.04,44.5,34.14,31.28,31.57,31.27,31.01,27.89,47.04
T2M_MIN,2015,4.74,7.0,10.3,17.76,23.75,23.34,21.88,21.48,17.18,14.09,11.61,5.67,4.74
T2M_MIN,2016,4.4,8.46,15.44,21.03,24.91,24.14,22.84,21.14,20.06,12.91,11.31,7.14,4.4
T2M_MIN,2017,3.06,8.26,10.48,18.47,24.07,24.46,21.92,21.78,18.77,13.92,9.85,8.13,3.06
T2M_MIN,2018,6.65,11.06,15.75,19.24,25.11,23.19,22.41,22.07,19.66,13.97,10.5,4.13,4.13
T2M_MIN,2019,4.1,5.53,9.74,18.43,24.67,24.07,23.54,21.74,20.35,15.07,12.54,1.96,1.96
T2M_MIN,2020,2.29,4.88,11.67,17.88,24.26,19.45,22.58,22.04,20.02,15.05,8.24,5.43,2.29
T2M_MIN,2021,6.46,8.24,14.48,17.67,23.37,22.71,22.7,21.95,21.9,13.1,9.22,3.81,3.81
T2M_MIN,2022,4.42,5.69,13.38,21.23,25.66,24.27,22.76,21.2,20.38,13.6,8.4,7.41,4.42
T2M_MIN,2023,4.01,6.32,14.61,17.37,18.56,23.02,23.6,20.98,20.38,14.12,10.32,8.45,4.01
T2M_MIN,2024,5.7,8.5,8.37,19.64,20.91,24.04,22.94,21.71,20.14,16.52,8.23,4.94,4.94
