-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2015 through 12/31/2024 in LST
Location: Latitude  13.0827   Longitude 80.2707 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 48.95 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DNI      CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
PS                     MERRA-2 Surface Pressure (kPa) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DIFF,2015,2.1062,2.4074,2.4934,2.4163,2.6638,2.6126,2.8375,2.7101,2.6026,2.3268,1.8324,1.9656,2.4151
ALLSKY_SFC_SW_DIFF,2016,2.263,2.2824,2.5884,2.4329,2.4434,2.6122,2.7881,2.4931,2.4888,2.466,2.3436,2.089,2.4415
ALLSKY_SFC_SW_DIFF,2017,2.2298,2.3038,2.531,3.0694,2.9136,2.7866,2.6482,2.7715,2.4014,2.2116,1.8386,2.0431,2.4799
ALLSKY_SFC_SW_DIFF,2018,2.2013,2.2306,2.5723,2.6921,2.9333,2.8582,2.8807,2.628,2.3578,2.3446,2.1444,2.0494,2.4929
ALLSKY_SFC_SW_DIFF,2019,2.287,2.2697,2.4574,2.6515,3.0089,2.7775,2.6186,2.6323,2.5949,2.0503,2.1132,1.926,2.4494
ALLSKY_SFC_SW_DIFF,2020,1.9836,2.3028,2.3297,2.6184,2.9318,2.7281,2.4595,2.5133,2.2704,2.3237,1.8607,1.9954,2.3599
ALLSKY_SFC_SW_DIFF,2021,2.0974,2.3114,2.4187,2.8644,2.5586,2.7984,2.7866,2.5884,2.5937,2.3597,1.71,2.021,2.4259
ALLSKY_SFC_SW_DIFF,2022,2.0491,2.3904,2.7242,2.7806,2.7338,2.8236,2.6095,2.7401,2.2786,2.0606,1.9994,1.8605,2.4206
ALLSKY_SFC_SW_DIFF,2023,2.1427,2.3513,2.4566,2.6114,2.8471,2.7312,2.5589,2.8699,2.6021,2.4914,1.9426,1.9296,2.4619
ALLSKY_SFC_SW_DIFF,2024,2.0702,2.4684,2.7094,2.5687,2.6002,2.7194,2.683,2.5586,2.4641,2.2342,1.9279,1.8514,2.4041
ALLSKY_SFC_SW_DNI,2015,4.2029,4.6721,4.8473,5.0513,3.1195,2.4634,2.9052,2.5985,2.461,3.4099,2.0342,3.6084,3.4426
ALLSKY_SFC_SW_DNI,2016,3.7627,4.9198,4.5838,5.5915,3.8585,1.7851,2.2426,2.8956,2.0935,2.9539,3.4082,3.3127,3.4452
ALLSKY_SFC_SW_DNI,2017,3.8203,4.8737,4.6934,3.5722,3.1418,1.8898,1.9978,1.686,2.7888,2.5416,2.3801,3.8383,3.0924
ALLSKY_SFC_SW_DNI,2018,3.8287,5.0306,4.4136,4.6651,3.5074,1.9555,1.3507,1.1666,3.5141,3.047,2.8769,2.7715,3.1613
ALLSKY_SFC_SW_DNI,2019,3.749,4.6102,5.2015,4.6205,3.0746,2.6496,1.775,1.9663,2.249,3.3082,3.1241,3.1826,3.2832
ALLSKY_SFC_SW_DNI,2020,4.5238,4.6884,5.3707,4.4105,3.733,2.7082,2.4494,1.0841,1.9891,1.8718,3.0266,2.6167,3.1999
ALLSKY_SFC_SW_DNI,2021,3.21,4.5706,5.0292,3.9338,3.7476,2.4864,2.0575,2.1547,1.9567,2.6534,1.3735,3.5016,3.0506
ALLSKY_SFC_SW_DNI,2022,3.9228,4.4628,3.9578,4.4386,2.7533,2.689,2.1034,2.0921,2.8675,2.9318,1.9402,2.8272,3.072
ALLSKY_SFC_SW_DNI,2023,3.9943,4.4623,4.3495,4.7182,2.8025,2.3522,1.3978,2.3772,2.6033,3.0086,1.7839,2.5596,3.0242
ALLSKY_SFC_SW_DNI,2024,3.3564,4.3733,4.4736,5.1595,3.36,1.993,1.1494,2.4883,2.2094,3.1673,2.2913,2.381,3.0276
ALLSKY_SFC_SW_DWN,2015,4.9901,5.8507,6.409,6.5534,5.567,4.9654,5.5966,5.3258,5.0254,5.0558,3.4824,4.3814,5.2649
ALLSKY_SFC_SW_DWN,2016,4.9104,5.8495,6.3142,6.9715,5.755,4.6135,5.1151,5.1377,4.6632,5.0318,4.877,4.3476,5.2961
ALLSKY_SFC_SW_DWN,2017,4.9601,5.862,6.2729,6.1906,5.9386,4.872,4.7746,4.7897,4.9486,4.3946,3.6991,4.6428,5.1079
ALLSKY_SFC_SW_DWN,2018,4.8816,5.887,6.1046,6.553,6.1111,5.0398,4.7438,4.2816,5.4334,4.9154,4.3332,4.0668,5.1888
ALLSKY_SFC_SW_DWN,2019,4.9524,5.6813,6.5357,6.4922,5.8478,5.3945,4.6702,4.8576,4.8775,4.6824,4.4477,4.1434,5.2104
