-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2015 through 12/31/2024 in LST
Location: Latitude  13.0827   Longitude 80.2707 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 48.95 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WD10M     MERRA-2 Wind Direction at 10 Meters (Degrees) 
WS10M     MERRA-2 Wind Speed at 10 Meters (m/s) 
WS2M      MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
WD10M,2015,51.7,80.0,116.4,153.5,191.8,240.1,248.5,240.0,210.6,83.4,41.9,48.4,133.8
WD10M,2016,57.9,109.9,147.1,166.6,204.9,255.4,240.7,252.7,247.5,33.7,39.6,33.1,183.8
WD10M,2017,50.2,83.1,145.6,166.8,189.0,240.2,253.4,243.1,215.9,31.4,25.9,38.9,143.3
WD10M,2018,46.6,69.5,132.0,151.6,170.3,240.1,249.0,262.2,195.5,54.1,50.5,37.2,123.6
WD10M,2019,53.7,93.7,144.0,154.9,177.9,209.0,230.7,236.8,211.5,133.1,47.3,56.3,150.7
WD10M,2020,76.2,88.2,127.4,149.7,160.9,221.2,221.3,235.4,225.7,291.8,48.5,40.7,135.0
WD10M,2021,50.0,57.0,126.9,149.1,179.0,234.2,239.0,243.8,232.6,23.4,43.3,40.3,149.8
WD10M,2022,61.3,67.1,104.9,149.2,222.7,225.9,259.3,243.6,236.0,26.4,33.7,40.7,85.2
WD10M,2023,52.5,75.5,111.4,147.1,182.0,226.7,250.4,227.8,228.4,77.2,46.7,31.2,120.1
WD10M,2024,59.5,83.5,133.5,146.5,166.8,239.0,247.0,220.4,259.6,156.8,30.3,38.3,133.5
WS10M,2015,3.65,3.65,3.65,4.3,4.47,4.85,4.12,3.52,2.99,2.89,4.49,3.91,3.87
WS10M,2016,2.97,3.1,3.91,5.06,4.85,4.14,4.36,4.09,3.17,2.95,4.03,4.26,3.91
WS10M,2017,3.97,3.33,4.1,4.67,4.35,4.33,3.8,3.35,2.83,2.91,4.66,4.16,3.87
WS10M,2018,3.63,3.15,3.37,4.44,4.35,4.24,4.78,4.2,3.17,3.51,4.13,4.36,3.95
WS10M,2019,3.91,3.95,4.18,4.32,4.73,4.24,4.0,4.38,3.85,2.89,3.72,4.29,4.04
WS10M,2020,3.35,3.79,3.64,3.95,3.94,3.78,3.65,3.56,3.54,3.05,4.48,4.58,3.77
WS10M,2021,3.69,3.56,2.86,3.55,4.35,4.27,4.17,3.79,3.59,2.84,4.39,4.02,3.76
WS10M,2022,3.53,3.44,3.71,3.76,4.03,3.48,3.93,3.65,3.07,3.43,4.16,4.61,3.74
WS10M,2023,3.67,3.07,3.77,3.78,3.46,4.19,4.57,3.13,3.76,3.0,3.92,5.22,3.8
WS10M,2024,3.8,3.63,3.77,4.15,4.02,4.32,4.96,3.58,3.29,2.41,5.16,4.85,3.99
WS2M,2015,2.75,2.8,2.89,3.44,3.53,3.81,3.24,2.73,2.31,2.2,3.44,2.97,3.01
WS2M,2016,2.22,2.38,3.1,4.05,3.85,3.23,3.4,3.18,2.45,2.28,3.1,3.22,3.04
WS2M,2017,3.05,2.57,3.27,3.72,3.48,3.42,2.95,2.59,2.18,2.21,3.57,3.12,3.01
WS2M,2018,2.73,2.41,2.63,3.56,3.5,3.32,3.71,3.22,2.46,2.69,3.14,3.31,3.06
WS2M,2019,2.96,3.09,3.29,3.43,3.77,3.35,3.11,3.37,2.96,2.19,2.82,3.24,3.13
WS2M,2020,2.51,2.91,2.88,3.14,3.12,3.0,2.88,2.73,2.75,2.31,3.41,3.46,2.92
WS2M,2021,2.77,2.65,2.21,2.83,3.48,3.36,3.26,2.94,2.76,2.17,3.36,3.04,2.9
WS2M,2022,2.66,2.6,2.88,3.02,3.17,2.75,3.05,2.83,2.35,2.62,3.16,3.5,2.89
WS2M,2023,2.75,2.33,2.94,2.99,2.74,3.31,3.54,2.43,2.91,2.27,3.0,3.98,2.94
WS2M,2024,2.87,2.79,2.96,3.31,3.23,3.38,3.83,2.77,2.5,1.84,3.94,3.71,3.09
