-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2015 through 12/31/2024 in LST
Location: Latitude  28.6353   Longitude 77.2218 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 206.37 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WD10M     MERRA-2 Wind Direction at 10 Meters (Degrees) 
WS10M     MERRA-2 Wind Speed at 10 Meters (m/s) 
WS2M      MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
WD10M,2015,289.4,294.7,293.5,271.5,283.6,284.6,209.2,261.9,294.5,306.1,319.1,300.7,288.7
WD10M,2016,304.3,311.1,310.1,302.1,265.8,237.2,237.3,107.5,267.5,300.5,298.3,297.9,293.3
WD10M,2017,313.8,306.1,309.6,298.4,292.1,282.5,122.6,269.2,309.3,331.8,320.3,314.0,305.7
WD10M,2018,307.0,313.7,308.1,311.7,317.7,286.9,255.6,247.9,316.1,16.4,321.6,321.0,311.1
WD10M,2019,326.6,327.7,323.8,322.5,302.3,295.7,222.3,99.4,113.5,339.9,328.1,319.5,321.2
WD10M,2020,335.9,336.4,324.8,311.6,322.2,307.2,157.0,125.8,329.2,327.6,321.4,312.4,324.6
WD10M,2021,312.3,325.3,319.2,317.5,320.8,314.7,117.1,318.8,95.1,327.4,313.9,337.9,333.5
WD10M,2022,317.0,337.5,318.2,312.5,131.7,285.4,118.9,119.0,39.0,352.5,317.4,310.6,324.7
WD10M,2023,313.4,299.0,313.8,314.3,292.6,310.0,120.4,273.6,73.5,348.7,329.7,319.5,313.6
WD10M,2024,311.2,316.1,315.3,301.7,310.0,286.7,150.5,135.8,53.8,286.8,286.8,314.9,297.8
WS10M,2015,2.98,2.75,3.15,2.65,3.49,3.14,2.98,2.62,2.95,2.34,2.47,2.88,2.87
WS10M,2016,2.43,2.75,3.02,3.71,2.95,2.71,2.19,2.45,2.35,2.73,3.01,2.89,2.76
WS10M,2017,3.04,3.48,3.66,3.79,3.0,3.13,2.93,2.89,2.42,2.08,2.66,2.93,3.0
WS10M,2018,3.19,3.29,3.47,3.04,2.83,3.71,2.63,2.23,2.96,2.11,2.48,2.66,2.88
WS10M,2019,3.11,3.02,3.34,3.32,3.93,3.45,2.94,2.67,2.35,2.36,2.92,2.46,2.99
WS10M,2020,2.86,3.4,3.0,3.16,3.42,2.71,2.99,3.09,2.54,2.77,2.88,3.27,3.01
WS10M,2021,3.04,2.74,3.45,3.5,2.97,2.63,2.78,2.43,2.93,2.57,2.37,2.4,2.82
WS10M,2022,2.66,3.08,2.98,3.12,2.93,3.33,3.18,3.35,2.75,2.2,2.64,3.11,2.94
WS10M,2023,2.82,3.28,2.54,3.01,3.25,3.66,2.38,3.0,2.59,2.55,2.09,2.36,2.79
WS10M,2024,2.16,3.03,3.21,3.55,3.49,4.19,2.96,3.01,2.39,2.3,2.24,2.73,2.94
WS2M,2015,1.77,1.64,1.97,1.71,2.45,2.24,2.07,1.71,1.88,1.46,1.49,1.77,1.85
WS2M,2016,1.45,1.65,1.9,2.46,2.02,1.92,1.5,1.59,1.49,1.64,1.88,1.74,1.77
WS2M,2017,1.83,2.11,2.28,2.51,2.09,2.24,2.04,1.94,1.55,1.29,1.63,1.8,1.94
WS2M,2018,1.9,2.0,2.17,2.0,1.95,2.71,1.84,1.46,1.93,1.26,1.54,1.6,1.86
WS2M,2019,1.89,1.83,2.09,2.18,2.76,2.47,2.08,1.79,1.57,1.46,1.9,1.53,1.96
WS2M,2020,1.77,2.09,1.88,2.09,2.41,1.94,2.12,2.1,1.65,1.67,1.81,2.02,1.96
WS2M,2021,1.85,1.6,2.17,2.28,2.06,1.85,1.95,1.59,1.92,1.58,1.45,1.45,1.81
WS2M,2022,1.66,1.87,1.82,2.03,2.03,2.39,2.29,2.32,1.84,1.38,1.59,1.91,1.93
WS2M,2023,1.69,2.0,1.6,1.94,2.27,2.68,1.65,1.99,1.67,1.57,1.31,1.44,1.82
WS2M,2024,1.3,1.86,1.99,2.38,2.42,3.03,2.1,2.01,1.55,1.41,1.4,1.69,1.93
