-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2015 through 12/31/2024 in LST
Location: Latitude  23.2237   Longitude 72.65 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 46.53 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WD10M     MERRA-2 Wind Direction at 10 Meters (Degrees) 
WS10M     MERRA-2 Wind Speed at 10 Meters (m/s) 
WS2M      MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
WD10M,2015,42.7,343.9,306.3,257.6,272.9,214.0,234.7,237.8,233.8,65.6,43.7,41.1,258.3
WD10M,2016,10.7,20.7,309.3,280.5,258.9,244.1,237.5,242.8,266.3,267.2,69.4,56.5,270.7
WD10M,2017,30.5,14.4,320.3,263.9,258.0,227.0,244.8,241.3,267.1,355.7,51.6,55.5,273.3
WD10M,2018,34.8,12.4,311.3,278.7,260.6,240.8,233.3,237.3,238.5,103.7,57.4,53.1,261.4
WD10M,2019,40.3,336.5,331.9,289.7,265.2,230.2,233.6,242.8,235.7,65.7,75.0,55.4,272.4
WD10M,2020,26.7,34.4,307.9,296.7,274.8,223.2,218.7,228.8,276.6,2.7,48.7,47.5,282.0
WD10M,2021,9.4,347.9,300.0,273.4,250.4,238.7,240.5,244.2,235.9,260.1,79.3,49.6,261.5
WD10M,2022,22.9,325.7,312.2,280.2,259.2,233.7,232.9,228.4,282.1,48.9,69.0,41.1,269.1
WD10M,2023,33.1,8.7,301.0,278.1,265.5,225.8,251.4,244.4,264.5,27.1,63.6,50.0,272.7
WD10M,2024,18.6,357.0,312.1,293.1,276.0,236.3,227.8,230.1,278.1,53.4,72.9,43.0,279.3
WS10M,2015,2.93,2.9,3.01,3.67,4.56,4.98,5.97,3.57,2.95,2.23,2.55,3.09,3.54
WS10M,2016,2.77,3.11,3.21,3.57,4.81,5.11,4.6,3.9,2.93,1.98,2.49,2.89,3.45
WS10M,2017,3.02,3.12,3.25,3.8,4.23,4.94,5.2,3.81,2.28,2.01,2.51,3.36,3.46
WS10M,2018,2.75,2.71,3.03,3.4,3.92,5.86,4.74,4.45,2.86,1.94,2.47,3.23,3.45
WS10M,2019,3.25,3.47,3.3,3.47,4.19,4.75,5.43,4.27,2.83,2.6,2.32,3.39,3.61
WS10M,2020,3.32,3.01,3.04,3.49,4.5,3.95,4.08,4.28,2.29,2.09,2.83,2.78,3.31
WS10M,2021,2.9,2.83,3.07,3.1,4.55,4.83,5.31,4.36,3.43,2.26,3.07,2.83,3.55
WS10M,2022,3.03,2.61,3.35,3.97,5.03,5.19,4.46,3.54,3.08,2.32,2.37,3.0,3.5
WS10M,2023,3.28,2.84,2.65,2.99,4.17,5.24,3.94,4.57,3.34,2.04,2.76,3.2,3.42
WS10M,2024,2.96,3.16,3.32,3.48,4.45,4.63,4.48,4.47,3.18,2.04,2.04,3.11,3.45
WS2M,2015,1.87,1.85,1.97,2.58,3.35,3.78,4.43,2.54,2.0,1.41,1.58,1.91,2.44
WS2M,2016,1.65,1.95,2.11,2.48,3.57,3.9,3.47,2.78,2.02,1.24,1.51,1.77,2.37
WS2M,2017,1.91,1.96,2.1,2.63,3.12,3.77,3.82,2.69,1.52,1.25,1.51,2.12,2.37
WS2M,2018,1.66,1.66,1.94,2.32,2.87,4.48,3.54,3.21,1.94,1.18,1.54,2.01,2.37
WS2M,2019,2.04,2.26,2.16,2.38,3.1,3.6,4.04,3.03,1.92,1.65,1.43,2.16,2.48
WS2M,2020,2.11,1.91,2.0,2.39,3.31,2.99,3.02,3.04,1.51,1.33,1.72,1.71,2.26
WS2M,2021,1.75,1.76,1.95,2.11,3.34,3.65,3.92,3.18,2.37,1.42,1.93,1.8,2.44
WS2M,2022,1.92,1.63,2.19,2.75,3.73,3.97,3.29,2.49,2.07,1.48,1.46,1.86,2.41
WS2M,2023,2.08,1.76,1.72,2.05,3.07,3.94,2.87,3.24,2.29,1.26,1.7,1.98,2.33
WS2M,2024,1.8,2.02,2.16,2.42,3.27,3.54,3.33,3.17,2.15,1.31,1.27,1.87,2.36
