-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2015 through 12/31/2024 in LST
Location: Latitude  26.1445   Longitude 91.7362 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 400.01 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DNI      CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
PS                     MERRA-2 Surface Pressure (kPa) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DIFF,2015,1.3723,2.0422,2.299,2.8954,3.0646,2.837,2.6741,2.5541,2.4041,1.8398,1.367,1.3394,2.2238
ALLSKY_SFC_SW_DIFF,2016,1.464,1.9452,2.3107,2.7396,2.8538,2.7946,2.6863,2.8994,2.5702,1.6678,1.1875,1.0133,2.1773
ALLSKY_SFC_SW_DIFF,2017,1.2862,1.7522,2.178,2.323,2.9902,2.6417,2.8668,2.826,2.4948,1.8336,1.3279,1.2084,2.1468
ALLSKY_SFC_SW_DIFF,2018,1.5012,2.0386,2.1794,2.6462,2.7912,2.8978,2.9491,2.9402,2.3237,1.866,1.3399,1.0968,2.2147
ALLSKY_SFC_SW_DIFF,2019,1.2367,1.883,2.2927,2.4984,2.6472,2.6748,2.573,2.9081,2.4746,1.9255,1.4081,1.219,2.1458
ALLSKY_SFC_SW_DIFF,2020,1.4782,1.9025,2.1782,2.6825,2.6719,2.652,2.3803,2.7811,2.2889,1.8331,1.2811,1.2194,2.1122
ALLSKY_SFC_SW_DIFF,2021,1.381,1.7407,2.6494,3.1985,2.8104,2.6491,2.7374,2.844,2.3645,1.8886,1.3598,1.1815,2.2361
ALLSKY_SFC_SW_DIFF,2022,1.6457,1.7789,2.0359,2.3695,2.569,2.2529,2.784,2.7139,2.545,1.735,1.1292,1.1796,2.0638
ALLSKY_SFC_SW_DIFF,2023,1.374,1.8682,2.3458,2.5255,2.9129,2.5714,2.9023,2.8867,2.417,1.8989,1.3142,1.3855,2.203
ALLSKY_SFC_SW_DIFF,2024,1.4002,1.9534,2.1862,2.915,2.8104,2.4989,2.8901,2.6981,2.4835,1.9102,1.2614,1.2314,2.1866
ALLSKY_SFC_SW_DNI,2015,4.5257,3.6209,4.1611,2.429,1.8571,1.3406,2.5224,1.3284,2.4144,4.6913,5.0074,3.8489,3.1454
ALLSKY_SFC_SW_DNI,2016,3.0989,2.9614,3.3895,2.5939,1.6824,2.1766,1.1398,2.6633,1.9116,4.7654,5.795,5.6467,3.1534
ALLSKY_SFC_SW_DNI,2017,5.0357,4.031,2.8862,2.4907,1.9762,1.6258,2.0453,1.7196,1.6642,3.5568,5.383,5.1204,3.1241
ALLSKY_SFC_SW_DNI,2018,3.7462,2.6299,3.359,2.2531,1.6325,1.5835,1.5689,2.2781,2.1607,4.2298,4.848,5.0695,2.9518
ALLSKY_SFC_SW_DNI,2019,5.4358,3.2866,3.673,2.4252,1.3776,1.9414,1.44,2.9558,1.8158,3.1788,4.6025,4.4878,3.0538
ALLSKY_SFC_SW_DNI,2020,3.2458,2.9935,3.8465,3.1313,2.2138,1.801,0.8743,2.4727,1.7398,3.9485,5.1504,4.6898,3.0096
