-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2015 through 12/31/2024 in LST
Location: Latitude  17.38   Longitude 78.4867 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 494.59 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DNI      CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
PS                     MERRA-2 Surface Pressure (kPa) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DIFF,2015,1.7546,1.9879,2.4134,2.2874,2.6124,2.7521,2.9861,2.6004,2.6309,2.3302,2.0342,1.8792,2.358
ALLSKY_SFC_SW_DIFF,2016,2.0114,2.2805,2.5428,2.2848,2.4358,2.5584,2.6592,2.5781,2.3146,2.1658,1.9651,1.6692,2.2889
ALLSKY_SFC_SW_DIFF,2017,1.9301,1.7753,2.2774,2.5625,2.7905,2.7941,2.9189,2.5066,2.5843,2.4449,1.9716,1.6694,2.3556
ALLSKY_SFC_SW_DIFF,2018,1.8826,2.0542,2.5574,2.5056,2.9443,3.0005,2.7456,2.5591,2.6314,2.2985,1.961,1.8367,2.4166
ALLSKY_SFC_SW_DIFF,2019,1.8754,2.117,2.461,2.5128,2.7986,2.7782,2.7163,2.7137,2.6947,2.4269,2.1302,2.0002,2.437
ALLSKY_SFC_SW_DIFF,2020,2.0335,2.003,2.5397,2.5918,2.6858,2.9546,2.7677,2.4996,2.5697,2.3182,1.9044,1.7621,2.3866
ALLSKY_SFC_SW_DIFF,2021,2.0671,2.0292,2.5322,2.8992,2.9078,2.7948,2.5757,2.6198,2.5637,2.3892,2.1012,1.9339,2.453
ALLSKY_SFC_SW_DIFF,2022,1.9493,2.0568,2.5042,2.9246,3.0485,2.9902,2.4715,2.6347,2.3928,2.2848,2.1348,1.8358,2.437
ALLSKY_SFC_SW_DIFF,2023,1.8787,1.7141,2.6688,2.7036,2.6712,2.7199,2.4048,2.7708,2.3986,2.3494,2.1065,1.8499,2.3568
ALLSKY_SFC_SW_DIFF,2024,2.2229,2.1739,2.663,2.8027,2.813,2.8519,2.4667,2.6594,2.3791,2.3582,2.2478,1.8254,2.4557
ALLSKY_SFC_SW_DNI,2015,5.0626,5.6789,3.9941,5.1929,4.7664,1.9433,2.6045,1.7962,2.3448,3.8693,3.7486,4.4758,3.7795
ALLSKY_SFC_SW_DNI,2016,4.1465,4.3445,4.1254,5.7401,5.0002,2.1955,1.2307,2.2322,1.3543,4.0918,4.7671,4.8857,3.6742
ALLSKY_SFC_SW_DNI,2017,4.6351,6.0677,5.5291,5.1883,4.4076,1.8386,1.3963,1.2214,2.0458,2.6275,4.458,5.153,3.6984
