-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2015 through 12/31/2024 in LST
Location: Latitude  17.385   Longitude 78.4867 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 494.59 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WD10M     MERRA-2 Wind Direction at 10 Meters (Degrees) 
WS10M     MERRA-2 Wind Speed at 10 Meters (m/s) 
WS2M      MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
WD10M,2015,94.5,137.6,137.0,176.2,254.7,265.1,279.2,290.6,279.3,85.2,91.0,124.7,232.2
WD10M,2016,116.2,156.6,154.1,168.8,250.0,270.1,267.1,276.0,299.6,338.6,25.8,40.9,270.7
WD10M,2017,86.1,84.6,147.3,199.9,226.3,267.0,268.3,278.7,288.0,22.8,59.7,83.3,279.0
WD10M,2018,58.8,106.7,133.8,157.3,171.5,266.2,271.6,283.1,312.6,52.1,86.4,60.2,276.3
WD10M,2019,97.7,131.9,153.4,163.0,307.3,257.1,263.2,271.8,249.8,83.6,63.8,98.8,224.7
WD10M,2020,102.9,104.1,148.2,150.6,142.3,267.1,251.7,263.6,275.1,1.8,56.9,98.0,204.0
WD10M,2021,124.4,101.0,111.0,138.6,212.4,273.0,268.4,271.2,266.7,23.0,68.4,70.6,253.9
WD10M,2022,84.7,120.8,99.1,158.8,267.4,266.7,276.4,271.9,281.8,48.7,40.2,81.3,280.7
WD10M,2023,126.9,65.3,135.5,142.2,321.1,286.4,273.4,288.1,286.4,17.6,78.1,62.1,303.7
WD10M,2024,127.2,134.8,152.8,158.1,147.0,264.6,265.3,267.0,289.4,66.4,40.9,68.1,237.9
WS10M,2015,3.3,3.13,2.98,3.0,4.0,5.75,5.78,4.29,2.87,2.64,3.55,2.97,3.69
WS10M,2016,2.71,3.44,3.26,3.6,4.37,4.95,5.58,5.3,4.04,3.27,2.8,3.01,3.86
WS10M,2017,2.74,2.87,2.97,2.84,3.89,5.21,6.36,4.17,3.01,2.35,2.66,2.77,3.49
WS10M,2018,2.5,2.86,2.76,2.82,3.59,5.04,6.68,6.33,3.07,2.97,2.89,2.91,3.71
WS10M,2019,3.12,2.85,3.35,3.38,3.34,4.73,6.1,5.62,4.17,2.33,2.66,2.97,3.73
WS10M,2020,3.27,3.55,2.95,3.35,3.38,4.55,4.02,5.11,2.94,2.92,3.3,2.44,3.48
WS10M,2021,2.57,2.69,3.07,2.87,4.18,4.98,4.82,3.77,3.74,2.65,2.91,2.45,3.39
WS10M,2022,2.75,3.06,2.78,3.04,4.21,4.39,5.64,4.46,3.32,3.11,2.5,2.53,3.49
WS10M,2023,2.88,2.96,2.74,2.8,3.19,5.37,6.77,4.41,3.5,2.85,2.79,3.08,3.62
WS10M,2024,2.97,3.26,3.1,3.18,3.62,4.49,6.82,4.09,4.28,2.68,2.88,2.99,3.7
WS2M,2015,2.14,2.09,2.07,2.15,2.94,4.25,4.2,3.03,1.94,1.76,2.43,1.99,2.59
WS2M,2016,1.75,2.4,2.3,2.63,3.2,3.67,4.04,3.74,2.74,2.07,1.72,1.87,2.68
WS2M,2017,1.7,1.88,2.01,1.98,2.88,3.86,4.59,2.88,1.98,1.47,1.64,1.71,2.39
WS2M,2018,1.54,1.89,1.85,1.99,2.68,3.74,4.82,4.44,2.05,1.93,1.83,1.89,2.56
WS2M,2019,2.03,1.9,2.35,2.42,2.46,3.52,4.43,3.92,2.83,1.5,1.67,1.95,2.59
WS2M,2020,2.2,2.47,2.09,2.44,2.46,3.35,2.87,3.55,1.95,1.87,2.12,1.48,2.4
WS2M,2021,1.61,1.74,2.02,2.02,3.12,3.64,3.44,2.59,2.52,1.69,1.88,1.53,2.32
WS2M,2022,1.79,2.0,1.84,2.2,3.14,3.26,4.04,3.08,2.21,2.0,1.54,1.61,2.4
WS2M,2023,1.86,1.92,1.86,1.96,2.27,3.97,4.88,3.04,2.33,1.78,1.8,1.97,2.47
WS2M,2024,1.98,2.25,2.22,2.32,2.64,3.33,4.92,2.83,2.89,1.73,1.81,1.96,2.57
