-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2015 through 12/31/2024 in LST
Location: Latitude  26.9124   Longitude 75.78 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 405.74 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DNI      CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
PS                     MERRA-2 Surface Pressure (kPa) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DIFF,2015,1.4213,1.6229,1.859,2.4211,2.4725,2.663,2.8543,2.5685,2.017,1.5142,1.6526,1.3334,2.035
ALLSKY_SFC_SW_DIFF,2016,1.385,1.5787,1.9826,2.2694,2.6285,2.9664,2.7646,2.6179,2.0347,1.5029,1.3289,1.1299,2.0167
ALLSKY_SFC_SW_DIFF,2017,1.5098,1.5737,1.8581,2.1773,2.8512,2.8483,2.97,2.8188,2.2042,1.5324,1.5773,1.3894,2.1125
ALLSKY_SFC_SW_DIFF,2018,1.3042,1.8694,1.8734,2.4914,2.9777,3.1428,2.9902,2.945,1.9073,1.6824,1.5041,1.2077,2.1593
ALLSKY_SFC_SW_DIFF,2019,1.5898,1.8252,2.1559,2.2308,2.7146,2.743,2.7818,2.6328,2.4763,1.8017,1.811,1.3757,2.1797
ALLSKY_SFC_SW_DIFF,2020,1.4215,1.6418,2.1046,2.3525,2.5008,2.7454,3.0682,2.5846,2.2104,1.7162,1.5401,1.1645,2.0887
ALLSKY_SFC_SW_DIFF,2021,1.3214,1.4746,2.1286,2.4518,2.6316,2.7698,2.6959,2.8282,2.323,1.6433,1.6258,1.4318,2.1137
ALLSKY_SFC_SW_DIFF,2022,1.3673,1.5461,1.9118,2.4137,3.0516,2.8874,2.7648,2.447,2.1658,1.5182,1.3944,1.1395,2.053
ALLSKY_SFC_SW_DIFF,2023,1.3502,1.3838,2.2694,2.3753,2.4588,2.5992,2.9825,3.0353,2.184,1.7491,1.8144,1.4222,2.1403
ALLSKY_SFC_SW_DIFF,2024,1.5847,1.8024,2.1228,2.561,2.6599,2.8663,2.7811,2.2224,2.4506,1.8446,1.5605,1.1755,2.1353
