-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2015 through 12/31/2024 in LST
Location: Latitude  26.9124   Longitude 75.7873 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 405.74 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WD10M     MERRA-2 Wind Direction at 10 Meters (Degrees) 
WS10M     MERRA-2 Wind Speed at 10 Meters (m/s) 
WS2M      MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
WD10M,2015,78.0,80.1,104.6,3.8,297.8,294.0,245.9,267.5,282.9,342.7,52.1,21.5,303.1
WD10M,2016,8.2,31.7,348.2,298.4,278.6,273.1,272.5,18.3,273.7,302.6,324.8,5.0,300.2
WD10M,2017,41.1,353.0,333.7,286.6,285.0,270.5,281.2,268.3,300.7,347.3,21.6,26.1,307.8
WD10M,2018,351.8,350.9,320.7,307.1,296.4,278.9,285.0,272.4,292.2,284.4,338.0,31.4,302.1
WD10M,2019,23.2,334.6,1.3,310.6,291.1,289.7,250.7,314.6,49.4,265.1,57.1,48.9,315.7
WD10M,2020,29.0,28.5,38.3,324.5,292.8,289.2,252.6,193.9,299.2,23.2,56.5,35.6,333.5
WD10M,2021,55.6,352.3,339.2,338.0,332.4,293.0,238.9,273.9,85.7,328.8,81.4,58.1,356.5
WD10M,2022,42.5,38.1,331.9,296.6,275.3,264.0,147.7,150.4,303.9,6.3,341.2,39.8,300.2
WD10M,2023,56.5,313.4,23.8,287.6,282.7,272.1,272.3,253.9,54.1,312.6,83.7,68.4,290.7
WD10M,2024,71.6,7.2,331.1,279.2,314.9,266.2,220.2,222.2,46.8,251.5,320.8,54.8,290.0
WS10M,2015,2.33,2.99,2.9,3.11,4.25,3.45,3.97,3.45,3.22,2.76,2.57,2.49,3.13
WS10M,2016,2.56,2.83,3.04,3.78,4.38,3.78,3.18,3.41,2.72,2.59,2.43,2.19,3.07
WS10M,2017,2.78,3.1,3.09,4.29,4.16,3.83,3.82,3.75,2.66,2.69,2.31,2.56,3.25
WS10M,2018,2.52,2.89,3.24,3.46,3.39,4.35,3.64,3.17,3.75,2.66,2.62,2.3,3.16
WS10M,2019,2.74,3.11,3.21,3.13,3.65,3.93,3.78,3.31,2.24,1.71,2.21,2.28,2.94
WS10M,2020,2.73,2.58,2.83,3.23,3.79,3.42,3.39,3.09,2.3,2.49,2.38,2.51,2.9
WS10M,2021,2.86,2.75,3.33,3.59,3.58,3.63,3.76,3.12,3.89,2.58,2.31,2.32,3.14
WS10M,2022,2.49,2.96,3.41,3.63,4.52,4.35,3.19,3.69,2.83,2.53,2.48,2.42,3.21
WS10M,2023,2.6,2.83,2.35,3.31,3.78,4.58,3.11,4.16,3.23,2.71,2.21,2.22,3.09
WS10M,2024,2.26,2.95,3.17,3.58,3.92,3.87,3.17,3.36,2.41,2.41,1.82,2.66,2.97
WS2M,2015,1.46,1.86,1.88,2.1,3.08,2.6,2.91,2.42,2.2,1.76,1.61,1.5,2.12
WS2M,2016,1.56,1.77,2.0,2.62,3.25,2.86,2.32,2.37,1.83,1.64,1.48,1.36,2.09
WS2M,2017,1.73,1.87,1.98,2.98,3.04,2.86,2.83,2.67,1.74,1.63,1.43,1.57,2.2
WS2M,2018,1.51,1.77,2.09,2.35,2.44,3.3,2.66,2.17,2.49,1.63,1.59,1.4,2.12
WS2M,2019,1.66,1.99,2.1,2.12,2.66,2.94,2.75,2.29,1.48,1.06,1.43,1.37,1.99
WS2M,2020,1.71,1.58,1.85,2.22,2.76,2.56,2.52,2.16,1.52,1.53,1.5,1.56,1.96
WS2M,2021,1.8,1.7,2.17,2.47,2.65,2.72,2.76,2.11,2.68,1.63,1.38,1.41,2.12
WS2M,2022,1.56,1.83,2.2,2.44,3.31,3.26,2.29,2.56,1.9,1.6,1.53,1.48,2.16
WS2M,2023,1.59,1.74,1.51,2.28,2.76,3.44,2.24,2.95,2.24,1.74,1.36,1.36,2.1
WS2M,2024,1.34,1.88,2.07,2.51,2.85,2.96,2.29,2.33,1.61,1.52,1.14,1.64,2.01
