-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2015 through 12/31/2024 in LST
Location: Latitude  22.5726   Longitude 88.3639 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 7.35 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DNI      CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
PS                     MERRA-2 Surface Pressure (kPa) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DIFF,2015,1.7918,2.1737,2.2135,2.868,3.0194,2.6954,2.4626,2.8416,2.5291,2.2654,1.7909,1.6824,2.3616
ALLSKY_SFC_SW_DIFF,2016,1.848,2.2183,2.6146,2.6866,2.9148,3.0,2.6914,2.6026,2.5522,2.1924,1.7964,1.6231,2.3947
ALLSKY_SFC_SW_DIFF,2017,1.7498,2.1516,2.5044,2.855,2.9731,3.162,2.5404,2.9482,2.7257,2.1317,1.6274,1.5384,2.4091
ALLSKY_SFC_SW_DIFF,2018,1.897,2.3069,2.4144,2.7581,3.0511,2.8632,2.7787,2.9388,2.7338,2.1482,1.8864,1.62,2.4497
ALLSKY_SFC_SW_DIFF,2019,1.8742,2.0345,2.4775,2.6426,2.8286,2.9057,3.1174,2.7439,2.5224,2.1725,1.7398,1.7045,2.3993
ALLSKY_SFC_SW_DIFF,2020,1.674,1.9915,2.3222,2.7012,2.6834,2.7722,3.0842,2.6734,2.7446,2.3858,1.7426,1.643,2.369
ALLSKY_SFC_SW_DIFF,2021,1.8149,2.1943,2.7113,2.8908,2.6748,2.7876,2.7574,2.8344,2.4922,2.2229,1.7885,1.607,2.3986
ALLSKY_SFC_SW_DIFF,2022,1.7957,2.0878,2.459,3.0022,3.0586,3.0401,2.9856,2.7883,2.6371,2.1533,1.853,1.6582,2.461
ALLSKY_SFC_SW_DIFF,2023,1.7592,2.2243,2.43,2.6424,2.9702,2.8534,3.0734,2.6532,2.4463,2.2236,1.9349,1.679,2.4084
ALLSKY_SFC_SW_DIFF,2024,1.7534,2.1905,2.3568,2.6921,2.6717,2.9988,3.0449,2.4338,2.5486,2.1542,1.9178,1.7011,2.3712
ALLSKY_SFC_SW_DNI,2015,2.9167,3.433,4.6138,2.7864,2.795,1.7926,0.6209,1.453,2.0676,2.9724,3.4932,1.4362,2.5243
ALLSKY_SFC_SW_DNI,2016,2.0976,2.1266,2.755,3.7054,2.857,2.6436,0.8899,1.7438,2.1958,3.2678,3.1807,3.3106,2.563
ALLSKY_SFC_SW_DNI,2017,3.6449,3.3473,3.216,2.8795,3.283,1.523,0.75,1.0212,1.6754,2.2294,4.0702,3.2232,2.5658
ALLSKY_SFC_SW_DNI,2018,3.1186,3.1555,3.5352,3.4099,2.4125,1.549,1.1419,1.1921,1.8288,2.9057,3.1322,2.892,2.5181
ALLSKY_SFC_SW_DNI,2019,3.0996,3.5086,3.3696,3.8818,3.521,2.0354,1.361,1.2065,1.523,2.4439,3.125,2.4324,2.6182
ALLSKY_SFC_SW_DNI,2020,2.7557,2.9844,3.8246,3.1622,2.9558,1.6742,1.4587,1.0474,1.8228,2.5061,3.8158,2.6484,2.5517
ALLSKY_SFC_SW_DNI,2021,2.2733,3.3444,3.0377,3.3715,3.2734,1.1674,1.0817,0.9744,1.3097,2.5368,3.24,2.4139,2.3278
ALLSKY_SFC_SW_DNI,2022,2.5294,3.0828,4.0358,3.0818,2.411,1.0812,1.6886,1.3186,1.7333,3.2909,3.6293,2.9489,2.567
ALLSKY_SFC_SW_DNI,2023,2.0294,3.3122,2.4442,3.5486,3.0672,1.4702,1.435,0.8438,1.2002,2.3897,2.7475,2.5742,2.2466
ALLSKY_SFC_SW_DNI,2024,1.896,2.0237,2.9021,3.3943,2.7811,1.8151,1.0481,0.7673,1.8809,1.8653,2.8558,2.7874,2.1653
ALLSKY_SFC_SW_DWN,2015,3.6646,4.584,5.647,5.4156,5.699,4.4866,3.469,4.4026,4.4088,4.5233,4.0438,2.7262,4.4194
ALLSKY_SFC_SW_DWN,2016,3.3086,3.8863,4.9056,5.8898,5.6208,5.3266,3.8443,4.297,4.4446,4.5502,3.8923,3.6173,4.4638
ALLSKY_SFC_SW_DWN,2017,4.0438,4.5355,5.1358,5.5282,6.0079,4.8499,3.557,4.129,4.2833,3.8666,4.1249,3.444,4.4556
ALLSKY_SFC_SW_DWN,2018,3.943,4.5367,5.2301,5.7552,5.4794,4.5312,4.092,4.272,4.4515,4.3747,3.9418,3.3871,4.4974
ALLSKY_SFC_SW_DWN,2019,3.8628,4.4366,5.1871,5.9695,5.9597,4.8775,4.6766,4.027,4.0037,4.1062,3.7742,3.2434,4.5094
ALLSKY_SFC_SW_DWN,2020,3.4507,4.1333,5.3599,5.4895,5.3849,4.5144,4.5468,3.8616,4.2384,4.2276,4.1114,3.3096,4.3848
ALLSKY_SFC_SW_DWN,2021,3.3684,4.5463,5.1514,5.772,5.5402,4.2151,4.0562,3.9934,3.7286,4.1911,3.8798,3.1097,4.2929
ALLSKY_SFC_SW_DWN,2022,3.4872,4.301,5.575,5.7398,5.443,4.4582,4.7407,4.2317,4.2317,4.5132,4.193,3.4735,4.5329
ALLSKY_SFC_SW_DWN,2023,3.1961,4.5684,4.5271,5.7065,5.8382,4.499,4.7076,3.7577,3.667,4.1285,3.7562,3.2489,4.2967
ALLSKY_SFC_SW_DWN,2024,3.0782,3.8093,4.787,5.6378,5.2519,4.903,4.375,3.4543,4.1638,3.6866,3.823,3.3917,4.1942
PS,2015,101.54,101.34,101.17,100.75,100.35,100.04,99.91,100.16,100.47,101.01,101.29,101.53,100.79
PS,2016,101.51,101.33,101.01,100.4,100.28,100.15,100.04,99.97,100.36,100.7,101.19,101.39,100.69
PS,2017,101.48,101.34,100.89,100.53,100.34,99.97,99.96,100.14,100.45,100.7,101.19,101.44,100.7
PS,2018,101.33,101.28,100.89,100.68,100.4,99.91,99.75,99.85,100.47,101.04,101.31,101.49,100.7
PS,2019,101.59,101.35,101.05,100.65,100.3,100.0,99.93,99.95,100.53,101.02,101.2,101.6,100.76
PS,2020,101.55,101.53,101.09,100.81,100.4,100.13,100.15,99.89,100.34,100.6,101.34,101.42,100.77
PS,2021,101.34,101.27,100.86,100.68,100.35,100.06,99.96,100.2,100.39,100.75,101.18,101.53,100.71
PS,2022,101.44,101.24,100.84,100.53,100.19,100.11,100.08,100.07,100.43,100.93,101.23,101.33,100.7
PS,2023,101.5,101.25,101.08,100.67,100.48,100.04,100.1,100.12,100.29,100.95,101.38,101.53,100.78
PS,2024,101.63,101.49,101.12,100.53,100.29,100.05,99.83,100.24,100.24,100.81,101.27,101.43,100.74
RH2M,2015,66.43,59.64,50.1,67.09,69.76,76.88,89.67,89.03,86.38,79.01,73.63,67.2,72.98
RH2M,2016,58.33,59.64,62.32,55.21,64.11,78.82,86.3,88.58,89.38,83.15,79.25,76.55,73.52
RH2M,2017,65.98,56.34,60.85,63.64,65.3,78.03,88.49,89.71,89.25,85.71,78.83,78.67,75.19
RH2M,2018,65.05,62.95,55.07,67.35,69.33,79.95,85.95,88.4,87.46,76.97,73.81,67.56,73.36
RH2M,2019,56.33,55.32,66.68,62.81,66.7,73.44,78.64,86.01,89.15,85.2,82.66,79.25,73.63
RH2M,2020,74.68,66.58,64.97,60.24,72.88,85.31,87.44,89.43,89.31,86.68,79.92,73.36,77.61
RH2M,2021,66.14,51.52,47.94,54.73,70.22,86.25,88.15,90.73,90.25,86.63,82.88,82.3,74.96
RH2M,2022,78.66,70.49,64.22,61.03,71.13,78.37,84.03,87.3,89.22,86.07,77.16,71.93,76.69
RH2M,2023,63.59,52.11,53.75,49.63,61.15,69.91,84.29,85.99,89.58,82.74,80.9,79.05,71.2
RH2M,2024,71.52,61.85,56.18,45.32,66.91,79.28,85.04,90.18,90.2,88.14,79.45,78.61,74.47
T2M_MAX,2015,28.8,34.45,38.56,40.56,42.39,37.4,33.84,32.07,33.18,32.81,30.17,29.24,42.39
T2M_MAX,2016,30.95,36.71,37.87,44.48,43.8,40.12,33.57,33.18,31.93,32.52,30.31,27.39,44.48
T2M_MAX,2017,28.2,34.42,38.29,42.07,41.68,38.6,34.13,32.42,33.66,32.81,29.7,28.05,42.07
T2M_MAX,2018,25.93,33.87,37.95,39.47,40.99,39.6,34.02,32.76,32.55,32.75,30.63,27.21,40.99
T2M_MAX,2019,30.28,35.6,37.36,42.8,41.29,42.23,35.86,34.41,32.9,31.46,29.13,27.25,42.8
T2M_MAX,2020,26.74,30.15,37.49,41.07,40.19,34.03,33.34,33.38,32.9,32.83,29.99,26.7,41.07
T2M_MAX,2021,29.6,36.71,43.83,41.9,40.55,34.74,33.34,32.25,32.13,32.75,28.7,27.05,43.83
T2M_MAX,2022,25.66,30.51,37.65,43.12,39.27,37.52,33.68,33.51,32.14,31.39,29.76,28.56,43.12
T2M_MAX,2023,30.61,35.6,37.47,44.64,42.02,44.33,34.5,33.3,32.99,32.54,29.95,28.79,44.64
T2M_MAX,2024,26.63,33.87,40.06,46.92,45.42,38.42,34.29,32.46,32.47,32.43,30.9,27.03,46.92
T2M_MIN,2015,6.62,7.56,13.41,22.34,25.14,25.32,25.37,24.93,22.88,18.14,15.76,7.72,6.62
T2M_MIN,2016,7.58,13.37,19.28,24.26,25.77,26.31,24.65,24.61,24.79,18.36,11.86,8.9,7.58
T2M_MIN,2017,5.32,10.92,14.96,21.23,25.11,25.88,25.55,25.41,24.84,20.38,11.0,8.75,5.32
T2M_MIN,2018,5.5,11.34,15.87,20.2,24.51,25.69,25.58,25.45,23.91,16.91,13.56,5.66,5.5
T2M_MIN,2019,7.56,10.15,13.03,20.46,24.62,27.06,26.19,25.69,23.52,18.4,14.57,5.09,5.09
T2M_MIN,2020,6.37,8.04,15.53,20.67,23.51,26.21,25.06,25.58,24.73,18.03,11.42,6.85,6.37
T2M_MIN,2021,8.12,8.17,17.34,23.01,24.24,25.26,25.91,25.5,24.78,19.44,13.3,6.2,6.2
T2M_MIN,2022,7.44,9.06,14.89,24.06,24.97,24.76,25.59,25.26,25.09,17.75,11.69,9.61,7.44
T2M_MIN,2023,7.29,10.12,18.27,21.1,24.39,26.75,26.03,25.1,25.41,18.09,13.84,8.95,7.29
T2M_MIN,2024,7.31,8.91,15.14,23.2,25.18,26.75,26.19,25.25,24.88,21.92,14.17,8.09,7.31
