-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2015 through 12/31/2024 in LST
Location: Latitude  26.8467   Longitude 80.9462 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 117.11 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WD10M     MERRA-2 Wind Direction at 10 Meters (Degrees) 
WS10M     MERRA-2 Wind Speed at 10 Meters (m/s) 
WS2M      MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
WD10M,2015,293.2,287.3,298.1,311.9,307.0,341.4,264.9,283.3,301.4,338.1,317.9,289.8,301.4
WD10M,2016,291.5,301.0,295.9,293.1,93.2,111.8,120.0,102.7,246.3,256.2,284.1,285.3,286.7
WD10M,2017,293.6,292.8,307.2,316.1,32.2,282.0,106.7,176.0,240.3,247.9,289.6,289.4,292.0
WD10M,2018,292.0,296.7,290.7,66.8,92.8,167.1,98.2,102.3,232.0,299.4,290.6,293.7,295.1
WD10M,2019,289.0,312.9,301.5,312.9,293.7,201.6,154.1,107.7,100.4,236.2,266.2,266.9,284.9
WD10M,2020,262.3,271.9,290.9,298.6,6.3,98.1,177.7,112.8,205.1,258.6,292.6,286.9,271.2
WD10M,2021,292.0,283.6,288.1,291.4,51.4,92.4,125.1,165.6,95.2,282.3,292.6,306.3,293.7
WD10M,2022,287.1,296.3,294.0,308.7,85.6,242.2,114.6,126.3,136.1,218.1,264.3,278.7,265.1
WD10M,2023,283.5,275.5,281.2,288.8,272.6,268.2,123.6,246.2,80.4,286.8,287.4,285.5,274.0
WD10M,2024,286.3,286.4,288.0,282.0,138.0,253.5,113.6,130.4,107.9,263.2,280.0,285.5,269.9
WS10M,2015,3.01,2.79,3.36,3.17,3.06,3.82,3.84,2.57,2.98,2.22,2.42,2.54,2.98
WS10M,2016,2.56,2.9,3.3,4.34,3.05,3.33,3.16,3.14,2.56,1.87,2.22,2.4,2.9
WS10M,2017,3.01,3.13,3.61,3.62,3.2,3.23,3.36,2.99,2.49,1.44,2.15,2.21,2.87
WS10M,2018,2.95,3.1,3.57,3.55,3.44,4.12,3.93,2.67,3.16,1.93,2.19,2.47,3.09
WS10M,2019,2.7,3.03,3.19,3.3,4.15,3.7,3.43,3.03,2.99,1.97,2.26,2.4,3.01
WS10M,2020,2.71,2.66,3.15,3.26,3.22,3.18,3.16,3.42,2.45,2.09,2.69,3.28,2.94
WS10M,2021,3.11,2.9,3.63,3.59,3.27,2.76,3.1,3.24,3.07,2.51,2.34,2.45,3.0
WS10M,2022,2.69,3.38,3.03,3.23,2.85,3.32,4.24,3.94,3.17,2.3,2.29,2.65,3.09
WS10M,2023,2.58,2.99,2.87,3.21,2.93,4.35,3.24,3.42,2.58,1.67,1.87,2.37,2.84
WS10M,2024,2.21,2.91,3.07,4.48,3.42,3.67,3.25,2.83,2.88,2.18,2.26,2.66,2.98
WS2M,2015,1.86,1.69,2.14,2.12,2.1,2.82,2.71,1.7,1.92,1.35,1.49,1.58,1.96
WS2M,2016,1.61,1.81,2.11,2.93,2.15,2.42,2.2,2.09,1.66,1.11,1.31,1.44,1.9
WS2M,2017,1.83,1.9,2.28,2.39,2.26,2.34,2.35,1.98,1.59,0.92,1.3,1.37,1.88
WS2M,2018,1.75,1.89,2.26,2.4,2.47,3.03,2.78,1.79,2.05,1.16,1.31,1.46,2.03
WS2M,2019,1.65,1.87,2.01,2.2,2.93,2.72,2.4,2.02,1.97,1.21,1.36,1.47,1.98
WS2M,2020,1.65,1.62,2.02,2.13,2.3,2.37,2.22,2.32,1.57,1.2,1.62,2.0,1.92
WS2M,2021,1.94,1.77,2.35,2.34,2.31,1.99,2.19,2.18,2.02,1.54,1.41,1.5,1.96
WS2M,2022,1.62,2.07,1.87,2.12,1.97,2.47,3.07,2.7,2.12,1.45,1.37,1.56,2.03
WS2M,2023,1.53,1.86,1.82,2.1,2.06,3.2,2.29,2.31,1.67,1.04,1.16,1.42,1.87
WS2M,2024,1.36,1.8,1.94,3.04,2.44,2.69,2.26,1.89,1.88,1.33,1.33,1.59,1.96
