-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2015 through 12/31/2024 in LST
Location: Latitude  19.07   Longitude 72.8777 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 97.15 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WD10M     MERRA-2 Wind Direction at 10 Meters (Degrees) 
WS10M     MERRA-2 Wind Speed at 10 Meters (m/s) 
WS2M      MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
WD10M,2015,49.1,5.2,341.2,282.0,279.0,224.0,244.3,259.5,281.4,75.5,74.1,68.5,266.0
WD10M,2016,43.2,323.0,322.4,307.0,269.6,253.9,248.9,248.0,283.6,22.5,86.5,81.6,276.1
WD10M,2017,56.2,30.7,311.4,286.3,273.7,235.5,248.0,254.7,295.0,52.3,72.5,84.6,271.6
WD10M,2018,53.4,33.5,328.8,300.9,277.0,246.8,242.4,251.2,277.2,71.9,75.9,61.4,272.2
WD10M,2019,46.9,348.6,327.0,303.5,294.4,234.7,245.5,247.6,241.8,76.4,89.4,74.6,271.9
WD10M,2020,30.8,44.7,315.7,310.5,302.9,223.3,229.5,236.8,278.0,333.8,75.1,78.7,276.7
WD10M,2021,19.5,40.1,346.6,303.9,268.8,248.3,250.8,255.3,245.1,25.2,82.2,68.6,277.9
WD10M,2022,32.3,1.2,353.1,306.6,271.0,239.6,251.6,246.8,268.0,37.5,76.4,70.3,278.8
WD10M,2023,44.6,45.9,345.0,320.2,291.7,234.5,251.4,255.3,273.1,45.5,81.4,83.6,284.2
WD10M,2024,44.5,1.1,322.4,312.2,282.2,237.6,237.9,252.9,272.9,59.6,82.9,63.7,278.5
WS10M,2015,3.11,3.09,3.05,2.85,3.26,5.24,5.47,3.74,2.88,2.54,3.2,3.22,3.47
WS10M,2016,2.96,2.69,2.83,3.16,3.67,4.61,4.95,5.04,3.53,2.88,3.4,3.29,3.59
WS10M,2017,3.08,3.13,2.88,3.01,3.39,4.51,5.77,4.11,2.72,2.31,3.12,3.32,3.45
WS10M,2018,2.77,2.8,2.8,2.74,3.23,4.57,5.79,5.41,2.87,2.58,2.8,3.35,3.48
WS10M,2019,3.37,3.26,3.08,3.01,3.49,4.3,4.87,4.78,4.03,2.65,2.7,2.89,3.54
WS10M,2020,3.03,3.17,2.99,3.04,3.71,3.47,4.36,5.36,2.66,2.2,2.89,2.86,3.32
WS10M,2021,2.35,2.99,3.02,2.7,3.73,3.99,4.95,3.37,3.92,2.37,2.84,2.81,3.25
WS10M,2022,2.79,2.66,3.13,2.86,4.24,4.32,5.34,5.01,3.19,2.97,3.4,2.95,3.58
WS10M,2023,3.02,3.58,3.0,3.07,3.31,4.99,5.53,4.45,3.5,2.65,3.07,3.19,3.61
WS10M,2024,3.06,3.01,3.02,3.14,3.24,4.06,6.0,4.4,3.45,2.41,3.63,3.14,3.55
WS2M,2015,2.07,2.14,2.19,2.18,2.53,3.97,4.09,2.72,2.0,1.64,2.07,2.07,2.47
WS2M,2016,1.91,1.89,2.05,2.4,2.88,3.55,3.68,3.68,2.49,1.87,2.2,2.11,2.56
WS2M,2017,2.0,2.15,2.1,2.26,2.64,3.42,4.29,2.97,1.89,1.48,1.95,2.16,2.45
WS2M,2018,1.73,1.86,2.01,2.09,2.52,3.46,4.29,3.95,1.99,1.63,1.74,2.17,2.46
WS2M,2019,2.26,2.28,2.22,2.28,2.71,3.33,3.6,3.47,2.86,1.78,1.77,1.91,2.54
WS2M,2020,2.01,2.13,2.19,2.29,2.9,2.61,3.23,3.89,1.85,1.47,1.87,1.84,2.36
WS2M,2021,1.52,2.01,2.15,2.04,2.81,2.95,3.65,2.43,2.77,1.56,1.88,1.81,2.3
WS2M,2022,1.83,1.78,2.24,2.16,3.32,3.34,3.95,3.64,2.23,1.98,2.2,1.9,2.55
WS2M,2023,1.99,2.4,2.14,2.29,2.58,3.84,4.11,3.22,2.45,1.73,2.02,2.1,2.57
WS2M,2024,2.0,2.07,2.2,2.39,2.53,3.1,4.47,3.19,2.43,1.6,2.42,2.07,2.54
