-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2015 through 12/31/2024 in LST
Location: Latitude  18.5204   Longitude 73.8567 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 635.99 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DNI      CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
PS                     MERRA-2 Surface Pressure (kPa) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DIFF,2015,1.9303,2.0112,2.219,2.6153,2.6141,2.37,2.5123,2.3868,2.3686,2.3714,2.1036,1.7405,2.2714
ALLSKY_SFC_SW_DIFF,2016,1.835,2.1638,2.255,2.3138,2.5685,2.4974,1.9373,2.231,2.202,2.2236,1.939,1.7501,2.1588
ALLSKY_SFC_SW_DIFF,2017,1.9519,1.656,2.0167,2.1655,2.7022,2.5942,2.3182,2.2495,2.4329,2.2898,1.8302,1.8514,2.1749
ALLSKY_SFC_SW_DIFF,2018,1.8226,2.0496,2.2469,2.3467,2.8603,2.6292,1.8523,2.0258,2.4442,2.395,1.8842,1.7064,2.1883
ALLSKY_SFC_SW_DIFF,2019,1.7803,1.8271,2.0018,2.2133,2.3018,2.7619,2.0501,2.1144,2.0424,2.2286,2.0184,1.9733,2.1101
ALLSKY_SFC_SW_DIFF,2020,1.788,1.9915,2.0762,2.3606,2.3693,2.6794,2.5178,1.915,2.4113,2.2486,1.9702,1.7167,2.1694
ALLSKY_SFC_SW_DIFF,2021,1.8828,2.1406,2.3741,2.6642,2.8063,2.4475,2.1902,2.2044,2.1175,2.3167,2.0882,1.8665,2.2584
ALLSKY_SFC_SW_DIFF,2022,1.8847,1.8854,2.4578,2.6938,3.0036,2.7288,1.951,2.2814,2.1866,2.028,2.0366,1.7011,2.2375
ALLSKY_SFC_SW_DIFF,2023,1.7818,1.7143,2.3213,2.4401,2.5094,2.6002,1.9702,2.2543,2.2267,2.459,2.149,1.8185,2.189
ALLSKY_SFC_SW_DIFF,2024,1.7722,1.8634,2.2013,2.676,2.5154,2.6026,1.781,2.2039,2.2313,2.3141,2.214,1.8922,2.1881
ALLSKY_SFC_SW_DNI,2015,4.5341,5.4506,5.1665,5.0726,4.8871,1.9423,0.9043,0.9288,2.5442,3.1805,3.6391,5.0131,3.5935
ALLSKY_SFC_SW_DNI,2016,5.1106,5.0414,5.3861,5.767,5.4574,1.5449,0.1932,0.5683,1.1693,3.1598,4.8454,5.0844,3.6058
ALLSKY_SFC_SW_DNI,2017,4.5982,6.3569,6.4538,6.6473,5.0138,1.518,0.517,0.7291,1.705,2.8018,4.7467,3.9132,3.7296
ALLSKY_SFC_SW_DNI,2018,4.751,5.1869,5.089,5.9196,4.5713,0.8364,0.2806,0.3089,2.7538,3.7973,4.6087,4.8775,3.569
ALLSKY_SFC_SW_DNI,2019,5.3225,5.8654,6.5189,6.3305,6.5501,1.9836,0.6514,0.7922,0.9643,2.4394,3.9662,3.1637,3.6991
ALLSKY_SFC_SW_DNI,2020,4.963,4.993,5.964,5.9575,5.929,1.4345,0.6545,0.4836,1.5293,2.2145,4.3759,4.3154,3.5628
ALLSKY_SFC_SW_DNI,2021,3.9794,4.8014,5.1451,4.8156,3.1013,1.2422,0.7786,0.9156,0.8621,3.756,2.9983,3.4486,2.9777
ALLSKY_SFC_SW_DNI,2022,4.4616,5.8682,4.1779,4.6529,3.679,1.7294,0.5436,0.7373,1.2142,3.2069,4.2782,4.4102,3.228
ALLSKY_SFC_SW_DNI,2023,4.9488,6.2494,4.6476,5.0585,5.3866,2.539,0.2748,1.0082,1.3015,3.2676,3.0518,4.0255,3.4625
ALLSKY_SFC_SW_DNI,2024,4.7549,5.706,5.6964,4.6339,4.6913,1.4582,0.2446,0.8465,1.6459,2.9496,3.4147,3.7385,3.3077
ALLSKY_SFC_SW_DWN,2015,4.801,5.7821,6.2503,6.8719,6.8119,4.4518,3.9862,3.8813,4.8497,4.9882,4.6394,4.7563,5.1672
ALLSKY_SFC_SW_DWN,2016,4.9762,5.6525,6.4706,6.9902,7.0548,4.3908,2.7,3.3502,3.7394,4.7369,5.1094,4.7724,4.991
ALLSKY_SFC_SW_DWN,2017,4.9181,6.005,6.84,7.409,6.8998,4.4882,3.4918,3.5681,4.3704,4.6697,4.9488,4.2914,5.1499
ALLSKY_SFC_SW_DWN,2018,4.8077,5.6354,6.1682,7.0757,6.8136,4.1837,2.6722,2.9364,5.0102,5.3386,4.9212,4.6438,5.009
ALLSKY_SFC_SW_DWN,2019,5.0904,5.8649,6.8921,7.2223,7.5535,5.0599,3.2388,3.4322,3.348,4.3692,4.6622,4.0258,5.0566
ALLSKY_SFC_SW_DWN,2020,4.8852,5.514,6.5846,7.0968,7.1225,4.5941,3.8146,2.8978,4.2161,4.2497,4.8338,4.3596,5.0095
ALLSKY_SFC_SW_DWN,2021,4.4959,5.5183,6.3624,6.7313,5.7274,4.1786,3.4447,3.595,3.4524,5.2442,4.2199,4.0661,4.7479
ALLSKY_SFC_SW_DWN,2022,4.7585,5.8999,5.8651,6.6173,6.3989,4.8398,3.018,3.5544,3.7538,4.6248,4.9013,4.4179,4.8775
ALLSKY_SFC_SW_DWN,2023,4.8984,6.0031,5.9966,6.6086,6.8904,5.2154,2.8462,3.7687,3.8302,5.0657,4.338,4.3354,4.9745
ALLSKY_SFC_SW_DWN,2024,4.7525,5.8006,6.5165,6.5434,6.5256,4.5034,2.5718,3.539,4.0342,4.7611,4.5602,4.2706,4.8593
PS,2015,94.27,94.18,94.13,93.92,93.79,93.49,93.59,93.72,93.81,94.08,94.12,94.29,93.95
PS,2016,94.29,94.18,94.08,93.86,93.72,93.56,93.5,93.55,93.75,93.95,94.19,94.22,93.9
PS,2017,94.24,94.22,93.97,93.88,93.74,93.51,93.52,93.54,93.72,93.86,94.08,94.21,93.87
PS,2018,94.12,94.16,93.98,93.82,93.68,93.45,93.41,93.57,93.87,94.07,94.19,94.25,93.88
PS,2019,94.32,94.21,94.06,93.87,93.79,93.5,93.45,93.51,93.67,93.97,94.13,94.21,93.89
PS,2020,94.22,94.22,94.05,93.94,93.72,93.44,93.4,93.41,93.56,93.73,94.19,94.17,93.84
PS,2021,94.06,94.15,93.99,93.9,93.6,93.58,93.43,93.61,93.54,93.86,93.94,94.25,93.82
PS,2022,94.17,94.05,93.91,93.81,93.59,93.49,93.44,93.45,93.67,93.96,94.16,94.12,93.82
PS,2023,94.23,94.23,94.09,93.9,93.87,93.63,93.53,93.78,93.68,94.13,94.18,94.22,93.96
PS,2024,94.26,94.29,94.13,93.83,93.64,93.5,93.33,93.61,93.68,93.93,94.16,94.12,93.87
RH2M,2015,58.49,44.12,49.6,48.54,58.61,80.64,86.18,86.75,85.55,76.43,69.44,57.0,66.92
RH2M,2016,46.5,48.07,37.77,43.54,57.18,78.47,91.68,91.9,91.51,80.79,64.28,56.87,65.77
RH2M,2017,50.88,39.33,37.69,40.25,53.84,82.46,90.56,90.94,89.65,80.28,71.97,67.81,66.47
RH2M,2018,56.26,45.43,39.48,39.7,53.01,83.12,91.27,91.32,86.61,69.74,60.68,51.65,64.14
RH2M,2019,37.98,38.61,33.95,38.59,51.94,73.21,91.4,92.28,92.73,88.2,83.25,81.2,67.12
RH2M,2020,73.59,56.58,52.76,42.66,54.01,83.94,89.83,93.5,91.79,86.6,81.13,74.72,73.5
RH2M,2021,70.29,52.79,37.58,44.71,67.15,87.15,91.16,90.14,92.08,84.18,82.46,78.25,73.29
RH2M,2022,71.25,56.76,40.06,40.72,60.68,75.51,91.78,91.97,91.45,86.03,78.39,74.42,71.71
RH2M,2023,64.43,36.24,48.48,46.03,55.14,73.8,91.29,90.31,91.03,79.17,77.76,68.38,68.73
RH2M,2024,58.33,46.23,38.86,38.45,58.5,82.21,91.59,91.95,91.49,85.86,77.27,74.49,69.7
T2M_MAX,2015,30.56,34.44,38.9,40.39,40.39,37.37,29.99,30.18,30.82,31.12,30.39,31.11,40.39
T2M_MAX,2016,33.92,37.79,39.91,41.5,40.48,38.36,27.8,27.83,27.71,28.6,29.54,29.58,41.5
T2M_MAX,2017,32.17,36.33,41.2,41.55,41.38,36.42,28.41,27.67,29.84,30.07,28.7,27.39,41.55
T2M_MAX,2018,29.75,35.11,38.63,41.3,40.97,33.35,28.64,27.08,30.85,31.29,30.42,30.28,41.3
T2M_MAX,2019,31.56,37.18,40.69,43.2,41.61,40.0,29.36,28.27,28.49,29.04,28.39,27.61,43.2
T2M_MAX,2020,29.47,33.26,37.58,40.47,41.15,31.43,29.08,27.19,29.84,28.9,28.33,27.56,41.15
T2M_MAX,2021,29.66,34.22,39.05,39.97,38.07,31.8,28.85,27.95,27.49,29.63,28.92,26.83,39.97
T2M_MAX,2022,28.38,33.55,39.47,41.0,40.74,37.14,28.43,28.92,29.62,28.33,27.79,28.62,41.0
T2M_MAX,2023,29.81,34.64,36.2,39.83,40.32,37.72,28.22,28.79,29.85,30.05,29.16,29.44,40.32
T2M_MAX,2024,30.49,35.5,39.48,42.11,40.62,36.98,29.15,28.96,29.53,29.86,28.44,28.76,42.11
