-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2015 through 12/31/2024 in LST
Location: Latitude  21.2514   Longitude 81.6296 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 276.76 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DNI      CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
PS                     MERRA-2 Surface Pressure (kPa) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DIFF,2015,1.6505,1.8953,1.8826,2.3741,2.4775,2.8176,2.7845,2.7706,2.4509,2.0177,1.806,1.5871,2.2104
ALLSKY_SFC_SW_DIFF,2016,1.6639,2.2594,2.3215,2.0258,2.465,2.7845,2.7425,2.6083,2.6726,1.884,1.5869,1.4791,2.2068
ALLSKY_SFC_SW_DIFF,2017,1.6392,1.2946,1.7753,2.1506,2.5042,2.8454,2.8975,2.7826,2.6146,2.142,1.6728,1.3246,2.1418
ALLSKY_SFC_SW_DIFF,2018,1.2526,1.6826,1.9982,2.3302,2.9429,2.9796,2.5939,2.2622,2.3146,1.9104,1.649,1.5127,2.1204
ALLSKY_SFC_SW_DIFF,2019,1.4114,1.7078,2.0098,2.431,2.515,3.061,2.617,2.5171,2.399,2.2519,1.7822,1.5408,2.1883
ALLSKY_SFC_SW_DIFF,2020,1.4342,1.5293,2.3381,2.2298,2.5577,2.7034,2.9986,2.2697,2.8795,2.3501,1.5293,1.2838,2.177
ALLSKY_SFC_SW_DIFF,2021,1.5679,1.5878,2.0294,2.9412,2.7996,2.7103,2.6563,2.8289,2.6546,2.0366,1.9044,1.5816,2.2776
ALLSKY_SFC_SW_DIFF,2022,1.4822,1.5902,2.0266,2.7833,3.0098,2.9753,2.5754,2.5289,2.6208,2.0983,1.7239,1.4794,2.2435
ALLSKY_SFC_SW_DIFF,2023,1.5622,1.4026,2.2322,2.4996,2.5054,2.759,2.7732,2.6222,2.4785,1.9704,1.931,1.6238,2.2008
ALLSKY_SFC_SW_DIFF,2024,1.807,2.0683,2.2008,2.3774,2.6561,2.9623,2.4696,2.4881,2.6933,2.2973,1.9997,1.6255,2.3028
ALLSKY_SFC_SW_DNI,2015,4.6042,5.357,5.5685,5.1396,5.2099,2.4158,1.5192,1.6171,3.3211,4.4002,4.1858,3.787,3.917
ALLSKY_SFC_SW_DNI,2016,4.8662,4.0349,4.8329,6.4394,5.49,3.5518,1.0711,1.1674,1.4278,4.7882,5.2418,5.2807,4.0142
ALLSKY_SFC_SW_DNI,2017,4.8197,6.8592,6.6355,6.6955,5.1754,2.5932,0.9041,1.3771,2.3484,3.6991,4.4503,5.5298,4.2384
ALLSKY_SFC_SW_DNI,2018,6.36,5.4151,5.3532,5.2145,4.3646,2.8373,0.5731,0.7584,2.9978,5.2058,4.8473,3.6737,3.9547
ALLSKY_SFC_SW_DNI,2019,5.0904,5.5555,5.6054,5.4545,5.8164,3.2107,1.2648,1.1381,1.3229,2.7773,4.1945,3.7685,3.7543
ALLSKY_SFC_SW_DNI,2020,4.399,4.6118,4.0735,5.5013,5.435,1.5833,1.4921,1.1575,1.8871,2.6698,4.9908,5.119,3.5719
ALLSKY_SFC_SW_DNI,2021,4.3898,5.7852,5.1936,3.9814,4.099,1.9603,1.2857,1.4832,1.6918,4.4736,3.3384,3.9242,3.456
ALLSKY_SFC_SW_DNI,2022,4.2802,5.8457,5.591,4.6219,3.7822,2.1708,1.2022,1.6094,1.4878,3.9161,4.9015,4.7635,3.6674
ALLSKY_SFC_SW_DNI,2023,4.3618,7.2204,4.1486,4.0999,5.3861,3.191,1.6318,1.4942,1.3505,5.0306,3.1882,3.4658,3.6936
ALLSKY_SFC_SW_DNI,2024,2.8056,4.0327,4.7911,4.057,4.4539,2.2159,0.9322,1.0046,1.6464,3.2698,3.2119,3.5774,2.9966
ALLSKY_SFC_SW_DWN,2015,4.3541,5.3393,5.8639,6.475,6.7649,5.2178,4.4285,4.4832,5.2056,5.185,4.4489,3.8165,5.1278
ALLSKY_SFC_SW_DWN,2016,4.4426,4.8787,5.8723,6.9461,6.8066,5.8694,4.038,3.8995,4.0874,5.2145,4.7971,4.4441,5.1058
ALLSKY_SFC_SW_DWN,2017,4.4998,5.6398,6.4968,7.2626,6.7757,5.2202,4.1057,4.3325,4.6932,4.8338,4.4249,4.4282,5.2207
ALLSKY_SFC_SW_DWN,2018,4.9205,5.1761,5.964,6.5395,6.5494,5.5562,3.5736,3.2594,4.7722,5.5195,4.6711,3.6614,5.0081
ALLSKY_SFC_SW_DWN,2019,4.3951,5.3328,6.1313,6.6468,7.0392,5.6885,4.0301,3.835,3.6979,4.4052,4.453,3.7474,4.9452
ALLSKY_SFC_SW_DWN,2020,4.0596,4.6068,5.4612,6.576,6.8376,4.3754,4.6704,3.5724,4.6262,4.3819,4.5605,4.1683,4.8235
ALLSKY_SFC_SW_DWN,2021,4.1971,5.3179,5.8618,6.1469,6.2141,4.687,4.0922,4.4575,4.2883,5.1564,4.0807,3.8909,4.8629
ALLSKY_SFC_SW_DWN,2022,4.0538,5.3556,6.1608,6.5438,6.336,5.1101,3.9559,4.183,4.117,4.8782,4.7736,4.1525,4.9634
ALLSKY_SFC_SW_DWN,2023,4.2125,5.8807,5.4259,5.8855,6.7673,5.4194,4.4227,4.2739,3.9118,5.4946,4.0786,3.648,4.9454
ALLSKY_SFC_SW_DWN,2024,3.5551,4.8478,5.8627,5.7593,6.4042,5.1466,3.6389,3.7135,4.2821,4.7563,4.2019,3.7152,4.6538
PS,2015,98.46,98.25,98.12,97.64,97.23,97.0,97.03,97.2,97.52,98.03,98.26,98.4,97.76
PS,2016,98.39,98.18,97.93,97.44,97.18,97.02,96.97,97.03,97.3,97.76,98.22,98.34,97.65
PS,2017,98.39,98.26,97.79,97.4,97.17,96.96,96.99,97.1,97.46,97.71,98.17,98.39,97.65
PS,2018,98.24,98.21,97.84,97.51,97.2,96.93,96.83,96.91,97.51,98.04,98.26,98.4,97.65
PS,2019,98.5,98.28,97.97,97.54,97.24,96.98,96.92,96.97,97.39,98.0,98.25,98.48,97.71
PS,2020,98.42,98.43,98.05,97.76,97.36,97.09,97.13,96.93,97.31,97.6,98.32,98.36,97.73
PS,2021,98.23,98.23,97.89,97.64,97.31,97.1,96.98,97.2,97.25,97.76,98.09,98.43,97.67
PS,2022,98.32,98.12,97.78,97.44,97.04,97.0,96.92,97.04,97.35,97.92,98.25,98.26,97.62
PS,2023,98.39,98.22,98.03,97.74,97.48,97.02,97.01,97.27,97.28,98.04,98.38,98.47,97.78
PS,2024,98.47,98.38,98.06,97.66,97.24,97.06,96.81,97.26,97.25,97.83,98.25,98.31,97.71
RH2M,2015,61.16,45.48,39.92,35.56,25.68,62.15,84.14,85.71,83.29,75.57,73.66,61.56,61.26
RH2M,2016,47.25,35.98,29.93,21.41,33.51,55.31,82.44,87.32,88.94,76.93,70.06,67.44,58.15
