DATE,ALLSKY_SFC_SW_DIFF,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DWN,PS,RH2M,T2M_MAX,T2M_MIN,WD10M,WS10M,WS2M,CITY
2015-01-01,2.1298,4.321,5.2147,91.98,57.94,32.62,9.31,51.7,3.65,2.75,Bengaluru
2015-02-01,1.895,6.4022,6.5237,91.94,46.01,34.84,11.81,80.0,3.65,2.8,Bengaluru
2015-03-01,2.3462,5.0542,6.5076,91.91,48.3,36.92,13.48,116.4,3.65,2.89,Bengaluru
2015-04-01,2.5934,4.2713,6.3634,91.73,57.64,37.07,18.94,153.5,4.3,3.44,Bengaluru
2015-05-01,2.6978,3.1654,5.7125,91.6,67.27,35.89,19.36,191.8,4.47,3.53,Bengaluru
2015-06-01,2.7257,2.586,5.2428,91.49,74.81,32.38,18.42,240.1,4.85,3.81,Bengaluru
2015-07-01,2.9112,2.3789,5.3062,91.54,70.56,33.4,18.19,248.5,4.12,3.24,Bengaluru
2015-08-01,2.7936,2.7614,5.447,91.59,72.67,32.85,18.38,240.0,3.52,2.73,Bengaluru
2015-09-01,2.7396,3.2282,5.6174,91.62,74.01,33.72,18.07,210.6,2.99,2.31,Bengaluru
2015-10-01,2.4283,3.9106,5.6004,91.85,74.0,31.29,14.08,83.4,2.89,2.2,Bengaluru
2015-11-01,1.9891,1.956,3.7061,91.81,85.82,29.85,13.34,41.9,4.49,3.44,Bengaluru
2015-12-01,1.9094,4.0368,4.68,92.03,78.11,28.81,10.28,48.4,3.91,2.97,Bengaluru
2016-01-01,2.0566,4.4441,5.2032,92.04,67.23,32.12,10.54,57.9,2.97,2.22,Bengaluru
2016-02-01,2.2572,5.3002,6.1387,91.98,53.03,37.06,11.76,109.9,3.1,2.38,Bengaluru
2016-03-01,2.411,5.1226,6.5851,91.87,45.95,37.61,17.2,147.1,3.91,3.1,Bengaluru
2016-04-01,2.5118,5.2188,6.905,91.63,38.68,40.38,20.07,166.6,5.06,4.05,Bengaluru
2016-05-01,2.4538,4.1803,6.0893,91.54,60.84,39.32,20.7,204.9,4.85,3.85,Bengaluru
2016-06-01,2.7754,1.8662,4.7753,91.47,76.5,32.32,18.15,255.4,4.14,3.23,Bengaluru
2016-07-01,2.9278,1.6049,4.8893,91.47,77.9,31.24,17.72,240.7,4.36,3.4,Bengaluru
2016-08-01,2.8601,2.5654,5.2862,91.49,76.68,31.85,18.76,252.7,4.09,3.18,Bengaluru
2016-09-01,2.7934,2.0822,4.973,91.55,73.59,31.9,17.5,247.5,3.17,2.45,Bengaluru
2016-10-01,2.3503,4.3548,5.7737,91.66,62.11,33.59,15.29,33.7,2.95,2.28,Bengaluru
