DATE,ALLSKY_SFC_SW_DIFF,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DWN,PS,RH2M,T2M_MAX,T2M_MIN,WD10M,WS10M,WS2M,CITY
2015-01-01,2.1062,4.2029,4.9901,100.87,77.41,29.08,18.48,51.7,3.65,2.75,Chennai
2015-02-01,2.4074,4.6721,5.8507,100.8,70.63,33.53,19.76,80.0,3.65,2.8,Chennai
2015-03-01,2.4934,4.8473,6.409,100.69,66.13,36.8,21.45,116.4,3.65,2.89,Chennai
2015-04-01,2.4163,5.0513,6.5534,100.4,68.99,38.49,23.25,153.5,4.3,3.44,Chennai
2015-05-01,2.6638,3.1195,5.567,100.12,68.88,39.69,25.24,191.8,4.47,3.53,Chennai
2015-06-01,2.6126,2.4634,4.9654,99.97,66.7,37.1,24.94,240.1,4.85,3.81,Chennai
2015-07-01,2.8375,2.9052,5.5966,99.99,63.16,38.61,25.14,248.5,4.12,3.24,Chennai
2015-08-01,2.7101,2.5985,5.3258,100.11,73.31,36.76,24.32,240.0,3.52,2.73,Chennai
2015-09-01,2.6026,2.461,5.0254,100.22,76.5,35.4,24.27,210.6,2.99,2.31,Chennai
2015-10-01,2.3268,3.4099,5.0558,100.53,77.1,32.51,22.73,83.4,2.89,2.2,Chennai
2015-11-01,1.8324,2.0342,3.4824,100.51,86.85,30.68,21.34,41.9,4.49,3.44,Chennai
2015-12-01,1.9656,3.6084,4.3814,100.84,83.12,29.02,19.9,48.4,3.91,2.97,Chennai
2016-01-01,2.263,3.7627,4.9104,100.9,76.06,29.62,19.39,57.9,2.97,2.22,Chennai
2016-02-01,2.2824,4.9198,5.8495,100.81,73.16,33.42,19.42,109.9,3.1,2.38,Chennai
2016-03-01,2.5884,4.5838,6.3142,100.6,66.27,38.44,22.84,147.1,3.91,3.1,Chennai
2016-04-01,2.4329,5.5915,6.9715,100.28,64.82,40.05,24.71,166.6,5.06,4.05,Chennai
2016-05-01,2.4434,3.8585,5.755,100.04,66.82,39.87,25.95,204.9,4.85,3.85,Chennai
2016-06-01,2.6122,1.7851,4.6135,99.95,71.65,36.96,24.61,255.4,4.14,3.23,Chennai
2016-07-01,2.7881,2.2426,5.1151,99.99,72.73,36.11,23.63,240.7,4.36,3.4,Chennai
2016-08-01,2.4931,2.8956,5.1377,99.97,70.2,36.89,23.37,252.7,4.09,3.18,Chennai
2016-09-01,2.4888,2.0935,4.6632,100.07,72.24,34.9,24.55,247.5,3.17,2.45,Chennai
