DATE,ALLSKY_SFC_SW_DIFF,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DWN,PS,RH2M,T2M_MAX,T2M_MIN,WD10M,WS10M,WS2M,CITY
2015-01-01,1.4657,1.7285,2.4821,99.13,52.16,24.58,2.9,289.4,2.98,1.77,Delhi
2015-02-01,1.9608,3.87,4.3747,98.81,38.99,31.8,5.48,294.7,2.75,1.64,Delhi
2015-03-01,1.8929,4.6601,5.1574,98.72,49.6,36.81,7.18,293.5,3.15,1.97,Delhi
2015-04-01,2.4312,5.0976,6.3576,98.14,40.98,40.71,15.66,271.5,2.65,1.71,Delhi
2015-05-01,2.6155,5.5606,7.1484,97.67,19.18,46.25,22.65,283.6,3.49,2.45,Delhi
2015-06-01,2.7895,3.809,6.1637,97.36,35.15,45.6,24.65,284.6,3.14,2.24,Delhi
2015-07-01,2.807,2.376,5.0062,97.29,64.37,41.47,23.88,209.2,2.98,2.07,Delhi
2015-08-01,2.6134,2.6947,5.0242,97.58,68.09,37.39,23.77,261.9,2.62,1.71,Delhi
2015-09-01,2.2438,4.8055,5.8068,97.96,48.62,39.05,19.27,294.5,2.95,1.88,Delhi
2015-10-01,1.8293,4.5334,4.8202,98.53,37.62,38.5,14.84,306.1,2.34,1.46,Delhi
2015-11-01,1.6915,2.7953,3.3679,98.81,35.47,31.32,10.97,319.1,2.47,1.49,Delhi
2015-12-01,1.5014,3.091,3.089,99.03,26.84,29.03,3.14,300.7,2.88,1.77,Delhi
2016-01-01,1.5624,2.484,2.9102,98.99,29.69,28.19,4.04,304.3,2.43,1.45,Delhi
2016-02-01,1.7604,4.1974,4.3303,98.89,24.7,32.83,5.63,311.1,2.75,1.65,Delhi
2016-03-01,2.083,4.8898,5.507,98.54,30.98,39.09,11.92,310.1,3.02,1.9,Delhi
2016-04-01,2.5049,5.5303,6.6838,97.93,18.91,43.18,19.52,302.1,3.71,2.46,Delhi
2016-05-01,2.8354,4.259,6.5508,97.53,24.07,47.06,24.98,265.8,2.95,2.02,Delhi
2016-06-01,3.1224,3.0737,6.097,97.36,34.55,45.82,28.54,237.2,2.71,1.92,Delhi
2016-07-01,2.7578,1.2631,4.3529,97.31,68.6,41.09,24.94,237.3,2.19,1.5,Delhi
2016-08-01,2.5824,2.5231,4.873,97.47,79.91,34.97,23.98,107.5,2.45,1.59,Delhi
2016-09-01,2.3954,3.7915,5.3544,97.83,61.34,37.19,21.75,267.5,2.35,1.49,Delhi
2016-10-01,1.8799,4.0337,4.5761,98.24,39.48,36.57,14.54,300.5,2.73,1.64,Delhi
2016-11-01,1.6447,3.605,3.731,98.73,27.03,31.65,10.38,298.3,3.01,1.88,Delhi
2016-12-01,1.5012,3.0799,3.1075,98.92,26.84,28.93,6.61,297.9,2.89,1.74,Delhi
2017-01-01,1.6289,2.6726,3.1402,99.04,43.72,27.0,1.43,313.8,3.04,1.83,Delhi
2017-02-01,1.8775,4.4431,4.5917,98.89,37.35,32.12,5.49,306.1,3.48,2.11,Delhi
2017-03-01,2.2051,4.8763,5.6834,98.41,27.8,41.36,8.32,309.6,3.66,2.28,Delhi
2017-04-01,2.5668,5.4425,6.7414,97.88,18.61,45.37,15.28,298.4,3.79,2.51,Delhi
2017-05-01,2.8188,4.128,6.3811,97.65,22.6,46.13,23.98,292.1,3.0,2.09,Delhi
2017-06-01,3.036,3.072,5.9184,97.33,42.47,47.01,26.23,282.5,3.13,2.24,Delhi
2017-07-01,3.0096,2.0587,5.0921,97.28,65.41,40.39,25.58,122.6,2.93,2.04,Delhi
