DATE,ALLSKY_SFC_SW_DIFF,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DWN,PS,RH2M,T2M_MAX,T2M_MIN,WD10M,WS10M,WS2M,CITY
2015-01-01,1.3723,4.5257,3.714,96.92,75.2,28.33,8.26,225.1,1.94,0.5,Guwahati
2015-02-01,2.0422,3.6209,4.2482,96.79,65.75,30.23,7.56,226.8,2.36,0.65,Guwahati
2015-03-01,2.299,4.1611,5.0947,96.64,57.0,34.42,11.89,236.1,2.76,0.8,Guwahati
2015-04-01,2.8954,2.429,4.6966,96.33,70.52,33.32,17.51,221.9,2.59,0.77,Guwahati
2015-05-01,3.0646,1.8571,4.7134,95.99,75.99,35.78,20.41,217.6,2.45,0.7,Guwahati
2015-06-01,2.837,1.3406,4.2595,95.62,80.54,35.98,23.2,213.2,2.37,0.7,Guwahati
2015-07-01,2.6741,2.5224,4.9373,95.57,84.63,35.18,22.82,165.4,1.96,0.59,Guwahati
2015-08-01,2.5541,1.3284,3.9228,95.78,85.15,34.93,22.84,233.5,1.85,0.54,Guwahati
2015-09-01,2.4041,2.4144,4.3411,96.06,85.1,34.09,21.41,232.2,1.41,0.39,Guwahati
2015-10-01,1.8398,4.6913,4.8158,96.6,83.49,32.86,18.19,176.5,1.44,0.4,Guwahati
2015-11-01,1.367,5.0074,3.9998,96.81,81.38,28.51,14.88,179.0,1.57,0.42,Guwahati
2015-12-01,1.3394,3.8489,3.3346,96.98,80.34,26.33,8.11,205.1,1.74,0.44,Guwahati
2016-01-01,1.464,3.0989,3.1778,96.93,75.17,24.7,6.55,222.6,1.89,0.48,Guwahati
2016-02-01,1.9452,2.9614,3.9362,96.84,65.58,30.01,9.16,216.8,2.56,0.7,Guwahati
2016-03-01,2.3107,3.3895,4.7539,96.53,57.15,35.18,14.87,227.5,2.96,0.84,Guwahati
2016-04-01,2.7396,2.5939,4.8814,95.98,71.64,35.36,17.24,214.7,3.67,1.07,Guwahati
2016-05-01,2.8538,1.6824,4.5348,95.94,77.03,34.38,19.77,215.5,2.04,0.6,Guwahati
2016-06-01,2.7946,2.1766,4.9505,95.78,82.47,36.22,22.94,233.8,1.66,0.49,Guwahati
2016-07-01,2.6863,1.1398,4.0073,95.69,86.11,34.66,22.84,216.3,1.6,0.48,Guwahati
2016-08-01,2.8994,2.6633,5.1715,95.68,83.27,34.98,23.04,203.1,1.63,0.47,Guwahati
