DATE,ALLSKY_SFC_SW_DIFF,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DWN,PS,RH2M,T2M_MAX,T2M_MIN,WD10M,WS10M,WS2M,CITY
2015-01-01,1.7546,5.0626,4.9831,95.88,47.63,32.65,9.68,94.5,3.3,2.14,Hyderabad
2015-02-01,1.9879,5.6789,5.9383,95.76,41.55,35.63,14.53,137.6,3.13,2.09,Hyderabad
2015-03-01,2.4134,3.9941,5.7972,95.68,42.92,39.58,15.77,137.0,2.98,2.07,Hyderabad
2015-04-01,2.2874,5.1929,6.5926,95.38,46.74,40.8,17.39,176.2,3.0,2.15,Hyderabad
2015-05-01,2.6124,4.7664,6.7361,95.07,35.58,45.0,23.73,254.7,4.0,2.94,Hyderabad
2015-06-01,2.7521,1.9433,5.0172,94.89,63.14,38.75,22.75,265.1,5.75,4.25,Hyderabad
2015-07-01,2.9861,2.6045,5.6688,94.93,61.02,37.1,22.15,279.2,5.78,4.2,Hyderabad
2015-08-01,2.6004,1.7962,4.6733,95.07,70.43,35.21,22.09,290.6,4.29,3.03,Hyderabad
2015-09-01,2.6309,2.3448,4.9985,95.22,74.72,35.4,19.63,279.3,2.87,1.94,Hyderabad
2015-10-01,2.3302,3.8693,5.3599,95.59,60.99,35.82,19.41,85.2,2.64,1.76,Hyderabad
2015-11-01,2.0342,3.7486,4.6171,95.69,59.34,34.1,17.01,91.0,3.55,2.43,Hyderabad
2015-12-01,1.8792,4.4758,4.6186,95.86,49.01,35.27,11.55,124.7,2.97,1.99,Hyderabad
2016-01-01,2.0114,4.1465,4.7467,95.85,42.58,35.58,11.68,116.2,2.71,1.75,Hyderabad
2016-02-01,2.2805,4.3445,5.4562,95.72,42.25,39.05,15.73,156.6,3.44,2.4,Hyderabad
2016-03-01,2.5428,4.1254,6.0269,95.54,38.06,40.48,18.75,154.1,3.26,2.3,Hyderabad
2016-04-01,2.2848,5.7401,6.9706,95.23,30.92,42.74,22.59,168.8,3.6,2.63,Hyderabad
2016-05-01,2.4358,5.0002,6.6636,95.02,44.3,42.77,23.57,250.0,4.37,3.2,Hyderabad
2016-06-01,2.5584,2.1955,4.9238,94.88,66.43,40.8,22.49,270.1,4.95,3.67,Hyderabad
2016-07-01,2.6592,1.2307,4.3543,94.9,76.62,33.6,21.83,267.1,5.58,4.04,Hyderabad
2016-08-01,2.5781,2.2322,4.8778,94.93,74.94,34.38,21.54,276.0,5.3,3.74,Hyderabad
2016-09-01,2.3146,1.3543,3.9293,95.05,84.28,31.5,19.58,299.6,4.04,2.74,Hyderabad
2016-10-01,2.1658,4.0918,5.2954,95.41,78.69,29.76,15.31,338.6,3.27,2.07,Hyderabad
2016-11-01,1.9651,4.7671,5.1202,95.73,64.8,31.29,11.38,25.8,2.8,1.72,Hyderabad
2016-12-01,1.6692,4.8857,4.661,95.78,54.15,30.55,10.4,40.9,3.01,1.87,Hyderabad
2017-01-01,1.9301,4.6351,4.932,95.83,44.12,33.27,11.58,86.1,2.74,1.7,Hyderabad
2017-02-01,1.7753,6.0677,6.0365,95.78,31.45,37.98,14.6,84.6,2.87,1.88,Hyderabad
2017-03-01,2.2774,5.5291,6.5506,95.44,33.95,41.04,15.73,147.3,2.97,2.01,Hyderabad
2017-04-01,2.5625,5.1883,6.871,95.21,25.41,43.31,21.41,199.9,2.84,1.98,Hyderabad
2017-05-01,2.7905,4.4076,6.6574,95.04,37.28,43.38,23.39,226.3,3.89,2.88,Hyderabad
2017-06-01,2.7941,1.8386,4.9512,94.9,67.75,40.65,21.86,267.0,5.21,3.86,Hyderabad
2017-07-01,2.9189,1.3963,4.7962,94.93,73.68,34.01,21.85,268.3,6.36,4.59,Hyderabad
2017-08-01,2.5066,1.2214,4.1753,94.92,80.73,31.89,19.49,278.7,4.17,2.88,Hyderabad
2017-09-01,2.5843,2.0458,4.7129,95.17,83.81,30.67,19.83,288.0,3.01,1.98,Hyderabad
2017-10-01,2.4449,2.6275,4.8156,95.32,82.78,30.78,15.88,22.8,2.35,1.47,Hyderabad
2017-11-01,1.9716,4.458,4.9586,95.62,74.24,30.7,12.55,59.7,2.66,1.64,Hyderabad
2017-12-01,1.6694,5.153,4.8274,95.82,58.17,30.49,11.6,83.3,2.77,1.71,Hyderabad
2018-01-01,1.8826,4.8521,4.9997,95.68,37.82,32.32,11.25,58.8,2.5,1.54,Hyderabad
2018-02-01,2.0542,4.9193,5.6174,95.73,35.41,36.72,13.45,106.7,2.86,1.89,Hyderabad
2018-03-01,2.5574,4.3142,6.053,95.46,28.87,40.96,18.96,133.8,2.76,1.85,Hyderabad
2018-04-01,2.5056,4.7184,6.5081,95.24,40.87,43.29,20.45,157.3,2.82,1.99,Hyderabad
2018-05-01,2.9443,3.607,6.2731,95.03,42.01,43.24,23.42,171.5,3.59,2.68,Hyderabad
2018-06-01,3.0005,2.1636,5.382,94.82,63.4,39.45,22.22,266.2,5.04,3.74,Hyderabad
2018-07-01,2.7456,0.768,4.1731,94.79,70.94,34.67,21.47,271.6,6.68,4.82,Hyderabad
2018-08-01,2.5591,0.8983,4.0718,94.88,75.86,33.3,21.38,283.1,6.33,4.44,Hyderabad
2018-09-01,2.6314,2.232,4.9625,95.26,75.51,33.75,19.43,312.6,3.07,2.05,Hyderabad
2018-10-01,2.2985,3.901,5.3501,95.59,63.08,34.32,15.66,52.1,2.97,1.93,Hyderabad
2018-11-01,1.961,4.3735,4.8948,95.75,54.91,34.09,14.59,86.4,2.89,1.83,Hyderabad
2018-12-01,1.8367,2.8039,3.7433,95.81,55.68,32.1,8.43,60.2,2.91,1.89,Hyderabad
2019-01-01,1.8754,4.1477,4.6056,95.92,47.38,32.15,8.11,97.7,3.12,2.03,Hyderabad
2019-02-01,2.117,4.8547,5.6059,95.75,47.07,37.86,11.92,131.9,2.85,1.9,Hyderabad
2019-03-01,2.461,4.8919,6.3485,95.51,34.51,41.72,17.23,153.4,3.35,2.35,Hyderabad
2019-04-01,2.5128,4.7573,6.5878,95.27,35.4,43.23,22.39,163.0,3.38,2.42,Hyderabad
