DATE,ALLSKY_SFC_SW_DIFF,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DWN,PS,RH2M,T2M_MAX,T2M_MIN,WD10M,WS10M,WS2M,CITY
2015-01-01,1.4213,3.9204,3.5568,97.09,46.18,26.04,3.91,78.0,2.33,1.46,Jaipur
2015-02-01,1.6229,5.6678,5.0866,96.79,35.28,32.78,5.7,80.1,2.99,1.86,Jaipur
2015-03-01,1.859,5.6107,5.7067,96.72,48.89,36.44,7.15,104.6,2.9,1.88,Jaipur
2015-04-01,2.4211,5.5428,6.7697,96.2,37.13,41.89,14.59,3.8,3.11,2.1,Jaipur
2015-05-01,2.4725,6.1447,7.4042,95.86,19.83,45.01,21.62,297.8,4.25,3.08,Jaipur
2015-06-01,2.663,4.4573,6.4649,95.51,38.59,44.68,24.36,294.0,3.45,2.6,Jaipur
2015-07-01,2.8543,2.2771,5.1038,95.42,65.34,40.09,22.67,245.9,3.97,2.91,Jaipur
2015-08-01,2.5685,3.0982,5.2123,95.76,68.93,36.78,22.5,267.5,3.45,2.42,Jaipur
2015-09-01,2.017,5.5279,5.9954,96.09,48.74,39.36,19.56,282.9,3.22,2.2,Jaipur
2015-10-01,1.5142,6.1154,5.4466,96.6,33.04,38.79,13.39,342.7,2.76,1.76,Jaipur
2015-11-01,1.6526,4.1383,4.0649,96.83,37.34,31.41,11.17,52.1,2.57,1.61,Jaipur
2015-12-01,1.3334,5.0522,3.9151,97.03,25.85,29.38,4.66,21.5,2.49,1.5,Jaipur
2016-01-01,1.385,4.9296,4.0445,96.97,30.84,29.34,4.83,8.2,2.56,1.56,Jaipur
2016-02-01,1.5787,5.7338,5.0791,96.88,22.29,32.38,6.96,31.7,2.83,1.77,Jaipur
2016-03-01,1.9826,6.0401,6.0982,96.57,25.63,39.03,13.59,348.2,3.04,2.0,Jaipur
2016-04-01,2.2694,6.613,7.1532,96.08,18.44,42.98,19.91,298.4,3.78,2.62,Jaipur
2016-05-01,2.6285,5.6201,7.2151,95.69,23.85,46.64,24.4,278.6,4.38,3.25,Jaipur
2016-06-01,2.9664,4.2098,6.6703,95.52,35.03,45.58,27.51,273.1,3.78,2.86,Jaipur
2016-07-01,2.7646,2.1398,4.8732,95.46,68.79,39.99,24.08,272.5,3.18,2.32,Jaipur
2016-08-01,2.6179,2.0359,4.5518,95.54,83.28,33.11,22.18,18.3,3.41,2.37,Jaipur
2016-09-01,2.0347,5.413,5.993,95.96,67.5,37.32,20.37,273.7,2.72,1.83,Jaipur
2016-10-01,1.5029,5.8306,5.1746,96.35,50.11,35.4,15.03,302.6,2.59,1.64,Jaipur
2016-11-01,1.3289,5.7391,4.4942,96.8,29.77,31.84,11.89,324.8,2.43,1.48,Jaipur
2016-12-01,1.1299,5.8027,4.0505,96.93,28.17,29.76,8.52,5.0,2.19,1.36,Jaipur
2017-01-01,1.5098,4.1266,3.8225,97.0,40.59,28.01,3.33,41.1,2.78,1.73,Jaipur
2017-02-01,1.5737,6.1721,5.2577,96.9,29.26,33.41,6.61,353.0,3.1,1.87,Jaipur
2017-03-01,1.8581,6.1248,6.1334,96.47,25.6,40.84,7.89,333.7,3.09,1.98,Jaipur
2017-04-01,2.1773,6.3432,7.0433,96.05,16.99,43.82,16.68,286.6,4.29,2.98,Jaipur
