DATE,ALLSKY_SFC_SW_DIFF,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DWN,PS,RH2M,T2M_MAX,T2M_MIN,WD10M,WS10M,WS2M,CITY
2015-01-01,2.1595,5.0234,5.736,93.41,75.6,29.72,13.03,297.1,2.21,1.72,Kochi
2015-02-01,2.3527,5.0256,6.2102,93.35,62.6,32.62,14.16,265.0,2.52,1.99,Kochi
2015-03-01,2.4504,4.7035,6.3804,93.34,65.67,35.02,16.58,268.6,2.61,2.09,Kochi
2015-04-01,2.4012,4.1525,5.9832,93.21,75.97,33.35,18.72,267.8,2.38,1.88,Kochi
2015-05-01,2.5418,2.3566,4.9366,93.14,85.23,31.95,20.03,275.9,2.82,2.22,Kochi
2015-06-01,2.5726,1.8199,4.619,93.13,89.65,28.28,19.01,259.3,3.85,2.97,Kochi
2015-07-01,2.5874,2.1876,4.8295,93.19,90.06,27.46,18.3,285.2,3.89,2.99,Kochi
2015-08-01,2.6455,3.0334,5.4713,93.2,89.54,28.29,19.54,285.3,3.26,2.51,Kochi
2015-09-01,2.5121,3.2563,5.3806,93.18,89.58,28.87,19.07,265.1,3.09,2.41,Kochi
2015-10-01,2.412,2.6923,4.8571,93.31,87.75,29.03,17.88,224.8,2.22,1.74,Kochi
2015-11-01,2.2538,2.6916,4.5586,93.21,90.2,27.3,16.57,225.6,2.32,1.81,Kochi
2015-12-01,2.1259,3.9067,4.9397,93.37,87.37,27.19,14.17,58.9,1.99,1.5,Kochi
2016-01-01,2.2207,4.6555,5.5718,93.44,79.58,29.68,13.57,89.9,2.01,1.53,Kochi
2016-02-01,2.4926,4.5857,6.0715,93.4,68.44,34.14,13.14,256.7,2.24,1.77,Kochi
2016-03-01,2.5445,4.5924,6.4639,93.33,66.42,36.66,17.85,267.9,2.65,2.11,Kochi
2016-04-01,2.6808,3.8083,6.1006,93.16,71.82,36.29,21.37,279.4,3.14,2.5,Kochi
2016-05-01,2.5154,2.563,5.0354,93.1,81.17,35.02,20.88,274.6,3.68,2.89,Kochi
2016-06-01,2.3594,1.2072,3.9012,93.12,90.4,27.01,19.13,280.1,4.5,3.47,Kochi
2016-07-01,2.6165,1.6668,4.5641,93.12,91.39,26.39,18.8,287.6,4.02,3.11,Kochi
2016-08-01,2.6016,2.8781,5.3282,93.13,90.75,26.49,17.45,295.0,4.25,3.27,Kochi
2016-09-01,2.6904,3.0686,5.4504,93.18,89.41,26.64,16.92,300.6,4.01,3.12,Kochi
2016-10-01,2.4634,3.4015,5.4482,93.18,87.16,28.33,17.8,286.9,3.11,2.42,Kochi
2016-11-01,2.4902,2.5058,4.752,93.27,82.02,28.33,14.6,283.7,2.06,1.59,Kochi
2016-12-01,2.2188,3.6722,4.8914,93.29,75.63,30.55,15.22,272.7,2.49,1.94,Kochi
2017-01-01,2.2378,4.2658,5.3777,93.33,66.92,31.57,13.9,267.0,2.12,1.66,Kochi
2017-02-01,1.9858,5.9309,6.4039,93.37,57.7,34.65,13.51,267.2,2.4,1.91,Kochi
2017-03-01,2.4545,4.5763,6.3082,93.21,71.64,34.69,18.11,274.5,2.57,2.05,Kochi
2017-04-01,2.8925,3.4709,6.2042,93.16,71.89,35.89,21.38,287.0,3.33,2.66,Kochi
2017-05-01,2.683,2.3988,5.2006,93.11,83.25,33.87,20.89,278.0,3.5,2.74,Kochi
2017-06-01,2.4406,1.3322,4.1518,93.13,90.74,26.96,20.29,272.9,4.14,3.21,Kochi
2017-07-01,2.6842,2.1766,5.003,93.17,91.06,26.74,17.68,289.6,3.76,2.91,Kochi
2017-08-01,2.6558,1.6212,4.6548,93.05,91.92,27.19,18.93,290.1,3.62,2.79,Kochi
2017-09-01,2.4444,2.7113,5.0546,93.1,91.57,27.96,19.76,267.3,3.74,2.89,Kochi
2017-10-01,2.436,2.8613,5.0256,93.1,90.84,28.08,19.19,256.0,2.76,2.16,Kochi
2017-11-01,2.281,3.0134,4.8046,93.12,88.24,27.9,16.88,315.6,2.09,1.64,Kochi
2017-12-01,1.873,4.7904,5.1938,93.3,84.49,27.25,14.59,94.2,2.47,1.87,Kochi
2018-01-01,2.2128,4.3392,5.3674,93.24,77.65,29.3,13.63,285.1,1.95,1.51,Kochi
