DATE,ALLSKY_SFC_SW_DIFF,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DWN,PS,RH2M,T2M_MAX,T2M_MIN,WD10M,WS10M,WS2M,CITY
2015-01-01,1.7918,2.9167,3.6646,101.54,66.43,28.8,6.62,332.6,2.92,1.86,Kolkata
2015-02-01,2.1737,3.433,4.584,101.34,59.64,34.45,7.56,266.8,2.66,1.73,Kolkata
2015-03-01,2.2135,4.6138,5.647,101.17,50.1,38.56,13.41,260.2,3.13,2.1,Kolkata
2015-04-01,2.868,2.7864,5.4156,100.75,67.09,40.56,22.34,196.3,3.72,2.62,Kolkata
2015-05-01,3.0194,2.795,5.699,100.35,69.76,42.39,25.14,189.5,4.22,3.04,Kolkata
2015-06-01,2.6954,1.7926,4.4866,100.04,76.88,37.4,25.32,190.4,5.12,3.73,Kolkata
2015-07-01,2.4626,0.6209,3.469,99.91,89.67,33.84,25.37,213.1,3.91,2.79,Kolkata
2015-08-01,2.8416,1.453,4.4026,100.16,89.03,32.07,24.93,192.1,3.58,2.5,Kolkata
2015-09-01,2.5291,2.0676,4.4088,100.47,86.38,33.18,22.88,207.3,2.48,1.63,Kolkata
2015-10-01,2.2654,2.9724,4.5233,101.01,79.01,32.81,18.14,319.6,1.66,1.09,Kolkata
2015-11-01,1.7909,3.4932,4.0438,101.29,73.63,30.17,15.76,322.0,1.79,1.16,Kolkata
2015-12-01,1.6824,1.4362,2.7262,101.53,67.2,29.24,7.72,326.8,2.09,1.33,Kolkata
2016-01-01,1.848,2.0976,3.3086,101.51,58.33,30.95,7.58,311.4,2.18,1.44,Kolkata
2016-02-01,2.2183,2.1266,3.8863,101.33,59.64,36.71,13.37,245.0,2.29,1.53,Kolkata
2016-03-01,2.6146,2.755,4.9056,101.01,62.32,37.87,19.28,216.7,2.97,2.0,Kolkata
2016-04-01,2.6866,3.7054,5.8898,100.4,55.21,44.48,24.26,198.0,4.54,3.27,Kolkata
2016-05-01,2.9148,2.857,5.6208,100.28,64.11,43.8,25.77,190.0,3.87,2.8,Kolkata
2016-06-01,3.0,2.6436,5.3266,100.15,78.82,40.12,26.31,175.3,3.63,2.64,Kolkata
2016-07-01,2.6914,0.8899,3.8443,100.04,86.3,33.57,24.65,188.0,4.3,3.1,Kolkata
2016-08-01,2.6026,1.7438,4.297,99.97,88.58,33.18,24.61,186.2,3.28,2.27,Kolkata
2016-09-01,2.5522,2.1958,4.4446,100.36,89.38,31.93,24.79,176.5,2.63,1.76,Kolkata
2016-10-01,2.1924,3.2678,4.5502,100.7,83.15,32.52,18.36,341.6,2.12,1.33,Kolkata
2016-11-01,1.7964,3.1807,3.8923,101.19,79.25,30.31,11.86,326.5,2.22,1.4,Kolkata
2016-12-01,1.6231,3.3106,3.6173,101.39,76.55,27.39,8.9,331.8,2.54,1.57,Kolkata
2017-01-01,1.7498,3.6449,4.0438,101.48,65.98,28.2,5.32,328.6,2.8,1.77,Kolkata
2017-02-01,2.1516,3.3473,4.5355,101.34,56.34,34.42,10.92,283.8,2.66,1.72,Kolkata
2017-03-01,2.5044,3.216,5.1358,100.89,60.85,38.29,14.96,218.5,3.24,2.22,Kolkata
2017-04-01,2.855,2.8795,5.5282,100.53,63.64,42.07,21.23,191.2,4.89,3.51,Kolkata
2017-05-01,2.9731,3.283,6.0079,100.34,65.3,41.68,25.11,192.5,3.9,2.84,Kolkata
2017-06-01,3.162,1.523,4.8499,99.97,78.03,38.6,25.88,186.2,4.09,2.96,Kolkata
2017-07-01,2.5404,0.75,3.557,99.96,88.49,34.13,25.55,192.1,4.19,3.0,Kolkata
2017-08-01,2.9482,1.0212,4.129,100.14,89.71,32.42,25.41,180.3,3.26,2.26,Kolkata
2017-09-01,2.7257,1.6754,4.2833,100.45,89.25,33.66,24.84,197.4,2.62,1.73,Kolkata
2017-10-01,2.1317,2.2294,3.8666,100.7,85.71,32.81,20.38,184.7,2.5,1.62,Kolkata
2017-11-01,1.6274,4.0702,4.1249,101.19,78.83,29.7,11.0,349.3,2.27,1.44,Kolkata
2017-12-01,1.5384,3.2232,3.444,101.44,78.67,28.05,8.75,342.1,2.46,1.55,Kolkata
2018-01-01,1.897,3.1186,3.943,101.33,65.05,25.93,5.5,328.6,2.36,1.54,Kolkata
2018-02-01,2.3069,3.1555,4.5367,101.28,62.95,33.87,11.34,289.1,2.41,1.55,Kolkata
2018-03-01,2.4144,3.5352,5.2301,100.89,55.07,37.95,15.87,244.2,2.96,1.98,Kolkata
2018-04-01,2.7581,3.4099,5.7552,100.68,67.35,39.47,20.2,199.8,3.63,2.56,Kolkata
2018-05-01,3.0511,2.4125,5.4794,100.4,69.33,40.99,24.51,191.4,4.39,3.18,Kolkata
2018-06-01,2.8632,1.549,4.5312,99.91,79.95,39.6,25.69,202.1,3.69,2.64,Kolkata
2018-07-01,2.7787,1.1419,4.092,99.75,85.95,34.02,25.58,182.2,4.01,2.88,Kolkata
2018-08-01,2.9388,1.1921,4.272,99.85,88.4,32.76,25.45,164.4,3.3,2.29,Kolkata
2018-09-01,2.7338,1.8288,4.4515,100.47,87.46,32.55,23.91,188.7,2.76,1.82,Kolkata
2018-10-01,2.1482,2.9057,4.3747,101.04,76.97,32.75,16.91,318.8,2.26,1.47,Kolkata
2018-11-01,1.8864,3.1322,3.9418,101.31,73.81,30.63,13.56,309.6,1.94,1.2,Kolkata
2018-12-01,1.62,2.892,3.3871,101.49,67.56,27.21,5.66,333.8,2.93,1.82,Kolkata
2019-01-01,1.8742,3.0996,3.8628,101.59,56.33,30.28,7.56,325.3,2.68,1.69,Kolkata
2019-02-01,2.0345,3.5086,4.4366,101.35,55.32,35.6,10.15,282.9,2.81,1.87,Kolkata
2019-03-01,2.4775,3.3696,5.1871,101.05,66.68,37.36,13.03,233.6,2.91,1.94,Kolkata
2019-04-01,2.6426,3.8818,5.9695,100.65,62.81,42.8,20.46,196.8,3.93,2.79,Kolkata
2019-05-01,2.8286,3.521,5.9597,100.3,66.7,41.29,24.62,196.3,5.11,3.69,Kolkata
2019-06-01,2.9057,2.0354,4.8775,100.0,73.44,42.23,27.06,184.1,4.13,3.04,Kolkata
2019-07-01,3.1174,1.361,4.6766,99.93,78.64,35.86,26.19,194.6,4.69,3.42,Kolkata
2019-08-01,2.7439,1.2065,4.027,99.95,86.01,34.41,25.69,170.8,3.43,2.4,Kolkata
2019-09-01,2.5224,1.523,4.0037,100.53,89.15,32.9,23.52,160.5,2.99,2.0,Kolkata
2019-10-01,2.1725,2.4439,4.1062,101.02,85.2,31.46,18.4,337.8,2.05,1.32,Kolkata
2019-11-01,1.7398,3.125,3.7742,101.2,82.66,29.13,14.57,347.7,2.61,1.68,Kolkata
2019-12-01,1.7045,2.4324,3.2434,101.6,79.25,27.25,5.09,351.6,2.35,1.5,Kolkata
2020-01-01,1.674,2.7557,3.4507,101.55,74.68,26.74,6.37,333.9,2.27,1.5,Kolkata
2020-02-01,1.9915,2.9844,4.1333,101.53,66.58,30.15,8.04,308.2,2.3,1.48,Kolkata
2020-03-01,2.3222,3.8246,5.3599,101.09,64.97,37.49,15.53,268.2,2.62,1.71,Kolkata
2020-04-01,2.7012,3.1622,5.4895,100.81,60.24,41.07,20.67,211.7,3.24,2.26,Kolkata
2020-05-01,2.6834,2.9558,5.3849,100.4,72.88,40.19,23.51,201.7,4.12,2.92,Kolkata
2020-06-01,2.7722,1.6742,4.5144,100.13,85.31,34.03,26.21,190.1,3.9,2.78,Kolkata
2020-07-01,3.0842,1.4587,4.5468,100.15,87.44,33.34,25.06,198.5,4.09,2.94,Kolkata
2020-08-01,2.6734,1.0474,3.8616,99.89,89.43,33.38,25.58,163.2,3.74,2.61,Kolkata
2020-09-01,2.7446,1.8228,4.2384,100.34,89.31,32.9,24.73,191.7,2.78,1.84,Kolkata
2020-10-01,2.3858,2.5061,4.2276,100.6,86.68,32.83,18.03,48.6,2.04,1.3,Kolkata
2020-11-01,1.7426,3.8158,4.1114,101.34,79.92,29.99,11.42,352.6,2.47,1.54,Kolkata
2020-12-01,1.643,2.6484,3.3096,101.42,73.36,26.7,6.85,341.5,2.15,1.37,Kolkata
2021-01-01,1.8149,2.2733,3.3684,101.34,66.14,29.6,8.12,349.3,2.35,1.48,Kolkata
2021-02-01,2.1943,3.3444,4.5463,101.27,51.52,36.71,8.17,304.3,2.34,1.5,Kolkata
