DATE,ALLSKY_SFC_SW_DIFF,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DWN,PS,RH2M,T2M_MAX,T2M_MIN,WD10M,WS10M,WS2M,CITY
2015-01-01,1.9303,4.5341,4.801,94.27,58.49,30.56,9.13,78.0,3.0,1.9,Pune
2015-02-01,2.0112,5.4506,5.7821,94.18,44.12,34.44,11.79,36.0,3.07,1.99,Pune
2015-03-01,2.219,5.1665,6.2503,94.13,49.6,38.9,9.9,7.2,2.89,1.97,Pune
2015-04-01,2.6153,5.0726,6.8719,93.92,48.54,40.39,16.2,292.4,3.28,2.42,Pune
2015-05-01,2.6141,4.8871,6.8119,93.79,58.61,40.39,19.05,291.3,3.93,2.96,Pune
2015-06-01,2.37,1.9423,4.4518,93.49,80.64,37.37,20.89,241.4,5.9,4.39,Pune
2015-07-01,2.5123,0.9043,3.9862,93.59,86.18,29.99,21.04,256.6,6.73,4.96,Pune
2015-08-01,2.3868,0.9288,3.8813,93.72,86.75,30.18,20.73,268.3,4.71,3.4,Pune
2015-09-01,2.3686,2.5442,4.8497,93.81,85.55,30.82,17.16,284.4,3.22,2.21,Pune
2015-10-01,2.3714,3.1805,4.9882,94.08,76.43,31.12,17.66,68.2,2.51,1.55,Pune
2015-11-01,2.1036,3.6391,4.6394,94.12,69.44,30.39,14.6,78.7,3.24,1.99,Pune
2015-12-01,1.7405,5.0131,4.7563,94.29,57.0,31.11,9.43,75.0,3.18,1.93,Pune
2016-01-01,1.835,5.1106,4.9762,94.29,46.5,33.92,9.15,59.4,2.81,1.74,Pune
2016-02-01,2.1638,5.0414,5.6525,94.18,48.07,37.79,11.41,302.8,2.71,1.8,Pune
2016-03-01,2.255,5.3861,6.4706,94.08,37.77,39.91,14.63,318.4,2.92,2.02,Pune
2016-04-01,2.3138,5.767,6.9902,93.86,43.54,41.5,18.28,305.6,3.58,2.63,Pune
2016-05-01,2.5685,5.4574,7.0548,93.72,57.18,40.48,20.13,283.2,4.62,3.5,Pune
2016-06-01,2.4974,1.5449,4.3908,93.56,78.47,38.36,21.66,263.8,5.57,4.18,Pune
