DATE,CITY,ENERGY_GENERATED
2016-01-01,Ahmedabad,283.58
2016-02-01,Ahmedabad,333.315
2016-03-01,Ahmedabad,387.335
2016-04-01,Ahmedabad,435.48
2016-05-01,Ahmedabad,469.52
2016-06-01,Ahmedabad,422.07
2016-07-01,Ahmedabad,308.155
2016-08-01,Ahmedabad,273.37
2016-09-01,Ahmedabad,334.78000000000003
2016-10-01,Ahmedabad,296.28000000000003
2016-11-01,Ahmedabad,297.385
2016-12-01,Ahmedabad,287.78
2017-01-01,Ahmedabad,282.94
2017-02-01,Ahmedabad,345.025
2017-03-01,Ahmedabad,400.075
2017-04-01,Ahmedabad,439.815
2017-05-01,Ahmedabad,456.025
2017-06-01,Ahmedabad,414.59
2017-07-01,Ahmedabad,278.77
2017-08-01,Ahmedabad,289.2
2017-09-01,Ahmedabad,303.265
2017-10-01,Ahmedabad,322.295
2017-11-01,Ahmedabad,276.41
2017-12-01,Ahmedabad,251.185
2018-01-01,Ahmedabad,290.98
2018-02-01,Ahmedabad,323.265
2018-03-01,Ahmedabad,387.925
2018-04-01,Ahmedabad,421.81
2018-05-01,Ahmedabad,447.605
2018-06-01,Ahmedabad,419.985
2018-07-01,Ahmedabad,280.56
2018-08-01,Ahmedabad,268.75
2018-09-01,Ahmedabad,305.61
2018-10-01,Ahmedabad,323.26
2018-11-01,Ahmedabad,284.865
2018-12-01,Ahmedabad,280.155
2019-01-01,Ahmedabad,299.515
2019-02-01,Ahmedabad,339.42499999999995
2019-03-01,Ahmedabad,388.03
2019-04-01,Ahmedabad,430.37
2019-05-01,Ahmedabad,461.02
2019-06-01,Ahmedabad,409.15
2019-07-01,Ahmedabad,341.23
2019-08-01,Ahmedabad,284.325
2019-09-01,Ahmedabad,257.33500000000004
2019-10-01,Ahmedabad,309.785
2019-11-01,Ahmedabad,247.88
2019-12-01,Ahmedabad,261.695
2020-01-01,Ahmedabad,287.475
2020-02-01,Ahmedabad,332.80499999999995
2020-03-01,Ahmedabad,371.155
2020-04-01,Ahmedabad,430.4
2020-05-01,Ahmedabad,469.02
2020-06-01,Ahmedabad,380.26
2020-07-01,Ahmedabad,343.31999999999994
2020-08-01,Ahmedabad,270.305
2020-09-01,Ahmedabad,302.925
2020-10-01,Ahmedabad,315.005
2020-11-01,Ahmedabad,285.345
2020-12-01,Ahmedabad,263.13
2021-01-01,Ahmedabad,271.505
2021-02-01,Ahmedabad,336.76500000000004
2021-03-01,Ahmedabad,391.915
2021-04-01,Ahmedabad,417.955
2021-05-01,Ahmedabad,424.71
2021-06-01,Ahmedabad,397.715
2021-07-01,Ahmedabad,333.37
2021-08-01,Ahmedabad,313.83000000000004
2021-09-01,Ahmedabad,271.255
2021-10-01,Ahmedabad,317.78
2021-11-01,Ahmedabad,271.59
2021-12-01,Ahmedabad,240.25
2022-01-01,Ahmedabad,284.255
2022-02-01,Ahmedabad,338.76
2022-03-01,Ahmedabad,388.13
2022-04-01,Ahmedabad,442.665
2022-05-01,Ahmedabad,453.1
2022-06-01,Ahmedabad,426.575
2022-07-01,Ahmedabad,294.845
2022-08-01,Ahmedabad,271.835
2022-09-01,Ahmedabad,320.75
2022-10-01,Ahmedabad,322.04999999999995
2022-11-01,Ahmedabad,290.35
2022-12-01,Ahmedabad,274.70500000000004
2023-01-01,Ahmedabad,290.06
2023-02-01,Ahmedabad,354.65
2023-03-01,Ahmedabad,342.97
2023-04-01,Ahmedabad,394.095
2023-05-01,Ahmedabad,441.41
2023-06-01,Ahmedabad,388.155
2023-07-01,Ahmedabad,300.885
2023-08-01,Ahmedabad,274.555
2023-09-01,Ahmedabad,309.69
2023-10-01,Ahmedabad,323.93
2023-11-01,Ahmedabad,260.95
2023-12-01,Ahmedabad,259.06
2024-01-01,Ahmedabad,277.47
2024-02-01,Ahmedabad,326.41
2024-03-01,Ahmedabad,387.255
2024-04-01,Ahmedabad,400.79
2024-05-01,Ahmedabad,445.45
2024-06-01,Ahmedabad,404.66
2024-07-01,Ahmedabad,289.34000000000003
2024-08-01,Ahmedabad,272.195
2024-09-01,Ahmedabad,287.545
2024-10-01,Ahmedabad,291.035
2024-11-01,Ahmedabad,275.58
2024-12-01,Ahmedabad,262.985
2016-01-01,Bengaluru,319.55999999999995
2016-02-01,Bengaluru,368.935
2016-03-01,Bengaluru,407.455
2016-04-01,Bengaluru,446.45
2016-05-01,Bengaluru,401.465
2016-06-01,Bengaluru,321.565
2016-07-01,Bengaluru,331.665
2016-08-01,Bengaluru,346.11
2016-09-01,Bengaluru,312.05
2016-10-01,Bengaluru,347.685
2016-11-01,Bengaluru,346.845
2016-12-01,Bengaluru,325.2
2017-01-01,Bengaluru,342.25
2017-02-01,Bengaluru,395.11
2017-03-01,Bengaluru,399.99
2017-04-01,Bengaluru,421.635
2017-05-01,Bengaluru,391.14
2017-06-01,Bengaluru,352.96500000000003
2017-07-01,Bengaluru,313.335
2017-08-01,Bengaluru,303.675
2017-09-01,Bengaluru,305.05
2017-10-01,Bengaluru,292.405
2017-11-01,Bengaluru,308.12
2017-12-01,Bengaluru,328.91
2018-01-01,Bengaluru,341.21000000000004
2018-02-01,Bengaluru,385.955
2018-03-01,Bengaluru,394.52
2018-04-01,Bengaluru,416.795
2018-05-01,Bengaluru,383.22
2018-06-01,Bengaluru,330.295
2018-07-01,Bengaluru,314.26500000000004
2018-08-01,Bengaluru,300.29999999999995
2018-09-01,Bengaluru,350.93
2018-10-01,Bengaluru,342.79
2018-11-01,Bengaluru,320.285
2018-12-01,Bengaluru,315.13
2019-01-01,Bengaluru,362.085
2019-02-01,Bengaluru,390.51
2019-03-01,Bengaluru,426.97
2019-04-01,Bengaluru,420.66
2019-05-01,Bengaluru,412.6950000000001
2019-06-01,Bengaluru,368.265
2019-07-01,Bengaluru,327.71500000000003
2019-08-01,Bengaluru,303.17
2019-09-01,Bengaluru,323.325
2019-10-01,Bengaluru,301.99
2019-11-01,Bengaluru,308.70000000000005
2019-12-01,Bengaluru,295.775
2020-01-01,Bengaluru,342.77
2020-02-01,Bengaluru,385.46
2020-03-01,Bengaluru,397.11
2020-04-01,Bengaluru,407.91
2020-05-01,Bengaluru,392.61
2020-06-01,Bengaluru,347.55499999999995
2020-07-01,Bengaluru,319.48
2020-08-01,Bengaluru,301.935
2020-09-01,Bengaluru,294.325
2020-10-01,Bengaluru,297.65
2020-11-01,Bengaluru,308.385
2020-12-01,Bengaluru,310.085
2021-01-01,Bengaluru,303.54
2021-02-01,Bengaluru,380.61
2021-03-01,Bengaluru,402.91
2021-04-01,Bengaluru,382.22
2021-05-01,Bengaluru,385.235
2021-06-01,Bengaluru,359.81499999999994
2021-07-01,Bengaluru,312.42999999999995
2021-08-01,Bengaluru,320.805
2021-09-01,Bengaluru,322.035
2021-10-01,Bengaluru,280.59
2021-11-01,Bengaluru,252.08
2021-12-01,Bengaluru,301.705
2022-01-01,Bengaluru,327.35
2022-02-01,Bengaluru,373.41
2022-03-01,Bengaluru,379.265
2022-04-01,Bengaluru,391.83
2022-05-01,Bengaluru,343.23
2022-06-01,Bengaluru,351.635
2022-07-01,Bengaluru,294.515
2022-08-01,Bengaluru,299.5
2022-09-01,Bengaluru,308.48999999999995
2022-10-01,Bengaluru,300.055
2022-11-01,Bengaluru,285.95
2022-12-01,Bengaluru,307.79
2023-01-01,Bengaluru,350.145
2023-02-01,Bengaluru,382.76
2023-03-01,Bengaluru,398.775
2023-04-01,Bengaluru,407.8200000000001
2023-05-01,Bengaluru,369.535
2023-06-01,Bengaluru,367.3850000000001
2023-07-01,Bengaluru,305.53000000000003
2023-08-01,Bengaluru,338.65
2023-09-01,Bengaluru,328.15
2023-10-01,Bengaluru,316.55
2023-11-01,Bengaluru,292.865
2023-12-01,Bengaluru,309.25
2024-01-01,Bengaluru,319.23
2024-02-01,Bengaluru,390.505
2024-03-01,Bengaluru,411.125
2024-04-01,Bengaluru,435.045
2024-05-01,Bengaluru,348.875
2024-06-01,Bengaluru,349.26
2024-07-01,Bengaluru,297.39
2024-08-01,Bengaluru,317.155
2024-09-01,Bengaluru,320.31
2024-10-01,Bengaluru,273.345
2024-11-01,Bengaluru,310.2
2024-12-01,Bengaluru,295.145
2016-01-01,Bhopal,266.25
2016-02-01,Bhopal,322.68000000000006
