DATE,CITY,ENERGY_GENERATED,DATA_TYPE
2015-01-01,Ahmedabad,279.75,Actual
2015-02-01,Ahmedabad,334.59,Actual
2015-03-01,Ahmedabad,370.735,Actual
2015-04-01,Ahmedabad,416.025,Actual
2015-05-01,Ahmedabad,471.11,Actual
2015-06-01,Ahmedabad,405.37,Actual
2015-07-01,Ahmedabad,335.845,Actual
2015-08-01,Ahmedabad,303.335,Actual
2015-09-01,Ahmedabad,338.41,Actual
2015-10-01,Ahmedabad,331.00500000000005,Actual
2015-11-01,Ahmedabad,277.115,Actual
2015-12-01,Ahmedabad,287.28,Actual
2016-01-01,Ahmedabad,283.58,Actual
2016-01-01,Ahmedabad,283.58,Forecast
2016-02-01,Ahmedabad,333.315,Actual
2016-02-01,Ahmedabad,333.315,Forecast
2016-03-01,Ahmedabad,387.335,Actual
2016-03-01,Ahmedabad,387.335,Forecast
2016-04-01,Ahmedabad,435.48,Actual
2016-04-01,Ahmedabad,435.48,Forecast
2016-05-01,Ahmedabad,469.52,Actual
2016-05-01,Ahmedabad,469.52,Forecast
2016-06-01,Ahmedabad,422.07,Actual
2016-06-01,Ahmedabad,422.07,Forecast
2016-07-01,Ahmedabad,308.155,Actual
2016-07-01,Ahmedabad,308.155,Forecast
2016-08-01,Ahmedabad,273.37,Actual
2016-08-01,Ahmedabad,273.37,Forecast
2016-09-01,Ahmedabad,334.78000000000003,Actual
2016-09-01,Ahmedabad,334.78000000000003,Forecast
2016-10-01,Ahmedabad,296.28000000000003,Actual
2016-10-01,Ahmedabad,296.28000000000003,Forecast
2016-11-01,Ahmedabad,297.385,Actual
2016-11-01,Ahmedabad,297.385,Forecast
2016-12-01,Ahmedabad,287.78,Actual
2016-12-01,Ahmedabad,287.78,Forecast
2017-01-01,Ahmedabad,282.94,Actual
2017-01-01,Ahmedabad,282.94,Forecast
2017-02-01,Ahmedabad,345.025,Actual
2017-02-01,Ahmedabad,345.025,Forecast
2017-03-01,Ahmedabad,400.075,Actual
2017-03-01,Ahmedabad,400.075,Forecast
2017-04-01,Ahmedabad,439.815,Actual
2017-04-01,Ahmedabad,439.815,Forecast
2017-05-01,Ahmedabad,456.025,Actual
2017-05-01,Ahmedabad,456.025,Forecast
2017-06-01,Ahmedabad,414.59,Actual
2017-06-01,Ahmedabad,414.59,Forecast
2017-07-01,Ahmedabad,278.77,Actual
2017-07-01,Ahmedabad,278.77,Forecast
2017-08-01,Ahmedabad,289.2,Actual
2017-08-01,Ahmedabad,289.2,Forecast
2017-09-01,Ahmedabad,303.265,Actual
2017-09-01,Ahmedabad,303.265,Forecast
2017-10-01,Ahmedabad,322.295,Actual
2017-10-01,Ahmedabad,322.295,Forecast
2017-11-01,Ahmedabad,276.41,Actual
2017-11-01,Ahmedabad,276.41,Forecast
2017-12-01,Ahmedabad,251.185,Actual
2017-12-01,Ahmedabad,251.185,Forecast
2018-01-01,Ahmedabad,290.98,Actual
2018-01-01,Ahmedabad,290.98,Forecast
2018-02-01,Ahmedabad,323.265,Actual
2018-02-01,Ahmedabad,323.265,Forecast
2018-03-01,Ahmedabad,387.925,Actual
2018-03-01,Ahmedabad,387.925,Forecast
2018-04-01,Ahmedabad,421.81,Actual
2018-04-01,Ahmedabad,421.81,Forecast
2018-05-01,Ahmedabad,447.605,Actual
2018-05-01,Ahmedabad,447.605,Forecast
2018-06-01,Ahmedabad,419.985,Actual
2018-06-01,Ahmedabad,419.985,Forecast
2018-07-01,Ahmedabad,280.56,Actual
2018-07-01,Ahmedabad,280.56,Forecast
2018-08-01,Ahmedabad,268.75,Actual
2018-08-01,Ahmedabad,268.75,Forecast
2018-09-01,Ahmedabad,305.61,Actual
