CITY,DATA_TYPE,DATE,ENERGY_GENERATED,allsky_sfc_sw_dwn,energy_efficiency_index,energy_generated,predicted_energy,rh2m,sunshine_hours,temperature,wind_speed
Ahmedabad,Actual,2015-01-01,,4.423,37.45782229125381,279.75,271.3575,39.67,3.5384,20.065,2.93
Ahmedabad,Actual,2015-02-01,,5.5318,40.18886689472268,334.59,324.55229999999995,28.65,4.42544,24.965,2.9
Ahmedabad,Actual,2015-03-01,,6.2107,41.29114245491482,370.735,359.61295,32.14,4.96856,27.99,3.01
Ahmedabad,Actual,2015-04-01,,6.8525,40.97960992907801,416.025,403.54425,36.22,5.482,33.345,3.67
Ahmedabad,Actual,2015-05-01,,7.5982,40.47837533165615,471.11,456.9767,35.0,6.07856,35.065,4.56
Ahmedabad,Actual,2015-06-01,,6.1154,37.284590593360015,405.37,393.2089,58.01,4.892320000000001,35.185,4.98
Ahmedabad,Actual,2015-07-01,,4.3289,32.190274817120866,335.845,325.76965,70.4,3.46312,31.27,5.97
Ahmedabad,Actual,2015-08-01,,4.6387,36.630414831130686,303.335,294.23495,81.15,3.71096,29.035,3.57
Ahmedabad,Actual,2015-09-01,,5.5882,40.18853852950398,338.41,328.25769999999994,68.67,4.47056,29.63,2.95
Ahmedabad,Actual,2015-10-01,,5.7281,42.36874846399607,331.00500000000005,321.07485,46.85,4.58248,27.65,2.23
Ahmedabad,Actual,2015-11-01,,4.5223,38.66087970713632,277.115,268.80155,33.79,3.6178400000000006,25.735,2.55
Ahmedabad,Actual,2015-12-01,,4.5096,37.32033547770237,287.28,278.6616,19.34,3.60768,22.185,3.09
Ahmedabad,Actual,2016-01-01,,4.5636,38.21379674647751,283.58,275.0726,26.97,3.65088,21.685,2.77
Ahmedabad,Forecast,2016-01-01,283.58,,,,,,,,
Ahmedabad,Actual,2016-02-01,,5.4223,39.45564783423929,333.315,323.31555,22.32,4.33784,25.155,3.11
Ahmedabad,Forecast,2016-02-01,333.315,,,,,,,,
Ahmedabad,Actual,2016-03-01,,6.4627,41.29300566301641,387.335,375.71495,24.74,5.17016,30.16,3.21
Ahmedabad,Forecast,2016-03-01,387.335,,,,,,,,
Ahmedabad,Actual,2016-04-01,,7.2816,41.89208948676708,435.48,422.4155999999999,30.29,5.82528,32.78,3.57
Ahmedabad,Forecast,2016-04-01,435.48,,,,,,,,
Ahmedabad,Actual,2016-05-01,,7.4664,39.84683173896217,469.52,455.4344,35.64,5.973120000000001,36.91,4.81
Ahmedabad,Forecast,2016-05-01,469.52,,,,,,,,
Ahmedabad,Actual,2016-06-01,,6.3974,37.591112156125085,422.07,409.4079,46.93,5.117920000000001,36.74,5.11
Ahmedabad,Forecast,2016-06-01,422.07,,,,,,,,
Ahmedabad,Actual,2016-07-01,,4.3231,34.01840043804258,308.155,298.91034999999994,68.59,3.45848,32.435,4.6
Ahmedabad,Forecast,2016-07-01,308.155,,,,,,,,
Ahmedabad,Actual,2016-08-01,,3.9074,34.06089270762729,273.37,265.1689,81.14,3.1259200000000003,29.315,3.9
Ahmedabad,Forecast,2016-08-01,273.37,,,,,,,,
Ahmedabad,Actual,2016-09-01,,5.5236,40.09879169421527,334.78000000000003,324.7366,74.8,4.418880000000001,28.43,2.93
Ahmedabad,Forecast,2016-09-01,334.78000000000003,,,,,,,,
Ahmedabad,Actual,2016-10-01,,5.1336,41.806831779287926,296.28000000000003,287.39160000000004,62.53,4.10688,26.105,1.98
Ahmedabad,Forecast,2016-10-01,296.28000000000003,,,,,,,,
Ahmedabad,Actual,2016-11-01,,4.9517,39.91016405058942,297.385,288.46345,38.24,3.96136,24.155,2.49
Ahmedabad,Forecast,2016-11-01,297.385,,,,,,,,
Ahmedabad,Actual,2016-12-01,,4.5996,38.01745912640957,287.78,279.1466,31.4,3.67968,22.48,2.89
Ahmedabad,Forecast,2016-12-01,287.78,,,,,,,,
Ahmedabad,Actual,2017-01-01,,4.4508,37.32402541210241,282.94,274.4518,30.8,3.56064,21.185,3.02
Ahmedabad,Forecast,2017-01-01,282.94,,,,,,,,
Ahmedabad,Actual,2017-02-01,,5.6525,39.924207359407546,345.025,334.67425,22.71,4.522,23.880000000000003,3.12
Ahmedabad,Forecast,2017-02-01,345.025,,,,,,,,
Ahmedabad,Actual,2017-03-01,,6.7015,41.62591559846845,400.075,388.07275,21.86,5.3612,28.155,3.25
Ahmedabad,Forecast,2017-03-01,400.075,,,,,,,,
Ahmedabad,Actual,2017-04-01,,7.2763,41.40978661223383,439.815,426.62055,27.89,5.82104,32.095,3.8
Ahmedabad,Forecast,2017-04-01,439.815,,,,,,,,
Ahmedabad,Actual,2017-05-01,,7.4285,40.81564155806959,456.025,442.34425,31.93,5.9428,35.1,4.23
Ahmedabad,Forecast,2017-05-01,456.025,,,,,,,,
Ahmedabad,Actual,2017-06-01,,6.3158,37.71523492081974,414.59,402.1523,55.98,5.05264,35.455,4.94
Ahmedabad,Forecast,2017-06-01,414.59,,,,,,,,
Ahmedabad,Actual,2017-07-01,,3.4954,30.98711473135681,278.77,270.40689999999995,81.04,2.79632,30.545,5.2
Ahmedabad,Forecast,2017-07-01,278.77,,,,,,,,
Ahmedabad,Actual,2017-08-01,,4.26,35.19104404964712,289.2,280.524,85.84,3.408,28.01,3.81
Ahmedabad,Forecast,2017-08-01,289.2,,,,,,,,
Ahmedabad,Actual,2017-09-01,,5.1533,40.96714145223866,303.265,294.16705,81.25,4.12264,27.015,2.28
Ahmedabad,Forecast,2017-09-01,303.265,,,,,,,,
Ahmedabad,Actual,2017-10-01,,5.6419,42.838325677342525,322.295,312.62614999999994,57.81,4.51352,26.81,2.01
Ahmedabad,Forecast,2017-10-01,322.295,,,,,,,,
Ahmedabad,Actual,2017-11-01,,4.5242,38.77066104110328,276.41,268.1177,41.85,3.61936,23.98,2.51
Ahmedabad,Forecast,2017-11-01,276.41,,,,,,,,
Ahmedabad,Actual,2017-12-01,,3.6797,34.39119029102818,251.185,243.64945,40.89,2.94376,21.26,3.36
Ahmedabad,Forecast,2017-12-01,251.185,,,,,,,,
Ahmedabad,Actual,2018-01-01,,4.7196,38.66494456314911,290.98,282.2506,26.73,3.77568,22.165,2.75
Ahmedabad,Forecast,2018-01-01,290.98,,,,,,,,
Ahmedabad,Actual,2018-02-01,,5.3813,40.33230027548209,323.265,313.56705,24.49,4.305040000000001,25.74,2.71
Ahmedabad,Forecast,2018-02-01,323.265,,,,,,,,
Ahmedabad,Actual,2018-03-01,,6.5465,41.860000863259664,387.925,376.28725,22.35,5.2372000000000005,30.32,3.03
Ahmedabad,Forecast,2018-03-01,387.925,,,,,,,,
Ahmedabad,Actual,2018-04-01,,7.0762,41.92542262368601,421.81,409.1557,26.3,5.66096,32.614999999999995,3.4
Ahmedabad,Forecast,2018-04-01,421.81,,,,,,,,
Ahmedabad,Actual,2018-05-01,,7.3841,41.340484406055815,447.605,434.17685,32.85,5.90728,35.495,3.92
Ahmedabad,Forecast,2018-05-01,447.605,,,,,,,,
Ahmedabad,Actual,2018-06-01,,6.0557,35.882169000799685,419.985,407.38544999999993,45.69,4.84456,36.19,5.86
Ahmedabad,Forecast,2018-06-01,419.985,,,,,,,,
Ahmedabad,Actual,2018-07-01,,3.7152,32.203265321114394,280.56,272.1432,72.98,2.97216,31.745,4.74
Ahmedabad,Forecast,2018-07-01,280.56,,,,,,,,
Ahmedabad,Actual,2018-08-01,,3.595,32.27840499639683,268.75,260.6875,77.73,2.8760000000000003,29.695,4.45
Ahmedabad,Forecast,2018-08-01,268.75,,,,,,,,
Ahmedabad,Actual,2018-09-01,,4.9682,39.00793407670629,305.61,296.4417,70.87,3.97456,29.91,2.86
Ahmedabad,Forecast,2018-09-01,305.61,,,,,,,,
Ahmedabad,Actual,2018-10-01,,5.6892,43.15104333525554,323.26,313.5622,42.35,4.55136,27.96,1.94
Ahmedabad,Forecast,2018-10-01,323.26,,,,,,,,
Ahmedabad,Actual,2018-11-01,,4.7093,39.359911792014856,284.865,276.31905,29.31,3.76744,25.4,2.47
Ahmedabad,Forecast,2018-11-01,284.865,,,,,,,,
Ahmedabad,Actual,2018-12-01,,4.3111,36.48383618444356,280.155,271.75035,25.38,3.44888,19.95,3.23
Ahmedabad,Forecast,2018-12-01,280.155,,,,,,,,
Ahmedabad,Actual,2019-01-01,,4.6903,37.42889490942536,299.515,290.52955,23.62,3.75224,20.555,3.25
Ahmedabad,Forecast,2019-01-01,299.515,,,,,,,,
Ahmedabad,Actual,2019-02-01,,5.4005,38.61314615944666,339.42499999999995,329.24225,28.46,4.3204,21.965,3.47
Ahmedabad,Forecast,2019-02-01,339.42499999999995,,,,,,,,
Ahmedabad,Actual,2019-03-01,,6.4406,41.050602593181885,388.03,376.3891,24.45,5.152480000000001,28.56,3.3
Ahmedabad,Forecast,2019-03-01,388.03,,,,,,,,
Ahmedabad,Actual,2019-04-01,,7.2194,42.005676627443016,430.37,417.4589,25.1,5.77552,33.42,3.47
Ahmedabad,Forecast,2019-04-01,430.37,,,,,,,,
Ahmedabad,Actual,2019-05-01,,7.5444,41.06892152880222,461.02,447.1894,36.43,6.035520000000001,34.51,4.19
Ahmedabad,Forecast,2019-05-01,461.02,,,,,,,,
Ahmedabad,Actual,2019-06-01,,6.283,37.96722467614416,409.15,396.8755000000001,50.28,5.026400000000001,36.61,4.75
Ahmedabad,Forecast,2019-06-01,409.15,,,,,,,,
Ahmedabad,Actual,2019-07-01,,4.6526,33.61183127004516,341.23,330.9931,66.48,3.72208,32.58,5.43
Ahmedabad,Forecast,2019-07-01,341.23,,,,,,,,
Ahmedabad,Actual,2019-08-01,,3.9785,33.63678307779671,284.325,275.79524999999995,86.09,3.1828000000000003,28.635,4.27
Ahmedabad,Forecast,2019-08-01,284.325,,,,,,,,
Ahmedabad,Actual,2019-09-01,,4.0147,36.54413101270138,257.33500000000004,249.61495,89.12,3.2117600000000004,28.33,2.83
Ahmedabad,Forecast,2019-09-01,257.33500000000004,,,,,,,,
Ahmedabad,Actual,2019-10-01,,5.1557,40.10390235819257,309.785,300.49145000000004,81.47,4.124560000000001,24.79,2.6
Ahmedabad,Forecast,2019-10-01,309.785,,,,,,,,
Ahmedabad,Actual,2019-11-01,,4.0296,37.88082546823805,247.88,240.4436,79.74,3.2236800000000003,23.175,2.32
Ahmedabad,Forecast,2019-11-01,247.88,,,,,,,,
Ahmedabad,Actual,2019-12-01,,3.8779,34.928433382450294,261.695,253.84415,68.73,3.10232,17.825,3.39
Ahmedabad,Forecast,2019-12-01,261.695,,,,,,,,
Ahmedabad,Actual,2020-01-01,,4.4215,36.58746118210049,287.475,278.85074999999995,54.9,3.5372000000000003,18.36,3.32
Ahmedabad,Forecast,2020-01-01,287.475,,,,,,,,
Ahmedabad,Actual,2020-02-01,,5.4521,39.75366951436271,332.80499999999995,322.82084999999995,34.23,4.36168,22.66,3.01
Ahmedabad,Forecast,2020-02-01,332.80499999999995,,,,,,,,
Ahmedabad,Actual,2020-03-01,,6.2071,41.21343418820122,371.155,360.02034999999995,34.2,4.96568,26.09,3.04
Ahmedabad,Forecast,2020-03-01,371.155,,,,,,,,
Ahmedabad,Actual,2020-04-01,,7.212,41.95095325353815,430.4,417.488,25.92,5.7696000000000005,32.985,3.49
Ahmedabad,Forecast,2020-04-01,430.4,,,,,,,,
Ahmedabad,Actual,2020-05-01,,7.5804,40.55750792091536,469.02,454.9494,33.62,6.06432,35.565,4.5
Ahmedabad,Forecast,2020-05-01,469.02,,,,,,,,
Ahmedabad,Actual,2020-06-01,,6.0252,38.92054991934625,380.26,368.8522,63.14,4.82016,33.364999999999995,3.95
