DATE,PARAM,VALUE
2015-01-01,WD10M,50.4
2015-01-01,WS2M,1.8
2015-01-01,WS10M,2.84
2015-02-01,WS2M,1.88
2015-02-01,WS10M,2.98
2015-02-01,WD10M,51.0
2015-03-01,WD10M,355.7
2015-03-01,WS10M,3.03
2015-03-01,WS2M,1.99
2015-04-01,WD10M,289.8
2015-04-01,WS10M,3.76
2015-04-01,WS2M,2.68
2015-05-01,WD10M,302.0
2015-05-01,WS2M,3.57
2015-05-01,WS10M,4.82
2015-06-01,WD10M,279.2
2015-06-01,WS10M,4.76
2015-06-01,WS2M,3.58
2015-07-01,WD10M,264.9
2015-07-01,WS10M,5.78
2015-07-01,WS2M,4.19
2015-08-01,WS10M,3.94
2015-08-01,WS2M,2.74
2015-08-01,WD10M,294.0
2015-09-01,WS2M,2.08
2015-09-01,WD10M,306.6
2015-09-01,WS10M,3.14
2015-10-01,WD10M,2.3
2015-10-01,WS2M,1.39
2015-10-01,WS10M,2.18
2015-11-01,WS2M,1.39
2015-11-01,WS10M,2.25
2015-11-01,WD10M,67.0
2015-12-01,WD10M,42.2
2015-12-01,WS10M,2.84
2015-12-01,WS2M,1.71
2016-01-01,WS2M,1.52
2016-01-01,WD10M,59.0
2016-01-01,WS10M,2.45
2016-02-01,WS10M,3.18
2016-02-01,WD10M,40.5
2016-02-01,WS2M,1.98
2016-03-01,WD10M,333.6
2016-03-01,WS10M,3.01
2016-03-01,WS2M,1.95
2016-04-01,WD10M,289.5
2016-04-01,WS2M,3.01
2016-04-01,WS10M,4.25
2016-05-01,WD10M,282.6
2016-05-01,WS10M,4.75
2016-05-01,WS2M,3.53
2016-06-01,WD10M,281.8
2016-06-01,WS10M,4.0
2016-06-01,WS2M,3.01
2016-07-01,WD10M,273.1
2016-07-01,WS2M,3.09
2016-07-01,WS10M,4.28
2016-08-01,WD10M,257.8
2016-08-01,WS10M,4.68
2016-08-01,WS2M,3.26
2016-09-01,WD10M,323.2
2016-09-01,WS2M,2.05
2016-09-01,WS10M,3.07
2016-10-01,WD10M,326.1
2016-10-01,WS10M,2.4
2016-10-01,WS2M,1.5
2016-11-01,WD10M,33.1
2016-11-01,WS2M,1.24
2016-11-01,WS10M,2.01
2016-12-01,WS10M,2.56
2016-12-01,WD10M,50.1
2016-12-01,WS2M,1.52
2017-01-01,WS10M,2.77
2017-01-01,WS2M,1.73
2017-01-01,WD10M,61.9
2017-02-01,WD10M,21.4
2017-02-01,WS10M,3.05
2017-02-01,WS2M,1.91
2017-03-01,WS10M,3.13
2017-03-01,WD10M,328.0
2017-03-01,WS2M,2.04
2017-04-01,WS10M,4.45
2017-04-01,WS2M,3.14
2017-04-01,WD10M,292.5
2017-05-01,WD10M,298.7
2017-05-01,WS2M,3.21
2017-05-01,WS10M,4.32
2017-06-01,WD10M,278.7
2017-06-01,WS2M,3.1
2017-06-01,WS10M,4.13
2017-07-01,WS2M,3.9
2017-07-01,WS10M,5.39
2017-07-01,WD10M,253.2
2017-08-01,WS2M,2.84
2017-08-01,WS10M,4.05
2017-08-01,WD10M,280.3
2017-09-01,WS2M,1.74
2017-09-01,WD10M,288.0
2017-09-01,WS10M,2.62
2017-10-01,WS2M,1.43
2017-10-01,WS10M,2.32
2017-10-01,WD10M,358.8
2017-11-01,WD10M,79.4
2017-11-01,WS2M,1.22
2017-11-01,WS10M,1.96
2017-12-01,WS10M,2.59
2017-12-01,WD10M,62.5
2017-12-01,WS2M,1.57
2018-01-01,WD10M,37.2
2018-01-01,WS10M,2.49
2018-01-01,WS2M,1.51
2018-02-01,WS10M,2.47
2018-02-01,WD10M,40.1
2018-02-01,WS2M,1.57
2018-03-01,WS2M,1.97
2018-03-01,WD10M,311.9
2018-03-01,WS10M,3.0
2018-04-01,WD10M,294.4
2018-04-01,WS2M,2.59
2018-04-01,WS10M,3.73
2018-05-01,WD10M,297.6
2018-05-01,WS10M,4.33
2018-05-01,WS2M,3.19
2018-06-01,WS10M,4.61
2018-06-01,WS2M,3.45
2018-06-01,WD10M,270.8
2018-07-01,WD10M,267.0
2018-07-01,WS2M,3.69
2018-07-01,WS10M,5.11
2018-08-01,WS2M,3.23
2018-08-01,WS10M,4.63
2018-08-01,WD10M,276.8
2018-09-01,WD10M,279.2
2018-09-01,WS10M,3.72
2018-09-01,WS2M,2.51
2018-10-01,WS10M,2.3
2018-10-01,WD10M,325.8
2018-10-01,WS2M,1.42
2018-11-01,WS2M,1.39
2018-11-01,WD10M,57.7
2018-11-01,WS10M,2.35
2018-12-01,WS2M,1.6
2018-12-01,WD10M,61.2
2018-12-01,WS10M,2.65
2019-01-01,WD10M,32.9
2019-01-01,WS2M,1.8
2019-01-01,WS10M,2.93
2019-02-01,WD10M,277.0
2019-02-01,WS10M,3.4
2019-02-01,WS2M,2.2
2019-03-01,WD10M,326.9
2019-03-01,WS10M,3.37
2019-03-01,WS2M,2.22
2019-04-01,WD10M,309.9
2019-04-01,WS10M,3.36
2019-04-01,WS2M,2.3
2019-05-01,WD10M,292.1
2019-05-01,WS2M,3.12
2019-05-01,WS10M,4.21
2019-06-01,WD10M,289.2
2019-06-01,WS10M,4.4
2019-06-01,WS2M,3.33
2019-07-01,WS10M,4.54
2019-07-01,WS2M,3.28
2019-07-01,WD10M,265.8
2019-08-01,WS2M,3.07
2019-08-01,WD10M,272.6
2019-08-01,WS10M,4.4
2019-09-01,WS2M,2.03
2019-09-01,WS10M,3.01
2019-09-01,WD10M,308.7
2019-10-01,WS2M,1.3
2019-10-01,WD10M,76.5
2019-10-01,WS10M,2.01
2019-11-01,WS10M,2.16
2019-11-01,WS2M,1.32
2019-11-01,WD10M,100.5
2019-12-01,WS10M,2.76
2019-12-01,WS2M,1.72
2019-12-01,WD10M,75.5
2020-01-01,WS2M,1.84
2020-01-01,WD10M,51.4
2020-01-01,WS10M,2.97
2020-02-01,WS2M,1.85
2020-02-01,WS10M,2.97
2020-02-01,WD10M,50.8
2020-03-01,WD10M,262.5
2020-03-01,WS10M,3.07
2020-03-01,WS2M,2.06
2020-04-01,WD10M,322.6
2020-04-01,WS10M,3.33
2020-04-01,WS2M,2.31
2020-05-01,WD10M,293.6
2020-05-01,WS10M,4.23
2020-05-01,WS2M,3.11
2020-06-01,WS10M,4.12
2020-06-01,WS2M,3.09
2020-06-01,WD10M,266.8
2020-07-01,WD10M,237.8
2020-07-01,WS2M,2.58
2020-07-01,WS10M,3.57
2020-08-01,WS2M,2.88
2020-08-01,WD10M,256.2
2020-08-01,WS10M,4.12
2020-09-01,WS2M,1.71
2020-09-01,WS10M,2.6
2020-09-01,WD10M,292.5
2020-10-01,WS2M,1.42
2020-10-01,WD10M,31.7
2020-10-01,WS10M,2.24
2020-11-01,WS2M,1.48
2020-11-01,WS10M,2.4
2020-11-01,WD10M,90.1
2020-12-01,WS2M,1.51
2020-12-01,WD10M,85.7
2020-12-01,WS10M,2.47
2021-01-01,WS2M,1.73
2021-01-01,WD10M,94.7
2021-01-01,WS10M,2.82
2021-02-01,WD10M,204.8
2021-02-01,WS10M,2.61
2021-02-01,WS2M,1.64
2021-03-01,WD10M,238.3
2021-03-01,WS10M,3.2
2021-03-01,WS2M,2.08
2021-04-01,WS2M,2.05
2021-04-01,WD10M,252.0
2021-04-01,WS10M,2.97
2021-05-01,WS2M,3.09
2021-05-01,WS10M,4.17
2021-05-01,WD10M,264.2
2021-06-01,WS2M,3.57
2021-06-01,WD10M,261.9
2021-06-01,WS10M,4.77
2021-07-01,WS2M,3.5
2021-07-01,WD10M,253.1
2021-07-01,WS10M,4.83
2021-08-01,WS10M,4.28
2021-08-01,WD10M,272.0
2021-08-01,WS2M,2.98
2021-09-01,WD10M,233.7
2021-09-01,WS10M,3.16
2021-09-01,WS2M,2.15
2021-10-01,WS2M,1.27
2021-10-01,WD10M,305.6
2021-10-01,WS10M,1.99
2021-11-01,WS10M,2.61
2021-11-01,WD10M,83.1
2021-11-01,WS2M,1.6
2021-12-01,WS10M,2.49
2021-12-01,WD10M,69.7
2021-12-01,WS2M,1.58
2022-01-01,WD10M,25.4
2022-01-01,WS2M,1.66
2022-01-01,WS10M,2.68
2022-02-01,WS2M,1.87
2022-02-01,WS10M,3.02
2022-02-01,WD10M,267.0
2022-03-01,WS10M,3.12
