DATE,PARAM,VALUE
2015-01-01,WD10M,289.4
2015-01-01,WS2M,1.77
2015-01-01,WS10M,2.98
2015-02-01,WS2M,1.64
2015-02-01,WS10M,2.75
2015-02-01,WD10M,294.7
2015-03-01,WD10M,293.5
2015-03-01,WS10M,3.15
2015-03-01,WS2M,1.97
2015-04-01,WD10M,271.5
2015-04-01,WS10M,2.65
2015-04-01,WS2M,1.71
2015-05-01,WD10M,283.6
2015-05-01,WS2M,2.45
2015-05-01,WS10M,3.49
2015-06-01,WD10M,284.6
2015-06-01,WS10M,3.14
2015-06-01,WS2M,2.24
2015-07-01,WD10M,209.2
2015-07-01,WS10M,2.98
2015-07-01,WS2M,2.07
2015-08-01,WS10M,2.62
2015-08-01,WS2M,1.71
2015-08-01,WD10M,261.9
2015-09-01,WS2M,1.88
2015-09-01,WD10M,294.5
2015-09-01,WS10M,2.95
2015-10-01,WD10M,306.1
2015-10-01,WS2M,1.46
2015-10-01,WS10M,2.34
2015-11-01,WS2M,1.49
2015-11-01,WS10M,2.47
2015-11-01,WD10M,319.1
2015-12-01,WD10M,300.7
2015-12-01,WS10M,2.88
2015-12-01,WS2M,1.77
2016-01-01,WS2M,1.45
2016-01-01,WD10M,304.3
2016-01-01,WS10M,2.43
2016-02-01,WS10M,2.75
2016-02-01,WD10M,311.1
2016-02-01,WS2M,1.65
2016-03-01,WD10M,310.1
2016-03-01,WS10M,3.02
2016-03-01,WS2M,1.9
2016-04-01,WD10M,302.1
2016-04-01,WS2M,2.46
2016-04-01,WS10M,3.71
2016-05-01,WD10M,265.8
2016-05-01,WS10M,2.95
2016-05-01,WS2M,2.02
2016-06-01,WD10M,237.2
2016-06-01,WS10M,2.71
2016-06-01,WS2M,1.92
2016-07-01,WD10M,237.3
2016-07-01,WS2M,1.5
2016-07-01,WS10M,2.19
2016-08-01,WD10M,107.5
2016-08-01,WS10M,2.45
2016-08-01,WS2M,1.59
2016-09-01,WD10M,267.5
2016-09-01,WS2M,1.49
2016-09-01,WS10M,2.35
2016-10-01,WD10M,300.5
2016-10-01,WS10M,2.73
2016-10-01,WS2M,1.64
2016-11-01,WD10M,298.3
2016-11-01,WS2M,1.88
2016-11-01,WS10M,3.01
2016-12-01,WS10M,2.89
2016-12-01,WD10M,297.9
2016-12-01,WS2M,1.74
2017-01-01,WS10M,3.04
2017-01-01,WS2M,1.83
2017-01-01,WD10M,313.8
2017-02-01,WD10M,306.1
2017-02-01,WS10M,3.48
2017-02-01,WS2M,2.11
2017-03-01,WS10M,3.66
2017-03-01,WD10M,309.6
2017-03-01,WS2M,2.28
2017-04-01,WS10M,3.79
2017-04-01,WS2M,2.51
2017-04-01,WD10M,298.4
2017-05-01,WD10M,292.1
2017-05-01,WS2M,2.09
2017-05-01,WS10M,3.0
2017-06-01,WD10M,282.5
2017-06-01,WS2M,2.24
2017-06-01,WS10M,3.13
2017-07-01,WS2M,2.04
2017-07-01,WS10M,2.93
2017-07-01,WD10M,122.6
2017-08-01,WS2M,1.94
2017-08-01,WS10M,2.89
2017-08-01,WD10M,269.2
2017-09-01,WS2M,1.55
2017-09-01,WD10M,309.3
2017-09-01,WS10M,2.42
2017-10-01,WS2M,1.29
2017-10-01,WS10M,2.08
2017-10-01,WD10M,331.8
2017-11-01,WD10M,320.3
2017-11-01,WS2M,1.63
2017-11-01,WS10M,2.66
2017-12-01,WS10M,2.93
2017-12-01,WD10M,314.0
2017-12-01,WS2M,1.8
2018-01-01,WD10M,307.0
2018-01-01,WS10M,3.19
2018-01-01,WS2M,1.9
2018-02-01,WS10M,3.29
2018-02-01,WD10M,313.7
2018-02-01,WS2M,2.0
2018-03-01,WS2M,2.17
2018-03-01,WD10M,308.1
2018-03-01,WS10M,3.47
2018-04-01,WD10M,311.7
2018-04-01,WS2M,2.0
2018-04-01,WS10M,3.04
2018-05-01,WD10M,317.7
2018-05-01,WS10M,2.83
2018-05-01,WS2M,1.95
2018-06-01,WS10M,3.71
2018-06-01,WS2M,2.71
2018-06-01,WD10M,286.9
2018-07-01,WD10M,255.6
2018-07-01,WS2M,1.84
2018-07-01,WS10M,2.63
2018-08-01,WS2M,1.46
2018-08-01,WS10M,2.23
2018-08-01,WD10M,247.9
2018-09-01,WD10M,316.1
2018-09-01,WS10M,2.96
2018-09-01,WS2M,1.93
2018-10-01,WS10M,2.11
2018-10-01,WD10M,16.4
2018-10-01,WS2M,1.26
2018-11-01,WS2M,1.54
2018-11-01,WD10M,321.6
2018-11-01,WS10M,2.48
2018-12-01,WS2M,1.6
2018-12-01,WD10M,321.0
2018-12-01,WS10M,2.66
2019-01-01,WD10M,326.6
2019-01-01,WS2M,1.89
2019-01-01,WS10M,3.11
2019-02-01,WD10M,327.7
2019-02-01,WS10M,3.02
2019-02-01,WS2M,1.83
2019-03-01,WD10M,323.8
2019-03-01,WS10M,3.34
2019-03-01,WS2M,2.09
2019-04-01,WD10M,322.5
2019-04-01,WS10M,3.32
2019-04-01,WS2M,2.18
2019-05-01,WD10M,302.3
2019-05-01,WS2M,2.76
2019-05-01,WS10M,3.93
2019-06-01,WD10M,295.7
2019-06-01,WS10M,3.45
2019-06-01,WS2M,2.47
2019-07-01,WS10M,2.94
2019-07-01,WS2M,2.08
2019-07-01,WD10M,222.3
2019-08-01,WS2M,1.79
2019-08-01,WD10M,99.4
2019-08-01,WS10M,2.67
2019-09-01,WS2M,1.57
2019-09-01,WS10M,2.35
2019-09-01,WD10M,113.5
2019-10-01,WS2M,1.46
2019-10-01,WD10M,339.9
2019-10-01,WS10M,2.36
2019-11-01,WS10M,2.92
2019-11-01,WS2M,1.9
2019-11-01,WD10M,328.1
2019-12-01,WS10M,2.46
2019-12-01,WS2M,1.53
2019-12-01,WD10M,319.5
2020-01-01,WS2M,1.77
2020-01-01,WD10M,335.9
2020-01-01,WS10M,2.86
2020-02-01,WS2M,2.09
2020-02-01,WS10M,3.4
2020-02-01,WD10M,336.4
2020-03-01,WD10M,324.8
2020-03-01,WS10M,3.0
2020-03-01,WS2M,1.88
2020-04-01,WD10M,311.6
2020-04-01,WS10M,3.16
2020-04-01,WS2M,2.09
2020-05-01,WD10M,322.2
2020-05-01,WS10M,3.42
2020-05-01,WS2M,2.41
2020-06-01,WS10M,2.71
2020-06-01,WS2M,1.94
2020-06-01,WD10M,307.2
2020-07-01,WD10M,157.0
2020-07-01,WS2M,2.12
2020-07-01,WS10M,2.99
2020-08-01,WS2M,2.1
2020-08-01,WD10M,125.8
2020-08-01,WS10M,3.09
2020-09-01,WS2M,1.65
2020-09-01,WS10M,2.54
2020-09-01,WD10M,329.2
2020-10-01,WS2M,1.67
2020-10-01,WD10M,327.6
2020-10-01,WS10M,2.77
2020-11-01,WS2M,1.81
2020-11-01,WS10M,2.88
2020-11-01,WD10M,321.4
2020-12-01,WS2M,2.02
2020-12-01,WD10M,312.4
2020-12-01,WS10M,3.27
2021-01-01,WS2M,1.85
2021-01-01,WD10M,312.3
2021-01-01,WS10M,3.04
2021-02-01,WD10M,325.3
2021-02-01,WS10M,2.74
2021-02-01,WS2M,1.6
2021-03-01,WD10M,319.2
2021-03-01,WS10M,3.45
2021-03-01,WS2M,2.17
2021-04-01,WS2M,2.28
2021-04-01,WD10M,317.5
2021-04-01,WS10M,3.5
2021-05-01,WS2M,2.06
2021-05-01,WS10M,2.97
2021-05-01,WD10M,320.8
2021-06-01,WS2M,1.85
2021-06-01,WD10M,314.7
2021-06-01,WS10M,2.63
2021-07-01,WS2M,1.95
2021-07-01,WD10M,117.1
2021-07-01,WS10M,2.78
2021-08-01,WS10M,2.43
2021-08-01,WD10M,318.8
2021-08-01,WS2M,1.59
2021-09-01,WD10M,95.1
2021-09-01,WS10M,2.93
2021-09-01,WS2M,1.92
2021-10-01,WS2M,1.58
2021-10-01,WD10M,327.4
2021-10-01,WS10M,2.57
2021-11-01,WS10M,2.37
2021-11-01,WD10M,313.9
2021-11-01,WS2M,1.45
2021-12-01,WS10M,2.4
2021-12-01,WD10M,337.9
2021-12-01,WS2M,1.45
2022-01-01,WD10M,317.0
2022-01-01,WS2M,1.66
2022-01-01,WS10M,2.66
2022-02-01,WS2M,1.87
2022-02-01,WS10M,3.08
2022-02-01,WD10M,337.5
2022-03-01,WS10M,2.98
2022-03-01,WD10M,318.2
2022-03-01,WS2M,1.82
2022-04-01,WD10M,312.5
2022-04-01,WS10M,3.12
2022-04-01,WS2M,2.03
2022-05-01,WD10M,131.7
2022-05-01,WS10M,2.93
2022-05-01,WS2M,2.03
2022-06-01,WD10M,285.4
2022-06-01,WS10M,3.33
2022-06-01,WS2M,2.39
2022-07-01,WS2M,2.29
2022-07-01,WD10M,118.9
2022-07-01,WS10M,3.18
2022-08-01,WD10M,119.0
2022-08-01,WS2M,2.32
2022-08-01,WS10M,3.35
2022-09-01,WD10M,39.0
2022-09-01,WS10M,2.75
2022-09-01,WS2M,1.84
2022-10-01,WS2M,1.38
2022-10-01,WS10M,2.2
2022-10-01,WD10M,352.5
2022-11-01,WD10M,317.4
2022-11-01,WS2M,1.59
2022-11-01,WS10M,2.64
2022-12-01,WS2M,1.91
2022-12-01,WD10M,310.6
2022-12-01,WS10M,3.11
2023-01-01,WS2M,1.69
2023-01-01,WS10M,2.82
2023-01-01,WD10M,313.4
2023-02-01,WS10M,3.28
2023-02-01,WS2M,2.0
2023-02-01,WD10M,299.0
2023-03-01,WD10M,313.8
2023-03-01,WS2M,1.6
2023-03-01,WS10M,2.54
2023-04-01,WS2M,1.94
2023-04-01,WS10M,3.01
2023-04-01,WD10M,314.3
2023-05-01,WS10M,3.25
2023-05-01,WS2M,2.27
2023-05-01,WD10M,292.6
2023-06-01,WS10M,3.66
2023-06-01,WS2M,2.68
2023-06-01,WD10M,310.0
2023-07-01,WS10M,2.38
2023-07-01,WD10M,120.4
2023-07-01,WS2M,1.65
2023-08-01,WS10M,3.0
2023-08-01,WS2M,1.99
2023-08-01,WD10M,273.6
2023-09-01,WD10M,73.5
2023-09-01,WS10M,2.59
2023-09-01,WS2M,1.67
2023-10-01,WS10M,2.55
2023-10-01,WS2M,1.57
2023-10-01,WD10M,348.7
2023-11-01,WD10M,329.7
2023-11-01,WS10M,2.09
