DATE,PARAM,VALUE
2015-01-01,WD10M,225.1
2015-01-01,WS2M,0.5
2015-01-01,WS10M,1.94
2015-02-01,WS2M,0.65
2015-02-01,WS10M,2.36
2015-02-01,WD10M,226.8
2015-03-01,WD10M,236.1
2015-03-01,WS10M,2.76
2015-03-01,WS2M,0.8
2015-04-01,WD10M,221.9
2015-04-01,WS10M,2.59
2015-04-01,WS2M,0.77
2015-05-01,WD10M,217.6
2015-05-01,WS2M,0.7
2015-05-01,WS10M,2.45
2015-06-01,WD10M,213.2
2015-06-01,WS10M,2.37
2015-06-01,WS2M,0.7
2015-07-01,WD10M,165.4
2015-07-01,WS10M,1.96
2015-07-01,WS2M,0.59
2015-08-01,WS10M,1.85
2015-08-01,WS2M,0.54
2015-08-01,WD10M,233.5
2015-09-01,WS2M,0.39
2015-09-01,WD10M,232.2
2015-09-01,WS10M,1.41
2015-10-01,WD10M,176.5
2015-10-01,WS2M,0.4
2015-10-01,WS10M,1.44
2015-11-01,WS2M,0.42
2015-11-01,WS10M,1.57
2015-11-01,WD10M,179.0
2015-12-01,WD10M,205.1
2015-12-01,WS10M,1.74
2015-12-01,WS2M,0.44
2016-01-01,WS2M,0.48
2016-01-01,WD10M,222.6
2016-01-01,WS10M,1.89
2016-02-01,WS10M,2.56
2016-02-01,WD10M,216.8
2016-02-01,WS2M,0.7
2016-03-01,WD10M,227.5
2016-03-01,WS10M,2.96
2016-03-01,WS2M,0.84
2016-04-01,WD10M,214.7
2016-04-01,WS2M,1.07
2016-04-01,WS10M,3.67
2016-05-01,WD10M,215.5
2016-05-01,WS10M,2.04
2016-05-01,WS2M,0.6
2016-06-01,WD10M,233.8
2016-06-01,WS10M,1.66
2016-06-01,WS2M,0.49
2016-07-01,WD10M,216.3
2016-07-01,WS2M,0.48
2016-07-01,WS10M,1.6
2016-08-01,WD10M,203.1
2016-08-01,WS10M,1.63
2016-08-01,WS2M,0.47
2016-09-01,WD10M,232.9
2016-09-01,WS2M,0.39
2016-09-01,WS10M,1.39
2016-10-01,WD10M,179.6
2016-10-01,WS10M,1.34
2016-10-01,WS2M,0.39
2016-11-01,WD10M,160.9
2016-11-01,WS2M,0.43
2016-11-01,WS10M,1.42
2016-12-01,WS10M,1.7
2016-12-01,WD10M,171.0
2016-12-01,WS2M,0.44
2017-01-01,WS10M,1.77
2017-01-01,WS2M,0.5
2017-01-01,WD10M,212.0
2017-02-01,WD10M,224.2
2017-02-01,WS10M,2.45
2017-02-01,WS2M,0.68
2017-03-01,WS10M,2.59
2017-03-01,WD10M,226.3
2017-03-01,WS2M,0.77
2017-04-01,WS10M,2.88
2017-04-01,WS2M,0.86
2017-04-01,WD10M,217.2
2017-05-01,WD10M,215.0
2017-05-01,WS2M,0.61
2017-05-01,WS10M,2.04
2017-06-01,WD10M,225.8
2017-06-01,WS2M,0.58
2017-06-01,WS10M,1.96
2017-07-01,WS2M,0.46
2017-07-01,WS10M,1.48
2017-07-01,WD10M,167.0
2017-08-01,WS2M,0.48
2017-08-01,WS10M,1.59
2017-08-01,WD10M,246.6
2017-09-01,WS2M,0.42
2017-09-01,WD10M,240.1
2017-09-01,WS10M,1.48
2017-10-01,WS2M,0.41
2017-10-01,WS10M,1.56
2017-10-01,WD10M,177.5
2017-11-01,WD10M,145.8
2017-11-01,WS2M,0.43
2017-11-01,WS10M,1.65
2017-12-01,WS10M,1.64
2017-12-01,WD10M,157.3
2017-12-01,WS2M,0.47
2018-01-01,WD10M,225.7
2018-01-01,WS10M,1.79
2018-01-01,WS2M,0.46
2018-02-01,WS10M,2.25
2018-02-01,WD10M,225.6
2018-02-01,WS2M,0.62
2018-03-01,WS2M,0.69
2018-03-01,WD10M,223.1
2018-03-01,WS10M,2.35
2018-04-01,WD10M,220.6
2018-04-01,WS2M,0.62
2018-04-01,WS10M,2.05
2018-05-01,WD10M,226.5
2018-05-01,WS10M,1.61
2018-05-01,WS2M,0.49
2018-06-01,WS10M,1.84
2018-06-01,WS2M,0.55
2018-06-01,WD10M,231.4
2018-07-01,WD10M,236.9
2018-07-01,WS2M,0.43
2018-07-01,WS10M,1.38
2018-08-01,WS2M,0.42
2018-08-01,WS10M,1.38
2018-08-01,WD10M,203.6
2018-09-01,WD10M,242.1
2018-09-01,WS10M,1.6
2018-09-01,WS2M,0.44
2018-10-01,WS10M,1.48
2018-10-01,WD10M,208.2
2018-10-01,WS2M,0.41
2018-11-01,WS2M,0.44
2018-11-01,WD10M,197.1
2018-11-01,WS10M,1.68
2018-12-01,WS2M,0.45
2018-12-01,WD10M,176.4
2018-12-01,WS10M,1.58
2019-01-01,WD10M,175.5
2019-01-01,WS2M,0.5
2019-01-01,WS10M,1.82
2019-02-01,WD10M,230.6
2019-02-01,WS10M,2.13
2019-02-01,WS2M,0.61
2019-03-01,WD10M,234.7
2019-03-01,WS10M,2.44
2019-03-01,WS2M,0.72
2019-04-01,WD10M,222.4
2019-04-01,WS10M,1.83
2019-04-01,WS2M,0.57
2019-05-01,WD10M,221.5
2019-05-01,WS2M,0.62
2019-05-01,WS10M,2.1
2019-06-01,WD10M,231.9
2019-06-01,WS10M,1.6
2019-06-01,WS2M,0.5
2019-07-01,WS10M,1.67
2019-07-01,WS2M,0.51
2019-07-01,WD10M,227.9
2019-08-01,WS2M,0.43
2019-08-01,WD10M,189.8
2019-08-01,WS10M,1.4
2019-09-01,WS2M,0.36
2019-09-01,WS10M,1.2
2019-09-01,WD10M,229.1
2019-10-01,WS2M,0.39
2019-10-01,WD10M,239.1
2019-10-01,WS10M,1.31
2019-11-01,WS10M,1.43
2019-11-01,WS2M,0.41
2019-11-01,WD10M,183.4
2019-12-01,WS10M,1.61
2019-12-01,WS2M,0.43
2019-12-01,WD10M,185.4
2020-01-01,WS2M,0.48
2020-01-01,WD10M,226.2
2020-01-01,WS10M,1.84
2020-02-01,WS2M,0.51
2020-02-01,WS10M,1.82
2020-02-01,WD10M,224.7
2020-03-01,WD10M,236.9
2020-03-01,WS10M,2.24
2020-03-01,WS2M,0.67
2020-04-01,WD10M,221.3
2020-04-01,WS10M,2.01
2020-04-01,WS2M,0.58
2020-05-01,WD10M,212.3
2020-05-01,WS10M,2.03
2020-05-01,WS2M,0.61
2020-06-01,WS10M,1.79
2020-06-01,WS2M,0.54
2020-06-01,WD10M,237.1
2020-07-01,WD10M,243.7
2020-07-01,WS2M,0.53
2020-07-01,WS10M,1.76
2020-08-01,WS2M,0.46
2020-08-01,WD10M,236.3
2020-08-01,WS10M,1.54
2020-09-01,WS2M,0.41
2020-09-01,WS10M,1.5
2020-09-01,WD10M,240.0
2020-10-01,WS2M,0.39
2020-10-01,WD10M,252.5
2020-10-01,WS10M,1.35
2020-11-01,WS2M,0.48
2020-11-01,WS10M,1.89
2020-11-01,WD10M,169.4
2020-12-01,WS2M,0.44
2020-12-01,WD10M,214.2
2020-12-01,WS10M,1.57
2021-01-01,WS2M,0.49
2021-01-01,WD10M,225.8
2021-01-01,WS10M,1.74
2021-02-01,WD10M,224.5
2021-02-01,WS10M,1.87
2021-02-01,WS2M,0.55
2021-03-01,WD10M,230.5
2021-03-01,WS10M,2.46
2021-03-01,WS2M,0.71
2021-04-01,WS2M,0.68
2021-04-01,WD10M,227.1
2021-04-01,WS10M,2.38
2021-05-01,WS2M,0.68
2021-05-01,WS10M,2.29
2021-05-01,WD10M,237.0
2021-06-01,WS2M,0.66
2021-06-01,WD10M,227.6
2021-06-01,WS10M,2.15
2021-07-01,WS2M,0.54
2021-07-01,WD10M,221.6
2021-07-01,WS10M,1.74
2021-08-01,WS10M,1.82
2021-08-01,WD10M,238.3
2021-08-01,WS2M,0.55
2021-09-01,WD10M,211.7
2021-09-01,WS10M,1.36
2021-09-01,WS2M,0.38
2021-10-01,WS2M,0.39
2021-10-01,WD10M,223.1
2021-10-01,WS10M,1.49
2021-11-01,WS10M,1.68
2021-11-01,WD10M,193.8
2021-11-01,WS2M,0.45
2021-12-01,WS10M,1.62
2021-12-01,WD10M,168.9
2021-12-01,WS2M,0.45
2022-01-01,WD10M,211.6
2022-01-01,WS2M,0.48
2022-01-01,WS10M,1.67
2022-02-01,WS2M,0.64
2022-02-01,WS10M,2.14
2022-02-01,WD10M,219.0
2022-03-01,WS10M,2.29
2022-03-01,WD10M,230.1
2022-03-01,WS2M,0.68
2022-04-01,WD10M,215.1
2022-04-01,WS10M,2.28
2022-04-01,WS2M,0.69
2022-05-01,WD10M,227.8
2022-05-01,WS10M,2.0
2022-05-01,WS2M,0.61
2022-06-01,WD10M,227.6
2022-06-01,WS10M,2.09
2022-06-01,WS2M,0.63
2022-07-01,WS2M,0.48
2022-07-01,WD10M,252.5
2022-07-01,WS10M,1.54
2022-08-01,WD10M,219.9
2022-08-01,WS2M,0.51
2022-08-01,WS10M,1.71
2022-09-01,WD10M,222.4
2022-09-01,WS10M,1.48
2022-09-01,WS2M,0.42
2022-10-01,WS2M,0.47
2022-10-01,WS10M,1.78
2022-10-01,WD10M,161.3
2022-11-01,WD10M,146.4
2022-11-01,WS2M,0.45
2022-11-01,WS10M,1.52
2022-12-01,WS2M,0.45
2022-12-01,WD10M,187.5
2022-12-01,WS10M,1.63
2023-01-01,WS2M,0.52
2023-01-01,WS10M,1.82
2023-01-01,WD10M,206.9
2023-02-01,WS10M,2.12
2023-02-01,WS2M,0.61
2023-02-01,WD10M,218.4
2023-03-01,WD10M,227.1
2023-03-01,WS2M,0.67
2023-03-01,WS10M,2.19
2023-04-01,WS2M,0.74
2023-04-01,WS10M,2.6
2023-04-01,WD10M,226.5
2023-05-01,WS10M,2.32
2023-05-01,WS2M,0.69
