DATE,PARAM,VALUE
2015-01-01,WD10M,78.0
2015-01-01,WS2M,1.46
2015-01-01,WS10M,2.33
2015-02-01,WS2M,1.86
2015-02-01,WS10M,2.99
2015-02-01,WD10M,80.1
2015-03-01,WD10M,104.6
2015-03-01,WS10M,2.9
2015-03-01,WS2M,1.88
2015-04-01,WD10M,3.8
2015-04-01,WS10M,3.11
2015-04-01,WS2M,2.1
2015-05-01,WD10M,297.8
2015-05-01,WS2M,3.08
2015-05-01,WS10M,4.25
2015-06-01,WD10M,294.0
2015-06-01,WS10M,3.45
2015-06-01,WS2M,2.6
2015-07-01,WD10M,245.9
2015-07-01,WS10M,3.97
2015-07-01,WS2M,2.91
2015-08-01,WS10M,3.45
2015-08-01,WS2M,2.42
2015-08-01,WD10M,267.5
2015-09-01,WS2M,2.2
2015-09-01,WD10M,282.9
2015-09-01,WS10M,3.22
2015-10-01,WD10M,342.7
2015-10-01,WS2M,1.76
2015-10-01,WS10M,2.76
2015-11-01,WS2M,1.61
2015-11-01,WS10M,2.57
2015-11-01,WD10M,52.1
2015-12-01,WD10M,21.5
2015-12-01,WS10M,2.49
2015-12-01,WS2M,1.5
2016-01-01,WS2M,1.56
2016-01-01,WD10M,8.2
2016-01-01,WS10M,2.56
2016-02-01,WS10M,2.83
2016-02-01,WD10M,31.7
2016-02-01,WS2M,1.77
2016-03-01,WD10M,348.2
2016-03-01,WS10M,3.04
2016-03-01,WS2M,2.0
2016-04-01,WD10M,298.4
2016-04-01,WS2M,2.62
2016-04-01,WS10M,3.78
2016-05-01,WD10M,278.6
2016-05-01,WS10M,4.38
2016-05-01,WS2M,3.25
2016-06-01,WD10M,273.1
2016-06-01,WS10M,3.78
2016-06-01,WS2M,2.86
2016-07-01,WD10M,272.5
2016-07-01,WS2M,2.32
2016-07-01,WS10M,3.18
2016-08-01,WD10M,18.3
2016-08-01,WS10M,3.41
2016-08-01,WS2M,2.37
2016-09-01,WD10M,273.7
2016-09-01,WS2M,1.83
2016-09-01,WS10M,2.72
2016-10-01,WD10M,302.6
2016-10-01,WS10M,2.59
2016-10-01,WS2M,1.64
2016-11-01,WD10M,324.8
2016-11-01,WS2M,1.48
2016-11-01,WS10M,2.43
2016-12-01,WS10M,2.19
2016-12-01,WD10M,5.0
2016-12-01,WS2M,1.36
2017-01-01,WS10M,2.78
2017-01-01,WS2M,1.73
2017-01-01,WD10M,41.1
2017-02-01,WD10M,353.0
2017-02-01,WS10M,3.1
2017-02-01,WS2M,1.87
2017-03-01,WS10M,3.09
2017-03-01,WD10M,333.7
2017-03-01,WS2M,1.98
2017-04-01,WS10M,4.29
2017-04-01,WS2M,2.98
2017-04-01,WD10M,286.6
2017-05-01,WD10M,285.0
2017-05-01,WS2M,3.04
2017-05-01,WS10M,4.16
2017-06-01,WD10M,270.5
2017-06-01,WS2M,2.86
2017-06-01,WS10M,3.83
2017-07-01,WS2M,2.83
2017-07-01,WS10M,3.82
2017-07-01,WD10M,281.2
2017-08-01,WS2M,2.67
2017-08-01,WS10M,3.75
2017-08-01,WD10M,268.3
2017-09-01,WS2M,1.74
2017-09-01,WD10M,300.7
