DATE,PARAM,VALUE
2015-01-01,WD10M,297.1
2015-01-01,WS2M,1.72
2015-01-01,WS10M,2.21
2015-02-01,WS2M,1.99
2015-02-01,WS10M,2.52
2015-02-01,WD10M,265.0
2015-03-01,WD10M,268.6
2015-03-01,WS10M,2.61
2015-03-01,WS2M,2.09
2015-04-01,WD10M,267.8
2015-04-01,WS10M,2.38
2015-04-01,WS2M,1.88
2015-05-01,WD10M,275.9
2015-05-01,WS2M,2.22
2015-05-01,WS10M,2.82
2015-06-01,WD10M,259.3
2015-06-01,WS10M,3.85
2015-06-01,WS2M,2.97
2015-07-01,WD10M,285.2
2015-07-01,WS10M,3.89
2015-07-01,WS2M,2.99
2015-08-01,WS10M,3.26
2015-08-01,WS2M,2.51
2015-08-01,WD10M,285.3
2015-09-01,WS2M,2.41
2015-09-01,WD10M,265.1
2015-09-01,WS10M,3.09
2015-10-01,WD10M,224.8
2015-10-01,WS2M,1.74
2015-10-01,WS10M,2.22
2015-11-01,WS2M,1.81
2015-11-01,WS10M,2.32
2015-11-01,WD10M,225.6
2015-12-01,WD10M,58.9
2015-12-01,WS10M,1.99
2015-12-01,WS2M,1.5
2016-01-01,WS2M,1.53
2016-01-01,WD10M,89.9
2016-01-01,WS10M,2.01
2016-02-01,WS10M,2.24
2016-02-01,WD10M,256.7
2016-02-01,WS2M,1.77
2016-03-01,WD10M,267.9
2016-03-01,WS10M,2.65
2016-03-01,WS2M,2.11
2016-04-01,WD10M,279.4
2016-04-01,WS2M,2.5
2016-04-01,WS10M,3.14
2016-05-01,WD10M,274.6
2016-05-01,WS10M,3.68
2016-05-01,WS2M,2.89
2016-06-01,WD10M,280.1
2016-06-01,WS10M,4.5
2016-06-01,WS2M,3.47
2016-07-01,WD10M,287.6
2016-07-01,WS2M,3.11
2016-07-01,WS10M,4.02
2016-08-01,WD10M,295.0
2016-08-01,WS10M,4.25
2016-08-01,WS2M,3.27
2016-09-01,WD10M,300.6
2016-09-01,WS2M,3.12
2016-09-01,WS10M,4.01
2016-10-01,WD10M,286.9
2016-10-01,WS10M,3.11
2016-10-01,WS2M,2.42
2016-11-01,WD10M,283.7
2016-11-01,WS2M,1.59
2016-11-01,WS10M,2.06
2016-12-01,WS10M,2.49
2016-12-01,WD10M,272.7
2016-12-01,WS2M,1.94
2017-01-01,WS10M,2.12
2017-01-01,WS2M,1.66
2017-01-01,WD10M,267.0
2017-02-01,WD10M,267.2
2017-02-01,WS10M,2.4
2017-02-01,WS2M,1.91
2017-03-01,WS10M,2.57
2017-03-01,WD10M,274.5
2017-03-01,WS2M,2.05
2017-04-01,WS10M,3.33
2017-04-01,WS2M,2.66
2017-04-01,WD10M,287.0
2017-05-01,WD10M,278.0
2017-05-01,WS2M,2.74
2017-05-01,WS10M,3.5
2017-06-01,WD10M,272.9
2017-06-01,WS2M,3.21
2017-06-01,WS10M,4.14
2017-07-01,WS2M,2.91
2017-07-01,WS10M,3.76
2017-07-01,WD10M,289.6
2017-08-01,WS2M,2.79
2017-08-01,WS10M,3.62
2017-08-01,WD10M,290.1
2017-09-01,WS2M,2.89
2017-09-01,WD10M,267.3
2017-09-01,WS10M,3.74
2017-10-01,WS2M,2.16
2017-10-01,WS10M,2.76
2017-10-01,WD10M,256.0
2017-11-01,WD10M,315.6
2017-11-01,WS2M,1.64
2017-11-01,WS10M,2.09
2017-12-01,WS10M,2.47
2017-12-01,WD10M,94.2
2017-12-01,WS2M,1.87
2018-01-01,WD10M,285.1
2018-01-01,WS10M,1.95
