DATE,PARAM,VALUE
2015-01-01,WD10M,58.0
2015-01-01,WS2M,1.35
2015-01-01,WS10M,2.21
2015-02-01,WS2M,1.37
2015-02-01,WS10M,2.27
2015-02-01,WD10M,73.1
2015-03-01,WD10M,358.4
2015-03-01,WS10M,2.31
2015-03-01,WS2M,1.54
2015-04-01,WD10M,257.4
2015-04-01,WS10M,3.42
2015-04-01,WS2M,2.41
2015-05-01,WD10M,271.0
2015-05-01,WS2M,2.69
2015-05-01,WS10M,3.67
2015-06-01,WD10M,253.1
2015-06-01,WS10M,3.98
2015-06-01,WS2M,2.97
2015-07-01,WD10M,258.3
2015-07-01,WS10M,4.32
2015-07-01,WS2M,3.11
2015-08-01,WS10M,3.63
2015-08-01,WS2M,2.5
2015-08-01,WD10M,258.6
2015-09-01,WS2M,1.62
2015-09-01,WD10M,306.0
2015-09-01,WS10M,2.48
2015-10-01,WD10M,50.2
2015-10-01,WS2M,1.03
2015-10-01,WS10M,1.74
2015-11-01,WS2M,1.17
2015-11-01,WS10M,1.99
2015-11-01,WD10M,95.7
2015-12-01,WD10M,70.9
2015-12-01,WS10M,2.04
2015-12-01,WS2M,1.23
2016-01-01,WS2M,1.28
2016-01-01,WD10M,66.9
2016-01-01,WS10M,2.11
2016-02-01,WS10M,2.29
2016-02-01,WD10M,71.5
2016-02-01,WS2M,1.46
2016-03-01,WD10M,342.7
2016-03-01,WS10M,2.4
2016-03-01,WS2M,1.57
2016-04-01,WD10M,264.8
2016-04-01,WS2M,2.53
2016-04-01,WS10M,3.62
2016-05-01,WD10M,253.3
2016-05-01,WS10M,3.53
2016-05-01,WS2M,2.56
2016-06-01,WD10M,205.5
2016-06-01,WS10M,3.45
2016-06-01,WS2M,2.6
2016-07-01,WD10M,236.6
2016-07-01,WS2M,3.18
2016-07-01,WS10M,4.38
2016-08-01,WD10M,246.7
2016-08-01,WS10M,4.28
2016-08-01,WS2M,2.97
2016-09-01,WD10M,15.2
2016-09-01,WS2M,1.92
2016-09-01,WS10M,2.9
2016-10-01,WD10M,354.8
2016-10-01,WS10M,2.08
2016-10-01,WS2M,1.29
2016-11-01,WD10M,24.7
2016-11-01,WS2M,1.11
2016-11-01,WS10M,1.81
2016-12-01,WS10M,1.93
2016-12-01,WD10M,52.0
2016-12-01,WS2M,1.15
2017-01-01,WS10M,2.06
2017-01-01,WS2M,1.24
