-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2015 through 12/31/2024 in LST
Location: Latitude  23.2599   Longitude 77.4126 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 475.01 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WD10M     MERRA-2 Wind Direction at 10 Meters (Degrees) 
WS10M     MERRA-2 Wind Speed at 10 Meters (m/s) 
WS2M      MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
WD10M,2015,50.4,51.0,355.7,289.8,302.0,279.2,264.9,294.0,306.6,2.3,67.0,42.2,303.1
WD10M,2016,59.0,40.5,333.6,289.5,282.6,281.8,273.1,257.8,323.2,326.1,33.1,50.1,297.8
WD10M,2017,61.9,21.4,328.0,292.5,298.7,278.7,253.2,280.3,288.0,358.8,79.4,62.5,295.9
WD10M,2018,37.2,40.1,311.9,294.4,297.6,270.8,267.0,276.8,279.2,325.8,57.7,61.2,292.3
WD10M,2019,32.9,277.0,326.9,309.9,292.1,289.2,265.8,272.6,308.7,76.5,100.5,75.5,297.2
WD10M,2020,51.4,50.8,262.5,322.6,293.6,266.8,237.8,256.2,292.5,31.7,90.1,85.7,283.2
WD10M,2021,94.7,204.8,238.3,252.0,264.2,261.9,253.1,272.0,233.7,305.6,83.1,69.7,258.2
WD10M,2022,25.4,267.0,328.1,288.3,283.6,269.2,275.6,267.6,293.2,62.2,83.3,68.1,295.0
WD10M,2023,60.6,1.2,297.7,280.1,290.9,277.1,273.4,264.7,308.4,295.8,98.0,81.8,291.6
WD10M,2024,80.0,22.7,12.4,268.9,273.5,266.5,259.9,251.3,289.5,55.8,90.7,65.9,282.4
WS10M,2015,2.84,2.98,3.03,3.76,4.82,4.76,5.78,3.94,3.14,2.18,2.25,2.84,3.53
WS10M,2016,2.45,3.18,3.01,4.25,4.75,4.0,4.28,4.68,3.07,2.4,2.01,2.56,3.39
WS10M,2017,2.77,3.05,3.13,4.45,4.32,4.13,5.39,4.05,2.62,2.32,1.96,2.59,3.4
WS10M,2018,2.49,2.47,3.0,3.73,4.33,4.61,5.11,4.63,3.72,2.3,2.35,2.65,3.46
WS10M,2019,2.93,3.4,3.37,3.36,4.21,4.4,4.54,4.4,3.01,2.01,2.16,2.76,3.38
WS10M,2020,2.97,2.97,3.07,3.33,4.23,4.12,3.57,4.12,2.6,2.24,2.4,2.47,3.18
WS10M,2021,2.82,2.61,3.2,2.97,4.17,4.77,4.83,4.28,3.16,1.99,2.61,2.49,3.33
WS10M,2022,2.68,3.02,3.12,3.78,4.75,4.61,3.23,4.02,3.15,2.67,2.17,2.73,3.33
WS10M,2023,3.07,2.84,2.61,3.32,3.76,5.44,3.93,4.53,3.37,2.55,2.39,2.58,3.37
WS10M,2024,2.56,3.21,3.05,3.48,3.92,3.7,4.01,3.51,3.18,2.19,2.21,2.73,3.15
WS2M,2015,1.8,1.88,1.99,2.68,3.57,3.58,4.19,2.74,2.08,1.39,1.39,1.71,2.42
WS2M,2016,1.52,1.98,1.95,3.01,3.53,3.01,3.09,3.26,2.05,1.5,1.24,1.52,2.31
WS2M,2017,1.73,1.91,2.04,3.14,3.21,3.1,3.9,2.84,1.74,1.43,1.22,1.57,2.32
WS2M,2018,1.51,1.57,1.97,2.59,3.19,3.45,3.69,3.23,2.51,1.42,1.39,1.6,2.35
WS2M,2019,1.8,2.2,2.22,2.3,3.12,3.33,3.28,3.07,2.03,1.3,1.32,1.72,2.31
WS2M,2020,1.84,1.85,2.06,2.31,3.11,3.09,2.58,2.88,1.71,1.42,1.48,1.51,2.16
WS2M,2021,1.73,1.64,2.08,2.05,3.09,3.57,3.5,2.98,2.15,1.27,1.6,1.58,2.27
WS2M,2022,1.66,1.87,2.06,2.64,3.54,3.49,2.32,2.77,2.12,1.7,1.3,1.62,2.26
WS2M,2023,1.93,1.74,1.72,2.32,2.76,4.12,2.83,3.18,2.27,1.58,1.45,1.6,2.29
WS2M,2024,1.59,2.09,1.99,2.43,2.89,2.8,2.89,2.44,2.15,1.37,1.29,1.65,2.13
