-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2015 through 12/31/2024 in LST
Location: Latitude  28.7041   Longitude 77.1025 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 230.32 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DNI      CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
PS                     MERRA-2 Surface Pressure (kPa) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DIFF,2015,1.4657,1.9608,1.8929,2.4312,2.6155,2.7895,2.807,2.6134,2.2438,1.8293,1.6915,1.5014,2.1535
ALLSKY_SFC_SW_DIFF,2016,1.5624,1.7604,2.083,2.5049,2.8354,3.1224,2.7578,2.5824,2.3954,1.8799,1.6447,1.5012,2.2195
ALLSKY_SFC_SW_DIFF,2017,1.6289,1.8775,2.2051,2.5668,2.8188,3.036,3.0096,2.7787,2.2351,1.956,1.7354,1.4959,2.2807
ALLSKY_SFC_SW_DIFF,2018,1.5938,2.046,2.0534,2.6273,3.1126,3.3821,2.9496,2.826,2.1257,1.8631,1.697,1.4741,2.3131
ALLSKY_SFC_SW_DIFF,2019,1.7513,1.9704,2.1463,2.3719,2.6899,2.9333,3.0245,2.6354,2.6047,2.063,1.7122,1.3603,2.273
ALLSKY_SFC_SW_DIFF,2020,1.4878,1.8386,2.1312,2.5147,2.6374,3.0859,3.0749,2.5716,2.4463,1.9978,1.7311,1.4755,2.2495
ALLSKY_SFC_SW_DIFF,2021,1.4806,1.8427,2.4278,2.6246,2.7866,3.331,2.797,2.683,2.3014,1.7702,1.8019,1.4892,2.279
ALLSKY_SFC_SW_DIFF,2022,1.4393,1.8074,2.2003,2.5867,3.4289,3.1253,2.8337,2.6582,2.1641,1.7208,1.6315,1.3174,2.245
ALLSKY_SFC_SW_DIFF,2023,1.4249,1.7354,2.2536,2.4629,2.6938,2.7482,2.7994,2.8289,2.3347,1.8607,1.7386,1.422,2.1943
ALLSKY_SFC_SW_DIFF,2024,1.4093,1.9574,2.3126,2.6738,2.8039,3.0041,2.7319,2.6688,2.3196,1.8566,1.7966,1.2437,2.2306
ALLSKY_SFC_SW_DNI,2015,1.7285,3.87,4.6601,5.0976,5.5606,3.809,2.376,2.6947,4.8055,4.5334,2.7953,3.091,3.7466
ALLSKY_SFC_SW_DNI,2016,2.484,4.1974,4.8898,5.5303,4.259,3.0737,1.2631,2.5231,3.7915,4.0337,3.605,3.0799,3.5527
ALLSKY_SFC_SW_DNI,2017,2.6726,4.4431,4.8763,5.4425,4.128,3.072,2.0587,1.7563,3.4404,4.1222,2.5231,3.0134,3.4526
ALLSKY_SFC_SW_DNI,2018,3.2309,3.5837,5.3122,4.4772,3.713,2.3362,1.3138,1.3534,3.0245,4.3541,2.9374,3.3542,3.247
ALLSKY_SFC_SW_DNI,2019,2.4235,2.2555,4.5761,5.3933,5.0734,3.9528,1.3546,2.0549,1.9104,3.1061,1.9757,1.3207,2.9515
ALLSKY_SFC_SW_DNI,2020,2.418,3.9017,4.188,5.0911,4.9217,3.2513,1.9027,1.9949,3.665,3.9014,2.789,3.3026,3.4387
ALLSKY_SFC_SW_DNI,2021,1.9692,4.2305,4.3085,5.5344,3.7166,2.9362,1.7354,2.0712,2.3902,4.4074,2.6417,2.5882,3.2006
ALLSKY_SFC_SW_DNI,2022,1.6493,4.0286,5.0434,5.3297,3.1733,3.0883,1.9375,2.363,2.9482,3.8549,3.6317,4.02,3.4138
ALLSKY_SFC_SW_DNI,2023,2.3546,5.2771,3.6437,4.8067,4.2828,3.2388,1.4906,2.1053,3.4166,4.3975,1.5214,2.7278,3.2558
ALLSKY_SFC_SW_DNI,2024,1.175,3.4176,4.4866,4.4832,4.9164,3.059,1.4042,1.8734,2.0587,4.5367,2.2313,3.1543,3.0658
ALLSKY_SFC_SW_DWN,2015,2.4821,4.3747,5.1574,6.3576,7.1484,6.1637,5.0062,5.0242,5.8068,4.8202,3.3679,3.089,4.8984
ALLSKY_SFC_SW_DWN,2016,2.9102,4.3303,5.507,6.6838,6.5508,6.097,4.3529,4.873,5.3544,4.5761,3.731,3.1075,4.8355
ALLSKY_SFC_SW_DWN,2017,3.1402,4.5917,5.6834,6.7414,6.3811,5.9184,5.0921,4.5559,4.9099,4.7837,3.3024,3.0487,4.8437
ALLSKY_SFC_SW_DWN,2018,3.3852,4.3373,5.8061,6.27,6.4332,5.8567,4.5389,4.4023,4.5065,4.7897,3.4769,3.2208,4.7522
ALLSKY_SFC_SW_DWN,2019,3.1639,3.491,5.4084,6.5376,6.8983,6.4265,4.6656,4.626,4.3428,4.3082,2.982,2.1406,4.5862
ALLSKY_SFC_SW_DWN,2020,2.8685,4.2701,5.1643,6.4015,6.6862,6.0876,5.1242,4.4486,5.3078,4.7002,3.4212,3.1778,4.8024
ALLSKY_SFC_SW_DWN,2021,2.6364,4.5204,5.5558,6.7738,6.0211,6.2038,4.6858,4.6834,4.2082,4.6714,3.432,2.8668,4.6846
ALLSKY_SFC_SW_DWN,2022,2.4084,4.3466,5.8171,6.7478,6.3878,6.0211,4.855,4.7938,4.5106,4.2725,3.7118,3.3269,4.7647
ALLSKY_SFC_SW_DWN,2023,2.7629,4.8636,4.9601,6.215,6.367,5.7305,4.4856,4.9483,5.0162,4.801,2.8346,2.8682,4.6495
ALLSKY_SFC_SW_DWN,2024,2.1722,4.1544,5.5656,6.2846,6.9571,5.935,4.3781,4.5223,4.1076,4.8571,3.2515,2.8774,4.5876
PS,2015,99.13,98.81,98.72,98.14,97.67,97.36,97.29,97.58,97.96,98.53,98.81,99.03,98.25
PS,2016,98.99,98.89,98.54,97.93,97.53,97.36,97.31,97.47,97.83,98.24,98.73,98.92,98.14
PS,2017,99.04,98.89,98.41,97.88,97.65,97.33,97.28,97.46,97.88,98.23,98.75,99.01,98.15
PS,2018,98.8,98.79,98.38,97.98,97.62,97.14,97.13,97.35,97.93,98.53,98.81,99.05,98.12
PS,2019,99.11,98.86,98.62,98.07,97.74,97.3,97.17,97.39,97.87,98.53,98.78,99.12,98.21
PS,2020,99.02,98.99,98.59,98.25,97.74,97.37,97.31,97.29,97.73,98.19,98.92,98.93,98.19
PS,2021,98.84,98.74,98.38,98.13,97.74,97.36,97.23,97.5,97.82,98.25,98.68,99.08,98.14
PS,2022,98.89,98.62,98.29,97.85,97.37,97.26,97.38,97.49,97.78,98.41,98.76,98.87,98.08
PS,2023,99.05,98.73,98.56,98.19,97.9,97.44,97.41,97.48,97.81,98.49,98.9,99.04,98.25
PS,2024,99.07,98.97,98.58,98.07,97.57,97.28,97.12,97.57,97.77,98.29,98.72,98.9,98.16
RH2M,2015,52.16,38.99,49.6,40.98,19.18,35.15,64.37,68.09,48.62,37.62,35.47,26.84,43.16
RH2M,2016,29.69,24.7,30.98,18.91,24.07,34.55,68.6,79.91,61.34,39.48,27.03,26.84,38.96
RH2M,2017,43.72,37.35,27.8,18.61,22.6,42.47,65.41,65.38,58.59,36.15,37.85,37.96,41.21
RH2M,2018,32.42,29.35,23.14,24.47,21.47,38.53,66.3,77.17,76.36,56.5,46.95,43.61,44.79
RH2M,2019,47.24,52.28,40.43,29.04,25.83,27.15,56.04,73.34,70.14,54.22,53.84,54.44,48.68
RH2M,2020,62.41,49.82,55.76,39.59,30.6,41.68,59.9,77.86,63.26,34.21,36.65,39.96,49.35
RH2M,2021,53.62,38.62,26.88,18.91,34.89,45.21,65.3,79.64,86.73,70.83,59.15,57.91,53.27
RH2M,2022,72.3,60.88,41.16,17.03,25.56,32.94,65.31,70.48,68.23,68.45,60.93,51.01,52.88
RH2M,2023,52.37,39.9,44.91,36.98,38.71,49.62,75.91,73.85,68.54,51.32,51.43,48.17,52.76
RH2M,2024,46.89,43.04,31.95,24.44,18.45,31.56,69.95,84.18,82.27,61.33,51.18,48.64,49.55
T2M_MAX,2015,24.58,31.8,36.81,40.71,46.25,45.6,41.47,37.39,39.05,38.5,31.32,29.03,46.25
T2M_MAX,2016,28.19,32.83,39.09,43.18,47.06,45.82,41.09,34.97,37.19,36.57,31.65,28.93,47.06
T2M_MAX,2017,27.0,32.12,41.36,45.37,46.13,47.01,40.39,38.98,37.9,37.37,32.42,27.07,47.01
