-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2015 through 12/31/2024 in LST
Location: Latitude  26.1424   Longitude 91.787 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 400.01 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WD10M     MERRA-2 Wind Direction at 10 Meters (Degrees) 
WS10M     MERRA-2 Wind Speed at 10 Meters (m/s) 
WS2M      MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
WD10M,2015,225.1,226.8,236.1,221.9,217.6,213.2,165.4,233.5,232.2,176.5,179.0,205.1,218.6
WD10M,2016,222.6,216.8,227.5,214.7,215.5,233.8,216.3,203.1,232.9,179.6,160.9,171.0,215.1
WD10M,2017,212.0,224.2,226.3,217.2,215.0,225.8,167.0,246.6,240.1,177.5,145.8,157.3,214.0
WD10M,2018,225.7,225.6,223.1,220.6,226.5,231.4,236.9,203.6,242.1,208.2,197.1,176.4,221.6
WD10M,2019,175.5,230.6,234.7,222.4,221.5,231.9,227.9,189.8,229.1,239.1,183.4,185.4,220.3
WD10M,2020,226.2,224.7,236.9,221.3,212.3,237.1,243.7,236.3,240.0,252.5,169.4,214.2,226.5
WD10M,2021,225.8,224.5,230.5,227.1,237.0,227.6,221.6,238.3,211.7,223.1,193.8,168.9,224.5
WD10M,2022,211.6,219.0,230.1,215.1,227.8,227.6,252.5,219.9,222.4,161.3,146.4,187.5,214.9
WD10M,2023,206.9,218.4,227.1,226.5,221.1,227.9,236.5,241.5,132.7,130.5,128.4,146.8,210.0
WD10M,2024,221.6,232.4,229.9,224.7,194.5,231.6,222.3,204.5,185.6,154.6,131.0,156.7,211.3
WS10M,2015,1.94,2.36,2.76,2.59,2.45,2.37,1.96,1.85,1.41,1.44,1.57,1.74,2.03
WS10M,2016,1.89,2.56,2.96,3.67,2.04,1.66,1.6,1.63,1.39,1.34,1.42,1.7,1.98
WS10M,2017,1.77,2.45,2.59,2.88,2.04,1.96,1.48,1.59,1.48,1.56,1.65,1.64,1.92
WS10M,2018,1.79,2.25,2.35,2.05,1.61,1.84,1.38,1.38,1.6,1.48,1.68,1.58,1.74
WS10M,2019,1.82,2.13,2.44,1.83,2.1,1.6,1.67,1.4,1.2,1.31,1.43,1.61,1.71
WS10M,2020,1.84,1.82,2.24,2.01,2.03,1.79,1.76,1.54,1.5,1.35,1.89,1.57,1.78
WS10M,2021,1.74,1.87,2.46,2.38,2.29,2.15,1.74,1.82,1.36,1.49,1.68,1.62,1.88
WS10M,2022,1.67,2.14,2.29,2.28,2.0,2.09,1.54,1.71,1.48,1.78,1.52,1.63,1.84
WS10M,2023,1.82,2.12,2.19,2.6,2.32,1.98,1.68,1.69,1.43,1.53,1.76,1.64,1.89
WS10M,2024,1.53,2.33,2.51,3.12,2.2,1.58,1.43,1.53,1.52,1.56,1.53,1.67,1.87
WS2M,2015,0.5,0.65,0.8,0.77,0.7,0.7,0.59,0.54,0.39,0.4,0.42,0.44,0.57
WS2M,2016,0.48,0.7,0.84,1.07,0.6,0.49,0.48,0.47,0.39,0.39,0.43,0.44,0.56
WS2M,2017,0.5,0.68,0.77,0.86,0.61,0.58,0.46,0.48,0.42,0.41,0.43,0.47,0.55
WS2M,2018,0.46,0.62,0.69,0.62,0.49,0.55,0.43,0.42,0.44,0.41,0.44,0.45,0.5
WS2M,2019,0.5,0.61,0.72,0.57,0.62,0.5,0.51,0.43,0.36,0.39,0.41,0.43,0.5
WS2M,2020,0.48,0.51,0.67,0.58,0.61,0.54,0.53,0.46,0.41,0.39,0.48,0.44,0.51
WS2M,2021,0.49,0.55,0.71,0.68,0.68,0.66,0.54,0.55,0.38,0.39,0.45,0.45,0.54
WS2M,2022,0.48,0.64,0.68,0.69,0.61,0.63,0.48,0.51,0.42,0.47,0.45,0.45,0.54
WS2M,2023,0.52,0.61,0.67,0.74,0.69,0.6,0.53,0.51,0.42,0.43,0.49,0.49,0.56
WS2M,2024,0.45,0.67,0.76,0.9,0.67,0.49,0.45,0.46,0.42,0.41,0.43,0.47,0.55
