-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2015 through 12/31/2024 in LST
Location: Latitude  9.9312   Longitude 76.8567 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 711.18 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DNI      CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
PS                     MERRA-2 Surface Pressure (kPa) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DIFF,2015,2.1595,2.3527,2.4504,2.4012,2.5418,2.5726,2.5874,2.6455,2.5121,2.412,2.2538,2.1259,2.4182
ALLSKY_SFC_SW_DIFF,2016,2.2207,2.4926,2.5445,2.6808,2.5154,2.3594,2.6165,2.6016,2.6904,2.4634,2.4902,2.2188,2.4905
ALLSKY_SFC_SW_DIFF,2017,2.2378,1.9858,2.4545,2.8925,2.683,2.4406,2.6842,2.6558,2.4444,2.436,2.281,1.873,2.425
ALLSKY_SFC_SW_DIFF,2018,2.2128,1.8521,2.4031,2.7694,2.8039,2.4238,2.4048,2.6614,2.5572,2.6388,2.358,2.2373,2.4475
ALLSKY_SFC_SW_DIFF,2019,1.9889,2.0386,2.3016,2.5759,2.9198,2.5567,2.7036,2.5414,2.723,2.4108,2.1482,2.0479,2.4151
ALLSKY_SFC_SW_DIFF,2020,1.5778,1.9063,2.3352,2.4444,2.6894,2.6602,2.5567,2.604,2.4317,2.5174,2.3136,2.0918,2.345
ALLSKY_SFC_SW_DIFF,2021,2.0801,2.0834,2.1713,2.8502,2.4773,2.6585,2.5927,2.6914,2.55,2.3554,2.2159,1.8953,2.3856
ALLSKY_SFC_SW_DIFF,2022,1.8766,2.2733,2.5366,2.557,2.6162,2.7254,2.513,2.4454,2.467,2.6006,2.3724,1.9862,2.4139
ALLSKY_SFC_SW_DIFF,2023,1.8691,1.9598,2.2591,2.4691,2.7828,2.6191,2.5243,2.6376,2.4919,2.4569,2.3878,2.0923,2.3813
ALLSKY_SFC_SW_DIFF,2024,1.9704,1.6646,2.2812,2.6472,2.4058,2.4127,2.4096,2.6258,2.6746,2.5594,2.371,1.8955,2.328
