-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2015 through 12/31/2024 in LST
Location: Latitude  9.9312   Longitude 76.2673 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 47.32 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WD10M     MERRA-2 Wind Direction at 10 Meters (Degrees) 
WS10M     MERRA-2 Wind Speed at 10 Meters (m/s) 
WS2M      MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
WD10M,2015,297.1,265.0,268.6,267.8,275.9,259.3,285.2,285.3,265.1,224.8,225.6,58.9,271.4
WD10M,2016,89.9,256.7,267.9,279.4,274.6,280.1,287.6,295.0,300.6,286.9,283.7,272.7,284.2
WD10M,2017,267.0,267.2,274.5,287.0,278.0,272.9,289.6,290.1,267.3,256.0,315.6,94.2,278.9
WD10M,2018,285.1,279.0,270.2,274.1,274.7,268.8,282.3,293.3,299.6,251.2,240.2,341.4,280.9
WD10M,2019,48.1,278.7,277.7,276.0,287.8,261.5,282.7,266.7,268.9,238.5,304.1,87.8,273.8
WD10M,2020,276.4,254.1,268.6,263.7,275.9,265.6,269.6,281.7,261.6,281.6,350.7,52.5,273.7
WD10M,2021,76.1,15.5,249.6,275.8,239.8,283.4,287.6,278.7,288.3,259.7,266.4,58.4,276.2
WD10M,2022,340.6,285.5,275.8,262.1,281.0,284.4,294.4,289.2,281.0,276.6,278.9,2.3,286.1
WD10M,2023,69.6,277.0,280.8,277.3,279.5,279.5,295.8,299.9,269.1,262.0,304.2,52.1,286.0
WD10M,2024,51.9,333.6,275.8,272.7,274.2,273.7,285.5,273.7,293.7,250.9,321.2,319.8,281.6
WS10M,2015,2.21,2.52,2.61,2.38,2.82,3.85,3.89,3.26,3.09,2.22,2.32,1.99,2.76
WS10M,2016,2.01,2.24,2.65,3.14,3.68,4.5,4.02,4.25,4.01,3.11,2.06,2.49,3.18
WS10M,2017,2.12,2.4,2.57,3.33,3.5,4.14,3.76,3.62,3.74,2.76,2.09,2.47,3.04
WS10M,2018,1.95,2.04,2.68,2.51,3.62,4.31,4.43,4.42,3.42,2.24,2.09,1.87,2.97
WS10M,2019,2.26,2.56,2.93,3.1,3.7,4.05,4.11,3.93,3.14,2.8,1.92,1.89,3.04
WS10M,2020,1.95,2.31,2.66,2.61,3.48,3.99,3.71,3.84,3.59,3.29,1.92,2.02,2.95
WS10M,2021,1.88,2.03,2.25,2.36,3.23,3.97,4.24,3.45,3.55,2.94,2.74,1.85,2.88
WS10M,2022,2.14,2.05,2.36,2.2,3.63,3.21,3.81,3.92,3.3,2.51,1.84,1.97,2.75
WS10M,2023,1.81,1.85,2.46,2.45,2.77,3.26,3.66,3.3,3.04,2.22,1.87,2.2,2.58
WS10M,2024,1.89,2.2,2.81,2.79,3.68,3.27,3.78,3.79,3.72,2.35,1.86,2.46,2.89
WS2M,2015,1.72,1.99,2.09,1.88,2.22,2.97,2.99,2.51,2.41,1.74,1.81,1.5,2.15
WS2M,2016,1.53,1.77,2.11,2.5,2.89,3.47,3.11,3.27,3.12,2.42,1.59,1.94,2.48
WS2M,2017,1.66,1.91,2.05,2.66,2.74,3.21,2.91,2.79,2.89,2.16,1.64,1.87,2.38
WS2M,2018,1.51,1.6,2.15,1.98,2.83,3.33,3.38,3.39,2.68,1.75,1.64,1.45,2.31
WS2M,2019,1.72,2.05,2.35,2.47,2.92,3.14,3.19,3.03,2.44,2.2,1.49,1.44,2.37
WS2M,2020,1.52,1.84,2.12,2.08,2.72,3.09,2.89,2.96,2.79,2.56,1.49,1.53,2.3
WS2M,2021,1.45,1.56,1.81,1.87,2.53,3.08,3.27,2.69,2.77,2.3,2.16,1.37,2.24
WS2M,2022,1.65,1.64,1.87,1.73,2.84,2.52,2.96,3.03,2.57,1.97,1.45,1.52,2.15
WS2M,2023,1.37,1.45,1.96,1.97,2.18,2.56,2.84,2.57,2.39,1.73,1.46,1.66,2.02
WS2M,2024,1.45,1.72,2.25,2.23,2.9,2.55,2.93,2.94,2.91,1.84,1.46,1.91,2.26
