-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2015 through 12/31/2024 in LST
Location: Latitude  22.5726   Longitude 88.3639 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 7.35 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WD10M     MERRA-2 Wind Direction at 10 Meters (Degrees) 
WS10M     MERRA-2 Wind Speed at 10 Meters (m/s) 
WS2M      MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
WD10M,2015,332.6,266.8,260.2,196.3,189.5,190.4,213.1,192.1,207.3,319.6,322.0,326.8,221.4
WD10M,2016,311.4,245.0,216.7,198.0,190.0,175.3,188.0,186.2,176.5,341.6,326.5,331.8,208.3
WD10M,2017,328.6,283.8,218.5,191.2,192.5,186.2,192.1,180.3,197.4,184.7,349.3,342.1,210.6
WD10M,2018,328.6,289.1,244.2,199.8,191.4,202.1,182.2,164.4,188.7,318.8,309.6,333.8,221.7
WD10M,2019,325.3,282.9,233.6,196.8,196.3,184.1,194.6,170.8,160.5,337.8,347.7,351.6,210.3
WD10M,2020,333.9,308.2,268.2,211.7,201.7,190.1,198.5,163.2,191.7,48.6,352.6,341.5,222.8
WD10M,2021,349.3,304.3,242.7,205.5,184.2,202.5,195.9,195.0,135.3,213.4,12.8,7.5,208.2
WD10M,2022,345.3,263.4,237.4,195.6,188.5,191.7,151.2,161.9,172.3,5.3,335.2,328.2,199.0
WD10M,2023,343.0,269.3,245.0,243.4,198.7,186.1,153.0,224.2,148.5,315.5,349.2,346.3,233.3
WD10M,2024,348.3,312.4,262.0,245.5,190.1,192.4,172.0,203.0,155.9,170.0,359.1,357.3,223.2
WS10M,2015,2.92,2.66,3.13,3.72,4.22,5.12,3.91,3.58,2.48,1.66,1.79,2.09,3.11
WS10M,2016,2.18,2.29,2.97,4.54,3.87,3.63,4.3,3.28,2.63,2.12,2.22,2.54,3.05
WS10M,2017,2.8,2.66,3.24,4.89,3.9,4.09,4.19,3.26,2.62,2.5,2.27,2.46,3.24
WS10M,2018,2.36,2.41,2.96,3.63,4.39,3.69,4.01,3.3,2.76,2.26,1.94,2.93,3.06
WS10M,2019,2.68,2.81,2.91,3.93,5.11,4.13,4.69,3.43,2.99,2.05,2.61,2.35,3.31
WS10M,2020,2.27,2.3,2.62,3.24,4.12,3.9,4.09,3.74,2.78,2.04,2.47,2.15,2.98
WS10M,2021,2.35,2.34,2.62,4.0,4.41,4.15,3.92,3.61,3.0,2.32,2.02,2.42,3.1
WS10M,2022,2.4,2.37,3.14,5.05,4.32,5.01,4.03,3.72,2.98,2.58,2.58,2.63,3.4
WS10M,2023,2.71,2.71,2.84,2.84,3.69,4.37,3.82,3.53,2.91,2.59,2.56,2.81,3.12
WS10M,2024,2.59,2.45,2.53,3.22,4.03,4.26,4.34,3.32,3.29,2.5,2.05,2.46,3.09
WS2M,2015,1.86,1.73,2.1,2.62,3.04,3.73,2.79,2.5,1.63,1.09,1.16,1.33,2.13
WS2M,2016,1.44,1.53,2.0,3.27,2.8,2.64,3.1,2.27,1.76,1.33,1.4,1.57,2.09
WS2M,2017,1.77,1.72,2.22,3.51,2.84,2.96,3.0,2.26,1.73,1.62,1.44,1.55,2.22
WS2M,2018,1.54,1.55,1.98,2.56,3.18,2.64,2.88,2.29,1.82,1.47,1.2,1.82,2.08
WS2M,2019,1.69,1.87,1.94,2.79,3.69,3.04,3.42,2.4,2.0,1.32,1.68,1.5,2.28
WS2M,2020,1.5,1.48,1.71,2.26,2.92,2.78,2.94,2.61,1.84,1.3,1.54,1.37,2.02
WS2M,2021,1.48,1.5,1.77,2.85,3.16,2.97,2.79,2.51,2.0,1.51,1.29,1.56,2.12
WS2M,2022,1.57,1.59,2.11,3.64,3.08,3.63,2.91,2.6,1.99,1.66,1.57,1.6,2.33
WS2M,2023,1.73,1.77,1.92,1.95,2.66,3.2,2.76,2.47,1.94,1.69,1.59,1.75,2.12
WS2M,2024,1.65,1.62,1.71,2.25,2.9,3.09,3.15,2.31,2.21,1.61,1.3,1.54,2.11
