-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2015 through 12/31/2024 in LST
Location: Latitude  26.8467   Longitude 80.9462 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 117.11 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DNI      CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
PS                     MERRA-2 Surface Pressure (kPa) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DIFF,2015,1.4515,1.9186,1.873,2.3659,2.6806,2.7374,2.8675,2.8121,2.3366,1.8761,1.7736,1.6378,2.1953
ALLSKY_SFC_SW_DIFF,2016,1.6121,1.8053,2.0518,2.4905,2.9417,2.9892,2.8246,2.617,2.537,1.9464,1.7508,1.4786,2.2541
ALLSKY_SFC_SW_DIFF,2017,1.6082,1.7815,1.9829,2.5382,2.9815,3.113,2.5622,2.8006,2.4794,1.998,1.7122,1.5514,2.2608
ALLSKY_SFC_SW_DIFF,2018,1.6747,1.9231,1.9543,2.621,3.091,3.409,2.6561,2.448,2.2217,1.7796,1.7347,1.5514,2.2555
ALLSKY_SFC_SW_DIFF,2019,1.7287,1.9433,2.1048,2.339,2.67,2.8286,2.9302,2.705,2.3698,2.0364,1.8086,1.3925,2.2394
ALLSKY_SFC_SW_DIFF,2020,1.4664,1.8588,2.0102,2.3942,2.6359,2.8087,2.9153,2.5901,2.6203,2.0273,1.7436,1.5559,2.219
ALLSKY_SFC_SW_DIFF,2021,1.6188,1.8163,2.185,2.6762,2.8999,2.8668,2.8757,2.7444,2.4161,1.9258,1.8612,1.5677,2.2898
ALLSKY_SFC_SW_DIFF,2022,1.5144,1.8684,2.051,2.6573,3.301,3.1668,2.7446,2.5994,2.3518,1.8773,1.7498,1.428,2.2769
ALLSKY_SFC_SW_DIFF,2023,1.4482,1.6459,2.2985,2.364,2.5824,2.6254,2.9815,2.6969,2.4895,1.9147,1.8298,1.5194,2.2027
ALLSKY_SFC_SW_DIFF,2024,1.373,1.9171,2.244,2.6155,2.9134,3.1037,2.7101,2.676,2.4194,1.9812,1.8415,1.3483,2.2613
