-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2015 through 12/31/2024 in LST
Location: Latitude  19.076   Longitude 72.8777 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 97.15 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DNI      CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
PS                     MERRA-2 Surface Pressure (kPa) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DIFF,2015,1.7635,1.7594,2.034,2.4962,2.6165,2.4238,2.7514,2.6201,2.4259,2.4134,1.9925,1.601,2.2445
ALLSKY_SFC_SW_DIFF,2016,1.6646,1.9258,2.0263,2.2478,2.5411,2.6892,2.1125,2.4838,2.2718,2.0347,1.7141,1.3774,2.0902
ALLSKY_SFC_SW_DIFF,2017,1.7498,1.8113,2.1653,2.4545,2.7578,2.7106,2.5606,2.61,2.5915,2.2277,1.8204,1.7676,2.2714
ALLSKY_SFC_SW_DIFF,2018,1.7539,2.0947,2.4125,2.5394,2.8589,2.7473,2.0539,2.5406,2.6347,2.3359,1.8624,1.6644,2.2915
ALLSKY_SFC_SW_DIFF,2019,1.8521,2.0054,2.1614,2.418,2.4878,2.8188,2.1706,2.483,2.309,2.2766,1.9944,1.8828,2.2387
ALLSKY_SFC_SW_DIFF,2020,1.8811,2.0297,2.2495,2.4106,2.4247,2.8745,2.5414,2.0465,2.4163,2.2286,1.8898,1.5888,2.2142
ALLSKY_SFC_SW_DIFF,2021,1.841,2.1077,2.291,2.8286,2.7437,2.6681,2.5512,2.411,2.3234,2.1482,2.0599,1.8785,2.3213
ALLSKY_SFC_SW_DIFF,2022,1.9037,1.9102,2.501,2.8313,3.1063,2.7514,2.2721,2.7046,2.2517,2.0868,1.8458,1.6882,2.3234
ALLSKY_SFC_SW_DIFF,2023,1.8756,1.6661,2.4701,2.6957,2.6011,2.6563,2.1646,2.6904,2.3686,2.4833,2.2049,1.8665,2.3153
ALLSKY_SFC_SW_DIFF,2024,1.9051,2.01,2.3234,2.7612,2.7149,2.6762,1.9922,2.509,2.4598,2.2351,2.0875,1.9135,2.2985
ALLSKY_SFC_SW_DNI,2015,4.877,5.7914,5.7586,5.3122,5.2925,1.9733,1.1381,1.6051,2.8176,3.0348,3.553,5.1626,3.8486
ALLSKY_SFC_SW_DNI,2016,5.316,5.4367,5.8882,5.939,5.4646,2.2644,0.3432,0.9091,1.8965,3.8592,5.274,5.9681,4.0411
ALLSKY_SFC_SW_DNI,2017,4.9214,5.7487,6.0586,6.2273,5.1614,2.1497,0.8309,1.2838,2.5908,3.8011,4.5773,3.5837,3.8964
ALLSKY_SFC_SW_DNI,2018,4.6704,4.7021,4.8775,5.6969,4.7203,1.3565,0.3266,0.7274,3.1692,4.0956,4.5941,4.6493,3.6226
ALLSKY_SFC_SW_DNI,2019,4.9476,5.2584,6.1198,6.1097,6.2957,2.2766,0.841,1.3882,0.9866,2.8514,3.6007,3.0314,3.6334
ALLSKY_SFC_SW_DNI,2020,4.464,4.9246,5.5709,6.0842,6.2592,2.1418,1.1551,0.6408,1.9056,3.1776,4.2506,4.2986,3.7344
ALLSKY_SFC_SW_DNI,2021,4.1561,4.8614,5.5092,4.6003,3.7862,1.7218,1.3927,1.2456,1.3781,4.1832,3.0706,3.1596,3.2484
ALLSKY_SFC_SW_DNI,2022,4.2372,5.7314,4.5048,4.6164,4.0186,2.2313,0.8846,1.1614,1.6747,3.8981,4.7597,4.404,3.4939
ALLSKY_SFC_SW_DNI,2023,4.4318,6.3432,4.2072,4.6495,5.6306,2.8032,0.4104,1.3963,1.6154,3.487,3.0187,3.5342,3.4418
ALLSKY_SFC_SW_DNI,2024,4.3181,5.2418,5.4617,4.5127,4.9394,2.1703,0.2904,1.0661,1.9757,3.6425,3.6955,3.5626,3.3998
ALLSKY_SFC_SW_DWN,2015,4.7722,5.7319,6.4174,6.9559,7.1134,4.5833,4.5094,4.601,5.0981,4.9466,4.4513,4.6577,5.317
ALLSKY_SFC_SW_DWN,2016,4.8926,5.6364,6.5239,7.0536,7.0807,5.1058,3.0787,3.9235,4.2581,4.9214,5.1139,4.8703,5.2006
ALLSKY_SFC_SW_DWN,2017,4.8514,5.7758,6.6362,7.2108,6.9617,5.0292,4.0658,4.4124,5.1168,5.1646,4.8175,4.0008,5.3311
ALLSKY_SFC_SW_DWN,2018,4.7016,5.3887,6.1678,7.0291,6.8443,4.6322,2.981,3.9175,5.5174,5.3846,4.8562,4.4789,5.1526
ALLSKY_SFC_SW_DWN,2019,4.9373,5.6652,6.7054,7.0932,7.4141,5.173,3.475,4.278,3.6974,4.6265,4.4213,3.8311,5.1053
ALLSKY_SFC_SW_DWN,2020,4.6922,5.4895,6.4903,7.0894,7.3188,5.2922,4.2485,3.1526,4.5077,4.7671,4.681,4.206,5.1569
ALLSKY_SFC_SW_DWN,2021,4.5151,5.4967,6.4793,6.6792,6.0418,4.7347,4.361,4.0774,3.9989,5.3198,4.205,3.8662,4.9778
ALLSKY_SFC_SW_DWN,2022,4.6128,5.8435,6.0365,6.6852,6.6905,5.1614,3.6394,4.3675,4.0817,5.0791,4.9543,4.3469,5.118
ALLSKY_SFC_SW_DWN,2023,4.6452,5.9539,5.8673,6.6458,7.1376,5.3566,3.1738,4.5794,4.1863,5.1485,4.2646,4.0788,5.0791
ALLSKY_SFC_SW_DWN,2024,4.6133,5.6314,6.4601,6.583,6.8242,5.0429,2.8944,3.9962,4.5461,5.0242,4.5773,4.1138,5.0206
PS,2015,100.27,100.14,100.07,99.84,99.66,99.34,99.48,99.64,99.73,99.96,100.03,100.23,99.87
